"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Stop","Assist.Tackles.on.Run.Plays","Pass.Break.Up","Interceptions","Drops...Off.Targets.Receptions.Forced","Yards.per.Reception.Allowed","Run.Tackle.for.Losss.or.No.Gain","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Tackle","Lined.up.in.Press.Coverage","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Run.Plays","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Touchdowns.Allowed","Beaten.Defender","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"JOSH HUNTER","S DIEGO ST",63,77.52,"B",65.4,68.5,59.1,60,10,5,2,79.2,1,4,0,0,1,17,0,0.68,5.67,NA,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.091,1,0,0,5,3,1,1,1,0.5,17,1,0,0,0,0.04,0,0.5,0,8.5,0,0.143,0
"FIVE HAMILTON","ARK STATE",60,77.35,"B",68.8,61,76.6,70.8,10,1,6,131.3,3,1,0,0,1,8.7,1,0.87,0.75,NA,9.8,0,1,1,0,33.3,0,0,0,1,0,0,0,1,1,0,0,0.091,3,1,1,1,4,3,2,3,0.75,26,1,0,0,0,0.033,0,0.25,0,6.5,0,0,0.167
"JEREMIAH JORDAN","UAB",73,76.99,"B",77.2,66.7,82.5,60,7,2,3,0,0,2,0,0,0,0,0,0,9.2,NA,0,0,0,0,0,50,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NATE ROBINSON JR.","UTSA",29,76.47,"B",81.3,80.4,73,NA,2,3,0,39.6,0,1,0,0,4,0,0,0,0,NA,22.3,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0
"JONES THOMAS","WYOMING",66,76.41,"B",72.5,63.3,74.3,66.7,8,3,1,39.6,0,3,0,0,1,0,0,0,8,NA,5,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"TRAVIS ANDERSON","BOISE ST",52,75.66,"B",75.4,81.9,57.2,NA,3,2,1,47.9,1,2,1,2,0,5,0,0.16,0,NA,5,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,2,2,0,2,1,1,5,0,1,0,0,0,0,0,2,5,1,0.5,0
"JAMARION KEYES","TROY",42,75.51,"B",74.8,78.7,64.5,60,6,2,2,39.6,0,2,1,0,0,0,0,0,3,NA,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.143,2,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.167,0
"TULI TAGOVAILOA-AMOSA","S JOSE ST",69,74.96,"B",64.8,60.7,70.1,NA,9,4,2,72.9,0,2,0,0,1,14,1,0.41,0.5,NA,11,2,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.182,2,1,0,4,5,3,1,1,0.5,14,0,0,0,0,0,0,0,0,7,0,0,0.286
"DONOVAN FARIA","GA STATE",38,74.17,"B",69.2,81.4,54.1,NA,4,2,1,0,0,2,0,1,0,0,1,0,-2,NA,18,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BISHOP TURNER","NEVADA",53,73.41,"B",72.3,69.8,67.8,68.1,4,1,1,39.6,0,0,1,0,0,0,0,0,9,NA,25,1,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ZACH WILLIAMS","TULSA",42,72.73,"B",67.1,54.3,76.7,60,8,3,1,39.6,1,3,0,0,1,0,0,0,12.67,NA,14,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJ BROWN","RICE",65,71.72,"B",75.9,77.4,69.4,59.6,6,0,4,79.2,1,0,0,0,0,-3,1,-0.11,8.4,NA,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.143,3,2,0,0,2,0,1,1,1,-3,0,0,0,0,0,0,0,0,-3,0,0.167,0
"RYAN NOLAN","TEXAS ST",79,71.69,"B",66.6,63.2,75.1,58.1,9,5,2,158.3,2,3,0,0,0,17.8,0,1.42,9,NA,10,2,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0,1,0,5,4,4,2,4,1,71,2,0,0,0,0.04,0,0.5,0,17.8,0,0,0.375
"MARIO EASTERLY","DOMINION",72,70.34,"B",61.3,57.6,67,56.5,8,4,2,39.6,0,4,0,0,1,0,0,0,4,NA,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.111,2,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0
"JT HASKINS","OHIO",42,69.92,"B",67.1,71,60.5,59.7,7,3,1,0,0,2,0,0,0,0,0,0,6,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0
"TAYLEN EADY","N DAK ST",33,68.66,"B",73.6,70,75.2,58.9,5,1,2,NA,1,1,0,NA,NA,NA,1,NA,0,NA,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"AMARI WALLACE","SACRAMENTO",47,68.48,"B",56.8,50.3,72.9,NA,6,1,3,NA,2,1,0,NA,NA,NA,1,NA,2.5,NA,NA,0,0,NA,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,1,2,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"SAM FONGANG","LA TECH",39,68.38,"B",68.2,60.4,76.4,59.9,8,3,0,0,0,2,0,0,0,0,0,0,6.5,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333
"AYDEN DUNCANSON","E CAROLINA",22,68.24,"B",93.6,93.6,64.5,NA,2,0,1,2.8,1,0,0,1,1,2,0,0.17,5,NA,7,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.333,2,0,0,0,0,0,0,0,0.333,0.7,0,0,0
"DYLAN SMITH","MEMPHIS",39,68.19,"B",69.4,65.7,67.1,60,4,1,2,77.1,2,1,1,0,0,2.7,0,0.33,8,NA,16,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,0.2,0,1,0,1,2,2,4,3,0.75,8,0,1,0,0,0,0,0,0,2,0.25,0,0.333
"TAEDEN ROGERS","LA TECH",50,67.98,"B",68.9,62.9,72.9,64.8,8,1,5,79.9,2,1,0,0,0,8,0,0.8,7,NA,5.7,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0.111,3,1,1,1,3,3,3,2,0.667,16,1,0,0,0,0.05,0,0.333,0,5.3,0,0,0.25
"DARNELL WILLIAMS","UTEP",27,67.73,"B",75.8,64.9,82.7,NA,5,1,2,0,0,1,0,0,0,0,1,0,5,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAEH MCCULLOUGH","W MICHIGAN",31,67.48,"B",70.5,62.7,72.8,56.3,6,3,3,0,0,2,0,0,0,0,0,0,2,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MORVEN JOSEPH","JVILLE ST",21,67.02,"B",57.9,64.4,59.9,47.4,5,3,1,0,0,3,0,0,0,0,1,0,-2,NA,0,0,1,0,1,16.7,1,0,0,0,0,0,0,0,0,0,0,0.286,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5
"BROOKLYN CHEEK","WYOMING",65,66.07,"B",78.2,63.5,86.2,NA,6,2,1,0,0,2,0,0,0,0,0,0,4.25,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHRIS TOOLEY III","FAU",53,65.77,"B",63.4,59.4,72.6,NA,4,2,1,28.3,0,0,0,1,2,6.3,1,0.54,1,NA,10.2,2,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,3,2,3,0.6,19,0,0,0,0,0,0,0,0.2,3.8,0,0,0
"BOOGSIE SILVERA","SACRAMENTO",60,65.76,"B",51.4,44.1,65.3,NA,9,2,3,NA,0,2,1,NA,NA,NA,2,NA,2,NA,NA,0,3,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0.25,3,2,0,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"DAEVON ILES","DOMINION",33,65.69,"B",84.4,87.4,62.7,NA,0,0,0,39.6,0,0,1,0,1,0,0,0,0,NA,11.8,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3,1,0.25,0,0,2,0,0,0,0,0,0,0,0.5,0,1
"ANTONIO SMITH","MO STATE",28,65.03,"B",65,66,61.9,NA,4,3,0,0,0,2,0,0,0,0,0,0,11,NA,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
"TERRENTE HINTON","MARSHALL",42,64.26,"B",65.4,71.6,52.2,58.9,4,1,2,79.2,1,1,0,0,0,-2,1,-0.08,2.5,NA,-2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.333,1,2,0,1,2,0,1,1,1,-2,0,0,0,0,0,0,0,0,-2,0,0.4,0
"DAYTIONE SMITH","MARSHALL",56,64.17,"B",64.4,65,61.9,59.2,8,4,1,149.3,1,3,0,0,1,21,0,1.4,7,NA,13,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.111,0,0,0,4,2,1,1,2,0.667,42,1,0,0,0,0.033,0,0.333,0,14,0,0.167,0
"JACKQUINTIN BAL","WASH STATE",21,63.94,"B",72.1,81.8,49.8,NA,2,0,2,56.3,1,0,1,0,0,-2,0,-0.15,3,NA,7,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0.5,-2,0,1,0,0,0,0,0,0,-1,0.5,0,0
"DJ WALKER","OHIO",68,62.92,"B",49.5,62.3,34.5,60,9,3,4,87.5,0,3,0,0,0,5,2,0.22,0.75,NA,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0.4,4,2,0,3,9,1,0,1,1,5,0,0,0,0,0,0,0,0,5,0,0.417,0.333
"MO CONTEH","TOLEDO",20,62.91,"B",63.3,64.8,60.6,NA,5,3,1,0,0,3,0,0,0,0,0,0,4,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.167,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
"CAMERON UPSHAW JR.","UTSA",46,62.74,"B",73.2,69.4,76.2,59.9,6,1,2,0,0,0,0,0,0,0,0,0,7.33,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARRY TURNER-GOODEN","NEVADA",48,62.27,"B",69.6,65.4,72.6,60,5,2,0,0,0,2,0,0,0,0,0,0,8.33,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEVIN HENDERSON","APP STATE",52,61.44,"B",58.7,57.9,69.7,59.7,9,3,2,50.7,0,1,0,0,1,15,0,0.47,6.5,NA,15.3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,3,0,1,0.333,15,1,0,0,0,0.031,0,0.333,0,5,0,0,0
"DARIUS GIVANCE","N DAK ST",37,61.38,"B",72.3,66,79.4,58.8,7,0,4,NA,1,0,0,NA,NA,NA,0,NA,5.4,NA,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"DOUG NELSON","TROY",33,61.16,"B",67.7,68.8,62.7,58,1,0,1,39.6,1,0,1,0,1,0,0,0,0,NA,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0
"CALEB NIX","JVILLE ST",73,60.99,"B",66.2,71.8,51.2,59.8,6,1,1,50.9,1,1,1,0,1,7.3,0,0.61,0,NA,11.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,3,0.429,22,1,1,0,3,0.028,0.429,0.143,0,3.1,0.143,0,0
"MJ MOULTRIE II","LA TECH",25,60.33,"B",74.9,75.7,67.4,NA,5,1,2,79.2,1,1,0,0,0,-6,0,-0.5,4,NA,-1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,-6,0,0,0,0,0,0,0,0,-6,0,0,0
"D.J. MOORE","S ALABAMA",32,59.64,"C",69,68.5,63.4,60,2,1,1,70.1,1,1,0,1,1,3.5,0,0.29,0,NA,7.3,0,0,0,0,50,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0.667,7,1,0,0,0,0,0,0.333,0.333,2.3,0,0,0
"JASON MARSHALL","E MICHIGAN",52,59.48,"C",52.6,47.1,69.1,NA,11,4,2,109.7,0,2,0,0,1,29.5,1,1.97,2,NA,26.3,2,1,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.083,2,1,0,4,6,4,0,2,0.667,59,2,0,0,0,0.067,0,0.667,0,19.7,0,0,0.125
"JEREMIAH BERNARD","WASH STATE",33,59.44,"C",53.6,40.9,60.3,80.5,6,1,2,79.2,1,1,0,0,0,0,0,0,6,NA,-1,0,0,0,1,50,0,1,0,0,0,0,0,0,1,0,0,0.143,1,1,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0
"KYLE HALL","BOISE ST",52,59.14,"C",62,59.3,66.1,NA,5,0,3,81.9,1,0,2,0,3,6.5,0,0.39,4.67,NA,19.2,0,1,1,1,NA,0,1,0,1,0,0,0,0,0,0,0,0.286,2,1,0,0,5,4,4,2,0.333,13,1,2,0,0,0.03,0,0.167,0,2.2,0.333,0.25,0.333
"AMARIAN LOUIS","W MICHIGAN",19,59.11,"C",70.2,62.6,70.9,NA,4,2,1,0,0,2,0,0,0,0,0,0,7.5,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JO'TAVION PIERCE","UAB",69,59,"C",60.5,50.6,73,57.8,9,3,0,95.8,0,3,0,0,0,29,0,1.21,16.5,NA,15.5,0,0,1,1,16.7,0,0,0,0,0,1,1,0,0,0,0,0.1,0,0,1,3,4,2,0,1,0.5,29,1,0,0,0,0.042,0,0.5,0,14.5,0,0.125,0
"JUSTIN BROWN","W KENTUCKY",46,58.92,"C",69.7,71.4,58.4,65.8,6,0,1,72.9,0,0,1,0,0,14,0,0.74,6.5,NA,7.5,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,1,1,1,0.5,14,1,1,0,0,0,0,0.5,0,7,0.5,0,0
"JOSHUA MOORE","TULANE",27,58.91,"C",74.3,73.2,68.4,NA,4,0,2,0,1,0,0,0,0,0,0,0,13.5,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STERLING SMITH","BALL ST",57,58.71,"C",63.2,59.2,68.6,59.2,9,1,4,95.8,1,1,0,0,1,37,1,1.42,5.83,NA,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3,1,0,1,2,1,0,1,0.5,37,1,0,0,0,0.039,0,0.5,0,18.5,0,0.125,0
"RONNELL DAVIS","BUFFALO",48,58.05,"C",59.1,58.5,56.4,67.6,4,0,1,0,0,0,0,0,0,0,1,0,6,NA,0,0,0,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0.333,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
"KAL-EL PASCAL","BOWL GREEN",59,57.66,"C",62.6,61,63.4,60,4,1,1,39.6,0,0,0,0,1,0,1,0,15.67,NA,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAVIAN COMBS","NEW MEXICO",32,57.63,"C",72,65.3,76.3,60,4,1,2,20.8,1,1,0,1,0,8,0,0.67,3.5,NA,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,1,2,2,2,1,0.5,8,0,0,0,0,0,0,0,0.5,4,0,0,0.5
"JAKYRI JONES","GA SOUTHRN",43,57.27,"C",66.7,64,69.5,NA,5,2,1,42.4,0,2,0,0,2,4,0,0.16,6,NA,9.7,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.167,1,0,0,2,1,1,0,1,0.333,4,0,0,0,1,0,0.333,0,0,1.3,0,0,0.333
"ZYEIR GAMBLE","E CAROLINA",45,56.55,"C",67.7,73.4,58.7,NA,6,1,2,79.2,1,1,0,0,0,1,0,0.08,9.33,NA,-4,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0.333,0
"JAYLEN THOMAS","WASH STATE",38,56.43,"C",67.9,62.3,66.7,74.6,3,1,1,68.2,1,1,1,0,1,17,0,2.83,0,NA,8.9,0,1,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,1,2,2,1,3,0.429,51,1,1,0,1,0.056,0.143,0.143,0,7.3,0.143,0,0.333
"XANDER CHISOLM","OREGON ST",27,56.39,"C",57,65.8,43.6,NA,3,2,0,0,0,2,1,0,0,0,0,0,6,NA,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0
"DILLON TATUM","MIAMI OH",69,56.3,"C",62.5,67.5,44.6,60,4,3,1,112.5,0,2,1,0,0,5.5,0,0.23,3,NA,6.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,5,2,2,2,0.667,11,1,1,0,0,0,0,0.333,0,3.7,0.333,0,0
"KALEB HUTCHINSON","TOLEDO",65,56.23,"C",63.8,51.9,78.4,NA,8,1,2,70.1,0,1,0,0,1,2.5,1,0.16,5.86,NA,3.3,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.111,2,1,0,1,4,3,0,2,0.667,5,0,0,0,0,0,0,0,0,1.7,0,0.111,0
"CHAPMAN LEWIS","UTAH ST",74,56.22,"C",46.7,48.7,45.5,NA,11,4,4,115.6,1,2,0,0,0,11.8,1,1.18,2,NA,9.3,2,1,1,3,NA,0,0,0,0,0,0,0,0,0,0,0,0.267,3,1,0,4,8,4,0,4,1,47,2,0,0,0,0.025,0,0.5,0,11.8,0,0.375,0.143
"ESTEBAN GUILLORY","UTEP",43,55.92,"C",68.6,66.3,68.4,NA,2,2,0,0,0,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHRISTIAN FORD","MO STATE",47,55.89,"C",66.7,71.3,68.8,NA,5,1,2,156.3,1,0,2,0,0,18.7,0,2.67,4,NA,10,1,0,1,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,3,0.75,56,1,2,0,0,0.048,0,0.25,0,14,0.5,0,0
"J.J. O'NEAL","MO STATE",75,55.02,"C",61.1,64.2,55,NA,10,1,1,87.5,1,0,0,0,1,7.3,0,0.76,12.5,NA,5,1,0,0,2,NA,0,0,0,0,0,0,1,0,0,0,0,0.167,0,0,0,1,5,2,1,3,0.75,22,1,0,0,0,0,0,0.25,0,5.5,0,0.333,0
"KAM FRANKLIN","LA TECH",32,54.94,"C",62.1,64.5,57.1,NA,3,2,1,0,0,2,0,0,0,0,0,0,5,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELIJAH MC-CANTOS","COLO STATE",26,54.88,"C",57.9,67.6,48.3,59,6,1,0,39.6,0,1,0,0,1,0,0,0,22.33,NA,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
"JAHEIM PATTERSON","OREGON ST",40,54.79,"C",60.3,58.7,63.1,NA,4,1,1,39.6,1,1,0,0,1,0,0,0,10,NA,38,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
