"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"DJ WILLIAMS","BOSTON COL",62,45.18,"C",55.6,0,74.5,0,0,100,0,0,1,0,0
"RYAN CARRETTA","PITTSBURGH",74,45.07,"C",55.3,0.014,79.9,0.146,0,0,0,0,1,0,0
"JAMESON RIGGS","GA TECH",69,44.7,"C",63,0.029,71.9,0.111,0,0,0.024,1,0,0,0
"HARRIS SEWELL","CLEMSON",79,44.06,"C",53.1,0,84.4,0.091,0,0,0,0,0,0,0
"COLETON PRICE","KENTUCKY",64,43.51,"C",63.5,0.031,74.4,0.037,0,0,0,0,1,0,0
"WILL WAY","WAKE",70,43.04,"C",61.9,0.029,78.7,0.079,0,0,0.031,1,0,0,0
"RACIN DELGATTY","ALABAMA",68,42.22,"C",58.3,0.029,72.2,0.133,0,0,0.026,1,0,0,0
"BASTIAN SWINNEY","CAL",64,41.41,"C",60.4,0.031,75.1,0.039,0,0,0,0,1,0,0
"ALEX HARRISON","UTAH",54,40.64,"C",60,0.018,66.4,0.04,0,0,0,0,0,0,0
"KASEN CARPENTER","KANSAS",70,40.55,"C",66,0.029,65.3,0,0.024,96.4,0.048,1,2,0,1
"ZACH HENNING","ARIZONA",67,40.26,"C",59.9,0.015,77.5,0.125,0.023,0,0.047,1,0,1,0
"BRUCE MITCHELL","BYU",60,39.49,"D",60.5,0.05,55.5,0.125,0.036,0,0.071,1,0,0,1
"CARTER MILLER","S CAROLINA",43,38.76,"D",56.2,0.047,38.5,0.167,0.04,0,0.04,0,0,1,0
"LYNDON COOPER","VANDERBILT",69,38.75,"D",66.5,0.043,68.7,0.059,0,0,0.029,1,1,0,0
"RILEY ROBELL","UCLA",57,37.94,"D",63.6,0.07,50.9,0.1,0,0,0.037,1,0,0,0
"HARRISON MOORE","FLORIDA",45,37.86,"D",58.1,0.022,68.8,0.143,0,0,0.042,1,0,0,0
"KOLT DIETERICH","WASHINGTON",75,37.14,"D",55.7,0.013,72.6,0.16,0.02,0,0.04,1,0,1,0
"BRADEN SMITH","IOWA STATE",53,37.08,"D",61.2,0.057,64.2,0.091,0,0,0.05,1,0,0,0
"JAKE MAIKKULA","OKLAHOMA",65,33.84,"D",59.3,0.015,72.9,0.043,0,0,0,0,2,0,0
"CARSON HINZMAN","OHIO STATE",65,31.12,"D",56.5,0,76.7,0.077,0,0,0.026,1,1,0,0
"TYLER MERCER","OKLA STATE",83,29.9,"D",53.9,0.012,71.2,0.184,0,0,0.044,2,1,0,0
"MATT CRAYCRAFT","DUKE",60,28.78,"D",55.1,0.033,61.1,0.139,0,0,0.042,1,1,0,0
"CADEN KITLER","ARKANSAS",75,24.96,"D",59,0.013,55.7,0.045,0,0,0.019,1,1,0,0
"CONNOR ROBERTSON","TEXAS",80,20.44,"D",54.3,0.025,69.9,0.118,0.022,0,0.087,3,0,1,0
"NOAH BEST","OKLAHOMA",65,20.15,"D",50.1,0.015,62.2,0.174,0,0,0.024,1,3,0,0
"JOE CRUZ","SYRACUSE",91,17.28,"F",55.8,0,57.2,0.061,0,0,0.035,2,1,0,0
"AUSTIN KAWECKI","WISCONSIN",47,15.69,"F",60.3,0.021,54.9,0.087,0,0,0.083,2,1,0,0
"BROCK RIKER","PENN STATE",59,14.4,"F",58.5,0,61,0.037,0,0,0.063,2,1,0,0
"CONNOR MEADOWS","UCF",57,0,"F",55.8,0,28.7,0.273,0,0,0.109,5,1,0,0
