"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"ASHER HALE","BAYLOR",79,52.42,"C",62.2,0.051,62.9,0.114,0.023,0,0.023,0,0,1,0
"AMIR HERRING","KANSAS",36,52.27,"C",58.1,0,78.1,0,0,100,0.045,1,0,0,0
"SONNY MAKASINI","BYU",60,52.22,"C",57.1,0.033,68.7,0.188,0,0,0,0,1,0,0
"BRANDON HANSEN","ILLINOIS",73,51.86,"C",53.2,0.041,74.4,0.161,0.024,0,0.024,0,0,1,0
"BLAKE IVY","TEXAS A&M",41,51.77,"C",56.2,0.049,69.2,0.235,0,0,0.042,1,0,0,0
"ALEX WOODS","SMU",29,51.45,"C",55.7,0,83.7,0.111,0,0,0,0,0,0,0
"DJ CHESTER","MISS STATE",75,51.41,"C",64.8,0.04,83.2,0.049,0,0,0.029,1,0,0,0
"AUSTIN SIEREVELD","OHIO STATE",65,51.15,"C",69.9,0.077,35.8,0.231,0,0,0.026,1,1,0,0
"CONNER MOORE","MICH STATE",62,51.08,"C",61,0.016,85.6,0,0,0,0,0,0,0,0
"GAVIN BLANCHARD","CLEMSON",25,50.75,"C",61.3,0.04,44.6,0.071,0.091,0,0.091,0,0,0,1
"ELYJAH THURMON","CLEMSON",54,50.67,"C",58.5,0,86,0.053,0,0,0,0,0,0,0
"ADDISON NICHOLS","SMU",29,50.01,"C",56.6,0.035,83.7,0,0,0,0,0,0,0,0
"KYLE SFARCIOC","BYU",60,48.92,"C",62.6,0.1,51.5,0.156,0,0,0.036,1,1,0,0
"NOLAN HAY","S CAROLINA",65,48.77,"C",60.4,0.046,65.1,0.094,0.03,0,0.03,0,1,0,1
"OLUWAFUNTO AKINSHILO","SYRACUSE",91,48.37,"C",58.2,0.022,80.7,0.061,0.017,0,0.017,0,0,1,0
"JOHN MILLS","WASHINGTON",75,47.52,"C",55.8,0.013,83.4,0.12,0,0,0.02,1,0,0,0
"HARRISON CLUFF","BAYLOR",78,47.24,"C",58.4,0.026,65.4,0.118,0,0,0,0,1,0,0
"SOLATOA MOEA'I","UTAH",39,47.09,"C",65.5,0.051,77,0,0,0,0.042,1,0,0,0
"ALEXANDER DOOST","ARIZONA",67,46.11,"C",57.1,0.015,64.9,0.125,0.023,0,0.023,0,0,1,0
"CHASE DUARTE","KANSAS ST",31,45.98,"C",77.6,0.129,27.4,0,0,0,0.067,1,0,0,0
"KELVIN OBOT","UTAH",36,45.3,"C",57.4,0,80.5,0,0,0,0,0,0,0,0
"CARTER SWEAZIE","UCLA",50,44.82,"C",48.9,0.02,77,0.13,0,0,0,0,1,0,0
"ALIOU BAH","LSU",77,44.77,"C",58.5,0.026,65.7,0.138,0,0,0,0,2,0,0
"RONAN O'CONNELL","CLEMSON",71,44.74,"C",54.8,0.014,75.3,0.071,0.023,0,0.023,0,0,1,0
"CADE MCCONNELL","VANDERBILT",69,44.38,"C",57.9,0.029,71.7,0.118,0.057,0,0.057,0,1,2,0
"RYAN HOWERTON","MARYLAND",76,44.18,"C",52.9,0.013,75.6,0.138,0,0,0.021,1,0,0,0
"KWABENA ASAMOAH","RUTGERS",70,41.94,"C",52.4,0.043,38.6,0.184,0,98.4,0.031,1,3,0,0
"BYRON WASHINGTON","SYRACUSE",91,41.62,"C",49.3,0,80.7,0.091,0,0,0,0,1,0,0
"KENDALL STANLEY","PITTSBURGH",74,41.29,"C",58.4,0.027,76.7,0.073,0,0,0.03,1,1,0,0
"LAYTH GHANNAM","VA TECH",58,39.37,"D",63.3,0.052,54.5,0.12,0,0,0.03,1,2,0,0
"KEVIN PEAY JR.","GA TECH",76,38.86,"D",58,0.026,50.1,0.143,0.042,0,0.042,0,1,1,1
"NATHAN EFOBI","MICHIGAN",63,38.26,"D",45.7,0.016,72.4,0.171,0,0,0.045,1,0,0,0
"KEVO WESLEY","VANDERBILT",50,38.23,"D",51.7,0,64.7,0.191,0.035,0,0.069,1,0,1,0
"ZYKIE HELTON","GEORGIA",41,37.74,"D",58.5,0.024,61.8,0.056,0,0,0.043,1,0,0,0
"WENDELL MOE JR.","TENNESSEE",68,36.98,"D",60.7,0.059,40.6,0.119,0,0,0.039,1,1,0,0
"MAL WALDREP JR.","ALABAMA",68,36.87,"D",61,0.029,38.5,0.133,0.026,0,0.026,0,2,0,1
"BRANDON BAKER","TEXAS",80,36.43,"D",58.2,0.025,70.9,0.118,0,0,0.043,2,1,0,0
"SIOAPE VATIKANI","CAL",64,36.31,"D",47.2,0,65.1,0.154,0.026,0,0.026,0,1,1,0
"DAVE IULI","OREGON",61,35.33,"D",51.4,0,64.5,0.167,0,0,0.028,1,1,0,0
"COOPER COUSINS","PENN STATE",59,35.19,"D",59.7,0.034,50.6,0.148,0,0,0.031,1,2,0,0
"GEIREAN HATCHETT","WASHINGTON",75,34.61,"D",54.1,0.013,62.8,0.12,0.02,0,0.04,1,1,0,1
"JOHNNY DICKSON III","OKLA STATE",87,34.12,"D",54.8,0.011,69.7,0.175,0,0,0.021,1,3,0,0
"BRODY MEADOWS","VA TECH",35,34.07,"D",59.2,0.029,50.7,0.083,0,0,0,0,3,0,0
"LUKE MONTGOMERY","OHIO STATE",65,33.53,"D",53.5,0.031,51.1,0.115,0,0,0.026,1,1,0,0
"MONTAVIOUS CUNNINGHAM","VA TECH",70,33.36,"D",52.4,0.043,48.8,0.333,0.023,0,0.047,1,4,0,1
"RHINO TAPA'ATOUTAI","ARIZONA",67,32.84,"D",45.6,0,44.4,0.292,0.047,0,0.047,0,2,0,2
"BRADY NORTON","MICHIGAN",63,32.4,"D",57.2,0.063,40.7,0.146,0,0,0.045,1,2,0,0
"MARQUES EASLEY","PURDUE",71,32.4,"D",45.8,0,61.4,0.185,0,0,0.023,1,1,0,0
"ROB LAPUAHO","ARIZONA ST",50,31.14,"D",48.6,0,46.5,0.3,0,0,0.033,1,2,0,0
"TOA KATOA","SMU",26,31.11,"D",57.7,0,44.4,0,0.059,0,0.059,0,1,1,0
"AMORY HILLS","MARYLAND",48,29.61,"D",55.8,0.042,32.8,0.191,0,0,0.074,2,0,0,0
"OWEN SPELL","UCF",27,27.94,"D",57.1,0,25.4,0.167,0.048,0,0.095,1,0,1,0
"COLLIN SADLER","CLEMSON",79,27.26,"D",43.6,0,72.6,0.121,0,0,0.022,1,2,0,0
"COLE SKINNER","AUBURN",40,27.19,"D",48,0,63.8,0.154,0,0,0.074,2,0,0,0
"BRADY WAYBURN","UCF",57,26.36,"D",52.2,0,53.6,0.182,0.022,0,0.065,2,1,0,1
"JOSEPH IONATA","GA TECH",76,25.01,"D",51.9,0,43.8,0.107,0.021,0,0.042,1,1,0,1
"AUSTIN BARRETT","IOWA STATE",53,24.41,"D",55.8,0.019,34.5,0.091,0,0,0.05,1,1,0,0
"KOBE BRANHAM","ARKANSAS",75,23.4,"D",64.5,0.04,29.8,0.091,0.038,0,0.075,2,1,1,1
"MICAH BANUELOS","PURDUE",86,21.7,"D",50.6,0.012,46.8,0.229,0.02,0,0.078,3,1,0,1
"BO BORDELON","LSU",77,21.45,"D",54.2,0.013,63.5,0.069,0,0,0.063,3,1,0,0
"EDDY PIERRE-LOUIS","OKLAHOMA",65,20.16,"D",35.7,0,62.2,0.304,0,0,0.071,3,1,0,0
"JORDAN KNOX","KENTUCKY",28,18.3,"F",50.9,0,34,0.2,0,0,0.077,1,2,0,0
"AMARE GRAYSON","W VIRGINIA",32,12.89,"F",50.6,0,31,0.083,0,0,0.125,1,0,0,0
"RYAN FODJE","OKLAHOMA",65,8.75,"F",58,0.031,20.9,0.217,0.024,0,0.119,4,2,0,1
"DEVIN VASS","W VIRGINIA",25,0,"F",58.6,0,5.6,0.05,0,0,0.2,1,0,0,0
