"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Pass.Block.Efficiency","Knockdown.Percentage","Defeated.Runblock.Percentage","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Hits.Allowed","Sacks.Allowed"
"WILSON ZIERER","AUBURN",59,63.13,"B",67.7,82.3,0.068,0,0,0.111,0.031,0,1,0,0
"DAVID SANDERS JR.","TENNESSEE",68,62.96,"B",64.3,85.9,0.044,0,0,0.095,0,0,0,0,0
"JORDAN SEATON","LSU",77,61.82,"B",61.2,89.1,0.039,0,0,0.103,0,0,0,0,0
"NATHAN KNAPIK","ILLINOIS",73,61.8,"B",64.2,65.4,0.069,0,0.024,0.226,0.024,1,0,1,0
"KRISTIAN PHILLIPS","BOSTON COL",62,61.68,"B",75.3,64,0.048,96.2,0.026,0,0.077,1,2,1,0
"BEN TAYLOR-WHITFIELD","TCU",61,61.68,"B",74.4,74.6,0.066,0,0,0.042,0.027,0,1,0,0
"KEVIN BROWN","W VIRGINIA",32,61.62,"B",66.8,80.6,0.063,0,0,0,0,0,0,0,0
"MAASAI KING","IOWA STATE",53,61.17,"B",62,83.8,0.038,0,0,0.121,0,0,0,0,0
"NICK DEL GRANDE","DUKE",60,61.15,"B",61.3,87.7,0.05,0,0,0.056,0,0,0,0,0
"EMEKA UGORJI","FLORIDA",34,60.96,"B",57.3,71.2,0.059,0,0,0.25,0,1,0,0,0
"JAYLEN GILCHRIST","MARYLAND",43,59.88,"C",64.7,80.8,0.047,0,0,0.043,0,0,0,0,0
"JORDAN HALL","N CAROLINA",42,58.84,"C",58.7,73.5,0.048,0,0.04,0.176,0.04,0,0,1,0
"CEDRIC JEFFERSON","UTAH",54,58.66,"C",64.5,82.4,0.037,0,0,0.04,0,0,0,0,0
"EKENE OGBOKO","GEORGIA",46,58.59,"C",63.2,62.9,0.065,0,0,0.154,0,1,0,0,0
"JACKSON LLOYD","ALABAMA",68,58.47,"C",70.1,64.4,0.059,0,0,0.067,0,1,0,0,0
"ZEREOUE WILLIAMS","UTAH",54,58.42,"C",64.8,86.3,0.037,0,0,0,0,0,0,0,0
"DARIUS GRAY","S CAROLINA",65,58.25,"C",63.6,86.7,0.031,0,0,0.031,0,0,0,0,0
"WILKIN FORMBY","TEXAS A&M",58,57.95,"C",51.1,86.1,0.017,0,0,0.25,0,0,0,0,0
"MILES MCVAY","MISS STATE",55,57.92,"C",61.7,82.5,0.036,0,0,0.063,0,0,0,0,0
"CONNOR HOWES","OLE MISS",45,57.73,"C",61.3,81.2,0.022,0,0,0.125,0,0,0,0,0
"BO HUGHLEY","COLORADO",62,57.3,"C",64.8,85.1,0.032,0,0,0,0,0,0,0,0
"RYAN BAER","PITTSBURGH",74,57.22,"C",65.6,85.8,0.027,0,0,0,0,0,0,0,0
"KEVIN HEYWOOD","WISCONSIN",47,57.02,"C",57.9,84.8,0.021,0,0,0.13,0,0,0,0,0
"MOSHOOD GIWA","RUTGERS",46,56.94,"C",59.2,58.6,0.022,97.8,0,0.13,0.043,1,1,0,0
"TREVOR LAUCK","IOWA",60,56.48,"C",56.1,78.6,0.033,0,0.031,0.179,0.031,0,0,1,0
"ORION IRVING","VANDERBILT",59,56.43,"C",64.7,83.7,0.034,0,0,0.033,0,1,0,0,0
"ROBERT WRIGHT JR.","MICH STATE",41,56.17,"C",62,83.8,0.024,0,0,0.05,0,0,0,0,0
"CARSTEN CASADY","W VIRGINIA",32,55.81,"C",60.3,78.1,0.031,0,0,0.083,0,0,0,0,0
"HALL SCHMIDT","UCLA",61,55.76,"C",70.1,71.3,0.066,0,0,0,0.035,0,1,0,0
"PJ WILLIAMS","SMU",29,55.64,"C",53.9,85.5,0,0,0,0.222,0,0,0,0,0
"JACOB PONTON","TEXAS TECH",79,55.34,"C",73,65.1,0.089,0,0.029,0.045,0.088,0,2,0,1
"NETINHO OLIVIERI","PITTSBURGH",74,55.09,"C",61.9,79.5,0.04,0,0,0.049,0,1,0,0,0
"JACQAWN MCROY","N CAROLINA",42,55.01,"C",63.7,83.6,0.024,0,0,0,0,0,0,0,0
"DREW AZZOPARDI","WASHINGTON",75,54.81,"C",56.3,85.7,0.013,0,0,0.12,0,0,0,0,0
"JESSE PERRY","TENNESSEE",63,54.77,"C",64.2,65,0.079,0,0,0.125,0.043,1,1,0,0
"RAHTREL PERRY","MARYLAND",65,54.62,"C",61.5,76.9,0.031,0,0.025,0.08,0.025,0,0,0,1
"PHILLIP DANIELS","OHIO STATE",58,54.55,"C",59,83.1,0.035,0,0,0.13,0.029,0,1,0,0
"NICK MORROW","KANSAS",44,53.42,"C",63,48.4,0.045,96.2,0.039,0.056,0.077,2,1,1,0
"MELVIN SIANI","TEXAS",80,52.63,"C",57.7,85.2,0.013,0,0.022,0.088,0.022,0,0,0,1
"DAYNE ARNETT","S CAROLINA",43,51.8,"C",69,65.6,0.047,0,0,0.05,0.043,0,1,0,0
"ANDREW SPRAGUE","MICHIGAN",63,51.61,"C",64,46.9,0.063,0,0.045,0.122,0.045,1,0,1,0
"JOE COTTON","CINCINNATI",56,51.55,"C",66.9,62.3,0.054,0,0,0.043,0.03,0,1,0,0
"JACK DOTZLER","IOWA",60,51.43,"C",77.6,61.5,0.1,0,0,0.071,0.094,2,3,0,0
"ISAIAH WRIGHT","MARYLAND",50,51.29,"C",57.7,85.1,0,0,0,0.067,0,0,0,0,0
"NATHAN ROY","MINNESOTA",69,51.13,"C",55.3,89.7,0.015,0,0,0.143,0.018,1,1,0,0
"TEREZ DAVIS","OLE MISS",53,51.12,"C",55.1,84.9,0,0,0,0.1,0,0,0,0,0
"ADEDAMOLA AJANI","INDIANA",48,50.96,"C",65.3,66.9,0.063,0,0,0.097,0.059,1,1,0,0
"ALVIN EBOSELE","HOUSTON",29,50.11,"C",60.7,74.6,0.035,0,0,0,0,1,0,0,0
"JUDE MCCOSKEY","PURDUE",86,49.57,"C",57.4,80.5,0.012,0,0,0.114,0.02,0,1,0,0
"GUS HAWKINS","KANSAS ST",69,49.37,"C",58.1,73.1,0.029,0,0,0.1,0,2,0,0,0
"DRAMODD ODOMS","SMU",27,49.33,"C",44.1,82.9,0,0,0,0.222,0,0,0,0,0
"KADEN SIERACKI","BAYLOR",47,49.01,"C",63.1,73.5,0.021,0,0,0,0,1,0,0,0
"IAN MOORE","OHIO STATE",65,48.74,"C",65.7,62.5,0.046,0,0.026,0.039,0.051,0,1,0,1
"AIDAN LYNCH","VA TECH",76,48.69,"C",61.1,77.1,0.04,0,0.022,0.103,0.043,2,1,0,1
"KAWIKA ROGERS","OREGON",49,48.6,"C",52.8,73,0,0,0,0.211,0,1,0,0,0
"LOGAN MOORE","BAYLOR",61,48.35,"C",61.3,79.8,0.016,0,0,0.04,0.028,0,1,0,0
"MICHAEL KLISIEWICZ","CAL",41,48.21,"C",53,85.9,0,0,0,0.05,0,0,0,0,0
"SHED SARRATT JR.","S CAROLINA",25,47.91,"C",58.9,81,0,0,0,0,0,0,0,0,0
"RYAN HOWARD","KANSAS ST",69,47.31,"C",65.3,65.4,0.058,0,0,0.067,0.051,1,2,0,0
"VEGUER JEAN-JUMEAU","BOSTON COL",62,47.3,"C",52.4,78.5,0,94.9,0.026,0.087,0.103,0,3,1,0
"RAKEEM JOHNSON","MICH STATE",50,47.15,"C",54.1,82.8,0,0,0,0.033,0,0,0,0,0
"JOSH AISOSA","W VIRGINIA",25,47.11,"C",58,73.6,0,0,0,0.05,0,0,0,0,0
"OLAUS ALINEN","KENTUCKY",65,46.96,"C",57.4,77.8,0.015,0,0.027,0.107,0.054,0,1,0,1
"PJ WILKINS","WISCONSIN",47,46.74,"C",63.2,68.7,0.043,0,0,0.043,0.042,1,1,0,0
"LEON BELL","COLORADO",63,46.65,"C",59.6,55.7,0.048,0,0.03,0.133,0.061,0,1,1,0
"PAKI FINAU","BYU",60,46.5,"C",59.2,80.7,0.017,0,0,0.031,0.036,0,1,0,0
"FREDERICK WILLIAMS III","CAL",64,46.45,"C",55.9,84.3,0.016,0,0,0.077,0.026,1,1,0,0
"BRADEN MILLER","DUKE",49,46.43,"C",42.8,81.2,0,0,0,0.182,0,0,0,0,0
"EVERETT SMALL","RUTGERS",31,45.51,"C",61.1,37.2,0.032,95.8,0,0.053,0.083,1,1,0,0
"ANTHONY DONKOH","PENN STATE",59,45.37,"C",66.8,64.6,0.034,0,0,0,0.031,1,1,0,0
"STANTON RAMIL","AUBURN",73,44.72,"C",75.2,51.1,0.069,0,0.024,0.031,0.098,0,3,1,0
"DANIEL SHIPP","MINNESOTA",47,44,"C",61.6,59.7,0.021,0,0.029,0.083,0.029,2,0,0,1
"BRAYDEN JACOBS","CLEMSON",79,43.87,"C",59.4,72.3,0.013,0,0,0.061,0.022,1,1,0,0
"LUKE BAKLENKO","ARIZONA ST",42,43.68,"C",66.9,49.3,0.071,0,0.042,0.222,0.167,0,3,1,0
"CHRISTIAN MARTIN","ILLINOIS",73,43.26,"C",58.6,57.2,0.041,0,0,0.129,0.048,0,2,0,0
"LANCE HEARD","KENTUCKY",65,42.24,"C",53.6,78.5,0.031,0,0,0.107,0.054,1,2,0,0
"BLAKE FRAZIER","MICHIGAN",63,41.82,"C",55.8,63.3,0.016,0,0,0.122,0.045,0,1,0,0
"ANDREW CHAMBLEE","SMU",29,41.72,"C",49.8,70.4,0,0,0.05,0.222,0.1,0,1,0,1
"JALEN KLEMM","ARIZONA ST",59,41.27,"C",56.2,59.8,0.017,0,0.028,0.174,0.056,1,1,1,0
"TOLU OLAJIDE","WAKE",70,40.99,"C",53.2,63,0.057,0,0.031,0.105,0.094,0,2,0,1
"COLE RHETT","BAYLOR",40,40.94,"C",49.5,76.6,0,0,0,0.174,0.059,0,1,0,0
"CALVIN CLEMENTS","KANSAS",70,39.49,"D",68.5,31.2,0.043,94,0.024,0.071,0.119,2,4,0,1
"JO SIMMONS","AUBURN",73,39.43,"D",57.1,71.9,0.027,0,0,0.094,0.049,2,2,0,0
"KAVION BROUSSARD","ARKANSAS",81,39.3,"D",53.8,79.8,0,0,0,0.043,0.035,0,2,0,0
"PRESTON CUSHMAN","UCF",57,39.13,"D",62.6,50.7,0.035,0,0,0.182,0.043,3,2,0,0
"HENRY TABANSI","UCF",57,38.99,"D",39.2,71.8,0,0,0,0.364,0.043,1,2,0,0
"TRISTAN BOUNDS","ARIZONA",67,38.45,"D",41.7,61.7,0.015,0,0.023,0.292,0.047,1,1,1,0
"ANDREW GENTRY","BYU",60,37.76,"D",50.3,53.7,0.033,0,0,0.188,0.036,2,1,0,0
"CLINTON AZUBUIKE","VANDERBILT",51,37.73,"D",64.3,46.8,0.039,0,0,0.077,0.08,0,2,0,0
"DEANDRE HARPER","KANSAS",26,37.73,"D",59,22.1,0.039,87.5,0.063,0.1,0.188,0,2,0,1
"TYREE ADAMS","TEXAS A&M",58,37.52,"D",59.6,64.9,0.017,0,0.029,0,0.059,1,1,1,0
"JAYVIN JAMES","ALABAMA",68,37.36,"D",61,62.2,0.029,0,0,0.067,0.053,2,2,0,0
"MALACHI CARNEY","GA TECH",60,36.77,"D",57,68.7,0.017,0,0,0.1,0.075,0,3,0,0
"MATTHEW LADO","ARIZONA",67,35.95,"D",44.6,61.6,0.015,0,0.023,0.292,0.07,1,2,1,0
"KODI GREENE","WASHINGTON",75,35.89,"D",53.4,62.2,0.027,0,0,0.2,0.08,0,4,0,0
"JAKE TAYLOR","IOWA STATE",53,35.88,"D",54.8,73.6,0,0,0,0.03,0.05,1,1,0,0
"TREVION MACK","SYRACUSE",79,34.65,"D",58.2,64.3,0,0,0.038,0,0.038,2,0,1,1
"NUKU MAFI","PURDUE",86,33.81,"D",44,68.3,0,0,0.02,0.143,0.039,1,1,1,0
"WESTON DAVIS","LSU",73,32.78,"D",40.3,61.8,0.014,0,0.022,0.321,0.067,2,2,1,0
"BLAKE STEEN","MISS STATE",39,32.47,"D",54.5,33.7,0.026,0,0,0.136,0.059,0,1,0,0
"ASHTON LEPO","OKLA STATE",87,30.19,"D",55.6,50.4,0.011,0,0,0.15,0.021,5,1,0,0
"GUNNAR GOTTULA","NEBRASKA",56,29.52,"D",57.5,41.9,0.018,0,0.074,0.035,0.111,1,1,1,1
"BRYANT WILLIAMS","ARKANSAS",71,27.78,"D",57.1,56.6,0.028,0,0,0.045,0.082,1,4,0,0
"KAM PRINGLE","SYRACUSE",89,27.62,"D",55.8,59.1,0.011,0,0.053,0.094,0.088,2,2,3,0
"JORDAN DAVIS","UCLA",39,26.66,"D",56.9,56.2,0,0,0,0.048,0.111,0,2,0,0
"AIDAN MARTIN","WAKE",70,25.21,"D",49,40,0,0,0.063,0.105,0.063,3,0,1,1
"DESMOND MAGIYA","OKLA STATE",56,23.18,"D",61.1,21.8,0.036,0,0.036,0.107,0.143,0,3,1,0
"ZIYARE ADDISON","OREGON",61,18.13,"F",58.6,29,0.016,0,0.081,0.125,0.108,6,1,1,2
"CHAMP WESTBROOKS","ARIZONA ST",29,17.82,"F",62.8,25.8,0.035,0,0.1,0,0.2,3,2,1,1
"MARKELL SAMUEL","GA TECH",60,15.87,"F",62.9,0,0.033,0,0.056,0.042,0.083,4,1,1,1
"JUSTIN TERRY","VA TECH",78,14.81,"F",38.6,44.8,0,0,0.021,0.233,0.042,7,1,1,0
"RONNELL MCLAIN","HOUSTON",34,12.65,"F",46.4,39.5,0,0,0,0.133,0.158,0,3,0,0
"E'MARION HARRIS","OKLAHOMA",65,11.76,"F",57.2,18.1,0.031,0,0.071,0.174,0.167,3,4,0,3
"RICO JACKSON","NC STATE",57,10.53,"F",60.3,21.5,0.018,88.3,0,0.037,0.233,1,7,0,0
"FOX CRADER","OREGON",61,7.4,"F",52.9,19.9,0.016,0,0.081,0.25,0.216,2,5,1,2
"SHAUN TORGESON","OKLA STATE",87,3.7,"F",52.5,18.5,0.011,0,0.021,0.125,0.106,5,4,1,0
"MALACHI WOOD","KENTUCKY",65,0,"F",57.6,6.5,0,0,0.027,0,0.162,0,5,0,1
