"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"SEDRICK ALEXANDER","VANDERBILT",28,"HB",2026,"SEC",61.8,3,9,39,4.3,1,2,0,0,0,5,0.6,34,3.8,0,0.222,0,1,0.111,"VANDERBILT",28,"SEC",60.6,1,24,0,3,2,15,7.5,0,1,0,0,0,2,0,0,13,6.5,5,0,0.63,0.3,0,0,"100%","0.00%","0.00%",78.5,0,0.125,0,"66.70%","SEC","P4",36,29.01,"D"
"JON DENMAN","TCU",2,"HB",2026,"Big 12",70.2,4,6,41,6.8,1,3,0,0,0,19,3.2,22,3.7,0,0.5,0,1,0,"TCU",2,"Big 12",55.6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big 12","P4",NA,28.94,"D"
"XAI'SHAUN EDWARDS","MISSOURI",24,"HB",2026,"SEC",69.2,6,10,45,4.5,1,3,0,0,1,16,1.6,29,2.9,0,0.3,0.1,1,0,"MISSOURI",24,"SEC",55.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",17,28.59,"D"
"JORDAN MARSHALL","MICHIGAN",23,"HB",2026,"Big Ten",58.3,5,11,32,2.9,1,2,0,0,5,6,0.6,26,2.4,0,0.182,0.45,0,0.182,"MICHIGAN",23,"Big Ten",54.2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big Ten","P4",36,28.4,"D"
"JASON PATTERSON","KENTUCKY",26,"HB",2026,"SEC",60.7,6,11,51,4.6,0,2,1,1,4,9,0.8,42,3.8,0,0.182,0.36,1,0.091,"KENTUCKY",26,"SEC",52.3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",18,28.25,"D"
"EVAN DICKENS","BOSTON COL",23,"HB",2026,"ACC",51.4,5,13,46,3.5,1,1,1,1,0,19,1.5,27,2.1,0,0.077,0,1,0,"BOSTON COL",23,"ACC",61.9,4,30,0,6,5,24,4.8,0,1,0,0,0,5,1,0,36,7.2,9,0,0.8,-1.5,0,1,"100%","0.00%","16.70%",43.8,0,0.2,0,"83.30%","ACC","P4",35,27.87,"D"
"DUKE CLARK","FLORIDA",20,"HB",2026,"SEC",61.8,3,6,29,4.8,0,1,0,0,4,7,1.2,22,3.7,0,0.167,0.67,2,0.333,"FLORIDA",20,"SEC",55.6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",20,26.33,"D"
"MALACHI HOSLEY","GA TECH",0,"HB",2026,"ACC",66.4,3,6,40,6.7,0,2,0,0,2,10,1.7,30,5,0,0.333,0.33,2,0,"GA TECH",0,"ACC",59.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","ACC","P4",15,25.84,"D"
"DUKE WATSON","UCF",26,"HB",2026,"Big 12",59,3,7,10,1.4,0,1,0,0,4,-3,-0.4,13,1.9,0,0.143,0.57,0,0.714,"UCF",26,"Big 12",47.1,3,20,1,4,3,7,2.3,0,0,1,0,0,4,0,0,5,1.7,2,0,0.35,-1,0,1,"75.00%","25.00%","0.00%",77.1,0,0.2,0,"75.00%","Big 12","P4",20,24.73,"D"
"JAMES PEOPLES","PENN STATE",1,"HB",2026,"Big Ten",68.1,4,7,41,5.9,0,2,0,0,2,15,2.1,26,3.7,0,0.286,0.29,1,0,"PENN STATE",1,"Big Ten",56.2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big Ten","P4",14,24.66,"D"
