"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"JAY HARRIS","KANSAS ST",9,9,2,40.01,"C-"
"SAMUEL SINGLETON JR.","FLORIDA ST",21,21,1,39.77,"D+"
"BO MACCORMACK III","BOSTON COL",43,43,1,39.38,"D+"
"QUINTON MARTIN JR.","PENN STATE",19,19,1,39.12,"D+"
"MAKHILYN YOUNG","VANDERBILT",62,31,2,39.02,"D+"
"STEVE CHAVEZ-SOTO","UTAH",17,17,1,38.98,"D+"
"QUINTEN JOYNER","TEXAS TECH",15,15,1,36.97,"D+"
"AMARI LATIMER","W VIRGINIA",22,22,1,36.69,"D+"
"AIDAN LAUGHERY","ILLINOIS",42,21,2,36.27,"D+"
"JAMARION MORROW","TEXAS A&M",38,19,2,35,"D+"
"JAVIN GORDON","TENNESSEE",44,22,2,34.82,"D+"
"MARTAVIOUS BOSWELL","W VIRGINIA",0,NA,1,33.7,"D+"
"BRYSON WASHINGTON","AUBURN",10,10,1,32.85,"D"
"JAMES PEOPLES","PENN STATE",14,14,2,29.59,"D"
"CAMERON DICKEY","TEXAS TECH",82,41,2,29.16,"D"
"AYO ADEYI","OKLA STATE",44,22,2,28.73,"D"
"CAM SETTLES","ARKANSAS",0,NA,1,28.3,"D"
"MARTELS CARTER JR.","KENTUCKY",21,21,1,27.75,"D"
"KOLIN WILSON","MISS STATE",18,18,1,27.7,"D"
"CJ CAMPBELL","DUKE",56,28,2,27.69,"D"
"JERRICK GIBSON","PURDUE",17,17,1,27.43,"D"
"COLE TABB","CINCINNATI",0,NA,1,27.13,"D"
"ANTHONY FAVROW","MISSOURI",18,18,1,27.1,"D"
"SEDRICK IRVIN","STANFORD",25,25,1,27.04,"D"
"BRYAN JACKSON II","WISCONSIN",0,NA,1,26.44,"D-"
"MALACHI HOSLEY","GA TECH",30,15,2,25.76,"D-"
"TERRELL WALDEN II","MIAMI FL",0,NA,1,25.72,"D-"
"ANTONIO HARRIS","PURDUE",0,NA,1,25.22,"D-"
"WESLEY YARBROUGH","ARIZONA",15,15,1,25.1,"D-"
"JALEN DUPREE","KANSAS",0,NA,1,25.07,"D-"
"MICAH FORD","STANFORD",41,41,1,24.72,"D-"
"BEN MCCREARY","OKLAHOMA",0,NA,1,24.43,"D-"
"SIONE MOA","BYU",0,NA,1,24.24,"D-"
"TREY COOLEY","WASHINGTON",8,8,1,23.89,"D-"
"JAQUAIL SMITH","COLORADO",12,12,2,22.95,"D-"
"MARVIS PARRISH","MICH STATE",16,16,1,22.87,"D-"
"JT LINDSEY","OLE MISS",21,21,1,22.67,"D-"
"MAKHI FRAZIER","OLE MISS",23,23,1,21.83,"D-"
"XAVIER ROBINSON","OKLAHOMA",20,20,1,21.72,"D-"
"TRAE'SHAWN BROWN","ALABAMA",26,26,1,21.06,"D-"
"CHRISTIAN CLARK","S CAROLINA",15,15,1,20.64,"D-"
"BO WALKER","GEORGIA",9,9,1,19.66,"F"
"STACY GAGE","LSU",22,22,1,18.63,"F"
"XAVIER WILLIAMS","IOWA",0,NA,1,18.61,"F"
"ZION JOHNSON","CINCINNATI",0,NA,1,18.46,"F"
"SUTTON SMITH","ARKANSAS",98,49,2,18.33,"F"
"GIRARD PRINGLE JR.","MIAMI FL",0,NA,1,17.06,"F"
"KEVIN RILEY","ALABAMA",0,NA,1,17.06,"F"
"JAZIUN PATTERSON","MICH STATE",25,25,1,16.13,"F"
"ZYLAN PERRY","CINCINNATI",16,16,1,15.58,"F"
"LEKHY THOMPKINS","LOUISVILLE",0,NA,1,15.27,"F"
"CAMERON PETTAWAY","IOWA STATE",20,20,1,14.96,"F"
"BRIAN BONNER JR.","WASHINGTON",0,NA,1,14.55,"F"
"TRE PAGE III","OKLA STATE",0,NA,1,14.12,"F"
"TRAVIS TERRELL JR.","PURDUE",26,26,1,13.96,"F"
"SEAN CUONO","INDIANA",1,1,1,13.4,"F"
"KAJ BAKER","UCF",0,NA,1,10.53,"F"
"DARIUS MORANT","W VIRGINIA",0,NA,1,0,"F"
"NATHAN MCNEIL","IOWA",24,24,1,0,"F"
