"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"JAVION WHITE","HOUSTON",96,48,2,72.13,"B"
"DON SAUNDERS","PURDUE",99,49.5,2,71.98,"B"
"JORDYN CRISS","BYU",33,33,1,71.94,"B"
"RJ COLLINS","KANSAS ST",18,18,1,71.86,"B"
"BRADLEE JONES","RUTGERS",110,55,2,71.83,"B"
"RYLAND GANDY","INDIANA",97,48.5,2,71.74,"B"
"KHMORI HOUSE","ARKANSAS",74,37,2,71.71,"B"
"GARRICK DIXON","KANSAS ST",18,18,1,71.7,"B"
"SCOOTER JACKSON","UCLA",140,70,2,71.65,"B"
"ANTIONE JACKSON","UCF",72,36,2,68.27,"B"
"TRYSTAN HAYNES","OKLAHOMA",19,19,1,68.24,"B"
"KEANY PARKS","HOUSTON",17,17,1,68.2,"B"
"JAY'VION COLE","ARIZONA",100,50,2,68.17,"B"
"NIJHAY BURT","MICH STATE",17,17,1,68.16,"B"
"BRAVION ROGERS","TEXAS A&M",39,19.5,2,68.13,"B"
"DEUCE BLADES II","WAKE",128,64,2,68.03,"B"
"ZION TRACY","PENN STATE",47,23.5,2,67.91,"B"
"JORDAN SMITH","GEORGIA",17,17,1,67.62,"B"
"DYLAN ROBINSON","WASHINGTON",116,58,2,67.54,"B"
"CHRIS PEAL","SYRACUSE",89,44.5,2,67.49,"B"
"NAIIM PARRISH","MINNESOTA",43,21.5,2,67.41,"B"
"KAHMEL JOHNSON","UCF",15,15,1,67.32,"B"
"AUSTIN ALEXANDER","KANSAS",76,38,2,67.31,"B"
"OMILLIO AGARD","VIRGINIA",35,35,1,67.27,"B"
"CAMDIN PORTIS","MIAMI FL",15,15,1,66.85,"B"
"NA'EEM OFFORD","OREGON",93,46.5,2,66.82,"B"
"JORDAN SCRUGGS","MARYLAND",59,29.5,2,66.81,"B"
"TYRAN CHAPPELL","MICH STATE",58,29,2,66.54,"B-"
"DARRELL CAREY","MARYLAND",29,29,1,66.5,"B-"
"BRANDON FINNEY JR.","OREGON",141,70.5,2,66.18,"B-"
"CAM CALHOUN","OHIO STATE",27,27,1,66.07,"B-"
"JOJO SCOTT","KANSAS ST",71,35.5,2,65.77,"B-"
"KALEB COST","N CAROLINA",34,34,1,65.63,"B-"
"KELVIN HILL","GA TECH",100,50,2,65.63,"B-"
"RYAN MACK","MIAMI FL",21,21,1,65.49,"B-"
"JA'KEEM JACKSON","LSU",42,21,2,65.46,"B-"
"SHAWN LEE JR.","PITTSBURGH",91,45.5,2,65.45,"B-"
"CREE THOMAS","COLORADO",122,61,2,65.43,"B-"
"JAYLEN BELL","INDIANA",90,45,2,65.34,"B-"
"KAYIN LEE","TENNESSEE",89,44.5,2,65.13,"B-"
"JAHMIR JOSEPH","PENN STATE",50,25,2,64.99,"B-"
"VICTOR EVANS III","NEBRASKA",54,27,2,64.89,"B-"
"ELIJAH REED","UTAH",74,37,2,64.28,"B-"
"BOO CARTER","COLORADO",121,60.5,2,64.24,"B-"
"MOJO WILLIAMS JR.","COLORADO",18,18,1,63.88,"B-"
"RED MORGAN","ALABAMA",64,32,2,63.76,"B-"
"JUICE CLARKE","ILLINOIS",129,64.5,2,63.24,"B-"
"JAHEIM SINGLETARY","IOWA STATE",26,26,1,62.98,"B-"
"JOHN CURRY","TEXAS TECH",75,75,1,62.96,"B-"
"AMARI JACKSON","MARYLAND",72,36,2,62.91,"B-"
"KEYSHAWN ROBINSON","W VIRGINIA",65,32.5,2,62.74,"B-"
"BLAKE RUFFIN","LOUISVILLE",30,30,1,62.55,"B-"
"DEMETRES SAMUEL JR.","SYRACUSE",100,50,2,62.39,"B-"
"JAQUEZ WHITE","VA TECH",48,24,2,61.91,"B-"
"JUDAH JENKINS","MARYLAND",37,18.5,2,61.79,"B-"
"BRAEDEN MARSHALL","UCF",74,37,2,61.73,"B-"
"BO MASCOE","TEXAS",91,45.5,2,61.27,"B-"
"DJ PICKETT","LSU",81,40.5,2,60.82,"B-"
"ELLIOT WASHINGTON II","CLEMSON",143,71.5,2,60.8,"B-"
"PJ WOODLAND","LSU",74,37,2,60.71,"B-"
"CHARLIE COMELLA","BOSTON COL",51,25.5,2,60.6,"B-"
"SYEED GIBBS","KANSAS",19,19,1,60.4,"B-"
"DYLAN FLOWERS","DUKE",116,58,2,60.32,"B-"
"BLAKE STEWART","GEORGIA",33,33,1,60.11,"B-"
"MARCELLO VITTI","IOWA",29,29,1,59.76,"C+"
"BRYCE WEST","WISCONSIN",102,51,2,59.66,"C+"
"ROCK CALDWELL","UTAH",40,20,2,59.53,"C+"
"JACOB FINLEY","CINCINNATI",114,57,2,59.51,"C+"
"XAVIER LUCAS","MIAMI FL",39,39,1,59.46,"C+"
"JORDAN MATTHEWS","VANDERBILT",78,39,2,59.35,"C+"
"RODNEY BIMAGE JR.","ARIZONA ST",86,43,2,59.3,"C+"
"IBN MCDANIELS","PENN STATE",17,17,1,59.28,"C+"
"CAMERON KEYS","MISSOURI",19,19,1,58.88,"C+"
"JORDAN SHAW","TEXAS A&M",65,32.5,2,58.68,"C+"
"ZEKE BERRY","MICHIGAN",63,31.5,2,58.65,"C+"
"TRE BELL","MICH STATE",91,45.5,2,58.61,"C+"
"EVAN SMITH","DUKE",81,40.5,2,58.28,"C+"
"JAYVON THOMAS","SMU",100,50,2,58.19,"C+"
"SETH JOHNSON","IOWA STATE",77,38.5,2,58.19,"C+"
"RICARDO COOPER JR.","MARYLAND",17,17,1,58.18,"C+"
"QUENTIN TAYLOR","MISS STATE",43,43,1,57.87,"C+"
"RAION STRADER","PITTSBURGH",91,45.5,2,57.82,"C+"
"JAIDEN PATTERSON","N CAROLINA",33,33,1,57.81,"C+"
"ASHTON CUNNINGHAM","BOSTON COL",100,50,2,57.72,"C+"
"ROMAN PEARSON","KANSAS",40,20,2,57.62,"C+"
"DIJON LEE JR.","ALABAMA",88,44,2,57.6,"C+"
"CORMANI MCCLAIN","FLORIDA",82,41,2,57.43,"C+"
"JUDGE COLLIER","S CAROLINA",79,39.5,2,57.37,"C+"
"EMMANUEL KARNLEY","WASHINGTON",72,36,2,51.79,"C"
"JOSHUA CLARKE","VA TECH",50,25,2,51.14,"C"
"LADAINIAN FIELDS","OKLA STATE",93,46.5,2,51,"C"
"TYRESE BOSS","ARIZONA",25,25,1,50.56,"C"
"COURTLAND GUILLORY","OKLAHOMA",85,42.5,2,50.44,"C"
"ORE ADEYI","NWESTERN",58,58,1,50.28,"C"
"DAMARCUS LEACH","S CAROLINA",35,17.5,2,50.24,"C"
"ANDRE JORDAN JR.","AUBURN",136,68,2,50.01,"C"
"REGGIE BUSH II","BAYLOR",21,21,1,49.32,"C"
"MATTHIAS LEACH","BYU",34,34,1,49.27,"C"
"LA'KHI ROLAND","ARKANSAS",22,22,1,49.23,"C"
"DAVIN MARTIN","TEXAS TECH",17,17,1,49.12,"C"
"DANTE CORE","OLE MISS",28,28,1,48.97,"C"
"GAVIN JENKINS","AUBURN",41,20.5,2,48.88,"C"
"JAELYN DAVIS-ROBINSON","SMU",15,15,1,48.15,"C"
"TRE MILLER","N CAROLINA",31,31,1,48.15,"C"
"DWIGHT BOOTLE II","ARIZONA",83,41.5,2,48.07,"C"
"ALEX GRAHAM","USC",33,33,1,48.01,"C"
"RICKEY GIBSON III","TEXAS A&M",51,25.5,2,47.96,"C"
"TIM MERRITT","TENNESSEE",33,16.5,2,47.93,"C"
"LEVAR THORNTON JR.","BAYLOR",109,54.5,2,47.7,"C"
"RICKY FLETCHER","CAL",55,27.5,2,47.41,"C"
"PARIS MELVIN JR.","HOUSTON",22,22,1,47.36,"C"
"CARMELO O'NEAL","ALABAMA",35,17.5,2,47.26,"C"
"LA'MODRICK SPENCER","SMU",26,26,1,46.96,"C"
"CAM RICHARDSON","STANFORD",40,40,1,46.78,"C"
"GRANT GRAYTON","KENTUCKY",75,37.5,2,46.75,"C"
"NICK MCCLELLAN","KANSAS ST",18,18,1,46.71,"C"
"ASHAAD WILLIAMS","WAKE",94,47,2,46.44,"C-"
"JAE'ON YOUNG","CAL",67,33.5,2,46.1,"C-"
"SHADARIAN HARRISON","PITTSBURGH",24,24,1,45.84,"C-"
"DARION JONES","IOWA",22,22,1,45.46,"C-"
"BEN HANKS III","FLORIDA",58,29,2,45.44,"C-"
