"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Lined.up.in.Press.Coverage","Passer.Rating.Allowed","Pass.Break.Up","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Tackle","Interceptions","Pass.Stop","Missed.Tackles.on.Pass.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Touchdowns.Allowed","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Hurries","Hits","Fumble.Recovery","Forced.Fumble","Sacks","Pursuit.Pressure","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","First.Contact","Batted.Passes","Interception","Drops...Off.Targets.Receptions.Forced","Pass.Rush.Productivity","Unblocked.Pass.Rush","Beaten.Defender","Plays.of.15..Yards.Allowed"
"Trey Lubin","RHODE ISLD",66,91.88,"A",83.6,60.1,72.6,99.9,3,0,2,NA,39.6,1,31.7,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,"0.00%",1,0,1,0,2,2,0,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","33.30%","0.00%","0.00%",2,0,0,2,100,0,0,0
"Kemari Nix","DELWARE ST",59,91.42,"A",78.9,67.8,90.2,64.7,7,0,4,NA,81.3,0,-1.5,0.44,3.5,1.75,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,"0.00%",3,2,2,0,0,0,0,2,"100%",7,1,0,"0.00%","0.00%","50.00%","0.00%","0.00%","0.00%","0.00%",5,0,0,0,30,1,0,0
"Marquis Cooper","TOWSON",63,91.07,"A",75.7,75.6,67.2,NA,2,0,1,NA,0,2,7,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,3,0,"0.00%",0,0,2,"0.00%","0.00%","0.00%","33.30%","66.70%","0.00%","0.00%",1,0,1,0,NA,0,0,0
"Sean Webb","NEW HAMP",72,90.74,"A",80.4,79.8,70.6,NA,4,0,2,NA,47.9,2,7.4,0.3,7.5,13.5,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"20.00%",0,1,0,0,1,1,4,2,"40.00%",15,0,2,"0.00%","0.00%","0.00%","0.00%","40.00%","0.00%","33.30%",4,0,0,1,NA,0,0,0
"Caden Rice","HAMPTON",61,89.8,"A",68.1,61.9,80.7,NA,7,5,2,NA,39.6,0,8.3,0,0,0,0,1,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,"12.50%",1,1,0,5,2,2,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","25.00%",4,0,0,3,NA,0,0,0
"Eric Jones","ELON",46,89.26,"A",86.8,87.2,64.7,NA,0,0,0,NA,0,3,10.6,0.5,13,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"100%",0,0,0,0,2,2,3,1,"20.00%",13,1,3,"0.00%","0.00%","20.00%","20.00%","60.00%","0.00%","100%",2,0,1,1,NA,0,0,0
"D.J. Adams","CHATTNOOGA",71,88.07,"A",82.7,83.7,65.2,NA,1,0,0,NA,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,2,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","200%","0.00%","0.00%","0.00%",2,0,2,0,NA,0,0,0
"Samuel McCall","BETH COOK",62,87.92,"A",73.9,73.5,66,NA,6,2,1,NA,39.6,0,22.3,0,0,29,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,1,1,3,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",3,0,0,2,NA,0,0,0
"Kemani Wilson","TXAMEA",42,86.39,"A",81.6,80.8,71,NA,1,0,1,NA,39.6,1,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,3,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Amari McGill","MURRAY ST",41,86.33,"A",81.7,82.1,65.4,60,1,0,0,NA,0,1,13,0.39,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,2,1,"20.00%",11,0,1,"0.00%","0.00%","0.00%","20.00%","20.00%","0.00%","0.00%",1,0,1,3,0,0,0,0
"Jhamal Shelby Jr.","NICHOLLS",80,85.47,"A",74.7,74.2,67.2,NA,2,0,1,NA,39.6,2,19.2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,1,0,"0.00%",0,0,2,"0.00%","0.00%","0.00%","0.00%","40.00%","0.00%","0.00%",1,0,0,3,NA,0,0,0
"Jeremiah Jimoh","UTAHTC",55,84.97,"A",60.2,55.1,80.1,NA,10,2,6,NA,79.9,1,7.9,1.26,8,-1.33,0,3,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,"9.10%",3,2,0,2,6,6,2,6,"66.70%",48,2,1,"2.60%","0.00%","22.20%","0.00%","11.10%","0.00%","14.30%",7,0,0,2,NA,0,0,1
"Sean Ferguson","W GEORGIA",35,84.23,"A",73.1,72.5,67.6,NA,5,1,2,NA,39.6,0,24,0,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,1,1,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,1,NA,0,0,0
"Chaas McCoy","RHODE ISLD",66,83.85,"A",69.1,64.2,69.2,77.4,4,2,1,NA,39.6,0,32,0,0,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"0.00%",0,0,1,2,1,1,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,2,NA,1,0,0
"Grant Noland","N DAKOTA",60,83.76,"A",74.2,75.9,65.9,52.1,4,0,1,NA,39.6,2,19.1,0.52,8.5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,2,2,"25.00%",17,1,2,"0.00%","0.00%","12.50%","0.00%","25.00%","0.00%","0.00%",2,0,0,4,0,0,0,0
"Tymir Wynn","COLGATE",67,83.03,"A",74.1,73,74.9,57.7,6,2,0,NA,39.6,1,0.5,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",4,0,0,1,0,0,0,0
"Dominic Julius","YNGTOWN ST",22,82.7,"A",79.6,79.8,64.5,NA,1,1,0,NA,39.6,1,23.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",0,0,0,1,NA,0,0,0
"Paul Kim","S DAK ST",15,82.18,"A",92.3,91.5,66.6,NA,NA,0,0,NA,39.6,1,-1,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%",NA,NA,0,0,0,0,NA,0,0,0
"Cameron Goggins","MERCER",55,80.49,"A",73.1,71.4,72.7,NA,3,0,3,NA,16.7,0,5.5,0.17,5,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,0,0,0,1,1,"50.00%",5,0,0,"0.00%","0.00%","0.00%","50.00%","0.00%","0.00%","0.00%",2,0,1,1,NA,0,0,0
"Ethan McCann-Carter","RHODE ISLD",19,80.44,"A",74.7,72.2,75.6,53.8,6,2,1,NA,56.3,0,16,0.5,3,11.5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,1,1,"50.00%",3,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",4,0,0,0,0,0,0,0
"Keyshawn Jackson","CHATTNOOGA",68,79.01,"B",68.7,68,67.3,NA,8,3,1,NA,43.8,1,8,0.31,10,14.33,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"11.10%",1,0,0,3,3,2,2,1,"33.30%",10,1,2,"0.00%","0.00%","33.30%","0.00%","66.70%","0.00%","25.00%",5,0,0,0,NA,0,0,0
"Denzel Peoples","WEBER ST",16,78.29,"B",81.5,78.8,67.9,NA,4,0,3,NA,79.2,0,1.8,0.9,2.3,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"0.00%",1,2,0,0,0,0,2,4,"100%",9,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"David Obadein","S ILLINOIS",60,78,"B",73.3,69.8,75.6,NA,3,0,3,NA,0,0,2.7,0.38,7.5,2.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25.00%",2,0,0,0,1,1,2,2,"28.60%",15,1,0,"0.00%","0.00%","14.30%","14.30%","0.00%","0.00%","50.00%",3,0,1,4,NA,0,0,0
"Dominic Girard","MURRAY ST",15,77.66,"B",76.1,72.9,66.4,NA,2,1,1,NA,56.3,1,21.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,1,1,2,1,"50.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Isiah Bivins","IDAHO",27,77.31,"B",72.7,72,64.9,NA,3,0,2,NA,39.6,1,12,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Brian Harris","MONTANA ST",42,76.82,"B",71.8,69.5,71.3,NA,2,1,1,NA,16.7,0,13,0.29,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,1,1,1,1,"50.00%",6,0,0,"0.00%","0.00%","0.00%","50.00%","0.00%","0.00%","0.00%",1,0,1,1,NA,0,0,0
"Josiah Young","N IOWA",34,76.8,"B",83,82.5,60.2,NA,3,0,1,NA,63.9,2,12.2,1.81,24.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"25.00%",0,0,0,0,2,2,5,2,"33.30%",49,1,3,"3.70%","0.00%","16.70%","16.70%","50.00%","0.00%","25.00%",1,0,1,0,NA,0,0,1
"Jack Oliver","ILL STATE",70,76.24,"B",78.9,77.4,72.7,NA,5,3,0,NA,70.1,0,14.7,1.21,23.5,11,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"16.70%",0,0,0,3,3,3,1,2,"66.70%",47,2,0,"2.60%","0.00%","66.70%","33.30%","0.00%","0.00%","33.30%",2,0,1,0,NA,0,0,1
"Tramar Gilbert","TXAMEA",52,76.18,"B",68.4,67,67.6,59.5,8,2,4,NA,71.5,0,5,0.32,5,0.4,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,"20.00%",3,2,0,2,3,1,1,2,"66.70%",10,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","22.20%","0.00%",6,0,0,1,0,0,0,0
"Kemaury Tye","FORDHAM",38,76.07,"B",77.7,77.1,67.5,NA,2,1,0,NA,56.3,1,9.3,0.26,3,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,2,2,"50.00%",6,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",0,0,0,1,NA,0,0,0
"Tahseen Howard","ROB MORRIS",65,75.83,"B",78.4,78.5,69,NA,6,3,1,NA,101.4,0,6.3,0.57,8.3,15,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,"14.30%",0,0,0,3,2,2,3,3,"100%",25,1,0,"2.30%","0.00%","33.30%","0.00%","0.00%","0.00%","20.00%",4,0,0,0,NA,0,0,1
"Javario Tinch","WOFFORD",40,75.73,"B",69.9,71.1,65.3,58.3,5,1,3,NA,41.7,0,-1.5,0.54,3.5,3.25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",3,1,0,1,1,0,1,2,"100%",7,1,0,"0.00%","0.00%","50.00%","50.00%","0.00%","0.00%","0.00%",4,0,1,0,0,0,0,0
"Jaiydyn Johnson","STF AUSTIN",50,75.24,"B",74.2,71.8,63,74.3,4,1,1,NA,72.1,1,14.2,1.38,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"0.00%",0,0,1,1,1,1,2,2,"40.00%",44,2,1,"3.10%","0.00%","40.00%","0.00%","20.00%","0.00%","0.00%",6,0,0,2,50,0,0,1
"Cadence Turner","N COLORADO",57,75.02,"B",72.5,74.6,60.4,NA,3,1,1,NA,56.3,1,12.5,0.37,5,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,"0.00%",1,0,0,1,3,1,2,2,"50.00%",10,0,2,"0.00%","25.00%","0.00%","0.00%","50.00%","0.00%","0.00%",3,0,0,1,NA,0,0,0
"Jivon Oggs","E TENN ST",26,74.9,"B",65.1,66.6,64.8,70.8,3,1,1,NA,56.3,0,4,-0.06,-1,0,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,"0.00%",0,1,2,1,1,0,2,1,"50.00%",-1,0,0,"0.00%","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,1,50,1,0,0
"Nigel Gay","MERCER",55,74.55,"B",69.9,76,45.7,68.9,7,1,3,NA,79.4,2,8.3,1.68,7.8,0,0,3,1,1,2,0,0,0,0,1,0,0,0,0,1,1,1,"30.00%",0,1,1,1,4,2,4,6,"66.70%",47,2,2,"3.60%","0.00%","22.20%","0.00%","22.20%","66.70%","14.30%",8,0,0,1,25,0,0,1
"Makai Frisby","STF AUSTIN",49,74.04,"B",77.8,78.3,62.4,60,4,0,1,NA,56.3,1,9.8,0.31,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,2,"50.00%",10,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",2,0,0,1,0,0,0,0
"Chris Johnson II","MONTANA",39,73.78,"B",73.3,72.7,66.3,NA,2,1,0,NA,42.4,1,19.3,0.29,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,2,1,"33.30%",6,0,1,"0.00%","0.00%","0.00%","0.00%","33.30%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Kanijal Thomas","N ALABAMA",54,73.69,"B",66.1,72.5,47,NA,5,2,1,NA,39.6,2,16.7,0.68,8.5,11,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"16.70%",1,0,0,2,6,3,4,2,"28.60%",17,2,3,"0.00%","0.00%","28.60%","0.00%","42.90%","20.00%","0.00%",6,0,0,1,NA,0,0,0
"Dorian Blackwell","TXRG",55,73.67,"B",69.1,68.1,66.5,NA,2,0,0,NA,0,0,18.3,-0.04,-1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,1,1,"25.00%",-1,0,0,"0.00%","0.00%","0.00%","25.00%","0.00%","0.00%","0.00%",2,0,1,3,NA,0,0,0
"Kamden Tiller","MAINE",52,73.58,"B",73.9,72,74.4,56.8,4,1,1,NA,57.3,0,5.5,0.68,6.5,20.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,2,"50.00%",13,1,0,"0.00%","0.00%","25.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,0,0,0,0,0
"Mekhi Kilburn","ROB MORRIS",40,73.5,"B",78,78.1,62,NA,3,0,2,NA,56.3,0,0,-0.11,-3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,0,0,2,1,"50.00%",-3,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,1,NA,0,0,0
"Jevean Brown","ELON",66,73.28,"B",64.7,55.9,78.2,58.2,11,1,5,NA,77.1,0,-0.5,0.4,4,5.57,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"8.30%",4,1,1,1,3,3,0,3,"75.00%",12,2,0,"0.00%","0.00%","50.00%","0.00%","0.00%","0.00%","25.00%",8,0,0,0,16.7,1,0,0
"Jamari Holliman","S DAK ST",28,73.07,"B",72.8,71.5,67.1,NA,3,0,2,NA,39.6,0,12.3,0.21,3,11.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,1,1,"25.00%",3,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,3,NA,0,0,0
"Adonis Marshall","MERCYHURST",19,72.93,"B",68.7,67.4,64.6,NA,1,0,0,NA,39.6,1,29.3,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","33.30%","0.00%","0.00%",0,0,0,2,NA,0,0,0
"Braylon Vincent","LIUSHAR",62,72.8,"B",75.9,77.6,60.5,NA,4,0,1,NA,65.2,2,7.6,0.81,6.5,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,0,3,2,4,4,"57.10%",26,1,2,"0.00%","0.00%","14.30%","0.00%","28.60%","0.00%","25.00%",5,0,0,1,NA,0,0,0
"Cole Walker","WOFFORD",58,72.68,"B",69.6,74.5,52.1,NA,5,1,2,NA,51.7,2,14,1.76,12.8,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"16.70%",1,0,0,1,5,3,5,4,"36.40%",51,3,3,"3.50%","0.00%","27.30%","0.00%","27.30%","33.30%","0.00%",5,0,0,3,NA,0,0,1
"Deuce Carr","E WASHGTON",39,72.59,"B",73.5,74,64.9,NA,NA,0,0,NA,39.6,1,18,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%",NA,NA,0,0,0,0,NA,0,0,0
"Chase Jarrett","COLGATE",36,72.35,"B",70,63.8,80.9,54.3,4,0,4,NA,90.3,0,1.3,1.42,5.7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0.00%",3,2,0,0,1,1,1,3,"100%",17,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",5,0,0,0,0,0,0,0
"Caleb Holmes","LAMAR",56,71.95,"B",73.8,73.6,64.5,NA,NA,0,0,NA,39.6,1,16.3,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%",NA,NA,1,0,0,3,NA,0,0,0
"Brennen Bailey","LAMAR",48,71.86,"B",72.6,72.6,62.2,NA,1,0,1,NA,43.8,1,25,0.28,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,2,1,"33.30%",10,1,1,"0.00%","0.00%","33.30%","0.00%","33.30%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Eric Zachery","PRVIEW A&M",56,71.58,"B",70.3,73,53.4,NA,5,1,1,NA,57.3,2,12.5,0.36,6.5,4.5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,"16.70%",1,0,0,1,3,2,3,2,"50.00%",13,1,2,"0.00%","0.00%","25.00%","0.00%","50.00%","33.30%","0.00%",5,0,0,0,NA,0,0,0
"Zion Crawford","ALABAMA ST",61,71.34,"B",71.1,69.4,70.9,NA,5,0,2,NA,47.9,1,11.8,0.5,7.5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16.70%",2,0,0,0,2,2,2,2,"40.00%",15,1,2,"0.00%","0.00%","20.00%","0.00%","40.00%","0.00%","33.30%",3,0,0,1,NA,0,0,0
"Jalen Guillard","GRAMBLING",54,71.03,"B",59.7,56.9,69.3,NA,5,1,2,NA,42.4,0,19,0.21,6,13.5,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,1,3,3,1,1,"33.30%",6,1,0,"0.00%","0.00%","33.30%","0.00%","0.00%","0.00%","0.00%",5,0,0,1,NA,0,0,0
"Gavin Shepard","S ILLINOIS",63,70.89,"B",69.3,69,64,NA,1,0,0,NA,12.5,1,17.7,0.4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,2,2,2,1,"33.30%",16,1,1,"2.50%","0.00%","33.30%","33.30%","33.30%","0.00%","0.00%",1,0,1,1,NA,0,0,1
"Nic Lendino","VALPO",73,70.59,"B",60.3,60.8,58.1,NA,6,2,1,NA,58.6,1,16.6,1.51,26.5,26.5,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,2,6,4,3,2,"28.60%",53,2,2,"2.90%","0.00%","28.60%","0.00%","28.60%","0.00%","0.00%",2,0,0,3,NA,0,0,1
