"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","Negative.Rush.Grade.Percentage","Positive.Rush.Grade.Percentage","row_id"
"Trooper Price","COLGATE",67,81.55,"A","LB",2026,"Patriot",79.8,82.3,67.6,65.1,0,4,6,1,0,0,1,2,0,0,0,0,0,0,0,1,1,4,4,4,"0","25.00%",25,39,4.29,"7.70%","15.40%",3,24,3,"100%",29,9.7,0,1,0,0,106.9,1.21,1,"50.00%",0,0,0,1,1,"4.20%","0.00%","33.30%","0.00%",9.7,6.3,"0.00%",18,15,"0.00%",4,5,0,"0.00%",7,4,0,1,0,"0.00%",15,15,0,3,0,"FCS",71,NA,NA,NA,71
"KJ McRae","SE MO ST",52,80.97,"A","LB",2026,"Big South - OVC Football Association",80.3,81.3,54.2,74.8,0,2,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,7,"0","0.00%",0,24,1.33,"0","8.30%",0,21,1,"50.00%",-2,-2,0,0,0,1,56.3,-0.1,0,"23.80%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",-1,6,"50.00%",41,5,"0.00%",2,3,2,"0.00%",3,1,0,0,0,"0.00%",5,5,1,0,0,"FCS",171,NA,NA,NA,171
"Caden Henritzy","STHLSK",51,79.01,"B","LB",2026,"Northeast",74.1,80.1,54.7,65.6,0,4,3,0,0,0,1,1,0,0,0,0,0,2,0,0,1,2,1,7,"0","14.30%",7.1,25,2.5,"4.00%","16.00%",1,18,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"22.20%",0,0,1,0,0,"0.00%","0.00%","0.00%","0.00%",0,6,"0.00%",11,9,"0.00%",4,3,2,"0.00%",4,4,0,0,0,"0.00%",9,9,0,1,0,"FCS",214,NA,NA,NA,214
"Klayton Ingram","MURRAY ST",60,78.49,"B","LB",2026,"Missouri Valley",79.6,74.1,53.4,79.4,0,4,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,4,5,"0","0.00%",0,18,1,"16.70%","22.20%",3,37,0,"0.00%",0,0,0,0,0,2,39.6,0,0,"43.20%",0,0,1,1,4,"0.00%","0.00%","0.00%","0.00%",0,10.5,"100%",1,8,"0.00%",4,2,1,"0.00%",2,4,0,2,1,"0.00%",8,8,0,2,0,"FCS",255,NA,NA,NA,255
"Cole Hughes","LEHIGH",46,77.74,"B","LB",2026,"Patriot",86.8,90.7,68.5,70.1,0,1,4,0,0,0,1,1,1,0,0,0,0,2,0,1,0,5,1,3,"33.30%","0.00%",0,19,1.5,"0","26.30%",0,24,2,"100%",9,4.5,0,1,0,0,85.4,0.38,0,"33.30%",0,0,0,1,2,"0.00%","0.00%","50.00%","0.00%",4.5,0,"0.00%",6,7,"0.00%",1,2,1,"0.00%",4,1,0,2,1,"0.00%",7,7,0,2,0,"FCS",152,NA,NA,NA,152
"Elijah Thomas","LNDNWD",22,77.29,"B","LB",2026,"Big South - OVC Football Association",83.4,74,81.1,71.4,0,0,4,0,0,0,2,2,0,0,0,0,0,1,0,0,1,5,1,2,"50.00%","100%",50,13,0.5,"0","15.40%",0,7,3,"75.00%",11,3.7,0,0,0,0,77.1,1.57,0,"57.10%",0,2,1,1,2,"0.00%","50.00%","0.00%","0.00%",2.8,-0.3,"0.00%",7,5,"16.70%",0,2,1,"0.00%",2,0,0,2,0,"25.00%",6,6,0,3,1,"FCS",4,NA,NA,NA,4
"Trevor Barry","NEW HAMP",79,77.14,"B","LB",2026,"CAA",74.4,81.1,51.9,74.8,0,1,5,0,0,0,1,1,0,0,0,1,0,0,0,1,0,8,4,10,"0","0.00%",0,26,3.6,"0","11.50%",0,43,6,"85.70%",63,10.5,1,3,0,0,143.8,1.47,2,"30.20%",0,0,1,4,2,"4.70%","0.00%","42.90%","0.00%",9,1.4,"0.00%",42,10,"9.10%",1,4,0,"0.00%",5,0,0,1,0,"16.70%",10,11,1,4,1,"FCS",200,NA,NA,NA,200
"Christopher Higgins","WM & MARY",40,77.06,"B","LB",2026,"Patriot",67.7,81,47.3,49,0,3,4,0,0,0,3,3,0,0,0,0,0,2,0,2,1,5,2,3,"0","33.30%",16.7,27,2.6,"0","14.80%",0,10,1,"100%",28,28,0,1,0,0,118.8,2.8,1,"30.00%",0,0,0,2,0,"10.00%","0.00%","100%","0.00%",28,22,"0.00%",34,9,"10.00%",3,4,2,"0.00%",5,3,0,0,0,"50.00%",10,10,0,1,1,"FCS",251,NA,NA,NA,251
"Jackson Barry","LIUSHAR",56,75.85,"B","LB",2026,"Northeast",79,87.6,69.8,60.7,0,2,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,8,1,2,"50.00%","50.00%",25,28,4.4,"0","14.30%",0,26,3,"100%",15,5,1,2,0,0,127.1,0.58,0,"23.10%",0,0,0,1,0,"0.00%","0.00%","66.70%","0.00%",5,-0.7,"0.00%",33,9,"0.00%",2,3,1,"0.00%",5,2,0,0,0,"0.00%",9,9,0,2,0,"FCS",58,NA,NA,NA,58
"Sema'J Avery","STF AUSTIN",17,75.64,"B","LB",2026,"Southland",78.1,83.9,NA,65.7,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,4,-1,"0","50.00%",0,13,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"23.10%",0,0,1,0,0,"0.00%","0.00%","0.00%","0.00%",0,-4,"0.00%",36,4,"0.00%",3,1,1,"0.00%",1,1,0,0,0,"0.00%",4,4,2,0,0,"FCS",260,NA,NA,NA,260
"Mason Kaplan","ILL STATE",58,74.98,"B","LB",2026,"Missouri Valley",62.1,73.1,65.8,56.7,0,3,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,6,5,5,"20.00%","20.00%",10,27,1.25,"11.10%","7.40%",3,26,2,"66.70%",23,11.5,0,1,0,0,89.6,0.88,1,"50.00%",0,0,1,2,0,"3.90%","0.00%","33.30%","0.00%",7.7,4,"0.00%",14,10,"0.00%",3,2,2,"0.00%",4,3,0,1,0,"0.00%",10,10,0,3,0,"FCS",15,NA,NA,NA,15
"Tye Niekamp","ILL STATE",64,74.98,"B","LB",2026,"Missouri Valley",72,60.9,74.3,73.8,0,3,4,2,0,0,2,4,0,0,0,0,0,0,0,0,1,5,4,14,"21.40%","21.40%",14.3,27,0,"11.10%","11.10%",3,23,2,"100%",6,3,0,0,0,0,79.2,0.26,0,"52.20%",0,0,0,0,2,"0.00%","0.00%","0.00%","0.00%",3,-6,"0.00%",46,8,"11.10%",3,0,0,"50.00%",0,1,1,4,0,"0.00%",9,9,2,3,0,"FCS",29,NA,NA,NA,29
"Raleigh Herbert","FURMAN",44,74.49,"B","LB",2026,"Southern",78.4,86.9,77.2,59.5,0,3,5,1,0,1,0,2,0,0,0,0,0,0,0,1,1,4,2,1,"0","0.00%",0,19,3.33,"0","21.10%",0,24,3,"75.00%",18,6,0,1,0,0,83.3,0.75,0,"41.70%",0,0,1,2,3,"0.00%","0.00%","25.00%","0.00%",4.5,1,"0.00%",24,10,"0.00%",3,2,0,"0.00%",3,3,0,3,0,"0.00%",10,10,0,3,0,"FCS",77,NA,NA,NA,77
"Jaydyn Johnson","TOWSON",43,73.85,"B","LB",2026,"CAA",81.5,78.7,55.2,78.4,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,2,3,"0","0.00%",0,22,4.33,"9.10%","18.20%",2,18,3,"100%",15,5,0,0,0,0,87.5,0.83,0,"50.00%",0,0,0,0,2,"0.00%","0.00%","0.00%","0.00%",5,-1.3,"0.00%",8,11,"0.00%",1,2,1,"0.00%",5,1,0,3,1,"0.00%",11,11,0,5,0,"FCS",11,NA,NA,NA,11
"Ethan Boll","N DAKOTA",62,73,"B","LB",2026,"Missouri Valley",60.6,66.1,63.1,54.1,0,3,2,0,0,1,3,4,1,0,0,0,0,2,0,0,4,5,5,16,"6.30%","18.80%",9.4,22,6,"9.10%","9.10%",2,24,4,"80.00%",28,7,0,1,0,0,90,1.17,0,"25.00%",0,0,0,3,1,"0.00%","0.00%","20.00%","0.00%",5.6,5.2,"0.00%",11,9,"25.00%",3,2,2,"14.30%",4,2,1,0,0,"40.00%",12,12,1,2,2,"FCS",108,NA,NA,NA,108
"Chidu Bekee","W GEORGIA",44,72.86,"B","LB",2026,"United Athletic",74.8,69.3,67.1,70.6,0,1,3,0,0,0,2,2,0,0,0,0,1,2,0,0,1,6,4,2,"0","0.00%",0,30,2.67,"13.30%","13.30%",4,12,0,"0.00%",0,0,0,0,0,0,0,0,0,"25.00%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",3,7,"0.00%",1,3,2,"0.00%",6,1,0,0,0,"0.00%",7,7,0,0,0,"FCS",170,NA,NA,NA,170
"Xavier Ahrens","MONTANA ST",74,72.58,"B","LB",2026,"Big Sky",70,68.4,57.9,68.7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,"0","0.00%",0,30,6.67,"6.70%","6.70%",2,41,3,"50.00%",22,7.3,0,1,0,0,59,0.54,0,"39.00%",0,0,2,1,1,"0.00%","0.00%","16.70%","0.00%",3.7,10.8,"0.00%",43,10,"9.10%",2,3,0,"14.30%",6,0,1,0,0,"0.00%",11,11,2,2,0,"FCS",244,NA,NA,NA,244
"DeShaun Malone","CHISTA",49,72.58,"B","LB",2026,"IND (FCS)",79.3,92.3,59.6,65,0,0,3,0,0,0,1,1,1,0,0,1,1,0,0,0,1,4,1,12,"8.30%","8.30%",4.2,20,9.17,"0","15.00%",0,17,1,"33.30%",13,13,0,0,0,0,47.9,0.76,0,"41.20%",0,0,2,1,2,"0.00%","0.00%","0.00%","0.00%",4.3,-1,"0.00%",20,7,"0.00%",0,3,0,"0.00%",6,0,0,0,0,"0.00%",7,7,0,1,0,"FCS",335,NA,NA,NA,335
"Jacob Perez","IDAHO ST",40,72.02,"B","LB",2026,"Big Sky",81.2,87.3,57.5,63.8,0,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,2,"0","0.00%",0,25,4.13,"4.00%","28.00%",1,13,0,"0.00%",0,0,0,0,0,0,0,0,0,"46.20%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",44,11,"8.30%",3,6,1,"8.30%",8,3,1,0,0,"0.00%",12,12,0,0,0,"FCS",124,NA,NA,NA,124
"Kaden Smith","E KENTUCKY",53,71.68,"B","LB",2026,"United Athletic",78.8,71.3,74.2,71.2,0,2,5,0,0,1,1,2,1,0,0,0,0,1,0,0,1,6,3,6,"33.30%","33.30%",16.7,28,2.25,"10.70%","10.70%",3,19,1,"50.00%",7,7,0,0,0,0,58.3,0.37,0,"26.30%",0,0,1,0,1,"0.00%","0.00%","0.00%","0.00%",3.5,0.5,"0.00%",1,7,"0.00%",2,4,0,"0.00%",4,2,0,1,1,"0.00%",7,7,0,1,0,"FCS",150,NA,NA,NA,150
"Ryan Russo","MONMOUTH",47,70.79,"B","LB",2026,"CAA",68.9,79.2,59.2,57.3,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,1,"0","0.00%",0,23,0,"4.30%","13.00%",1,22,2,"100%",5,2.5,0,0,0,0,79.2,0.23,0,"13.60%",0,0,0,2,0,"0.00%","0.00%","0.00%","0.00%",2.5,2.5,"0.00%",1,8,"11.10%",1,4,3,"0.00%",5,1,0,0,0,"33.30%",9,9,0,2,1,"FCS",42,NA,NA,NA,42
"Nathan Reynolds","IDAHO ST",47,70.76,"B","LB",2026,"Big Sky",70.3,76.5,64.1,57,0,1,4,0,0,0,1,1,1,0,0,0,0,2,0,0,1,5,2,4,"0","25.00%",12.5,25,0.25,"4.00%","16.00%",1,18,1,"100%",19,19,0,1,0,0,118.8,1.06,1,"27.80%",0,0,0,1,1,"5.60%","0.00%","100%","0.00%",19,9,"0.00%",7,6,"0.00%",1,4,2,"0.00%",4,1,0,0,0,"0.00%",6,6,0,1,0,"FCS",123,NA,NA,NA,123
"Jaxton Helmstetler","PORTLAND",69,70.66,"B","LB",2026,"Big Sky",59.9,77,55.2,45.4,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,5,4,"0","0.00%",0,33,3.33,"3.00%","15.20%",1,32,6,"85.70%",43,7.2,0,3,0,0,92.3,1.34,1,"18.80%",0,0,1,4,0,"3.10%","0.00%","42.90%","0.00%",6.1,2.9,"0.00%",6,11,"15.40%",3,4,2,"11.10%",6,2,1,0,0,"25.00%",13,13,1,2,1,"FCS",45,NA,NA,NA,45
"Geno Calgaro","STNY BROOK",56,70.52,"B","LB",2026,"CAA",66.8,45.1,70.3,76,0,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,6,2,"50.00%","0.00%",0,21,4.25,"23.80%","9.50%",5,33,1,"100%",12,12,0,1,0,0,116.7,0.36,0,"51.50%",0,0,0,1,2,"0.00%","0.00%","100%","0.00%",12,10,"0.00%",20,12,"0.00%",4,2,1,"0.00%",4,3,0,1,0,"0.00%",12,12,1,4,0,"FCS",153,NA,NA,NA,153
"Sonny Vitale","TXAMEA",23,69.97,"B","LB",2026,"Southland",73.9,81.9,58.4,65.3,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,2,"0","50.00%",25,7,3,"0","28.60%",0,14,0,"0.00%",0,0,0,0,0,0,0,0,0,"7.10%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",36,4,"0.00%",1,2,1,"0.00%",3,0,0,0,0,"0.00%",4,4,1,0,0,"FCS",314,NA,NA,NA,314
"Malik Stinnett","BETH COOK",60,69.94,"B","LB",2026,"SWAC",74.9,66.1,81.8,67.5,0,1,3,0,0,2,1,3,1,0,0,0,0,1,0,1,1,3,1,10,"20.00%","10.00%",5,17,0,"5.90%","17.60%",1,33,5,"100%",23,4.6,0,1,0,0,85.8,0.7,0,"51.50%",0,0,0,0,1,"0.00%","0.00%","20.00%","0.00%",4.6,-1.2,"0.00%",5,6,"0.00%",1,1,1,"0.00%",2,1,0,2,0,"0.00%",6,6,0,3,0,"FCS",129,NA,NA,NA,129
"Zion Rutledge","CHATTNOOGA",67,68.98,"B","LB",2026,"Southern",76.5,76.8,58.9,70.4,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,2,"0","0.00%",0,38,3.5,"2.60%","7.90%",1,27,4,"100%",32,8,0,2,0,2,100,1.19,0,"37.00%",0,0,0,2,2,"0.00%","0.00%","50.00%","0.00%",8,0.5,"50.00%",42,10,"0.00%",4,2,0,"0.00%",4,3,0,0,0,"0.00%",10,10,1,2,0,"FCS",116,NA,NA,NA,116
"Chris Robinson","TARLETON",39,68.53,"B","LB",2026,"United Athletic",76.9,76,54.7,72.8,0,0,4,0,0,0,2,2,1,0,0,0,0,2,0,1,1,3,2,2,"0","50.00%",25,18,4.33,"5.60%","11.10%",1,19,2,"100%",6,3,0,0,0,0,79.2,0.32,0,"31.60%",0,0,0,1,2,"0.00%","0.00%","0.00%","0.00%",3,-2.5,"0.00%",43,5,"16.70%",0,2,1,"0.00%",3,0,0,2,1,"33.30%",6,6,0,2,1,"FCS",173,NA,NA,NA,173
"Aa'zoriyon Bonner","W ILLINOIS",47,68.53,"B","LB",2026,"Big South - OVC Football Association",70.2,69.3,65.8,66,0,0,2,0,0,0,1,1,1,0,0,0,0,2,0,0,0,4,1,11,"18.20%","9.10%",4.5,23,5,"0","4.30%",0,13,3,"75.00%",39,13,1,1,0,0,144.8,3,1,"38.50%",0,4,1,1,1,"7.70%","100%","25.00%","0.00%",9.8,6.8,"0.00%",3,5,"16.70%",0,1,1,"0.00%",2,0,0,1,1,"25.00%",6,6,0,3,1,"FCS",287,NA,NA,NA,287
"Jeremiah Pruitt","ALBANY",44,68.51,"B","LB",2026,"CAA",80,70.9,74.7,74.2,1,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,3,3,"0","0.00%",0,22,2,"13.60%","22.70%",3,19,0,"0.00%",0,0,0,0,0,1,39.6,0,0,"42.10%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,1,"100%",1,7,"12.50%",2,3,1,"12.50%",5,2,1,0,0,"0.00%",8,8,0,0,0,"FCS",224,NA,NA,NA,224
"Moses Meus","RHODE ISLD",52,68.33,"B","LB",2026,"CAA",65,55.2,72.5,66.9,0,0,5,1,0,0,1,2,0,0,1,0,0,2,0,0,1,8,9,5,"20.00%","40.00%",30,26,2,"23.10%","23.10%",6,21,2,"100%",23,11.5,0,1,1,0,75,1.1,1,"47.60%",0,0,0,3,1,"4.80%","0.00%","50.00%","50.00%",11.5,-0.5,"0.00%",7,7,"30.00%",0,4,2,"25.00%",6,0,2,1,0,"50.00%",10,10,0,0,1,"FCS",86,NA,NA,NA,86
"Tre Yanez","GARD-WEBB",60,68.28,"B","LB",2026,"Big South - OVC Football Association",58.7,51,72.7,61.1,0,2,7,2,0,0,0,2,0,0,0,0,0,1,0,0,1,12,6,4,"25.00%","50.00%",50,35,5,"14.30%","2.90%",5,19,1,"100%",10,10,0,1,0,0,108.3,0.53,0,"42.10%",0,0,0,1,0,"0.00%","0.00%","100%","0.00%",10,4,"0.00%",1,11,"31.30%",2,4,1,"41.70%",6,1,5,3,0,"0.00%",16,16,1,1,0,"FCS",303,NA,NA,NA,303
"Logan McCloud","WOFFORD",57,68.04,"B","LB",2026,"Southern",62.4,57,57,66.4,0,3,2,0,0,1,1,2,0,0,0,0,0,1,1,0,2,4,4,3,"0","66.70%",33.3,27,3,"14.80%","11.10%",4,27,1,"33.30%",8,8,0,0,0,0,42.4,0.3,0,"29.60%",0,0,1,0,0,"0.00%","0.00%","0.00%","0.00%",2.7,2.7,"0.00%",41,7,"22.20%",3,2,1,"28.60%",3,2,2,0,0,"0.00%",9,9,1,1,0,"FCS",252,NA,NA,NA,252
