"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Interceptions","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Lined.up.in.Press.Coverage","Missed.Tackles.on.Pass.Plays","Pass.Break.Up","Plays.of.15..Yards.Allowed","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Touchdowns.Allowed","Hurries","Dropped.Int","Forced.Fumble","Beaten.Defender","Hits","Pursuit.Pressure","Fumble.Recovery","Sacks","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Unblocked.Pass.Rush","Batted.Passes.at.the.Line","Interception"
"Jordan McClom","N IOWA",50,70.55,"B",74.2,72.7,70.6,NA,4,2,0,42.4,0,9.5,5,6,0.12,1,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,1,1,"33.30%",5,0,1,0,"0.00%","0.00%","0.00%","0.00%",1.7,"33.30%","0.00%","0.00%",0,NA,0
"Colter Petre","MONTANA ST",74,70.29,"B",68.5,77.6,49.2,58.4,13,5,3,39.6,0,5.6,0,-1,0,0,1,3,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"18.80%",2,1,0,5,4,0,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","23.10%","0.00%",0,NA,0
"Jaden Davis","BETH COOK",54,70.11,"B",73.8,74.3,66,NA,3,1,0,39.6,0,7,0,9,0,1,0,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Jabin Ford","SCAR STATE",23,70.01,"B",78.6,77.4,61.3,NA,1,0,0,39.6,0,5,0,43,0,0,1,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"50.00%","0.00%","0.00%",0,NA,0
"Amare Townsend","BRYANT",24,69.62,"B",75.8,76.1,63,NA,2,2,0,39.6,0,0,0,2,0,1,2,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"33.30%","0.00%","0.00%",0,NA,0
"Casey Midcap","DRAKE",17,69.42,"B",65.2,61.6,65.6,NA,1,0,1,0,0,35,0,0,0,0,0,0,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Isaiah Cook","IDAHO ST",27,69.21,"B",67.2,66.2,64.4,NA,2,1,0,0,0,25,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Deonte Douglas","CENT CT ST",46,68.91,"B",69.8,66.7,71,NA,7,0,0,0,0,9.86,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Tae Martin","N ALABAMA",57,68.58,"B",64.8,58.8,72.2,65.9,7,1,2,52.1,0,8.25,16,15.3,1.03,0,4,0,NA,0,1,1,NA,1,0,0,0,0,0,0,0,1,1,0,0,"0.00%",2,1,1,1,5,3,2,2,"33.30%",32,1,1,0,"3.20%","0.00%","16.70%","0.00%",5.3,"16.70%","0.00%","0.00%",0,NA,0
"Andre DePina-Gray","RHODE ISLD",48,67.81,"B",71.2,66,72.2,60.3,3,1,1,27.1,1,2,11,3,0.5,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",1,0,0,1,1,1,1,1,"50.00%",11,1,0,0,"0.00%","0.00%","50.00%","50.00%",5.5,"0.00%","0.00%","0.00%",0,NA,1
"Kamrin Canterbury","PRVIEW A&M",52,67.76,"B",62.4,59.7,64.1,64.1,10,3,5,42.4,0,4.67,9,20,0.31,2,2,1,NA,2,0,0,16.7,0,1,0,0,0,0,0,0,0,0,0,1,"23.10%",2,0,1,3,4,3,2,1,"33.30%",9,0,0,0,"0.00%","33.30%","0.00%","0.00%",3,"0.00%","20.00%","25.00%",1,NA,0
"Kam Robinson","TARLETON",15,67.69,"B",70,66.1,67.4,NA,3,1,1,0,0,9.5,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Taye Proctor","DRAKE",26,67.56,"B",68.6,65.5,68.4,58.1,6,2,2,0,0,4.33,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,1,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Phillip Harris","NEW HAMP",78,67.33,"B",60.4,60.2,64.8,52.3,8,4,1,50.2,0,7,14.7,9.3,0.94,2,5,0,NA,1,0,1,6.3,0,0,0,0,1,0,0,0,0,0,1,0,"11.10%",0,0,1,4,5,4,3,3,"33.30%",44,1,0,0,"2.10%","0.00%","11.10%","0.00%",4.9,"0.00%","0.00%","16.70%",1,NA,0
"Cyler Christmas","SE MO ST",67,67.31,"B",70.9,63.4,80.4,NA,7,0,3,46.5,0,5.5,12,33.3,0.33,0,2,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",3,0,0,0,1,1,0,1,"33.30%",12,1,0,0,"0.00%","0.00%","33.30%","0.00%",4,"0.00%","0.00%","0.00%",0,NA,0
"Jussiah Williams-West","YNGTOWN ST",37,66.98,"B",71.4,77,57.4,NA,3,0,2,39.6,0,7.33,0,22,0,0,1,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,0,2,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Jeffrey Holden","SOUTHERN U",40,66.94,"B",72.8,76.5,63.9,59.4,2,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Tanner Huff","MONTANA",32,66.93,"B",68.9,65.1,64.5,70.5,2,1,1,39.6,0,0,0,9,0,0,1,0,NA,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,1,"0.00%",0,0,1,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Bryce McDonald","LAMAR",56,66.9,"B",68.9,64,76.5,NA,8,3,2,77.1,0,4.67,7,3,0.35,1,1,0,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,3,1,1,1,2,"66.70%",14,1,0,0,"0.00%","0.00%","33.30%","0.00%",4.7,"0.00%","0.00%","0.00%",0,NA,0
"Joe Natali","NWSTATE",55,66.29,"B",64.4,60.8,68.4,NA,8,3,3,39.6,0,3,0,12,0,1,0,1,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"11.10%",3,1,0,3,4,2,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","14.30%","0.00%",0,NA,0
"Victor Holt","ALBANY",42,66.23,"B",70.5,77.8,47.6,73.4,6,1,3,42.4,0,6,2,1.7,0.11,1,2,2,NA,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,1,"25.00%",0,0,1,1,2,0,2,1,"33.30%",2,0,0,0,"0.00%","0.00%","0.00%","0.00%",0.7,"0.00%","50.00%","0.00%",1,NA,0
"Christopher Hall","SOUTHERN U",23,66.21,"B",66.7,NA,68.3,NA,2,1,0,NA,NA,22,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%",0,NA,0
"Noah Thompson","S DAK ST",15,65.74,"B",70.8,65.5,70.1,NA,3,1,1,0,0,6,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Jason Salman","VALPO",55,65.74,"B",67.1,68.1,65.3,55.3,6,4,1,100,0,30,8,8,0.36,1,0,0,NA,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,"0.00%",0,0,1,4,1,0,0,1,"100%",8,0,0,0,"0.00%","0.00%","0.00%","0.00%",8,"0.00%","0.00%","0.00%",1,NA,0
"Pierre Hunter","WEBER ST",40,65.31,"B",75,75.2,63,60,2,0,0,39.6,0,0,0,20,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Brayden Breedlove","CAL POLY",50,65.19,"B",80.8,81.4,70.2,NA,5,1,1,83.3,0,4,4,0.5,0.32,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,"0.00%",0,0,0,1,0,0,3,2,"100%",8,0,0,0,"0.00%","0.00%","0.00%","0.00%",4,"0.00%","0.00%","0.00%",0,NA,0
"Aaron Woodard","PRVIEW A&M",31,65.16,"B",67.8,62.1,73.4,NA,3,0,1,39.6,0,4.33,0,14,0,0,0,0,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,1,1,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Jeff Banks","DUQUESNE",18,64.61,"B",68.5,67.7,63.7,NA,3,0,1,0,0,11,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"DeAngelo Ponder","ABILENE CH",69,64.54,"B",62,57.1,73.3,NA,6,1,1,50.3,0,15,5.3,6.6,0.44,0,1,0,NA,1,2,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,"14.30%",0,0,0,1,4,4,4,3,"42.90%",16,0,2,0,"0.00%","0.00%","0.00%","0.00%",2.3,"28.60%","0.00%","25.00%",0,NA,0
"Cody Williams","TOWSON",18,64.38,"B",74.3,76.6,61.1,NA,0,0,0,39.6,0,0,0,14,0,0,1,0,NA,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,1,1,2,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"50.00%","0.00%","100%",0,NA,0
