"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Jordan Edgecomb","COLGATE",31,13.61,"F"
"Javen Augustus","IDAHO",17,13.47,"F"
"KJ Gillespie","E TENN ST",28,13.4,"F"
"Will Plemons","CAL POLY",15,13.3,"F"
"Isaiah Johnson","TARLETON",24,13.18,"F"
"Mounir Keshen","MONMOUTH",33,13.18,"F"
"Carson Moore","E WASHGTON",19,13.09,"F"
"Terrell James","FL A&M",30,13.06,"F"
"Khalil Hunter","ROB MORRIS",43,12.86,"F"
"Nick Felago","SAN DIEGO",36,12.81,"F"
"Kekama Cosma","PORTLAND",47,12.7,"F"
"Tyce Donnelly","WOFFORD",17,12.67,"F"
"Avery Ducsik","PORTLAND",25,12.63,"F"
"Korede Sogbesan","HAMPTON",43,12.59,"F"
"Donovan Dyson","MONMOUTH",25,12.56,"F"
"Brennen Acosta","N COLORADO",21,12.35,"F"
"Damiano Mastroianni","MOREHEAD",18,12.2,"F"
"Cornell Williams III","SOUTHERN U",18,12.17,"F"
"Nhycer Kelly","ELON",38,11.99,"F"
"Jaxon Lee","ALABAMA ST",17,11.96,"F"
"Hunter Watson","MONMOUTH",42,11.78,"F"
"Caden Holt","TARLETON",22,11.73,"F"
"Scott Walker","BRYANT",25,11.66,"F"
"JJ Jean-Louis","PRVIEW A&M",28,11.57,"F"
"Iyioluwa Adekoya","MCNEESE",30,11.38,"F"
"Tristan Ginn","LNDNWD",15,11.26,"F"
"Breon Askins","CENT CT ST",27,11.03,"F"
"Crew Heier","S DAKOTA",29,10.77,"F"
"Ruben Tshilombo","GARD-WEBB",31,10.69,"F"
"Noah Gartner","GARD-WEBB",32,10.36,"F"
"Ja Vere Cannonier","CENT CT ST",33,9.64,"F"
"Amarion Fuller","ALABAMA ST",22,9.5,"F"
"Jestin Gilmore","CHATTNOOGA",35,9.44,"F"
"Gabe Stephens","HOWARD",27,8.54,"F"
"Jaden Radke","E WASHGTON",38,8.14,"F"
"Caleb Turner-Allen","W CAROLINA",37,8.12,"F"
"Corey Amos","GRAMBLING",15,7.69,"F"
"Destin Simmons","TOWSON",18,6.92,"F"
"Isaiah Morrison","FL A&M",24,6.81,"F"
"Reginald Camille","FL A&M",24,6.03,"F"
"Nate Abbott","IDAHO ST",22,5.66,"F"
"JR Lyons","MOREHEAD",25,5.07,"F"
"Dinellson Exume","GRAMBLING",33,4.89,"F"
"Justin Lawton","SOUTHERN U",31,2.81,"F"
"Chevy Robinson","WEBER ST",44,0.21,"F"
"Matthew Goldman","TXAMEA",29,0,"F"
