"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Davon Smith Jr.","CENT CT ST",12,17.56,"F"
"Parker Jenkins","LAMAR",16,17.18,"F"
"Ty Stauffer","BUCKNELL",NA,17.05,"F"
"CJ Nettles","FURMAN",18,16.62,"F"
"Ja'briel Mace","VILLANOVA",27,16.56,"F"
"Shawn Solomon Jr.","DUQUESNE",16,16.3,"F"
"Aidan Garrett","STHLSK",35,16.26,"F"
"Brodey Berg","DAVIDSON",NA,16.19,"F"
"Noah Long","STTHOM",NA,16.06,"F"
"Joseph Koch","STTHOM",NA,16.01,"F"
"Michael Rumoro","VALPO",21,15.95,"F"
"Luke Hansen","DAYTON",NA,15.85,"F"
"Yohan-Li Louis","FORDHAM",19,15.81,"F"
"Chase Gillespie","FL A&M",31,15.79,"F"
"Jalyn Daniels","NORFOLK",28,15.32,"F"
"Chris McMillian","N ALABAMA",21,15.24,"F"
"Chuck Webb","SACR HEART",32,15.19,"F"
"Jameir Gamble","MERCYHURST",21,15.17,"F"
"Damonte Bias","IDAHO",31,15.16,"F"
"Norman Taylor","MS VLY ST",NA,15.04,"F"
"Billy Roberson II","HOWARD",16,14.69,"F"
"Barrett Fallon","FORDHAM",6,14.48,"F"
"Jaden Gilbert","YNGTOWN ST",33,13.32,"F"
"Josh Robinson","W ILLINOIS",23,13.26,"F"
"Chase Bingmon","PRVIEW A&M",17,13.15,"F"
"Josh Myers","S DAK ST",9,13.03,"F"
"Taeshon Martin","CAMPBELL",20,12.85,"F"
"Niko Alailefaleula","SO UTAH",18,12.63,"F"
"Brenton Paul","TENN STATE",NA,12.59,"F"
"Ihson E. Jackson-Anderson","W ILLINOIS",30,12.57,"F"
"Kavaughn Clark","DRAKE",NA,12.47,"F"
"MJ Flowers","TENN TECH",NA,12.3,"F"
"JT Smith","NC A&T",NA,12.26,"F"
"Joseph Williams","HOLY CROSS",28,12.01,"F"
"Michael Lorino","CITADEL",NA,11.75,"F"
"Dwayne Wright","CHARLES SO",NA,11.7,"F"
"Kameron Casnave","NORFOLK",14,10.97,"F"
"Isaiah Simmons","MARIST",NA,10.66,"F"
"Donovan Shepard","HAMPTON",24,10.27,"F"
"Journey Wyche","CHATTNOOGA",23,10.23,"F"
"Ahmad Haston","TENN TECH",NA,10.08,"F"
"Kris Lloyd","MOREHEAD",10,9.35,"F"
"Mordecai Ford","STTHOM",NA,9.25,"F"
"Jason Gabriel","SOUTHERN U",25,8.81,"F"
"Lincoln Cardillo","MARIST",NA,6.44,"F"
"Zion Dobson","NC CENT",NA,5.43,"F"
"Kemarrion Battles","TOWSON",24,5.23,"F"
"Leo Boehling","VA MILT IN",NA,5.16,"F"
"Zack Simmons-Brown","TENN STATE",NA,5.09,"F"
"Adrian Cormier","GARD-WEBB",20,4.81,"F"
"Byron Perrilliat","ALAB A&M",NA,3.81,"F"
"Corey Landers Jr.","HOUCHR",NA,3.75,"F"
"Dezmond Ray","MS VLY ST",NA,2.02,"F"
"Troy Bruce","ALAB A&M",NA,0,"F"
