"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"Jackson Kerstin","S DAK ST",50,64.03,"B",61.6,0.04,75.4,0.138,0,0,0,0,1,0,0
"Everett Carr","MONTANA ST",39,63.63,"B",59.2,0.051,54.6,0.191,0.056,0,0.056,0,0,1,0
"Joseph Cryer","NWSTATE",59,63.49,"B",62.2,0.068,61.9,0.182,0.027,0,0.054,1,0,1,0
"Burke Mastel","MONTANA ST",68,63.45,"B",57,0.044,70.2,0.189,0.032,0,0.032,0,0,1,0
"Jeff Burton","AUSTINPEAY",27,63.27,"B",63.9,0.037,82.5,0,0,0,0,0,0,0,0
"Karl Khuns","CENT CT ST",54,62.74,"B",63.1,0.037,83.2,0.053,0,0,0,0,1,0,0
"Jason Crowder","STF AUSTIN",66,62.64,"B",56.8,0.03,87.4,0.1,0,0,0,0,0,0,0
"Dylan Rollins","MONTANA ST",29,62.57,"B",54.6,0.035,84.9,0.125,0,0,0,0,0,0,0
"Isaac Cariveau","N DAKOTA",59,62.46,"B",62,0.051,80.9,0.087,0,0,0.028,1,0,0,0
"Benjamin Hicks","AUSTINPEAY",35,62.2,"B",65.7,0.029,80.8,0,0,0,0,0,0,0,0
"Luke Surrett","RICHMOND",50,62.04,"B",51.5,0,41.3,0.353,0.03,98.5,0.03,0,1,1,0
"Jacob Darby","MURRAY ST",67,61.22,"B",63.8,0.045,78.6,0.086,0,0,0.031,1,0,0,0
"Terrance Saunders II","TARLETON",73,61.2,"B",56.5,0.014,86.6,0.158,0,0,0,0,0,0,0
"Nate Compere","LNDNWD",55,60.82,"B",57.3,0.018,86.4,0.12,0,0,0,0,0,0,0
"Liam Becher","N DAKOTA",59,60.6,"B",62.1,0.034,80.9,0.13,0,0,0.028,1,0,0,0
"Daz Galloway","MURRAY ST",52,60.47,"B",67.2,0.096,16.1,0.148,0,0,0,0,2,0,0
"Collin Goetter","MONMOUTH",63,60.38,"B",58.2,0.032,81.8,0.115,0,0,0,0,1,0,0
"Sam Liu","MCNEESE",77,60.23,"B",66,0.052,63.2,0.129,0,0,0.022,1,1,0,0
"Derek Joiner","TARLETON",73,59.96,"C",62.6,0.027,82.7,0.105,0,0,0.018,1,0,0,0
"Jaylon Thurman","CHISTA",32,59.62,"C",55.6,0,84.4,0.222,0,0,0,0,0,0,0
"Terry Thomas Jr.","NORFOLK",58,59.34,"C",48.5,0,74.5,0.174,0,98.6,0.029,1,0,0,0
"Jacob Messina","LEHIGH",57,59.33,"C",66.5,0.07,58.9,0.098,0,0,0.063,1,0,0,0
"Micah Sumpter","E TENN ST",56,59.18,"C",45.7,0.018,84.5,0.28,0,0,0,0,0,0,0
"Jalen Nettles","SE MO ST",43,59.17,"C",61.1,0.023,87,0,0,0,0,0,0,0,0
"Jalen Wiltz","CHISTA",43,58.01,"C",64.8,0.047,72.2,0.059,0,0,0.039,1,0,0,0
"Jeron Lewis","SOUTHERN U",36,57.96,"C",47.2,0.028,63.5,0.375,0,0,0,0,1,0,0
"Tyler James","WAGNER",42,57.87,"C",59.7,0.024,70.3,0.154,0,0,0,0,1,0,0
"Reed Collins","MONMOUTH",37,57.24,"C",52.7,0,84,0.222,0,0,0,0,0,0,0
"Korede Folorunso","TXAMEA",65,57.08,"C",60.8,0.077,48.1,0.263,0,0,0.074,2,0,0,0
"Sean Haney","COLGATE",64,56.99,"C",58.8,0.016,82.4,0.111,0,0,0,0,1,0,0
"Will Tellers","ELON",66,56.83,"C",56.6,0.061,57.9,0.139,0,0,0,0,2,0,0
"Matt Hagemann","TENN MARTN",44,56.72,"C",57.5,0.023,78.4,0.118,0,0,0,0,1,0,0
"Pesi Fonua","UTAHTC",73,56.54,"C",65.5,0.069,68.3,0.065,0,0,0.024,1,3,0,0
"Dylan Leiggi","W ILLINOIS",37,56.32,"C",43.3,0,83.5,0.353,0,0,0,0,0,0,0
"Caden Ellingson","S DAKOTA",64,56.32,"C",58.5,0.016,85.3,0.028,0,0,0,0,0,0,0
"Parker Matiyow","DRAKE",46,56.21,"C",59.8,0.022,63.3,0.286,0.026,0,0.051,1,0,0,1
"Kevin Loughlin","RHODE ISLD",47,56.13,"C",50.4,0.021,84.7,0.13,0,0,0,0,0,0,0
"Tyler Kohler","NEWHVN",56,55.76,"C",59.6,0.036,63.9,0.097,0,0,0,0,1,0,0
"Omari Allen","HAMPTON",69,55.74,"C",57.4,0.015,80.8,0.111,0.024,0,0.024,0,0,1,0
"Damon McMillian Jr.","RHODE ISLD",25,55.58,"C",47.2,0,82.2,0.286,0,0,0,0,0,0,0
"Alofaletauia Maluia","FURMAN",57,55.3,"C",52.2,0.018,80.1,0.185,0,0,0,0,1,0,0
"Tommy Broderick","VILLANOVA",58,55.17,"C",65.7,0.052,19.2,0.15,0.026,97.4,0.079,2,1,1,0
"Collin Wright","N ALABAMA",74,54.55,"C",56.9,0.027,78,0.129,0,0,0.023,1,0,0,0
"Kevin Garcia","STNY BROOK",68,54.55,"C",48.2,0.029,77.9,0.25,0,0,0.021,1,0,0,0
"Verron Clarke","BETH COOK",59,54.53,"C",55,0.017,86.2,0.036,0,0,0,0,0,0,0
"Malachi Godfrey","TEXAS STHN",40,53.94,"C",52.7,0,82.3,0.167,0,0,0,0,0,0,0
"Shamar Crawford","W GEORGIA",43,53.73,"C",55.8,0.023,54.5,0.25,0.065,0,0.065,0,0,1,1
"Damaurius Stewart","HAMPTON",45,53.71,"C",54.9,0,82,0.13,0,0,0,0,0,0,0
"Peter Fiumara","STHLSK",82,53.6,"C",61.9,0.024,72.4,0.077,0.018,0,0.018,0,1,0,1
"Eli Freeman","LNDNWD",32,53.53,"C",50.2,0,83.8,0.188,0,0,0,0,0,0,0
"Aden Smith","BRYANT",47,53.36,"C",55,0.021,74.9,0.091,0.04,0,0.04,0,0,0,1
"Jamarius Wilson","SCAR STATE",60,53.12,"C",52.9,0.017,83,0.061,0,0,0,0,0,0,0
"Andrias Guillory","N COLORADO",64,52.65,"C",58.4,0.016,73,0.091,0,0,0,0,1,0,0
"Dayen Marouf-Araibi","RHODE ISLD",72,52.19,"C",60.8,0.042,68.6,0.081,0,0,0.029,1,1,0,0
"Anthony Crawford","CHISTA",26,51.97,"C",59.9,0,84.7,0,0,0,0,0,0,0,0
"Caleb Smith","NICHOLLS",69,51.61,"C",51.8,0.015,70.3,0.176,0.029,0,0.029,0,0,1,0
"Nick Paul","CHATTNOOGA",60,51.58,"C",55.9,0,87.7,0.035,0,0,0,0,0,0,0
"Steven Hamby","W CAROLINA",51,51.18,"C",56,0,80.9,0.125,0,0,0,0,1,0,0
"Charles Thorpe III","STETSON",31,50.96,"C",58.6,0,84.7,0,0,0,0,0,0,0,0
"Jack Beardall","SO UTAH",53,50.87,"C",55,0.038,66.6,0.148,0,0,0.039,1,0,0,0
"Lincoln Oltmann","DRAKE",33,50.79,"C",51.2,0.03,75.1,0.2,0,0,0.043,1,0,0,0
"Kaden Carr","ABILENE CH",64,50.58,"C",50.8,0,87.6,0.095,0,0,0,0,0,0,0
"Marc O'bannon","ALABAMA ST",27,50.54,"C",58.6,0,83.4,0,0,0,0,0,0,0,0
"Noah Stanley","MAINE",65,50.53,"C",47,0.015,90.1,0.065,0,0,0,0,0,0,0
"Levi Johnson","N COLORADO",64,50.14,"C",68.1,0.047,46.4,0,0.032,0,0.032,0,2,1,0
"Hunter Gulley","E KENTUCKY",35,49.66,"C",52.7,0,68.3,0.227,0,0,0,0,1,0,0
"Ben Mercado","SACR HEART",54,49.53,"C",45.3,0,84.6,0.179,0,0,0,0,0,0,0
"Kellen Francis","S ILLINOIS",70,49.51,"C",51.9,0,86.9,0.061,0,0,0,0,0,0,0
"Santiago Macias","TENN MARTN",71,49.34,"C",61.7,0.028,74.7,0.03,0,0,0.026,1,1,0,0
"Derek Harden Jr.","S ILLINOIS",58,49.18,"C",58.9,0.017,74.4,0,0,0,0,0,1,0,0
"Kyle Stahlecker","E WASHGTON",33,48.9,"C",56.2,0,84.1,0,0,0,0,0,0,0,0
"Jayden Chappell","NORFOLK",58,48.69,"C",53,0,65.6,0.043,0.029,97.1,0.057,1,1,1,0
"Jalani Liva","SO UTAH",54,48.41,"C",51.6,0.037,67.1,0.148,0,0,0.037,1,0,0,0
"Jayden Daniels","TEXAS STHN",62,48.23,"C",56.5,0.016,68.5,0.061,0,0,0,0,1,0,0
"Kamron Barnes","NICHOLLS",59,48.22,"C",51.9,0.017,68.5,0.103,0.033,0,0.033,0,0,1,0
"William Paepke","S DAK ST",49,48.21,"C",62.8,0.041,67,0.036,0,0,0.048,1,1,0,0
"Brody Cutrer","WEBER ST",73,47.89,"C",61.7,0.027,50.5,0.143,0.019,0,0.019,0,2,1,0
"Kerby Vital Jr.","WAGNER",28,47.53,"C",46.5,0.036,48.1,0.238,0,0,0,0,1,0,0
"Shane Keenan","YNGTOWN ST",47,47.32,"C",56.9,0.021,76.3,0.056,0,0,0.035,1,0,0,0
"Landon Roaten","ABILENE CH",64,47.3,"C",47.8,0,76.8,0.191,0.023,0,0.023,0,0,1,0
"Aidan Palmer","LEHIGH",57,46.44,"C",65.3,0.07,63.7,0.049,0,0,0.125,2,0,0,0
"Michael Gradle","E WASHGTON",37,46.36,"C",55.3,0,77.7,0.167,0,0,0.04,1,0,0,0
"J'vyon Tatum","ALABAMA ST",42,46.33,"C",65.7,0.048,50.2,0.231,0,0,0.103,3,0,0,0
"Joden Nelson","TOWSON",53,45.99,"C",48.5,0.038,40.7,0.333,0.086,0,0.086,0,1,1,2
"Mason LaFond","FORDHAM",54,45.71,"C",67.8,0.074,30,0.111,0.037,0,0.037,0,6,0,1
"Trey Price","UTAHTC",73,45.6,"C",58.9,0.027,69.4,0.097,0,0,0.048,2,0,0,0
"Josiah Ware","STNY BROOK",37,45.55,"C",41.9,0.027,50,0.4,0,0,0.037,1,0,0,0
"Justin Sokol","SACR HEART",54,45.45,"C",49.9,0.018,77.8,0.143,0,0,0.039,1,0,0,0
"Christopher Williams","FL A&M",32,45.26,"C",59.2,0,57.6,0,0,97.6,0.048,1,2,0,0
"Jon Faletra","STETSON",67,45.16,"C",49.6,0,80,0.158,0.021,0,0.021,0,1,1,0
"Nick Herzog","S DAKOTA",64,45.11,"C",54.9,0.016,72.1,0.056,0,0,0,0,2,0,0
"Kelan Washington","MERCER",75,44.63,"C",54.1,0.027,57.6,0.118,0.073,0,0.073,0,0,3,0
"Kuba Tyszka","HOLY CROSS",45,43.85,"C",59.1,0.044,47.5,0.235,0,0,0.071,2,1,0,0
"Mark Johnson","E WASHGTON",37,43.05,"C",56.4,0,77.8,0.083,0,0,0.04,1,0,0,0
"Michael Petito","MONMOUTH",55,43.04,"C",58.5,0.036,68.6,0.12,0,0,0.067,2,1,0,0
"Ryan Pemberton","CENT CT ST",36,42.64,"C",50.1,0,66.7,0.154,0.043,0,0.043,0,1,1,0
"Nick Chomko","CENT CT ST",58,42.13,"C",58.7,0.035,50.8,0.095,0.027,0,0.054,1,1,1,0
"Noah Kline","VALPO",62,41.43,"C",47.3,0,76.5,0.211,0,0,0.023,1,1,0,0
"Taki Dadiotis","SAN DIEGO",51,41.43,"C",57.1,0.02,54.8,0.129,0.05,0,0.1,1,0,0,1
"Hayden Raley","WM & MARY",74,41.12,"C",56.2,0.014,66.9,0.111,0,0,0.021,1,2,0,0
"Eli Long","N ALABAMA",30,40.42,"C",50,0,71.6,0.063,0,0,0,0,1,0,0
"Wade Victor","LIUSHAR",62,40.34,"C",59.6,0.016,56.1,0.059,0.036,0,0.071,1,0,0,1
"Ian Erickson","MAINE",55,40.16,"C",50.1,0,71.7,0,0,0,0,0,0,0,0
"Antonio Gaines","E KENTUCKY",39,40.16,"C",61.2,0.026,46.4,0.056,0.048,0,0.095,1,0,1,0
"Bryce Rainwater","FURMAN",68,39.89,"D",42.6,0,82.5,0.167,0,0,0.026,1,0,0,0
"Aaron McIver","W CAROLINA",51,39.48,"D",51.8,0,75.4,0.125,0,0,0.029,1,1,0,0
"Howard Stedford","IDAHO",80,39.41,"D",57.8,0.013,67.8,0.045,0.017,0,0.035,1,1,0,1
"Abiathar Curry","MERCER",75,39.34,"D",42.8,0,82.6,0.147,0,0,0.024,1,0,0,0
"Jake Beam","SACR HEART",54,39.32,"D",53,0.018,59.9,0.143,0,0,0.039,1,1,0,0
"Preston Lilley","GARD-WEBB",76,38.93,"D",51.8,0,67.6,0.143,0,0,0.021,1,1,0,0
"Marco DeCroce","FORDHAM",39,38.7,"D",60,0.077,22.1,0.176,0,0,0.091,2,1,0,0
"Carson Wheeler","N ALABAMA",45,38.66,"D",57.9,0.044,64.1,0.063,0.035,0,0.103,2,1,1,0
"Kamani Fifita","CAL POLY",46,38.54,"D",50.9,0,68.4,0.154,0.03,0,0.061,1,0,0,1
"Tommy Jeleniewski","STHLSK",41,38.2,"D",56.2,0.024,55.3,0,0,0,0.033,1,0,0,0
"Kahini Austin","DUQUESNE",41,38.17,"D",57.9,0.024,50.4,0.1,0,0,0.048,1,1,0,0
"Charlie Kruger","IDAHO ST",51,37.05,"D",55.6,0,66,0,0,0,0,0,2,0,0
"Adrian Lopez","GARD-WEBB",76,37,"D",51.1,0,63.5,0.25,0.021,0,0.063,2,0,0,1
"Nick Hughes","TXRG",82,36.82,"D",55.4,0,75.7,0.042,0.017,0,0.035,1,1,0,1
"Theo Bachelder","HOLY CROSS",40,36.69,"D",53.5,0,48.6,0.25,0,0,0.042,1,1,0,0
"Jack Hearne","N IOWA",58,35.79,"D",56.6,0.017,32,0.069,0.035,0,0.035,0,1,1,0
"Vincent Boila","ROB MORRIS",51,35.59,"D",56.7,0,59.2,0.059,0.029,0,0.059,1,0,1,0
"Demoni Taylor","SE MO ST",79,35.02,"D",56.4,0.025,56.8,0.103,0,0,0.06,3,0,0,0
"Dezmond Penn","ALABAMA ST",51,34.88,"D",53.7,0.02,50.6,0.158,0,0,0.063,2,0,0,0
"Tommy Dickinson","MERRIMACK",62,34.34,"D",52,0,72.2,0.077,0,0,0.043,1,1,0,0
"DeQuan Freeland","PORTLAND",72,33.78,"D",55.3,0,59.7,0.039,0,0,0.022,1,1,0,0
"Tristan Lewis","PORTLAND",72,33.69,"D",47.3,0,67.7,0.154,0.022,0,0.043,1,1,1,0
"Eric Lane","TENN MARTN",59,33.22,"D",50.5,0.017,54.9,0.172,0,0,0.067,2,0,0,0
"Ryan Long","WAGNER",48,32.86,"D",50,0,38,0.25,0.063,0,0.063,0,2,2,0
"Drue Duncan","MOREHEAD",39,32.66,"D",39.7,0.026,49.2,0.357,0,0,0.08,2,0,0,0
"Logan Potter","SE LA",66,32.1,"D",47.2,0,54.5,0.171,0.032,0,0.065,1,0,1,0
"Jaylen Pitts","HOWARD",47,31.43,"D",51.9,0,49.6,0.15,0,0,0.037,1,1,0,0
"Cole McGovern","E WASHGTON",33,31.23,"D",54.2,0,51.4,0.083,0.048,0,0.095,1,0,0,1
"Jayden Montanez","UC DAVIS",52,30.55,"D",59.4,0.039,29.9,0.211,0,0,0.091,3,1,0,0
"Sam Fallon","ALBANY",58,29.77,"D",44,0,56.3,0.222,0.032,0,0.065,1,1,0,1
"Lakeem Steele","MERRIMACK",62,29.71,"D",50.2,0,50.2,0.154,0,0,0.043,1,1,0,0
"Cole Canty","DUQUESNE",44,29.06,"D",52.7,0,43.9,0.1,0.042,0,0.083,1,0,1,0
"Blake Hoegler","MERCYHURST",56,28.53,"D",61.9,0.018,40.5,0.043,0.061,0,0.121,2,0,1,1
"Tracy Jackson","CHATTNOOGA",60,28.41,"D",55.6,0.017,49.1,0.172,0.032,0,0.097,2,2,1,0
"Tristan Fui","CAL POLY",71,28.19,"D",53.9,0,66,0.125,0.021,0,0.085,3,0,1,0
"Mason Merriwether","CAMPBELL",48,27.86,"D",34.7,0,66.8,0.214,0,0,0.029,1,1,0,0
"Kameron Durant","CAMPBELL",51,27.64,"D",36.6,0,39.1,0.467,0,0,0.028,1,3,0,0
"Dolapo Egunjobi","TENN MARTN",28,27.33,"D",57,0,48.4,0.063,0,0,0.083,1,0,0,0
"Arvid Sillberg","NEW HAMP",55,27.24,"D",56.2,0.036,30,0.107,0,0,0.074,2,1,0,0
"Mikyal Trotter","SOUTHERN U",40,27,"D",41.6,0.025,16.9,0.389,0,0,0.045,1,2,0,0
"Leon Crutcher","WEBER ST",72,26.75,"D",46.5,0,50.6,0.191,0.02,0,0.039,1,2,1,0
"Lucas Freitas","MONTANA",47,26.19,"D",55.9,0,46.8,0.1,0,0,0.074,2,0,0,0
"Evan Romano","STHLSK",41,25.92,"D",51.5,0,36.9,0.133,0,0,0.039,1,1,0,0
"Reagan Gill","MCNEESE",77,25.47,"D",60.7,0.026,44.9,0.097,0,0,0.065,3,3,0,0
"Chris Sweeney","GRAMBLING",34,24.63,"D",63.3,0.029,23.3,0,0,0,0.087,2,0,0,0
"Tyler Tortorich","DRAKE",79,23.58,"D",52.6,0,50.8,0.118,0.016,0,0.065,3,0,1,0
"Aidan Johnson","TOWSON",56,23.3,"D",45.2,0,58.6,0.263,0,0,0.081,3,1,0,0
"Jezniah Thurston","UC DAVIS",52,23.24,"D",52,0.019,18.9,0.211,0,0,0.061,2,1,0,0
"Nick Youmans","CAMPBELL",48,21.7,"D",35.5,0,37.5,0.389,0,0,0.033,1,3,0,0
"Cameron Stevenson Jr.","HOWARD",47,21.27,"D",45.8,0,9.3,0.3,0.074,0,0.111,1,0,1,1
"Ca'Marion Bush","FL A&M",47,20.12,"D",55.1,0.021,0.9,0.235,0,93.3,0.133,4,2,0,0
"Caden Bowers","PRVIEW A&M",48,18.96,"F",52,0.021,26.9,0.111,0.033,0,0.1,2,1,1,0
"Corin Boudreaux","SE LA",62,18.51,"F",45,0.016,41.3,0.229,0,0,0.111,3,0,0,0
"Evan Safreed","ELON",66,18.43,"F",43.3,0,25.5,0.222,0.033,0,0.033,0,4,1,0
"Tavaris Ross","HOWARD",47,17.59,"F",43.2,0,19.7,0.3,0,0,0.074,2,0,0,0
"Jaedon Garcia","IDAHO ST",51,16.54,"F",55.5,0,36,0.1,0,0,0.097,3,0,0,0
"Moritz Schmoranzer","WOFFORD",43,16.54,"F",56.4,0,21,0.143,0.103,0,0.172,2,0,2,1
"Isaiah Hall","E TENN ST",53,15.74,"F",30.8,0,21.9,0.52,0.036,0,0.107,2,1,0,1
"Ryan McCombs","W ILLINOIS",64,14.45,"F",52.7,0,16.6,0.086,0.035,0,0.069,1,2,1,0
"Kaden Haeckel","IDAHO",71,14.16,"F",53.7,0,56.5,0.056,0.038,0,0.094,3,2,1,1
"Brendan Mcilvenna","VALPO",62,12.21,"F",58.8,0.032,2.5,0.263,0.07,0,0.163,4,1,2,1
"Navi Arretche","MERCYHURST",56,11,"F",50.1,0,36,0.13,0.061,0,0.152,3,0,1,1
"AJ Cartusciello","WAGNER",48,10.38,"F",58.6,0,25.8,0.125,0,0,0.125,4,0,0,0
"James Bailey","TXRG",82,6.36,"F",55.2,0.012,41.6,0.167,0.035,0,0.121,5,3,1,1
"Carter Giberson","ALBANY",64,2.38,"F",52.6,0,12,0.129,0.061,0,0.152,3,1,1,1
"Frank Moss","GRAMBLING",34,1.51,"F",64.5,0.059,0,0.091,0,0,0.174,4,4,0,0
"James Spainhour","WM & MARY",74,0,"F",54.2,0.014,16.3,0.148,0.021,0,0.149,6,0,1,0
