"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"Noah Colon","HAMPTON",37,27.46,"D",6,"WR",2026,"CAA",64.8,5,27,0,6,3,40,13.3,0,2,1,0,0,4,0,0,3,1,3,0,1.48,7.8,1,0,0.75,0.25,"0.00%",71.5,0.222,0.222,0.167,0.5,"FCS",0.5,6.66666666666667,0.222222222222222
"Spencer Jones","CAMPBELL",43,27.18,"D",1,"WR",2026,"CAA",61.2,3,30,15,10,4,28,7,0,1,0,0,0,4,3,1,10,2.5,7,0.333,0.93,7.7,0,0,1,0,"30.00%",47.9,0.033,0.333,0,0.4,"FCS",0.4,2.8,0.333333333333333
"Jackson House","E KENTUCKY",43,27.17,"D",16,"WR",2026,"United Athletic",61.7,2,27,0,6,4,31,7.8,0,2,0,0,0,4,0,0,19,4.8,7,0,1.15,5.7,0,1,1,0,"0.00%",39.6,0.222,0.222,0,0.667,"FCS",0.666666666666667,5.16666666666667,0.222222222222222
"Brandon Binkowski","VILLANOVA",52,27.08,"D",81,"WR",2026,"Patriot",60.9,3,35,16,5,5,19,3.8,0,2,0,0,0,5,0,0,21,4.2,11,0,0.54,-0.4,0,1,1,0,"0.00%",82.5,0,0.143,0,1,"FCS",1,3.8,0.142857142857143
"Chinua Ezeigbo","CAMPBELL",38,26.85,"D",19,"WR",2026,"CAA",61.3,1,27,20,4,3,21,7,0,1,0,0,0,3,2,1,9,3,8,0.5,0.78,4.3,1,0,1,0,"50.00%",86.5,0,0.148,0,0.75,"FCS",0.75,5.25,0.148148148148148
"Christian Sabsook","TXRG",53,26.73,"D",81,"WR",2026,"Southland",54.8,1,36,21,1,1,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0.19,14,0,0,1,0,"0.00%",135.4,0,0.028,0,1,"FCS",1,7,0.0277777777777778
"Ricky Gonzalez II","FORDHAM",50,26.63,"D",5,"WR",2026,"Patriot",63.1,2,26,5,3,2,25,12.5,0,2,0,0,0,2,0,0,7,3.5,5,0,0.96,7.7,1,1,1,0,"0.00%",52.8,0,0.115,0,0.667,"FCS",0.666666666666667,8.33333333333333,0.115384615384615
"Josiah Brown","LIUSHAR",31,26.39,"D",7,"WR",2026,"Northeast",59.6,1,17,1,2,1,16,16,0,1,0,0,0,1,1,0,0,0,0,0,0.94,25.5,1,0,1,0,"50.00%",77.1,0.118,0.118,0.5,0.5,"FCS",0.5,8,0.117647058823529
"Ellis Stewart","NICHOLLS",56,26.25,"D",8,"WR",2026,"Southland",56.8,3,25,4,5,2,25,12.5,0,2,1,0,0,3,0,0,10,5,5,0,1,23.6,1,1,0.667,0.333,"0.00%",56.3,0,0.2,0.4,0.4,"FCS",0.4,5,0.2
"Elijah Taylor","SAN DIEGO",50,26.1,"D",3,"WR",2026,"Pioneer",58,2,25,5,5,3,34,11.3,0,1,0,0,0,3,1,1,14,4.7,6,1,1.36,7.6,1,0,1,0,"20.00%",40.8,0.04,0.2,0,0.6,"FCS",0.6,6.8,0.2
