"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Jersey.Number.y","Offensive.Grade","Passblock.Grade","Runblock.Grade","Conference_Level"
"BENJI GOSNELL","VA TECH",29,17.14,"F",82,"TE",2026,"ACC",62.2,2,12,1,3,2,13,6.5,0,1,0,0,0,2,0,0,15,7.5,2,0,1.08,5,0,0,1,0,"0.00%",75.7,0,0.25,0,0.667,82,72.1,71,78.3,"P4"
"JELANI THURMAN","N CAROLINA",65,17.01,"F",45,"TE",2026,"ACC",50.2,4,30,2,6,3,18,6,0,1,1,0,0,4,0,0,20,6.7,3,0,0.6,9,0,0,0.75,0.25,"0.00%",56.3,0,0.2,0.167,0.5,45,54,67.9,60.8,"P4"
"VINCE BENETTI","IOWA STATE",22,16.23,"F",37,"TE",2026,"Big 12",37.2,1,9,0,2,1,20,20,0,1,0,1,0,1,0,0,21,21,5,0,2.22,3,1,0,1,0,"0.00%",85.4,0,0.222,0,0.5,37,39.2,64.5,54.8,"P4"
"DAVIN STOFFEL","ILLINOIS",19,15.58,"F",88,"TE",2026,"Big Ten",56,0,10,1,2,2,16,8,0,0,0,0,0,2,0,0,9,4.5,4,0,1.6,3.5,0,0,1,0,"0.00%",100,0,0.2,0,1,88,55.6,69.6,54.8,"P4"
"JANIRAN BONNER","NEBRASKA",19,15.4,"F",4,"TE",2026,"Big Ten",68.5,1,6,0,1,1,9,9,0,1,0,0,0,1,0,0,12,12,4,0,1.5,-3,0,0,1,0,"0.00%",104.2,0,0.167,0,1,4,64.8,NA,55.4,"P4"
"BENJAMIN BRAHMER","PENN STATE",25,15.17,"F",18,"TE",2026,"Big Ten",64.5,2,10,0,3,1,10,10,0,1,0,0,0,1,1,0,4,4,5,0,1,10.7,0,0,1,0,"33.30%",43.8,0.2,0.3,0.333,0.333,18,59,66.9,48.7,"P4"
"JAYVONTAY CONNER","VANDERBILT",39,14.95,"F",8,"TE",2026,"SEC",55.7,4,32,1,4,1,9,9,0,0,0,0,0,1,1,0,4,4,4,0,0.28,17.8,0,1,1,0,"25.00%",39.6,0.125,0.125,0.5,0.25,8,51.6,69.8,43.5,"P4"
"RILEY WILLIAMS","MISS STATE",11,14.57,"F",18,"TE",2026,"SEC",60.1,0,2,0,1,1,7,7,0,0,0,0,0,1,0,0,8,8,4,0,3.5,-1,0,0,1,0,"0.00%",95.8,0,0.5,0,1,18,59,NA,57,"P4"
"LUKE HASZ","OLE MISS",47,14.34,"F",9,"TE",2026,"SEC",53.4,2,21,0,3,3,15,5,0,0,0,0,0,3,0,0,8,2.7,4,0,0.71,2.3,0,0,1,0,"0.00%",87.5,0.095,0.143,0,1,9,51.3,74.8,56.2,"P4"
"MIKKEL SKINNER","KENTUCKY",11,13.23,"F",8,"TE",2026,"SEC",58.6,2,3,0,2,1,7,7,0,0,1,0,0,2,0,0,10,10,5,0,2.33,-2.5,0,0,0.5,0.5,"0.00%",58.3,0.667,0.667,0,0.5,8,65,68.1,60,"P4"
