"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"Gunner Chenier","STETSON",28,44.73,"C",6,"TE",2026,"Pioneer",75.4,3,13,0,4,3,25,8.3,0,2,0,0,0,3,2,1,9,3,2,"50.00%",1.92,5.3,0,0,"100%","0.00%","50.00%",90.6,"15.40%","30.80%","0.00%","75.00%","FCS"
"Sebastian Ramery","MAINE",29,44.73,"C",88,"TE",2026,"CAA",51.5,2,19,2,4,3,8,2.7,0,0,0,0,0,3,0,0,12,4,6,"0.00%",0.42,1.3,0,0,"100%","0.00%","0.00%",77.1,"0.00%","21.10%","0.00%","75.00%","FCS"
"Edward Khutsishvili","UC DAVIS",32,44.73,"C",0,"TE",2026,"Big Sky",59.4,3,23,3,4,3,30,10,1,1,0,0,0,4,1,0,9,3,3,"0.00%",1.3,7.5,1,0,"75.00%","0.00%","25.00%",135.4,"4.30%","17.40%","25.00%","75.00%","FCS"
"Travis Plugge","SAN DIEGO",33,41.45,"C",46,"TE",2026,"Pioneer",61.5,1,17,0,3,3,23,7.7,0,2,0,0,0,3,0,0,16,5.3,6,"0.00%",1.35,2.3,0,0,"100%","0.00%","0.00%",98.6,"0.00%","17.60%","0.00%","100%","FCS"
"CJ Schaeffer","TOWSON",62,41.45,"C",80,"TE",2026,"CAA",58.7,4,39,1,3,3,12,4,1,1,0,0,0,3,0,0,6,2,3,"0.00%",0.31,2,0,0,"100%","0.00%","0.00%",122.9,"2.60%","7.70%","0.00%","100%","FCS"
"Derek Varley","STHLSK",23,41.45,"C",85,"TE",2026,"Northeast",65.3,2,14,0,3,3,10,3.3,1,1,0,0,0,3,0,0,6,2,3,"0.00%",0.71,2,0,0,"100%","0.00%","0.00%",120.1,"0.00%","21.40%","0.00%","100%","FCS"
"Isaiah Grimes","GEORGETOWN",35,41.45,"C",5,"TE",2026,"Patriot",91.5,3,11,0,3,3,26,8.7,1,2,0,0,0,3,0,0,24,8,23,"0.00%",2.36,0.7,1,5,"100%","0.00%","0.00%",142.4,"9.10%","27.30%","0.00%","100%","FCS"
"Larry Benton III","ABILENE CH",35,41.45,"C",88,"TE",2026,"United Athletic",55.8,1,15,0,3,3,11,3.7,0,0,0,0,0,3,1,1,0,0,0,"100%",0.73,3.7,0,0,"100%","0.00%","33.30%",81.9,"6.70%","20.00%","0.00%","100%","FCS"
"Mason McSweeney","HOLY CROSS",49,41.45,"C",44,"TE",2026,"Patriot",53.2,4,27,0,3,3,21,7,1,1,0,0,0,3,0,0,12,4,4,"0.00%",0.78,3,0,0,"100%","0.00%","0.00%",135.4,"0.00%","11.10%","0.00%","100%","FCS"
"Tom Arth","BUCKNELL",22,41.45,"C",85,"TE",2026,"Patriot",56.2,3,12,0,3,3,9,3,0,0,0,0,0,3,0,0,12,4,4,"0.00%",0.75,-1,0,0,"100%","0.00%","0.00%",79.2,"0.00%","25.00%","0.00%","100%","FCS"
"Tanner Beaman","PORTLAND",39,30.91,"D",10,"TE",2026,"Big Sky",75.2,3,20,2,3,2,40,20,0,1,0,0,0,2,1,1,17,8.5,17,"100%",2,10.7,2,1,"100%","0.00%","33.30%",70.1,"5.00%","15.00%","0.00%","66.70%","FCS"
"Levi Linowes","BROWN",57,30.91,"D",86,"TE",2026,"Ivy",55.9,2,31,1,3,2,16,8,0,1,0,0,0,2,1,0,17,8.5,6,"0.00%",0.52,5.3,0,0,"100%","0.00%","33.30%",40.3,"6.50%","9.70%","0.00%","66.70%","FCS"
"Micah Mackay","VALPO",30,30.91,"D",27,"TE",2026,"Pioneer",60.1,1,20,1,3,2,23,11.5,0,1,0,0,0,2,0,0,9,4.5,2,"0.00%",1.15,9,1,0,"100%","0.00%","0.00%",89.6,"5.00%","15.00%","0.00%","66.70%","FCS"
"Avery Giddens","Argonauts",37,30.91,"D",18,"TE",2026,"United Athletic",46.9,3,16,1,3,2,5,2.5,1,1,1,0,0,3,0,0,0,0,0,"0.00%",0.31,3.3,0,0,"66.70%","33.30%","0.00%",109.7,"6.30%","18.80%","0.00%","66.70%","FCS"
"Jake Robinette","Argonauts",44,30.91,"D",80,"TE",2026,"United Athletic",53,2,19,0,3,2,8,4,0,0,0,0,0,2,0,0,4,2,1,"0.00%",0.42,2.7,0,0,"100%","0.00%","0.00%",70.1,"15.80%","15.80%","0.00%","66.70%","FCS"
"Alex Herrera","ILL STATE",28,30.91,"D",13,"TE",2026,"Missouri Valley",61.1,1,14,2,3,2,8,4,1,1,0,0,0,2,0,0,2,1,0,"0.00%",0.57,12,0,0,"100%","0.00%","0.00%",109.7,"14.30%","21.40%","33.30%","66.70%","FCS"
"Jack Donnelly","PENN",24,30.91,"D",22,"TE",2026,"Ivy",54.8,3,13,0,3,2,10,5,0,0,0,0,0,2,0,0,10,5,7,"0.00%",0.77,4.3,0,1,"100%","0.00%","0.00%",71.5,"23.10%","23.10%","0.00%","66.70%","FCS"
"Colin Hayes","VALPO",28,30.91,"D",11,"TE",2026,"Pioneer",62.8,1,17,0,3,2,13,6.5,0,1,0,0,0,3,2,1,4,2,2,"50.00%",0.76,4,0,0,"66.70%","0.00%","66.70%",75.7,"5.90%","17.60%","0.00%","66.70%","FCS"
"Kayden Stuit","E WASHGTON",38,30.91,"D",44,"TE",2026,"Big Sky",62.8,2,15,0,3,2,13,6.5,0,0,0,0,0,2,0,0,1,0.5,0,"0.00%",0.87,7,0,0,"100%","0.00%","0.00%",75.7,"6.70%","20.00%","0.00%","66.70%","FCS"
"Jadon Garza-Pender","BROWN",46,30.91,"D",88,"TE",2026,"Ivy",57.4,4,26,1,3,2,41,20.5,0,2,1,0,0,3,0,0,22,11,7,"0.00%",1.58,7,1,0,"66.70%","33.30%","0.00%",109.7,"0.00%","11.50%","0.00%","66.70%","FCS"
"Braylon Finney","PRVIEW A&M",14,30.91,"D",81,"TE",2026,"SWAC",77.7,2,9,3,3,2,41,20.5,0,2,0,0,0,2,0,0,2,1,0,"0.00%",4.56,19.7,1,0,"100%","0.00%","0.00%",109.7,"11.10%","33.30%","66.70%","66.70%","FCS"
"Jaylan Johnson","INDIANA ST",33,30.91,"D",84,"TE",2026,"Missouri Valley",70.1,2,13,1,3,2,27,13.5,1,1,0,0,0,2,1,1,10,5,5,"100%",2.08,7,1,0,"100%","0.00%","33.30%",134.7,"7.70%","23.10%","33.30%","66.70%","FCS"
"Camden Lewis","MERCYHURST",51,30.91,"D",25,"TE",2026,"Northeast",57,2,17,1,3,2,29,14.5,0,2,0,0,0,3,0,0,8,4,2,"0.00%",1.71,5.7,1,0,"66.70%","0.00%","0.00%",97.9,"11.80%","17.60%","0.00%","66.70%","FCS"
"Drew Sullivan","BUTLER",27,30.91,"D",88,"TE",2026,"Pioneer",53,2,14,2,3,2,20,10,1,1,1,0,0,3,0,0,5,2.5,3,"0.00%",1.43,4,1,0,"66.70%","33.30%","0.00%",125,"0.00%","21.40%","0.00%","66.70%","FCS"
"Andrew Korkosz","MERRIMACK",65,30.91,"D",18,"TE",2026,"IND (FCS)",48.3,1,28,0,3,2,6,3,0,0,0,0,0,2,1,1,3,1.5,1,"100%",0.21,5.7,0,0,"100%","0.00%","33.30%",70.1,"0.00%","10.70%","0.00%","66.70%","FCS"
"Sean Sallis","TXAMEA",49,30.21,"D",83,"TE",2026,"Southland",42.8,3,18,0,6,1,1,1,0,0,0,0,0,1,0,0,-1,-1,0,"0.00%",0.06,6.3,0,0,"100%","0.00%","0.00%",39.6,"5.60%","33.30%","16.70%","16.70%","FCS"
"Jimmy Casey","SACR HEART",39,27.63,"D",81,"TE",2026,"CAA",80.6,1,11,0,2,2,41,20.5,0,1,0,0,0,2,0,0,19,9.5,18,"0.00%",3.73,11,1,0,"100%","0.00%","0.00%",118.8,"0.00%","18.20%","0.00%","100%","FCS"
"Titus Rohrer","MONTANA",33,27.63,"D",44,"TE",2026,"Big Sky",61.9,5,15,1,2,2,16,8,0,1,0,0,0,2,1,1,5,2.5,3,"100%",1.07,5.5,0,0,"100%","0.00%","50.00%",100,"13.30%","13.30%","0.00%","100%","FCS"
"Winston Williams","UC DAVIS",28,27.63,"D",23,"TE",2026,"Big Sky",58,1,6,0,2,2,15,7.5,0,1,0,0,0,2,1,1,8,4,1,"100%",2.5,3.5,0,1,"100%","0.00%","50.00%",97.9,"0.00%","33.30%","0.00%","100%","FCS"
"Jake Young","W CAROLINA",52,27.63,"D",87,"TE",2026,"Southern",63.3,3,23,0,2,2,23,11.5,0,2,0,0,0,2,0,0,8,4,5,"0.00%",1,7.5,0,0,"100%","0.00%","0.00%",114.6,"0.00%","8.70%","0.00%","100%","FCS"
"Alex McDonald","YNGTOWN ST",33,27.63,"D",17,"TE",2026,"Missouri Valley",53.6,2,17,0,2,2,10,5,0,0,0,0,0,2,0,0,6,3,3,"0.00%",0.59,2,0,0,"100%","0.00%","0.00%",87.5,"0.00%","11.80%","0.00%","100%","FCS"
"Landon Hochstein","BUTLER",22,27.63,"D",5,"TE",2026,"Pioneer",56.8,0,9,1,2,2,7,3.5,0,0,0,0,0,2,0,0,8,4,3,"0.00%",0.78,-0.5,0,0,"100%","0.00%","0.00%",81.3,"0.00%","22.20%","0.00%","100%","FCS"
"Will Dixon","RHODE ISLD",19,27.63,"D",87,"TE",2026,"CAA",54.9,2,11,1,2,2,5,2.5,0,0,0,0,0,2,0,0,1,0.5,0,"0.00%",0.45,2,0,0,"100%","0.00%","0.00%",79.2,"0.00%","18.20%","0.00%","100%","FCS"
"Gerard Edimo","STF AUSTIN",15,27.63,"D",8,"TE",2026,"Southland",67.4,3,7,1,2,2,17,8.5,1,1,0,0,0,2,0,0,6,3,2,"0.00%",2.43,5.5,1,0,"100%","0.00%","0.00%",141.7,"14.30%","28.60%","0.00%","100%","FCS"
"Logan Reaska","HARVARD",42,27.63,"D",42,"TE",2026,"Ivy",55,2,10,0,2,2,6,3,0,0,0,0,0,2,1,1,4,2,2,"100%",0.6,1,0,0,"100%","0.00%","50.00%",79.2,"0.00%","20.00%","0.00%","100%","FCS"
"Nick Petrillo","ALBANY",38,27.63,"D",18,"TE",2026,"CAA",74.3,3,14,0,2,2,13,6.5,0,1,0,0,0,2,0,0,6,3,2,"0.00%",0.93,3.5,0,0,"100%","0.00%","0.00%",93.8,"0.00%","14.30%","0.00%","100%","FCS"
"Karsen Konkel","S ILLINOIS",33,27.63,"D",87,"TE",2026,"Missouri Valley",62.2,1,16,1,2,2,28,14,0,1,0,0,0,2,0,0,23,11.5,5,"0.00%",1.75,2.5,1,0,"100%","0.00%","0.00%",118.8,"0.00%","12.50%","0.00%","100%","FCS"
"Rocky Lencioni","MONTANA ST",44,27.63,"D",89,"TE",2026,"Big Sky",67.8,1,17,2,2,2,10,5,1,1,0,0,0,2,0,0,10,5,8,"0.00%",0.59,0,0,1,"100%","0.00%","0.00%",127.1,"5.90%","11.80%","0.00%","100%","FCS"
"Mariano Birdno","MONTANA",37,27.63,"D",81,"TE",2026,"Big Sky",62.6,2,14,0,2,2,16,8,0,0,0,0,0,2,0,0,10,5,7,"0.00%",1.14,3,0,1,"100%","0.00%","0.00%",100,"7.10%","14.30%","0.00%","100%","FCS"
"Kyle Meier","DARTMOUTH",25,27.63,"D",17,"TE",2026,"Ivy",76.5,2,7,0,2,2,13,6.5,0,1,0,0,0,2,1,1,6,3,3,"100%",1.86,3.5,0,0,"100%","0.00%","50.00%",93.8,"28.60%","28.60%","0.00%","100%","FCS"
"Reese Brooks","MONTANA",22,27.63,"D",88,"TE",2026,"Big Sky",64,1,12,1,2,2,8,4,1,1,0,0,0,2,0,0,1,0.5,0,"0.00%",0.67,3.5,0,0,"100%","0.00%","0.00%",122.9,"8.30%","16.70%","0.00%","100%","FCS"
"John Morris","FORDHAM",66,27.63,"D",84,"TE",2026,"Patriot",64.6,3,23,2,2,2,27,13.5,1,2,0,0,0,2,0,0,14,7,7,"0.00%",1.17,6.5,1,2,"100%","0.00%","0.00%",158.3,"4.30%","8.70%","0.00%","100%","FCS"
"Malachi Bryant","MORGAN ST",20,27.63,"D",16,"TE",2026,"MEAC",75.5,2,14,0,2,2,19,9.5,0,2,0,0,0,2,0,0,7,3.5,2,"0.00%",1.36,6,0,1,"100%","0.00%","0.00%",106.3,"7.10%","14.30%","0.00%","100%","FCS"
"Dante Barone","PENN",72,23.65,"D",9,"TE",2026,"Ivy",46.3,3,35,0,4,1,10,10,1,1,1,0,0,3,0,0,0,0,0,"0.00%",0.29,11,0,0,"33.30%","33.30%","0.00%",79.2,"2.90%","11.40%","25.00%","25.00%","FCS"
"Austin Bray","YNGTOWN ST",36,20.37,"D",85,"TE",2026,"Missouri Valley",56.2,1,24,1,3,1,24,24,0,1,0,0,0,1,0,0,7,7,4,"0.00%",1,15,1,0,"100%","0.00%","0.00%",63.2,"4.20%","12.50%","33.30%","33.30%","FCS"
"Rayden Aphayvong","STNY BROOK",71,20.37,"D",47,"TE",2026,"CAA",57.8,2,19,1,3,1,35,35,0,1,0,0,0,1,1,0,32,32,7,"0.00%",1.84,4.3,1,0,"100%","0.00%","33.30%",78.5,"10.50%","15.80%","0.00%","33.30%","FCS"
"Gianni Marino","LIUSHAR",43,20.37,"D",86,"TE",2026,"Northeast",64,1,13,1,3,1,15,15,0,1,0,0,0,1,0,0,6,6,4,"0.00%",1.15,5,1,0,"100%","0.00%","0.00%",50.7,"7.70%","23.10%","0.00%","33.30%","FCS"
"Sean McElwain","WM & MARY",38,17.1,"F",87,"TE",2026,"Patriot",44.1,1,18,0,2,1,5,5,0,0,1,0,0,2,0,0,3,3,2,"0.00%",0.28,0.5,0,0,"50.00%","50.00%","0.00%",56.3,"5.60%","11.10%","0.00%","50.00%","FCS"
"Alex Ginnever","E ILLINOIS",39,17.1,"F",87,"TE",2026,"Big South - OVC Football Association",54.8,4,23,0,2,1,31,31,0,1,1,0,0,2,0,0,20,20,13,"0.00%",1.35,10.5,1,1,"50.00%","50.00%","0.00%",95.8,"0.00%","8.70%","0.00%","50.00%","FCS"
"Travon Jones","PRVIEW A&M",44,17.1,"F",8,"TE",2026,"SWAC",58.3,1,24,3,2,1,9,9,0,0,0,0,0,1,2,1,0,0,0,"50.00%",0.38,14,0,0,"100%","0.00%","100%",62.5,"4.20%","8.30%","0.00%","50.00%","FCS"
"Anthony Rucker","NC A&T",14,17.1,"F",13,"TE",2026,"CAA",71,1,7,0,2,1,8,8,0,0,0,0,0,1,0,0,1,1,1,"0.00%",1.14,16.5,0,0,"100%","0.00%","0.00%",20.8,"0.00%","28.60%","50.00%","50.00%","FCS"
"Itty Henry","ABILENE CH",49,17.1,"F",87,"TE",2026,"United Athletic",55.1,1,11,0,2,1,6,6,0,0,0,0,0,1,0,0,2,2,1,"0.00%",0.55,5.5,0,0,"100%","0.00%","0.00%",56.3,"18.20%","18.20%","0.00%","50.00%","FCS"
"Zach Mehmert","N IOWA",24,17.1,"F",42,"TE",2026,"Missouri Valley",53.9,1,13,0,2,1,6,6,0,0,0,0,0,1,1,1,0,0,0,"100%",0.46,4.5,0,0,"100%","0.00%","50.00%",56.3,"7.70%","15.40%","0.00%","50.00%","FCS"
"Joseph Marranca","LEHIGH",59,17.1,"F",86,"TE",2026,"Patriot",51.5,0,11,0,2,1,5,5,0,0,0,0,0,1,0,0,4,4,1,"0.00%",0.45,3,0,0,"100%","0.00%","0.00%",56.3,"0.00%","18.20%","0.00%","50.00%","FCS"
"Jett Runion","HOUCHR",74,17.1,"F",88,"TE",2026,"Southland",46.4,3,40,0,2,1,7,7,0,1,1,0,0,2,1,0,4,4,1,"0.00%",0.18,3,0,0,"50.00%","50.00%","50.00%",58.3,"2.50%","5.00%","0.00%","50.00%","FCS"
"Dylan Magazu","ELON",29,17.1,"F",34,"TE",2026,"CAA",64.6,2,13,0,2,1,10,10,0,0,0,0,0,1,1,0,3,3,3,"0.00%",0.77,2,0,0,"100%","0.00%","50.00%",64.6,"0.00%","15.40%","0.00%","50.00%","FCS"
"Seamus Gilmartin","HARVARD",30,17.1,"F",5,"TE",2026,"Ivy",44.9,3,16,0,2,1,4,4,0,0,0,0,0,1,0,0,0,0,0,"0.00%",0.25,11.5,0,0,"100%","0.00%","0.00%",56.3,"6.30%","12.50%","0.00%","50.00%","FCS"
"Brady Wagner","YALE",30,17.1,"F",22,"TE",2026,"Ivy",54.8,0,13,3,2,1,4,4,0,0,0,0,0,1,0,0,1,1,0,"0.00%",0.31,3,0,0,"100%","0.00%","0.00%",56.3,"7.70%","15.40%","0.00%","50.00%","FCS"
"Jaden Fowler","WOFFORD",36,17.1,"F",18,"TE",2026,"Southern",50,0,19,1,2,1,5,5,0,0,0,0,0,1,0,0,3,3,0,"0.00%",0.26,13,0,0,"100%","0.00%","0.00%",56.3,"0.00%","10.50%","50.00%","50.00%","FCS"
"Cedric Lott Jr.","INCAR WORD",19,17.1,"F",11,"TE",2026,"Southland",44.4,3,7,1,2,1,5,5,0,0,1,0,0,2,1,1,0,0,0,"100%",0.71,2.5,0,0,"50.00%","50.00%","50.00%",56.3,"14.30%","28.60%","0.00%","50.00%","FCS"
"Briggs Hughston","N IOWA",11,17.1,"F",81,"TE",2026,"Missouri Valley",67.8,1,8,0,2,1,11,11,0,1,0,0,0,1,1,0,10,10,2,"0.00%",1.38,8.5,0,0,"100%","0.00%","50.00%",66.7,"0.00%","25.00%","0.00%","50.00%","FCS"
"Cameron Kelley","STF AUSTIN",31,17.1,"F",80,"TE",2026,"Southland",52.6,2,18,1,2,1,15,15,1,1,1,0,0,2,2,1,0,0,0,"50.00%",0.83,15,1,0,"50.00%","50.00%","100%",114.6,"11.10%","11.10%","0.00%","50.00%","FCS"
"Maximus Nosler","BRYANT",22,17.1,"F",88,"TE",2026,"CAA",63,2,9,1,2,1,5,5,0,1,0,0,0,1,0,0,6,6,3,"0.00%",0.56,7,0,1,"100%","0.00%","0.00%",56.3,"11.10%","22.20%","0.00%","50.00%","FCS"
"Jackson Crawford","VALPO",11,17.1,"F",82,"TE",2026,"Pioneer",54.6,0,8,0,2,1,9,9,0,0,0,0,0,1,0,0,8,8,2,"0.00%",1.13,5.5,0,0,"100%","0.00%","0.00%",62.5,"0.00%","25.00%","0.00%","50.00%","FCS"
"Jaron Kelley","DELWARE ST",34,17.1,"F",7,"TE",2026,"MEAC",51.8,3,18,0,2,1,11,11,0,1,1,0,0,2,0,0,10,10,3,"0.00%",0.61,6.5,0,0,"50.00%","50.00%","0.00%",66.7,"5.60%","11.10%","0.00%","50.00%","FCS"
"Tristin McFarland","LIUSHAR",38,17.1,"F",83,"TE",2026,"Northeast",53,2,9,0,2,1,5,5,0,1,1,0,0,2,0,0,4,4,1,"0.00%",0.56,5.5,0,0,"50.00%","50.00%","0.00%",16.7,"11.10%","22.20%","0.00%","50.00%","FCS"
"Jack Roland","CHISTA",19,17.1,"F",87,"TE",2026,"IND (FCS)",65.9,1,8,1,2,1,3,3,0,0,0,0,0,1,1,0,0,0,0,"0.00%",0.38,8,0,0,"100%","0.00%","50.00%",56.3,"25.00%","25.00%","0.00%","50.00%","FCS"
"Charlie Browder","E TENN ST",27,13.82,"F",88,"TE",2026,"Southern",55,0,7,0,1,1,15,15,0,1,0,0,0,0,0,0,0,0,0,"0.00%",2.14,15,1,0,"0.00%","0.00%","0.00%",118.8,"14.30%","14.30%","0.00%","100%","FCS"
"Brady McCullough","N IOWA",21,13.82,"F",18,"TE",2026,"Missouri Valley",65,1,12,1,1,1,19,19,0,1,0,0,0,1,0,0,0,0,0,"0.00%",1.58,19,1,0,"100%","0.00%","0.00%",118.8,"0.00%","8.30%","0.00%","100%","FCS"
"Kyle Thompson","TARLETON",30,13.82,"F",41,"TE",2026,"United Athletic",54,1,9,0,1,1,2,2,0,0,0,0,0,1,0,0,3,3,1,"0.00%",0.22,-1,0,0,"100%","0.00%","0.00%",79.2,"0.00%","11.10%","0.00%","100%","FCS"
"Tyler Wilms","ALBANY",26,13.82,"F",45,"TE",2026,"CAA",40.9,1,5,0,1,1,2,2,0,0,0,0,0,1,0,0,3,3,0,"0.00%",0.4,-1,0,0,"100%","0.00%","0.00%",79.2,"0.00%","20.00%","0.00%","100%","FCS"
"Shane Garrett","MONMOUTH",30,13.82,"F",84,"TE",2026,"CAA",59.8,0,3,0,1,1,1,1,0,0,0,0,0,1,0,0,2,2,0,"0.00%",0.33,-1,0,0,"100%","0.00%","0.00%",79.2,"33.30%","33.30%","0.00%","100%","FCS"
"Marcus Middleton","MONMOUTH",40,13.82,"F",88,"TE",2026,"CAA",55.2,1,6,0,1,1,4,4,0,0,0,0,0,1,0,0,5,5,3,"0.00%",0.67,-1,0,0,"100%","0.00%","0.00%",83.3,"0.00%","16.70%","0.00%","100%","FCS"
"Drew Danson","NEW HAMP",27,13.82,"F",88,"TE",2026,"CAA",58.8,1,9,0,1,1,12,12,0,1,0,0,0,1,0,0,12,12,5,"0.00%",1.33,0,0,0,"100%","0.00%","0.00%",116.7,"0.00%","11.10%","0.00%","100%","FCS"
"Nolan Clayton","VILLANOVA",42,13.82,"F",19,"TE",2026,"Patriot",53.5,2,10,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,"0.00%",0.1,0,0,0,"100%","0.00%","0.00%",79.2,"10.00%","10.00%","0.00%","100%","FCS"
"Burke Carroll","GEORGETOWN",30,13.82,"F",87,"TE",2026,"Patriot",65.4,1,9,0,1,1,2,2,1,1,0,0,0,1,1,1,0,0,0,"100%",0.22,10,0,0,"100%","0.00%","100%",118.8,"0.00%","11.10%","0.00%","100%","FCS"
"Collin Carroll","GARD-WEBB",35,13.82,"F",87,"TE",2026,"Big South - OVC Football Association",51.1,1,11,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,"100%",0.09,1,0,0,"100%","0.00%","100%",79.2,"0.00%","9.10%","0.00%","100%","FCS"
"Ryan Turley","CENT CT ST",29,13.82,"F",44,"TE",2026,"Northeast",75.9,1,13,0,1,1,22,22,0,1,0,0,0,1,0,0,9,9,4,"0.00%",1.69,13,1,0,"100%","0.00%","0.00%",118.8,"7.70%","7.70%","0.00%","100%","FCS"
"Dawson Adams-Grenier","TENN MARTN",15,13.82,"F",87,"TE",2026,"Big South - OVC Football Association",54.9,0,7,0,1,1,3,3,0,0,0,0,0,1,0,0,-45,-45,0,"0.00%",0.43,48,0,0,"100%","0.00%","0.00%",79.2,"0.00%","14.30%","100%","100%","FCS"
"Nick True","ILL STATE",25,13.82,"F",7,"TE",2026,"Missouri Valley",73.4,1,5,0,1,1,12,12,0,1,0,0,0,1,0,0,2,2,0,"0.00%",2.4,10,0,0,"100%","0.00%","0.00%",116.7,"0.00%","20.00%","0.00%","100%","FCS"
"Luke Leighton","CAL POLY",37,13.82,"F",15,"TE",2026,"Big Sky",53.5,2,9,0,1,1,5,5,0,0,0,0,0,1,0,0,1,1,0,"0.00%",0.56,4,0,0,"100%","0.00%","0.00%",87.5,"0.00%","11.10%","0.00%","100%","FCS"
"Brady Probst","ILL STATE",19,13.82,"F",86,"TE",2026,"Missouri Valley",53.5,0,7,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"0.00%",0,0,0,0,"100%","0.00%","0.00%",79.2,"0.00%","14.30%","0.00%","100%","FCS"
