"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level"
"Adam Jones","MONTANA ST",45,69.84,"B",23,"HB",2026,"Big Sky",65.5,11,18,122,6.8,2,5,2,1,1,57,3.2,65,3.6,0,0.278,0.06,5,0.056,"MONTANA ST",23,"Big Sky",83.7,4,19,0,7,6,92,15.3,0,3,0,0,0,6,0,0,67,11.2,32,0,4.84,6.3,2,1,"100%","0.00%","0.00%",118.8,0.053,0.368,0,"85.70%","Big Sky","FCS"
"Payton Brown","SE MO ST",38,68.15,"B",22,"HB",2026,"Big South - OVC Football Association",69.3,10,18,81,4.5,2,5,0,0,6,34,1.9,47,2.6,0,0.278,0.33,1,0.167,"SE MO ST",22,"Big South - OVC Football Association",80,3,17,0,3,3,34,11.3,0,0,0,0,0,3,0,0,45,15,31,0,2,-3.7,1,7,"100%","0.00%","0.00%",113.9,0,0.176,0,"100%","Big South - OVC Football Association","FCS"
"Danny Shaban","COLGATE",55,67.33,"B",21,"HB",2026,"Patriot",73.1,18,31,139,4.5,1,9,0,0,6,54,1.7,85,2.7,0,0.29,0.19,2,0.129,"COLGATE",21,"Patriot",55.2,2,17,0,2,1,-3,-3,0,0,0,0,0,1,0,0,0,0,0,0,-0.18,0,0,0,"100%","0.00%","0.00%",16.7,0,0.118,0,"50.00%","Patriot","FCS"
"Adam Criter","SAN DIEGO",62,66.8,"B",4,"HB",2026,"Pioneer",68.1,14,28,179,6.4,1,8,0,0,1,71,2.5,108,3.9,0,0.286,0.04,4,0,"SAN DIEGO",4,"Pioneer",57.4,2,28,0,2,2,9,4.5,0,0,0,0,0,2,0,0,8,4,1,0,0.32,0.5,0,0,"100%","0.00%","0.00%",85.4,0,0.071,0,"100%","Pioneer","FCS"
"Andrew King","WM & MARY",42,63.62,"B",8,"HB",2026,"Patriot",67.5,9,16,122,7.6,1,3,0,0,5,18,1.1,104,6.5,0,0.188,0.31,2,0,"WM & MARY",8,"Patriot",69.8,5,15,0,2,2,29,14.5,0,2,0,0,0,2,0,0,24,12,16,0,1.93,2.5,1,2,"100%","0.00%","0.00%",118.8,0,0.133,0,"100%","Patriot","FCS"
"Chris Edmonds","CHISTA",40,62.93,"B",21,"HB",2026,"IND (FCS)",66.2,3,9,88,9.8,1,2,0,0,4,2,0.2,86,9.6,0,0.222,0.44,1,0.111,"CHISTA",21,"IND (FCS)",73,1,23,1,3,3,74,24.7,1,1,0,0,0,3,0,0,84,28,70,0,3.22,-3.3,1,2,"100%","0.00%","0.00%",158.3,0,0.13,0,"100%","IND (FCS)","FCS"
"Aziz Foster-Powell","RICHMOND",63,61.88,"B",3,"HB",2026,"Patriot",67.5,7,17,87,5.1,2,4,0,0,5,20,1.2,53,3.1,0,0.235,0.29,2,0,"RICHMOND",3,"Patriot",80.9,9,36,0,6,5,35,7,1,3,0,0,0,5,0,0,36,7.2,11,0,0.97,0,0,1,"100%","0.00%","0.00%",130.6,0,0.167,0,"83.30%","Patriot","FCS"
"Joseph Williams","HOLY CROSS",50,61.05,"B",0,"HB",2026,"Patriot",74.2,8,16,120,7.5,0,4,1,0,5,52,3.3,68,4.3,0,0.25,0.31,3,0,"HOLY CROSS",0,"Patriot",63.4,3,31,4,5,4,14,3.5,0,1,0,0,0,4,0,0,30,7.5,17,0,0.45,-3.4,0,2,"100%","0.00%","0.00%",79.2,0.097,0.161,0,"80.00%","Patriot","FCS"
"Jaden Green","CAL POLY",38,61.04,"B",1,"HB",2026,"Big Sky",81.6,9,17,126,7.4,1,4,0,0,4,42,2.5,84,4.9,0,0.235,0.24,3,0,"CAL POLY",1,"Big Sky",57.9,1,14,0,1,1,6,6,0,0,0,0,0,1,0,0,5,5,3,0,0.43,1,0,1,"100%","0.00%","0.00%",91.7,0,0.071,0,"100%","Big Sky","FCS"
"CJ Hester","STNY BROOK",38,59.97,"C",33,"HB",2026,"CAA",71.2,10,18,77,4.3,4,7,0,0,4,36,2,41,2.3,0,0.389,0.22,3,0,"STNY BROOK",33,"CAA",52.5,1,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,"0.00%","0.00%","100%",39.6,0,0.1,0,"0.00%","CAA","FCS"
"Markel Townsend","Argonauts",33,58.35,"C",0,"HB",2026,"United Athletic",75.7,5,10,109,10.9,0,4,0,0,2,40,4,69,6.9,0,0.4,0.2,3,0,"Argonauts",0,"United Athletic",69.7,2,20,0,3,3,48,16,0,1,0,0,0,3,0,0,51,17,3,0,2.4,-1,2,0,"100%","0.00%","0.00%",118.8,0.1,0.15,0,"100%","United Athletic","FCS"
"Jayden Sumpter","GEORGETOWN",24,58,"C",8,"HB",2026,"Patriot",71.1,7,11,92,8.4,0,3,0,0,8,47,4.3,45,4.1,0,0.273,0.73,4,0.091,"GEORGETOWN",8,"Patriot",53.9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Patriot","FCS"
"Jayden Hibbler","INCAR WORD",42,57.03,"C",12,"HB",2026,"Southland",73,8,14,70,5,0,4,0,0,8,28,2,42,3,0,0.286,0.57,2,0.071,"INCAR WORD",12,"Southland",48.4,3,22,0,4,3,15,5,0,0,1,0,0,4,1,1,6,2,2,1,0.68,1.5,0,1,"75.00%","25.00%","25.00%",80.2,0.045,0.182,0,"75.00%","Southland","FCS"
"Ace Chatman","UTAHTC",49,56.19,"C",0,"HB",2026,"Big Sky",65.8,11,20,110,5.5,1,5,1,1,2,53,2.6,57,2.9,0,0.25,0.1,3,0,"UTAHTC",0,"Big Sky",43.1,3,23,0,7,4,39,9.8,1,1,0,1,0,4,0,0,44,11,3,0,1.7,2.7,2,0,"100%","0.00%","0.00%",112.5,0,0.304,0,"57.10%","Big Sky","FCS"
"Journey Wyche","CHATTNOOGA",21,55.22,"C",0,"HB",2026,"Southern",72.5,4,13,122,9.4,1,4,0,0,3,35,2.7,87,6.7,0,0.308,0.23,3,0.077,"CHATTNOOGA",0,"Southern",55.8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southern","FCS"
"Lontrell Turner","INCAR WORD",33,54.87,"C",1,"HB",2026,"Southland",62.9,10,13,57,4.4,1,6,2,1,6,18,1.4,39,3,0,0.462,0.46,1,0.077,"INCAR WORD",1,"Southland",61.3,4,17,0,4,4,31,7.8,0,1,0,1,0,4,0,0,42,10.5,6,0,1.82,-2.8,0,0,"100%","0.00%","0.00%",99,0.118,0.235,0,"100%","Southland","FCS"
"Quran Gossett","N ARIZONA",34,54.59,"C",10,"HB",2026,"Big Sky",68.5,8,15,69,4.6,0,5,1,1,8,11,0.7,58,3.9,0,0.333,0.53,3,0,"N ARIZONA",10,"Big Sky",63.8,1,13,0,1,1,0,0,0,0,0,0,0,1,0,0,-10,-10,0,0,0,10,0,0,"100%","0.00%","0.00%",79.2,0,0.077,0,"100%","Big Sky","FCS"
"Rahshan La Mons","ALBANY",38,54.13,"C",2,"HB",2026,"CAA",69.8,7,15,86,5.7,1,5,0,0,5,20,1.3,66,4.4,0,0.333,0.33,2,0.067,"ALBANY",2,"CAA",53.4,2,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,"0.00%","0.00%","0.00%",39.6,0.067,0.067,0,"0.00%","CAA","FCS"
"Manny Ellis","INDIANA ST",13,53.42,"C",24,"HB",2026,"Missouri Valley",72.3,3,8,52,6.5,0,1,0,0,4,-13,-1.6,65,8.1,0,0.125,0.5,1,0.125,"INDIANA ST",24,"Missouri Valley",89,1,2,0,1,1,63,63,0,1,0,0,0,1,0,0,66,66,50,0,31.5,-3,1,0,"100%","0.00%","0.00%",118.8,0,0.5,0,"100%","Missouri Valley","FCS"
"Jeremiah Coney","STNY BROOK",39,53.37,"C",4,"HB",2026,"CAA",74.5,12,20,90,4.5,3,9,0,0,2,34,1.7,56,2.8,0,0.45,0.1,2,0,"STNY BROOK",4,"CAA",53.8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","CAA","FCS"
"Tyler Lofton","ILL STATE",43,53.28,"C",27,"HB",2026,"Missouri Valley",59.2,8,15,62,4.1,2,5,1,1,5,25,1.7,37,2.5,0,0.333,0.33,2,0.067,"ILL STATE",27,"Missouri Valley",62.2,1,18,0,2,2,19,9.5,0,1,0,0,0,2,0,0,24,12,6,0,1.06,-2.5,0,0,"100%","0.00%","0.00%",106.3,0,0.111,0,"100%","Missouri Valley","FCS"
"Kevin Lalin","CHATTNOOGA",26,53.11,"C",9,"HB",2026,"Southern",75.7,10,16,110,6.9,2,6,0,0,2,69,4.3,41,2.6,0,0.375,0.13,2,0,"CHATTNOOGA",9,"Southern",55.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southern","FCS"
"Rashon Brown","BETH COOK",3,52.39,"C",7,"HB",2026,"SWAC",54.7,0,19,108,5.7,3,9,0,0,0,69,3.6,39,2,0,0.474,0,3,0,"BETH COOK",7,"SWAC",60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SWAC","FCS"
"Eli Gillman","MONTANA",49,51.54,"C",10,"HB",2026,"Big Sky",65.9,9,19,85,4.5,0,4,0,0,5,25,1.3,60,3.2,0,0.211,0.26,3,0.316,"MONTANA",10,"Big Sky",35.7,5,25,0,5,3,14,4.7,0,1,2,0,0,5,0,0,11,3.7,2,0,0.56,-0.2,0,0,"60.00%","40.00%","0.00%",64.6,0,0.2,0,"60.00%","Big Sky","FCS"
"Rovaughn Banks Jr.","ABILENE CH",45,50.61,"C",2,"HB",2026,"United Athletic",62.8,9,22,99,4.5,0,7,0,0,1,37,1.7,62,2.8,0,0.318,0.05,3,0.091,"ABILENE CH",2,"United Athletic",67.8,2,12,0,3,3,20,6.7,0,1,0,0,0,3,0,0,36,12,6,0,1.67,-5.3,0,1,"100%","0.00%","0.00%",94.4,0.083,0.25,0,"100%","United Athletic","FCS"
"Champ Dozier","HOUCHR",59,50.41,"C",1,"HB",2026,"Southland",66.7,12,20,73,3.6,0,3,1,1,8,15,0.8,58,2.9,0,0.15,0.4,2,0.05,"HOUCHR",1,"Southland",54.8,2,34,0,4,2,7,3.5,0,0,0,0,0,2,0,0,13,6.5,3,0,0.21,1.5,0,0,"100%","0.00%","0.00%",56.3,0,0.118,0,"50.00%","Southland","FCS"
"Gerian Traynor","BETH COOK",NA,50.23,"C",30,"HB",2026,"SWAC",0,0,17,142,8.3,1,11,0,0,0,127,7.5,15,0.9,1,0.647,0,8,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Jordan Fisher","UC DAVIS",45,49.99,"C",20,"HB",2026,"Big Sky",75.2,9,14,65,4.6,1,7,0,0,2,13,0.9,52,3.7,0,0.5,0.14,2,0.071,"UC DAVIS",20,"Big Sky",63.7,1,25,1,4,4,14,3.5,0,0,0,0,0,4,0,0,10,2.5,5,0,0.56,1,0,1,"100%","0.00%","0.00%",81.3,0,0.16,0,"100%","Big Sky","FCS"
"OJ Ross","BRYANT",23,49.96,"C",4,"HB",2026,"CAA",66.4,6,11,48,4.4,1,5,0,0,2,17,1.6,31,2.8,0,0.455,0.18,1,0.273,"BRYANT",4,"CAA",77.2,2,8,0,4,4,20,5,0,0,0,0,0,4,0,0,15,3.8,11,0,2.5,1.3,0,2,"100%","0.00%","0.00%",87.5,0,0.5,0,"100%","CAA","FCS"
"Isaiah Daniel","BETH COOK",2,48.95,"C",27,"HB",2026,"SWAC",58,0,15,131,8.7,1,8,0,0,0,103,6.9,28,1.9,0,0.533,0,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Jameir Gamble","MERCYHURST",34,48.85,"C",2,"HB",2026,"Northeast",63,6,16,87,5.4,2,5,0,0,0,38,2.4,49,3.1,0,0.313,0,4,0,"MERCYHURST",2,"Northeast",69.8,1,13,0,1,1,11,11,0,1,0,0,0,1,0,0,16,16,0,0,0.85,-5,0,1,"100%","0.00%","0.00%",112.5,0.077,0.077,0,"100%","Northeast","FCS"
"Matt Childs","BROWN",38,48.46,"C",2,"HB",2026,"Ivy",69.3,8,14,53,3.8,2,4,0,0,0,19,1.4,34,2.4,0,0.286,0,1,0.071,"BROWN",2,"Ivy",76.4,4,17,0,6,3,95,31.7,0,2,0,0,0,3,1,0,102,34,93,0,5.59,1.3,1,1,"100%","0.00%","16.70%",95.8,0.118,0.353,0,"50.00%","Ivy","FCS"
"Kemarrion Battles","TOWSON",30,48.26,"C",3,"HB",2026,"CAA",67.9,5,9,39,4.3,0,5,0,0,4,-8,-0.9,47,5.2,0,0.556,0.44,1,0,"TOWSON",3,"CAA",79.7,3,18,0,3,3,52,17.3,0,2,0,0,0,3,0,0,35,11.7,12,0,2.89,5.7,1,1,"100%","0.00%","0.00%",118.8,0.111,0.167,0,"100%","CAA","FCS"
"Hakeem Watters","CHARLES SO",NA,47.74,"C",0,"HB",2026,"Big South - OVC Football Association",0,0,7,123,17.6,3,4,0,0,0,16,2.3,107,15.3,0,0.571,0,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big South - OVC Football Association","FCS"
"Nick Laughlin","MAINE",34,47.51,"C",20,"HB",2026,"CAA",62.9,4,10,38,3.8,0,3,0,0,3,11,1.1,27,2.7,0,0.3,0.3,1,0,"MAINE",20,"CAA",88.9,5,21,1,6,6,42,7,2,4,0,0,0,6,1,1,18,3,11,1,2,4,1,1,"100%","0.00%","16.70%",135.4,0.048,0.286,0,"100%","CAA","FCS"
"Jon Gullette","CAMPBELL",39,47.09,"C",21,"HB",2026,"CAA",74.7,8,14,84,6,0,5,0,0,1,57,4.1,27,1.9,0,0.357,0.07,3,0,"CAMPBELL",21,"CAA",64.3,1,22,0,2,2,17,8.5,0,1,0,0,0,2,0,0,10,5,9,0,0.77,3.5,0,1,"100%","0.00%","0.00%",102.1,0,0.091,0,"100%","CAA","FCS"
"Speedy Jones","STF AUSTIN",15,46.91,"C",20,"HB",2026,"Southland",73.8,8,12,77,6.4,1,6,0,0,3,19,1.6,58,4.8,0,0.5,0.25,3,0,"STF AUSTIN",20,"Southland",56.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southland","FCS"
"Cole Allen","HARVARD",19,46.73,"C",23,"HB",2026,"Ivy",75.5,8,12,62,5.2,0,4,0,0,5,15,1.3,47,3.9,0,0.333,0.42,2,0,"HARVARD",23,"Ivy",62.6,0,5,0,1,1,5,5,0,0,0,0,0,1,0,0,4,4,3,0,1,1,0,0,"100%","0.00%","0.00%",87.5,0,0.2,0,"100%","Ivy","FCS"
"Deonte Dean","ABILENE CH",20,46.28,"C",3,"HB",2026,"United Athletic",75.6,5,8,63,7.9,1,3,0,0,0,38,4.8,25,3.1,0,0.375,0,2,0,"ABILENE CH",3,"United Athletic",72.8,1,8,0,1,1,37,37,1,1,0,0,0,1,0,0,40,40,1,0,4.63,-3,1,0,"100%","0.00%","0.00%",158.3,0,0.125,0,"100%","United Athletic","FCS"
"Bryce Green","TARLETON",30,46.27,"C",19,"HB",2026,"United Athletic",65.1,4,11,74,6.7,1,4,0,0,2,27,2.5,47,4.3,0,0.364,0.18,3,0.273,"TARLETON",19,"United Athletic",55,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","United Athletic","FCS"
"Fredrick Robertson","ALCORN ST",58,46.11,"C",7,"HB",2026,"SWAC",75,8,16,71,4.4,1,2,0,0,4,25,1.6,46,2.9,0,0.125,0.25,1,0,"ALCORN ST",7,"SWAC",61,3,34,0,2,2,15,7.5,0,1,0,0,0,2,0,0,23,11.5,4,0,0.44,-4,0,1,"100%","0.00%","0.00%",97.9,0.029,0.059,0,"100%","SWAC","FCS"
"Christian Vann","GARD-WEBB",39,46,"C",34,"HB",2026,"Big South - OVC Football Association",51.5,4,15,77,5.1,0,4,1,1,5,10,0.7,67,4.5,0,0.267,0.33,2,0,"GARD-WEBB",34,"Big South - OVC Football Association",61.1,1,15,0,1,1,8,8,0,1,0,0,0,1,0,0,8,8,1,0,0.53,0,0,0,"100%","0.00%","0.00%",100,0,0.067,0,"100%","Big South - OVC Football Association","FCS"
"Kamerin McDowell-Moore","ELON",43,45.59,"C",22,"HB",2026,"CAA",61.7,10,17,70,4.1,0,4,1,0,3,22,1.3,48,2.8,0,0.235,0.18,1,0.059,"ELON",22,"CAA",63.3,2,17,1,3,3,35,11.7,0,1,0,0,0,3,0,0,25,8.3,3,0,2.06,3.3,1,0,"100%","0.00%","0.00%",115.3,0.059,0.176,0,"100%","CAA","FCS"
"Damion Moate","PRESBYTERN",36,45.19,"C",5,"HB",2026,"Pioneer",69.6,6,9,43,4.8,1,3,0,0,4,8,0.9,35,3.9,0,0.333,0.44,1,0.222,"PRESBYTERN",5,"Pioneer",52.8,0,16,1,1,1,7,7,0,1,0,0,0,1,0,0,13,13,3,0,0.44,-6,0,0,"100%","0.00%","0.00%",95.8,0,0.063,0,"100%","Pioneer","FCS"
"Kenny Smith Jr.","MONMOUTH",27,45.16,"C",6,"HB",2026,"CAA",68.4,7,17,86,5.1,0,4,0,0,2,28,1.6,58,3.4,0,0.235,0.12,2,0.176,"MONMOUTH",6,"CAA",60,0,5,0,1,1,2,2,0,0,0,0,0,1,0,0,7,7,1,0,0.4,-5,0,0,"100%","0.00%","0.00%",79.2,0.2,0.2,0,"100%","CAA","FCS"
"Matthias Latham","MERRIMACK",41,44.46,"C",34,"HB",2026,"IND (FCS)",64.3,4,14,82,5.9,0,3,0,0,2,21,1.5,61,4.4,0,0.214,0.14,2,0.071,"MERRIMACK",34,"IND (FCS)",69.8,1,17,0,1,1,12,12,0,1,0,0,0,1,0,0,17,17,4,0,0.71,-5,0,1,"100%","0.00%","0.00%",116.7,0.059,0.059,0,"100%","IND (FCS)","FCS"
"Jordan Barnett","MORGAN ST",21,44.25,"C",8,"HB",2026,"MEAC",66.6,8,15,71,4.7,1,4,0,0,5,4,0.3,67,4.5,0,0.267,0.33,2,0,"MORGAN ST",8,"MEAC",57.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","MEAC","FCS"
"Plez Lawrence","NC CENT",25,44,"C",8,"HB",2026,"MEAC",67.2,3,9,59,6.6,1,3,0,0,4,15,1.7,44,4.9,0,0.333,0.44,2,0.111,"NC CENT",8,"MEAC",57.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","MEAC","FCS"
"Tamaj Hoffman","NICHOLLS",19,43.84,"C",6,"HB",2026,"Southland",72.5,5,10,71,7.1,0,3,0,0,3,26,2.6,45,4.5,0,0.3,0.3,3,0.2,"NICHOLLS",6,"Southland",56.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southland","FCS"
"Dazhaun Hopkins","DUQUESNE",9,43.38,"C",0,"HB",2026,"Northeast",71.3,1,7,60,8.6,0,1,0,0,2,46,6.6,14,2,0,0.143,0.29,1,0.143,"DUQUESNE",0,"Northeast",58.3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,"0.00%","0.00%","0.00%",39.6,0,0.5,1,"0.00%","Northeast","FCS"
"Davon Smith Jr.","CENT CT ST",53,43.37,"C",25,"HB",2026,"Northeast",73.3,10,19,92,4.8,0,6,0,0,2,30,1.6,62,3.3,0,0.316,0.11,3,0,"CENT CT ST",25,"Northeast",39.7,1,28,0,2,1,4,4,0,0,1,0,0,2,0,0,8,8,1,0,0.14,0.5,0,0,"50.00%","50.00%","0.00%",56.3,0,0.071,0,"50.00%","Northeast","FCS"
"Anthony Hall","ILL STATE",20,43.31,"C",32,"HB",2026,"Missouri Valley",77.1,8,12,62,5.2,1,5,0,0,4,4,0.3,58,4.8,0,0.417,0.33,1,0,"ILL STATE",32,"Missouri Valley",57.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
