"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"Jake Kiernan","BUCKNELL",52,41.49,"C",60.6,0,74.2,0.105,0.03,0,0.061,1,0,1,0
"Hudson Brewer","SE MO ST",66,40.25,"C",52.2,0,80.4,0.061,0,0,0.03,1,0,0,0
"Luke Swaine","NEW HAMP",77,40.14,"C",54.5,0,55.9,0.115,0.039,0,0.039,0,1,0,2
"Daniel Casillas Jr.","MORGAN ST",41,39.57,"D",58.3,0,39.1,0.083,0.059,0,0.059,0,0,1,0
"Ben Reagan","DARTMOUTH",64,39.57,"D",58.9,0.016,51.8,0.143,0,0,0.028,1,1,0,0
"Quin Whalen","VILLANOVA",60,39.07,"D",59.5,0,70.7,0.097,0.035,0,0.069,1,0,1,0
"Garrett Smith","TENN MARTN",41,38.43,"D",53.3,0,63.5,0.222,0,0,0.043,1,1,0,0
"Logan Wylie","MERRIMACK",70,37.64,"D",50.3,0.014,62,0.25,0,0,0.053,2,0,0,0
"Oscar Solis","GEORGETOWN",56,36.39,"D",58.9,0.018,50.8,0.036,0,0,0.036,1,0,0,0
"Joshua Troiano","STHLSK",47,35.65,"D",57.4,0,48.2,0.191,0,0,0.039,1,1,0,0
"Blake Rhodes-Brown","DELWARE ST",49,34.71,"D",51.7,0.02,54.8,0.25,0,0,0.069,2,0,0,0
"Logan Demchyk","HARVARD",57,32.71,"D",55.8,0.035,50,0.147,0.043,0,0.087,1,1,1,0
"Miada Jones","DELWARE ST",49,30.72,"D",59.5,0.041,26.3,0.25,0,0,0.069,2,1,0,0
"Cooper Bothwell","VALPO",64,29.33,"D",59.2,0.016,31.8,0.25,0,0,0.063,3,0,0,0
"Jackson Pickett","ALCORN ST",85,23.23,"D",47.4,0.024,49,0.265,0,0,0.039,2,3,0,0
"John Golden","STNY BROOK",80,22.01,"D",55.5,0.013,39.9,0.057,0,0,0.037,1,2,0,0
"Brian Hardy","NC CENT",47,21.61,"D",42.5,0,52.5,0.238,0,0,0.077,2,0,0,0
"Benjamin Hicks","AUSTINPEAY",64,21.45,"D",52.8,0,57.6,0.054,0,0,0.074,2,0,0,0
"Trent Savage","TXAMEA",59,17.5,"F",55.2,0,36.3,0.125,0.029,0,0.086,2,0,1,0
"Jorge Rodriguez","LIUSHAR",69,0,"F",49.3,0.029,19.5,0.119,0,0,0.111,3,1,0,0
