"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Jaiden Fair","RICHMOND",13,17.35,"F"
"Santana Carlos","W CAROLINA",47,17.32,"F"
"Weston Adams","MONTANA",22,17.25,"F"
"Auystn Howe","CENT CT ST",27,17.21,"F"
"Dorian Williams","YNGTOWN ST",25,16.79,"F"
"Ty Curran","HOLY CROSS",60,16.32,"F"
"Kyle Vaka","MURRAY ST",22,16.17,"F"
"Demetrius Pearce","SE MO ST",30,16.04,"F"
"Jamall Mensah","RHODE ISLD",48,15.97,"F"
"Jordan Smith","NICHOLLS",33,15.93,"F"
"Kymari Gray","CHISTA",47,15.82,"F"
"Ja'Carree Kelly","NEW HAMP",61,15.79,"F"
"Jakari Mozelle","Argonauts",26,15.57,"F"
"Chris Colby","VILLANOVA",41,15.51,"F"
"Legend Bernard","GEORGETOWN",39,15.5,"F"
"TJ Hamilton","CORNELL",58,15.35,"F"
"Mark Tillman","NC A&T",26,15.29,"F"
"Kaymen Coleman","CHISTA",25,15.28,"F"
"Ja'Kheo Mitchell","UTAHTC",27,15.01,"F"
"Tay Norman","N IOWA",27,15,"F"
"Dean Hangey","SACR HEART",64,14.9,"F"
"Jamai East","E WASHGTON",62,14.86,"F"
"Kenyon Massey","MERRIMACK",29,14.85,"F"
"Brandon Winton","E TENN ST",28,14.65,"F"
"Aaryn Tate","CAMPBELL",30,14.46,"F"
"Brayden White","S DAKOTA",42,14.4,"F"
"Jaiden Ellis-Lahey","N IOWA",31,14.32,"F"
"Riley Anderson","GEORGETOWN",31,14.3,"F"
"Santana Young","LIUSHAR",34,14.17,"F"
"Jason Robinson Jr.","PORTLAND",23,14.07,"F"
"Reid Jones","YALE",51,14.06,"F"
"Zion Fowler-El","WAGNER",38,13.99,"F"
"Kylon Harris","STF AUSTIN",24,13.67,"F"
"Lonyatta Alexander Jr.","IDAHO",52,13.65,"F"
"Josiah Brown","LIUSHAR",41,13.51,"F"
"Stetson Sarratt","STF AUSTIN",29,13.47,"F"
"Ray Hall","CAL POLY",30,13.32,"F"
"Carlyun Neal","E ILLINOIS",14,13.18,"F"
"Jamar Kaho Jr.","ALCORN ST",31,13.05,"F"
"Tommy Troy","NEWHVN",42,13,"F"
"Isaiah Scott","WOFFORD",37,12.88,"F"
"Erik Bussmann","CHATTNOOGA",49,12.74,"F"
