"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","Negative.Rush.Grade.Percentage","Positive.Rush.Grade.Percentage","row_id"
"Lonnie Burt","E ILLINOIS",31,79.33,"B","LB",2026,"Big South - OVC Football Association",75.9,90,65.7,51.6,0,4,2,0,0,0,2,2,0,0,0,0,0,2,0,0,1,4,2,5,"20.00%","40.00%",20,17,-2,"0","35.30%",0,9,1,"50.00%",7,7,0,1,0,0,58.3,0.78,0,"0.00%",0,2,1,2,0,"0.00%","100%","50.00%","0.00%",3.5,9,"0.00%",43,8,"0.00%",4,2,2,"0.00%",2,2,0,0,0,"0.00%",8,8,2,2,0,"FCS",297,NA,NA,NA,297
"Jaylen Dawson","FORDHAM",49,77.21,"B","LB",2026,"Patriot",82.3,88.5,55.7,65.4,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,"0","0.00%",0,28,0.4,"0","17.90%",0,18,1,"100%",5,5,0,0,0,0,87.5,0.28,0,"33.30%",0,1,0,0,0,"0.00%","100%","0.00%","0.00%",5,2,"0.00%",32,10,"0.00%",4,4,3,"0.00%",5,4,0,0,0,"0.00%",10,10,0,1,0,"FCS",219,NA,NA,NA,219
"Zyion Brown","CITADEL",68,75.87,"B","LB",2026,"Southern",60.9,68.8,65.5,52.5,0,1,6,1,0,3,0,4,0,1,1,0,0,1,0,2,1,7,8,9,"11.10%","11.10%",5.6,26,3.4,"11.50%","11.50%",3,33,4,"50.00%",31,7.8,0,1,1,1,20.3,0.94,0,"30.30%",1,6,3,5,3,"0.00%","75.00%","12.50%","12.50%",3.9,3.3,"12.50%",2,10,"9.10%",1,4,1,"0.00%",5,1,0,2,0,"20.00%",11,11,0,3,1,"FCS",32,NA,NA,NA,32
"Harrison Johnson","WM & MARY",84,74.7,"B","LB",2026,"Patriot",70,78.9,72.7,59.2,0,2,3,0,0,0,2,2,0,1,0,0,0,2,0,0,0,7,5,5,"40.00%","40.00%",20,26,3.6,"3.90%","15.40%",1,53,3,"75.00%",46,15.3,0,3,0,1,112.5,0.87,2,"35.90%",0,0,1,4,1,"3.80%","0.00%","75.00%","0.00%",11.5,6.8,"25.00%",8,11,"8.30%",2,3,2,"0.00%",5,2,0,0,0,"20.00%",12,12,0,4,1,"FCS",174,NA,NA,NA,174
"Chris Robinson","TARLETON",51,73.53,"B","LB",2026,"United Athletic",86,74.8,76.4,79.4,0,2,4,0,0,0,2,2,0,0,0,0,0,2,0,0,0,6,1,3,"66.70%","66.70%",33.3,25,3.33,"4.00%","4.00%",1,23,2,"100%",2,1,0,0,0,0,79.2,0.09,0,"30.40%",0,0,0,0,2,"0.00%","0.00%","0.00%","0.00%",1,-0.5,"0.00%",43,10,"9.10%",2,2,0,"20.00%",3,1,1,2,2,"0.00%",11,11,1,5,0,"FCS",201,NA,NA,NA,201
"Spencer Rich","TXRG",53,71.77,"B","LB",2026,"Southland",72.7,79.7,62.1,68.5,0,4,4,0,0,1,1,2,0,0,0,0,0,1,0,0,0,7,3,7,"28.60%","28.60%",14.3,20,1.67,"0","10.00%",0,26,2,"100%",14,7,1,1,0,0,135.4,0.54,0,"34.60%",0,0,0,1,1,"0.00%","0.00%","50.00%","0.00%",7,11,"0.00%",45,11,"8.30%",4,2,1,"0.00%",3,3,0,2,0,"16.70%",12,12,1,4,1,"FCS",6,NA,NA,NA,6
"Dre Delinois","E TENN ST",43,71.68,"B","LB",2026,"Southern",89.2,91.1,60,63,0,2,7,0,0,1,0,1,0,0,0,0,0,1,0,1,0,8,1,1,"0","0.00%",0,31,3.56,"3.20%","35.50%",1,11,0,"0.00%",0,0,0,0,0,0,0,0,0,"36.40%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",33,11,"0.00%",2,7,1,"0.00%",9,2,0,0,0,"0.00%",11,11,0,0,0,"FCS",106,NA,NA,NA,106
"Trevor Barry","NEW HAMP",82,70.38,"B","LB",2026,"CAA",60.2,58,68.6,65.1,0,4,4,1,0,0,0,1,0,1,0,0,0,1,0,1,0,6,7,2,"0","0.00%",0,42,2.5,"9.50%","7.10%",4,38,2,"66.70%",14,7,0,1,0,1,77.1,0.37,0,"21.10%",0.5,2,1,3,2,"0.00%","66.70%","33.30%","0.00%",4.7,7.3,"33.30%",42,11,"8.30%",4,2,1,"14.30%",4,2,1,2,0,"0.00%",12,12,2,2,0,"FCS",229,NA,NA,NA,229
"Nick Reinicke","W ILLINOIS",79,69.52,"B","LB",2026,"Big South - OVC Football Association",72.1,64.7,70.1,70.2,0,2,7,1,0,2,0,3,0,0,0,0,0,1,0,0,2,7,4,17,"5.90%","17.60%",11.8,42,2.33,"9.50%","9.50%",4,20,0,"0.00%",0,0,0,0,0,1,39.6,0,0,"15.00%",0,0,1,0,1,"0.00%","0.00%","0.00%","0.00%",0,14,"100%",10,9,"18.20%",2,6,1,"11.10%",6,2,1,1,0,"0.00%",11,11,0,0,0,"FCS",168,NA,NA,NA,168
"Adam Due","HOLY CROSS",59,68.9,"B","LB",2026,"Patriot",75.2,78.5,56.6,66.1,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,3,"0","0.00%",0,35,7,"5.70%","14.30%",2,21,2,"100%",21,10.5,0,1,0,0,110.4,1,1,"19.10%",0,0,0,1,1,"4.80%","0.00%","50.00%","0.00%",10.5,-2,"0.00%",8,11,"0.00%",3,3,1,"0.00%",6,2,0,1,1,"0.00%",11,11,1,2,0,"FCS",134,NA,NA,NA,134
"Brodie Carroll","ELON",54,68.83,"B","LB",2026,"CAA",61.1,73.8,46.4,57.7,0,4,3,0,0,0,3,3,0,1,0,0,0,2,0,1,2,4,6,5,"0","20.00%",10,16,0.67,"12.50%","18.80%",2,33,2,"50.00%",12,6,0,0,0,1,56.3,0.36,0,"51.50%",0,0,1,4,2,"0.00%","0.00%","0.00%","0.00%",3,1.8,"25.00%",33,7,"12.50%",4,3,2,"0.00%",3,2,0,0,0,"33.30%",8,8,2,0,1,"FCS",198,NA,NA,NA,198
"Logan Lisherness","PORTLAND",51,68.67,"B","LB",2026,"Big Sky",73.5,69.8,69.6,69,1,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,3,"0","0.00%",0,27,1,"7.40%","14.80%",2,21,0,"0.00%",0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",31,10,"9.10%",3,4,2,"14.30%",4,2,1,0,0,"0.00%",11,11,1,3,0,"FCS",79,NA,NA,NA,79
"Aidan Foster","HOWARD",42,67.27,"B","LB",2026,"MEAC",70.8,72.8,59,72.4,0,1,5,1,0,0,2,3,0,0,0,0,0,1,0,0,2,5,3,3,"33.30%","66.70%",50,16,0.75,"12.50%","31.30%",2,23,0,"0.00%",0,0,0,0,0,0,0,0,0,"26.10%",0,0,0,1,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",0,8,"11.10%",1,4,1,"0.00%",4,0,0,1,0,"20.00%",9,9,1,2,1,"FCS",305,NA,NA,NA,305
"Skylar James","DRAKE",57,66.68,"B","LB",2026,"Pioneer",71.3,71,52.1,71.6,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,9,"0","0.00%",0,25,3.5,"0","0",0,23,0,"0.00%",0,0,0,0,0,0,0,0,0,"13.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",8,11,"0.00%",2,2,1,"0.00%",4,0,0,1,1,"0.00%",11,11,2,5,0,"FCS",258,NA,NA,NA,258
"Marcellius Johnson","GRAMBLING",33,65.33,"B","LB",2026,"SWAC",80.9,84.1,67.5,68.6,0,2,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,2,"0","0.00%",0,14,1,"0","21.40%",0,17,2,"100%",12,6,1,1,0,0,131.3,0.71,0,"35.30%",0,0,0,1,3,"0.00%","0.00%","50.00%","0.00%",6,7,"0.00%",2,6,"0.00%",2,2,1,"0.00%",3,1,0,1,0,"0.00%",6,6,1,1,0,"FCS",150,NA,NA,NA,150
"Mason Stromstad","SO UTAH",66,65.3,"B","LB",2026,"Big Sky",57.6,69.1,57.5,51.4,0,2,4,0,0,2,2,4,0,0,0,0,0,2,0,3,1,7,6,2,"0","50.00%",25,25,5.75,"4.00%","8.00%",1,39,6,"75.00%",53,8.8,0,4,0,0,92.2,1.36,2,"33.30%",0,0,2,5,2,"5.10%","0.00%","50.00%","0.00%",6.6,6,"0.00%",6,9,"18.20%",2,2,0,"20.00%",3,1,1,2,2,"16.70%",11,11,1,4,1,"FCS",157,NA,NA,NA,157
"Wyatt Ward","WOFFORD",69,64.97,"B","LB",2026,"Southern",69.2,59,73.5,69.6,0,5,2,0,0,0,2,2,0,1,0,0,0,1,1,0,2,7,4,4,"0","50.00%",25,22,6,"9.10%","9.10%",2,43,4,"80.00%",39,9.8,0,2,0,1,99.2,0.91,1,"30.20%",0,0,1,2,2,"2.30%","0.00%","40.00%","0.00%",7.8,5.2,"20.00%",44,9,"10.00%",5,0,0,"16.70%",1,4,1,2,1,"0.00%",10,10,1,3,0,"FCS",282,NA,NA,NA,282
"Mason Wuenschel","LAMAR",37,64.52,"B","LB",2026,"Southland",67.7,68.2,68.5,60.7,0,1,4,1,0,0,0,1,0,0,0,0,0,2,0,0,0,3,3,4,"25.00%","25.00%",25,18,-1,"11.10%","16.70%",2,15,3,"100%",32,10.7,0,1,0,0,111.1,2.13,1,"26.70%",0,1,0,1,1,"6.70%","33.30%","33.30%","0.00%",10.7,4,"0.00%",9,6,"0.00%",1,2,2,"0.00%",2,0,0,2,0,"0.00%",6,6,1,2,0,"FCS",268,NA,NA,NA,268
"Gerard Culotta","TARLETON",38,64.45,"B","LB",2026,"United Athletic",70.4,71.5,57.2,64.3,0,1,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,2,"0","0.00%",0,22,1.17,"4.50%","9.10%",1,14,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"50.00%",0,0,1,0,0,"0.00%","0.00%","0.00%","0.00%",0,2,"0.00%",33,7,"12.50%",1,6,3,"12.50%",6,1,1,0,0,"0.00%",8,8,0,0,0,"FCS",379,NA,NA,NA,379
"Tay James","SOUTHERN U",59,64.44,"B","LB",2026,"SWAC",76.9,72.9,54.6,77.4,0,1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,3,6,"0","0.00%",0,17,4,"5.90%","11.80%",1,36,2,"50.00%",12,6,0,1,1,0,16.7,0.33,0,"33.30%",0,0,2,2,2,"0.00%","0.00%","25.00%","25.00%",3,3,"0.00%",0,5,"0.00%",1,2,1,"0.00%",3,1,0,1,1,"0.00%",5,5,0,1,0,"FCS",366,NA,NA,NA,366
"Keion Dunlap","SAMFORD",36,64.43,"B","LB",2026,"Southern",86,66.2,71,90,0,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,2,5,"20.00%","0.00%",0,23,1.5,"8.70%","8.70%",2,8,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"12.50%",0,0,1,0,2,"0.00%","0.00%","0.00%","0.00%",0,6,"0.00%",2,5,"16.70%",3,2,0,"20.00%",2,2,1,0,0,"0.00%",6,6,1,0,0,"FCS",212,NA,NA,NA,212
"Mikey D'Amato","CAL POLY",79,64.16,"B","LB",2026,"Big Sky",68,75.3,65.5,58.2,0,5,3,1,0,1,0,2,0,0,0,0,0,0,0,2,0,7,5,4,"0","25.00%",12.5,37,7.33,"5.40%","5.40%",2,38,2,"100%",18,9,0,2,0,0,104.2,0.47,0,"39.50%",0,0,0,3,2,"0.00%","0.00%","100%","0.00%",9,5,"0.00%",44,12,"14.30%",5,1,0,"0.00%",3,4,0,2,0,"28.60%",14,14,1,3,2,"FCS",169,NA,NA,NA,169
"Chase Martin","CAL POLY",34,64.05,"B","LB",2026,"Big Sky",73.1,61.5,70.8,72.9,0,2,1,1,0,2,0,3,0,0,0,0,0,1,0,2,1,2,1,1,"0","100%",100,15,0,"6.70%","6.70%",1,18,1,"100%",0,0,0,0,0,0,79.2,0,0,"27.80%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,-3,"0.00%",22,6,"0.00%",2,0,0,"0.00%",0,1,0,1,1,"0.00%",6,6,1,3,0,"FCS",120,NA,NA,NA,120
"Micah Valenzuela","E ILLINOIS",36,63.13,"B","LB",2026,"Big South - OVC Football Association",69.2,74.9,57.9,61.2,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,3,"0","0.00%",0,20,0,"5.00%","10.00%",1,13,3,"100%",43,14.3,0,1,0,0,118.8,3.31,1,"15.40%",0,1,0,1,1,"7.70%","33.30%","33.30%","0.00%",14.3,2,"0.00%",16,7,"0.00%",3,3,2,"0.00%",3,2,0,0,0,"0.00%",7,7,1,1,0,"FCS",203,NA,NA,NA,203
"Trooper Price","COLGATE",62,62.89,"B","LB",2026,"Patriot",69,80.2,64.1,54.4,0,3,5,0,0,0,1,1,1,0,0,0,0,2,0,0,0,7,4,8,"12.50%","0.00%",0,26,1.2,"7.70%","23.10%",2,28,1,"100%",15,15,0,1,0,0,118.8,0.54,1,"42.90%",0,0,0,2,2,"3.60%","0.00%","100%","0.00%",15,5,"0.00%",18,10,"16.70%",3,5,2,"11.10%",5,3,1,0,0,"33.30%",12,12,0,2,1,"FCS",81,NA,NA,NA,81
"Cole Taylor","MONTANA ST",27,61.79,"B","LB",2026,"Big Sky",83.9,81.5,72.8,65.4,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,4,0,NA,NA,NA,NA,17,5.5,"0","11.80%",0,10,2,"100%",12,6,0,0,0,0,91.7,1.2,0,"40.00%",0,0,0,0,2,"0.00%","0.00%","0.00%","0.00%",6,-1,"0.00%",34,6,"0.00%",2,1,1,"0.00%",2,2,0,0,0,"0.00%",6,6,0,2,0,"FCS",123,NA,NA,NA,123
"Rodney Roane","HOWARD",57,61.61,"B","LB",2026,"MEAC",81,81.8,76.2,65.5,0,1,5,1,0,0,1,2,0,0,0,1,0,0,0,0,1,8,0,10,"10.00%","20.00%",15,25,1.75,"0","16.00%",0,22,1,"100%",7,7,0,0,0,0,95.8,0.32,0,"18.20%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",7,9,"0.00%",4,7,"0.00%",1,4,0,"0.00%",4,1,0,1,0,"0.00%",7,7,0,1,0,"FCS",126,NA,NA,NA,126
"Jaiden Letua","N ARIZONA",40,61.38,"B","LB",2026,"Big Sky",68.4,63.8,62.7,67.1,0,2,4,0,0,1,1,2,0,0,0,0,0,0,0,1,1,4,3,4,"0","25.00%",12.5,15,5.25,"13.30%","6.70%",2,21,3,"75.00%",22,7.3,0,1,0,0,87.5,1.05,0,"14.30%",0,0,1,1,2,"0.00%","0.00%","25.00%","0.00%",5.5,0.8,"0.00%",8,7,"0.00%",2,3,0,"0.00%",4,0,0,1,0,"0.00%",7,7,2,1,0,"FCS",29,NA,NA,NA,29
"Rashad Watson","ALABAMA ST",21,60.69,"B","LB",2026,"SWAC",84.4,83.7,70.4,61.9,0,4,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,1,"0","0.00%",0,14,3,"0","21.40%",0,6,0,"0.00%",0,0,0,0,0,0,0,0,0,"66.70%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",32,8,"0.00%",4,3,0,"0.00%",3,4,0,1,0,"0.00%",8,8,0,0,0,"FCS",158,NA,NA,NA,158
"Gabe Brown","ABILENE CH",74,60.48,"B","LB",2026,"United Athletic",70.7,69.7,53.5,70.6,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,4,"0","0.00%",0,35,0.33,"5.70%","8.60%",2,34,2,"66.70%",13,6.5,0,0,0,0,75.7,0.38,0,"32.40%",0,3,1,0,0,"0.00%","100%","0.00%","0.00%",4.3,-1,"0.00%",13,9,"0.00%",2,3,1,"0.00%",3,1,0,1,0,"0.00%",9,9,1,4,0,"FCS",26,NA,NA,NA,26
"Matthew Cooks","N ARIZONA",17,59.89,"C","LB",2026,"Big Sky",82.8,85.7,NA,63.8,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,NA,NA,NA,NA,11,11,"18.20%","18.20%",2,6,0,"0.00%",0,0,0,0,0,0,0,0,0,"16.70%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",18,4,"0.00%",3,0,0,"0.00%",1,2,0,0,0,"0.00%",4,4,1,0,0,"FCS",324,NA,NA,NA,324
"Geno Calgaro","STNY BROOK",50,59.57,"C","LB",2026,"CAA",61.4,59.7,58.9,62.1,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,2,"0","0.00%",0,22,-1,"13.60%","13.60%",3,26,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"42.30%",0,0,1,1,1,"0.00%","0.00%","0.00%","0.00%",0,41,"0.00%",20,6,"33.30%",3,2,2,"40.00%",2,1,2,0,0,"0.00%",9,9,2,0,0,"FCS",184,NA,NA,NA,184
"Garrett Rogan","VILLANOVA",72,59.56,"C","LB",2026,"Patriot",65.7,71.1,59.4,60.7,0,0,6,0,0,0,1,1,0,1,0,0,0,3,0,1,0,9,5,10,"0","0.00%",0,28,1.6,"3.60%","14.30%",1,34,6,"75.00%",39,6.5,0,3,0,1,84.9,1.15,0,"35.30%",0,0,1,4,3,"0.00%","0.00%","37.50%","0.00%",4.9,0,"12.50%",41,8,"20.00%",0,4,2,"16.70%",5,0,1,2,1,"25.00%",10,10,0,3,1,"FCS",41,NA,NA,NA,41
"Mason Kaplan","ILL STATE",31,59.4,"C","LB",2026,"Missouri Valley",73.1,78,56.8,65.4,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,"0","0.00%",0,12,-1,"0","16.70%",0,17,3,"100%",22,7.3,0,0,0,0,97.2,1.29,0,"47.10%",0,0,0,1,1,"0.00%","0.00%","0.00%","0.00%",7.3,0,"0.00%",14,6,"0.00%",4,1,1,"0.00%",1,2,0,0,0,"0.00%",6,6,2,1,0,"FCS",19,NA,NA,NA,19
