"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Markell Redding","AUSTINPEAY",44,60.25,"B"
"Kyrin Gray","SE LA",15,59.92,"C"
"Isiah Davis","FL A&M",15,59.88,"C"
"Jah'quii Roberts","CHISTA",48,59.82,"C"
"DJ Brown","LEHIGH",40,59.74,"C"
"Tyler Bannon","STHLSK",38,59.73,"C"
"Brayden Hapner","W ILLINOIS",54,59.64,"C"
"Chase Van Tol","S DAK ST",48,59.46,"C"
"Jaylen McRoy","ALCORN ST",50,59.13,"C"
"Shay Ragland","DAVIDSON",33,59.05,"C"
"Morris Taylor","MCNEESE",34,59.03,"C"
"Tayvion Haney","ALCORN ST",62,58.22,"C"
"Jakobe Freeman","TENN STATE",33,58.21,"C"
"Hasson Manning Jr.","MONMOUTH",35,58.09,"C"
"Zakaa Brown","TOWSON",65,57.96,"C"
"Jack Chappell","E KENTUCKY",18,57.93,"C"
"SJ Gentle","CAL POLY",30,57.88,"C"
"Jordan Holmes","DUQUESNE",22,57.65,"C"
"Sebastian Vargas","S ILLINOIS",26,57.36,"C"
"Marseille Taylor","W CAROLINA",18,57.31,"C"
"Quedrion Miles","ROB MORRIS",24,57.25,"C"
"Sean Ferguson","W GEORGIA",31,57.15,"C"
"Jadyn Marshall","CAL POLY",79,57.08,"C"
"DonPaul Keith","W ILLINOIS",32,56.99,"C"
"Brennen Bailey","LAMAR",39,56.82,"C"
"Nijah Richards","NEW HAMP",16,56.49,"C"
"Kenny Selby","SACR HEART",65,56.36,"C"
"Tamajh Mitchell","E TENN ST",26,56.31,"C"
"Nasir Bashir","NORFOLK",37,56.23,"C"
"Tehron Spencer","CHISTA",60,55.97,"C"
"Ethan Haston","VA MILT IN",46,55.96,"C"
"J'hari Mosley","CITADEL",53,55.9,"C"
"Anthony Hightower III","HAMPTON",44,55.88,"C"
"Drew Cofield","UC DAVIS",61,55.88,"C"
"Lanar Kelley","LAMAR",36,55.64,"C"
"Jevean Brown","ELON",47,55.58,"C"
"Kareem Hector","STNY BROOK",43,55.49,"C"
"Nehemiah Norwood","N ARIZONA",16,55.45,"C"
"RJ Brunson","SCAR STATE",19,55.35,"C"
"Ignatious Williams","LEHIGH",40,55,"C"
"Nigel Gay","MERCER",27,54.91,"C"
"Mo Seide","STHLSK",57,54.71,"C"
"LeBron Morgan","W ILLINOIS",50,54.61,"C"
"Isaac Nyenabo","W GEORGIA",26,54.59,"C"
"Ayden Murray","BUCKNELL",38,54.57,"C"
"Aaron Kinsey","IDAHO",58,54.35,"C"
"Andre Jackson Jr.","W CAROLINA",59,54.18,"C"
"Christian Watson","LAFAYETTE",31,54.15,"C"
"Jack McGrath","E KENTUCKY",43,53.95,"C"
"Jahaad Fort","N ARIZONA",46,53.76,"C"
"Hayden Meese","DAVIDSON",44,53.46,"C"
"Noah Taylor","PRESBYTERN",40,53.39,"C"
"Ashton Dixon","VA MILT IN",34,53.39,"C"
"Corey Williams","VA MILT IN",24,53.25,"C"
"Mekhi Kilburn","ROB MORRIS",43,53.19,"C"
"Jayshaun Johnson","GRAMBLING",15,53.04,"C"
"Jaden King","HOUCHR",55,53.02,"C"
"Gavin Hagan","INDIANA ST",27,52.82,"C"
"Hysan Dalton","IDAHO",41,52.8,"C"
"Joseph Tabe","HOWARD",33,52.72,"C"
"Brent Barnes","ALCORN ST",37,52.72,"C"
"Aaron Evans","NORFOLK",16,52.41,"C"
"Julio Tatis","WAGNER",46,52.19,"C"
"Roy Ma'afala Jr.","UTAHTC",48,52.17,"C"
"Safir Stills-Bey","MCNEESE",31,52.11,"C"
"Thio Georges","HOUCHR",33,51.99,"C"
"Amare Garrett","TEXAS STHN",52,51.94,"C"
"Joshua Baskerville","LAMAR",16,51.91,"C"
"Gianni Edwards","MONTANA ST",19,51.87,"C"
"Ryan Strickland","NC A&T",45,51.81,"C"
"Ephraim Dotson","LAMAR",21,51.73,"C"
"Nicholas Williams","MERCYHURST",52,51.67,"C"
"Tristan Johnson","BUTLER",58,51.49,"C"
"Chase Fountain","HOLY CROSS",56,51.45,"C"
"Nio Espinoza","ILL STATE",31,51.42,"C"
"Jayden Jackson","MORGAN ST",47,51.39,"C"
