"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Interceptions","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Lined.up.in.Press.Coverage","Missed.Tackles.on.Pass.Plays","Pass.Break.Up","Plays.of.15..Yards.Allowed","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Touchdowns.Allowed","Hurries","Dropped.Int","Forced.Fumble","Beaten.Defender","Hits","Pursuit.Pressure","Fumble.Recovery","Sacks","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Unblocked.Pass.Rush","Batted.Passes.at.the.Line","Interception"
"Drew Buckley","ALBANY",76,78.86,"B",77.4,78.3,62.3,64.4,8,4,2,71.5,0,4.5,5,13.3,0.2,2,0,1,NA,0,1,0,50,0,2,1,0,0,0,0,0,1,0,0,0,"11.10%",1,1,1,4,2,1,3,2,"66.70%",10,1,1,0,"0.00%","66.70%","33.30%","0.00%",3.3,"33.30%","20.00%","0.00%",1,NA,0
"Hayden Bender","DAVIDSON",31,77.09,"B",73.4,64.4,75,64.5,5,3,0,0,0,13,0,0,0,0,0,0,NA,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,"0.00%",0,0,1,3,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Nahamani Harris","PRVIEW A&M",44,77.08,"B",67.6,86.7,54.9,NA,6,2,2,39.6,0,12.25,0,16,0,0,0,1,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"14.30%",2,0,0,2,3,0,2,0,"0.00%",0,0,2,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","14.30%","0.00%",0,NA,0
"Jalen Nelson","SAMFORD",66,76.88,"B",68.1,66.6,68.4,57.8,10,2,4,0,0,8.83,0,0,0,1,0,2,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"16.70%",3,2,0,2,3,1,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","22.20%","0.00%",0,NA,0
"Zeb Stroup","CITADEL",40,76.84,"B",63,60.4,67.6,NA,2,1,0,0,1,22,0,18.5,0,0,2,0,NA,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,1,0,"0.00%",0,0,0,0,"0.00%","50.00%","0.00%","50.00%",0,"0.00%","0.00%","0.00%",0,NA,1
"Kaleb Gallop","HOWARD",53,76.71,"B",79.8,71.3,80.4,75.7,5,0,4,56.3,0,6.5,4,0,0.13,0,1,0,NA,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"0.00%",3,1,1,0,0,0,2,1,"50.00%",4,0,0,0,"0.00%","0.00%","0.00%","0.00%",2,"0.00%","0.00%","0.00%",1,NA,0
"Shawn Smith","DRAKE",46,75.39,"B",71.3,69.9,70.8,56.4,8,2,3,0,0,5.33,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,2,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Billy Lewis","FURMAN",33,75.02,"B",72.3,70.4,70.5,NA,7,4,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,4,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Caleb Geronomi","RICHMOND",40,74.95,"B",78.9,80.4,65.3,NA,1,1,0,39.6,0,0,0,19,0,0,1,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,2,0,"0.00%",0,0,2,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Zayden Harvey","MOREHEAD",17,74.81,"B",85.6,85.5,60.6,NA,2,0,1,39.6,0,0,0,21.5,0,0,0,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,0,"0.00%",0,0,2,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Derek Taylor","E KENTUCKY",57,74.77,"B",66.7,63.2,71.3,NA,7,2,1,39.6,0,7.25,0,21,0,1,3,0,NA,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,2,2,1,0,0,"0.00%",0,0,0,0,"0.00%","33.30%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Donovan Fey","MONMOUTH",63,74.65,"B",66.5,67.6,71.2,NA,7,2,2,0,0,18.67,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,2,1,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Brenden Bradshaw","HOUCHR",31,74.57,"B",72.5,64.7,76,NA,6,4,0,0,0,9,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,4,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Jake Kruger","W ILLINOIS",49,74.22,"B",75.2,73.9,72.4,NA,7,1,0,39.6,0,11.6,0,19,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Brody Shuss","DRAKE",55,74.21,"B",71.7,71.4,67.4,58.2,8,3,1,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,3,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Jayden Earley","CHISTA",56,74.19,"B",62,69.9,56.7,39.8,1,0,0,2.8,1,27,4,12.7,0.17,0,1,1,NA,1,1,0,NA,0,0,0,0,1,0,0,0,0,1,0,0,"66.70%",0,0,1,0,3,2,2,1,"33.30%",4,0,1,0,"0.00%","0.00%","0.00%","33.30%",1.3,"33.30%","50.00%","100%",0,NA,1
"Garrett Baldwin","HOLY CROSS",57,73.67,"B",67.5,67,59,73.6,4,2,1,39.6,0,8,6,8.8,0.27,1,3,1,NA,1,2,0,50,0,0,0,0,0,0,0,0,0,1,0,1,"33.30%",0,0,1,2,4,3,3,1,"16.70%",6,1,2,0,"0.00%","0.00%","16.70%","0.00%",1,"33.30%","33.30%","33.30%",0,NA,0
"Jeremiah McGill","MAINE",43,73.53,"B",70.1,64.2,76.8,NA,8,1,2,39.6,0,5.25,0,49,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,"0.00%",2,0,0,1,1,1,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"David Roulley","WM & MARY",45,73.42,"B",65.8,69.8,51.6,NA,3,0,0,0,1,22,0,19,0,0,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,2,1,2,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","50.00%",0,"50.00%","0.00%","0.00%",0,NA,1
"Omaris McMiller Jr.","BRYANT",51,73.37,"B",76.1,77.7,68.6,NA,3,1,0,42.4,0,12,7,28.7,0.54,0,2,0,NA,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,2,1,"33.30%",7,0,0,0,"0.00%","33.30%","0.00%","0.00%",2.3,"0.00%","0.00%","0.00%",0,NA,0
"Kam Baah-Slay","CHATTNOOGA",61,73.18,"B",77.5,78.1,67.9,NA,4,0,2,39.6,0,-4,0,16,0,0,0,0,NA,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,0,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","0.00%",0,NA,0
"Terian Williams II","E TENN ST",23,73.13,"B",75.5,61.3,78.2,NA,6,2,3,0,0,3,0,0,0,0,0,0,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",3,1,0,2,1,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Jaden Davis","BETH COOK",44,73.04,"B",63,65.1,58.5,NA,4,1,2,0,1,7.33,0,26,0,0,1,2,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"33.30%",2,1,0,1,3,1,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","50.00%",0,"0.00%","33.30%","0.00%",0,NA,1
"Jaden Nelson","CHATTNOOGA",50,72.84,"B",70.3,67.4,71.8,NA,4,2,1,0,0,18,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Jarrett Mitchel","LAMAR",42,72.66,"B",87.1,90.4,51.9,NA,4,1,0,33.3,1,0,5.5,7.3,0.52,1,0,0,NA,1,0,0,NA,0,2,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,1,1,0,1,2,"66.70%",11,0,0,0,"0.00%","66.70%","0.00%","33.30%",3.7,"0.00%","0.00%","20.00%",0,NA,1
"Nigel Lucas","GARD-WEBB",39,72.41,"B",71.5,71.8,64.8,NA,3,0,0,12.5,1,15,16,22.7,0.73,0,1,0,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,1,1,"33.30%",16,1,0,0,"4.50%","0.00%","33.30%","33.30%",5.3,"0.00%","0.00%","0.00%",0,NA,1
"Braylon Jones","W CAROLINA",39,72.41,"B",78.5,80.5,64.4,NA,6,1,3,56.3,0,0.5,3,2.5,0.15,0,0,0,NA,0,1,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,"0.00%",2,1,0,1,1,0,2,1,"50.00%",3,0,1,0,"0.00%","0.00%","0.00%","0.00%",1.5,"50.00%","0.00%","0.00%",0,NA,0
"Omari Philyaw","TENN TECH",39,72.09,"B",68.5,66,69.2,NA,3,0,0,0,1,9.67,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,1
"Nick Peltekian","LEHIGH",28,72.05,"B",70.5,76.4,57.5,NA,4,3,1,0,0,4,0,0,0,1,0,1,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"20.00%",1,0,0,3,2,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","25.00%","0.00%",0,NA,0
"Troy Wilkey","IDAHO ST",64,72.01,"B",69.7,70.1,62.4,NA,2,0,0,0,1,0,0,17,0,0,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","50.00%",0,"0.00%","0.00%","0.00%",0,NA,1
"Leon Thomas","TENN TECH",27,72.01,"B",64.4,64.7,72.2,59.6,6,4,0,0,0,8,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,4,1,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Mar Mar Evans","LAMAR",41,71.99,"B",70.6,68.8,69.3,NA,9,3,3,56.3,0,7,-2,6,-0.1,1,1,1,NA,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,"10.00%",2,1,0,3,2,1,1,1,"50.00%",-2,0,0,0,"0.00%","50.00%","0.00%","0.00%",-1,"0.00%","20.00%","0.00%",0,NA,0
"Joe Hall III","TENN TECH",50,71.91,"B",68.6,66.5,68.9,NA,3,1,1,0,0,23,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Kamrin Canterbury","PRVIEW A&M",49,71.87,"B",77.8,88.2,56.5,NA,8,0,2,56.3,0,7.5,5,5.5,0.4,0,0,1,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"11.10%",1,0,0,0,2,0,2,2,"50.00%",10,0,2,0,"0.00%","0.00%","0.00%","0.00%",2.5,"50.00%","14.30%","0.00%",0,NA,0
"Jayden Cornelius","W CAROLINA",58,71.73,"B",62.9,60.4,70.1,NA,10,1,3,42.1,1,16,8.7,8.9,1.63,1,2,0,NA,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,"9.10%",1,1,0,1,5,5,3,6,"66.70%",52,3,0,0,"3.10%","0.00%","33.30%","11.10%",5.8,"0.00%","0.00%","12.50%",0,NA,1
"Avery Dixon","CHARLES SO",34,71.61,"B",77.5,78.6,62.5,NA,1,1,0,39.6,0,0,0,23,0,1,0,0,NA,1,1,0,NA,0,0,0,0,0,1,0,0,0,0,1,0,"50.00%",0,0,0,1,1,1,2,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","50.00%",0,NA,0
"Ronnie Woods","ROB MORRIS",45,71.57,"B",79.8,79.5,65.3,NA,1,0,1,39.6,0,3,0,11.5,0,0,1,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,3,0,"0.00%",0,0,3,0,"0.00%","0.00%","0.00%","0.00%",0,"75.00%","0.00%","0.00%",0,NA,0
"Jordan McClom","N IOWA",69,71.49,"B",71.3,71.3,66.2,60,4,1,1,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",0,1,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"TJ Sands","TOWSON",67,71.13,"B",67.3,65.8,67.8,55.2,6,2,1,0,0,9,0,0,0,0,0,1,NA,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,"14.30%",1,0,1,2,2,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","16.70%","0.00%",1,NA,0
"Hayden John","UC DAVIS",60,71.06,"B",70.3,68.2,70.8,NA,3,1,0,39.6,0,0,5,7.2,0.16,0,3,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,2,2,2,1,"20.00%",5,0,2,0,"0.00%","0.00%","0.00%","0.00%",1,"40.00%","0.00%","0.00%",0,NA,0
"Tae Martin","N ALABAMA",80,70.98,"B",77,75.5,74.1,NA,8,4,1,114.3,0,6,10.5,0.4,0.98,2,2,0,NA,0,1,1,NA,0,6,0,1,0,1,0,0,0,0,0,0,"0.00%",1,0,0,4,0,0,1,4,"57.10%",42,2,1,0,"2.30%","85.70%","28.60%","0.00%",6,"14.30%","0.00%","0.00%",0,NA,0
"Cohen Charles","MCNEESE",24,70.95,"B",75.8,80.1,62.3,60,3,1,1,39.6,0,-1,0,2,0,0,1,1,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"25.00%",1,1,0,1,1,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","33.30%","0.00%",0,NA,0
"Deandre Goodson","STHLSK",17,70.55,"B",66.9,70.9,57.7,NA,1,0,0,0,1,7,0,13,0,0,1,1,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,1,0,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","100%",0,"0.00%","50.00%","0.00%",0,NA,1
"RL Miller","CAL POLY",57,70.45,"B",77.1,78.6,67.7,NA,10,4,2,89.2,0,2,6.8,1.4,0.9,1,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,"0.00%",0,0,0,4,1,0,2,4,"80.00%",27,0,0,0,"0.00%","0.00%","0.00%","0.00%",5.4,"0.00%","0.00%","0.00%",0,NA,0
"Jackson Stone","NEW HAMP",61,70.42,"B",72.3,73,67.1,60,5,0,1,39.6,0,15.8,0,11,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16.70%",1,0,0,0,1,0,1,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","16.70%","0.00%",0,NA,0
"Braylon Beckwith","MERCYHURST",68,70.15,"B",69.2,63.3,75.4,58.9,5,3,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,3,1,1,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Mike Jenkins","E TENN ST",37,70.12,"B",72.8,63.4,75.8,NA,4,2,1,0,0,7,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Trevor Hardy","AUSTINPEAY",61,69.76,"B",72.7,70.9,67.9,60,9,2,3,68.8,0,6.5,12,3,0.4,2,1,1,NA,0,0,0,50,0,2,0,0,1,0,0,0,0,0,0,0,"10.00%",3,0,1,2,1,0,0,1,"50.00%",12,1,0,0,"0.00%","100%","50.00%","0.00%",6,"0.00%","20.00%","0.00%",1,NA,0
"Matai Tomas","HOUCHR",50,69.52,"B",66.8,64.4,67,NA,8,2,5,39.6,0,3,0,11,0,1,1,0,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",5,1,0,2,3,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Caleb Turner","NORFOLK",28,69.27,"B",69.3,66.1,70.2,NA,3,2,0,0,0,6,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Parker Vance","SO UTAH",71,69.06,"B",70.3,68.9,69.2,NA,7,2,1,71.1,1,15.67,18.7,18.1,1.3,1,1,0,NA,2,2,3,NA,0,0,0,1,0,0,1,0,0,0,0,0,"22.20%",1,0,0,2,6,5,5,3,"42.90%",56,3,2,0,"7.00%","0.00%","42.90%","14.30%",8,"28.60%","0.00%","40.00%",0,NA,1
"Javian Jones","BRYANT",31,69.04,"B",67,63.3,66.5,58.8,6,1,3,0,0,11,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",3,1,0,1,1,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
