"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Lined.up.in.Press.Coverage","Passer.Rating.Allowed","Pass.Break.Up","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Tackle","Interceptions","Pass.Stop","Missed.Tackles.on.Pass.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Touchdowns.Allowed","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Hurries","Hits","Fumble.Recovery","Forced.Fumble","Sacks","Pursuit.Pressure","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","First.Contact","Batted.Passes","Interception","Drops...Off.Targets.Receptions.Forced","Pass.Rush.Productivity","Unblocked.Pass.Rush","Beaten.Defender","Plays.of.15..Yards.Allowed"
"Josh Grant","S DAKOTA",23,92.41,"A",77.1,74.7,69.6,NA,2,1,1,NA,39.6,1,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Ty Lee","SOUTHERN U",64,92.06,"A",75.6,76.1,62.9,NA,7,0,6,NA,74.1,1,4,0.3,2.6,1.5,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"0.00%",2,2,0,0,3,2,5,5,"71.40%",13,1,1,"0.00%","0.00%","14.30%","0.00%","14.30%","0.00%","0.00%",7,0,0,1,NA,0,0,0
"Eric Zachery","PRVIEW A&M",49,91.78,"A",76.6,76,67.7,NA,2,0,1,NA,42.4,2,20.7,0.11,3,10,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"33.30%",0,0,0,0,1,1,2,1,"33.30%",3,0,2,"0.00%","0.00%","0.00%","0.00%","66.70%","0.00%","50.00%",3,0,0,0,NA,0,0,0
"Jalen Guillard","GRAMBLING",56,91.64,"A",82.2,79.1,79.4,NA,4,1,1,NA,96.5,1,18.3,1.22,19.5,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,"0.00%",0,1,1,1,3,3,4,2,"33.30%",39,2,3,"3.10%","0.00%","33.30%","0.00%","50.00%","0.00%","0.00%",3,0,0,2,NA,0,0,1
"Landon Carter","SOUTHERN U",65,91.61,"A",77.1,76.8,64.9,NA,3,0,1,NA,39.6,2,22.1,0.31,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,2,2,4,2,"25.00%",14,1,2,"0.00%","0.00%","12.50%","0.00%","25.00%","0.00%","0.00%",4,0,0,3,NA,0,0,0
"Jaylen Boehm-Peterson","S DAKOTA",53,91.31,"A",74.8,77.2,70.4,NA,3,0,2,NA,39.6,1,18.8,0,0,-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,1,1,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",2,0,0,2,NA,0,0,0
"Cadence Turner","N COLORADO",41,91.26,"A",76.6,75.1,70.7,NA,3,0,1,NA,39.6,1,31.3,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","33.30%","0.00%","0.00%",2,0,0,2,NA,0,0,0
"Xavier Porter","ELON",24,90.99,"A",79.9,75.5,63.4,76.9,4,0,3,NA,39.6,0,14,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"0.00%",1,0,1,0,0,0,2,0,"0.00%",0,0,2,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",2,0,0,1,100,0,0,0
"Justin Wilson","W GEORGIA",27,90.36,"A",75.8,75.2,65.8,NA,1,1,0,NA,0,0,38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","100%","0.00%","0.00%","0.00%",0,0,1,1,NA,0,0,0
"Roddrick Roberts","TARLETON",18,89.75,"A",73.5,63.9,80.9,46.3,7,1,6,NA,0,0,0,0,0,2,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,"12.50%",5,2,1,1,2,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","50.00%",4,0,0,0,50,1,0,0
"Jaiden Allos","MERCYHURST",48,86.12,"A",70.9,69.4,69.4,58,4,3,1,NA,58.3,1,13,0.82,7,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,"0.00%",0,0,0,3,1,1,1,2,"50.00%",14,1,1,"0.00%","50.00%","25.00%","0.00%","25.00%","0.00%","0.00%",3,0,0,1,0,0,0,0
"Jeremiah Washington","RICHMOND",54,84.97,"A",76.7,76.3,68.4,NA,2,0,0,NA,39.6,1,17.3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",1,0,0,3,NA,0,0,0
"Tymir Wynn","COLGATE",68,84.7,"A",70.9,74.3,60.6,55.2,5,1,0,NA,0,1,12.3,0.24,9,9.33,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"28.60%",0,0,1,1,3,2,2,1,"25.00%",9,0,1,"0.00%","0.00%","0.00%","25.00%","25.00%","20.00%","50.00%",4,0,1,2,NA,1,0,0
"Dray Duncan","NC A&T",51,84.33,"A",79,79,65.5,NA,5,0,2,NA,62.5,1,7,0.35,9,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,1,"50.00%",9,0,1,"0.00%","100%","0.00%","0.00%","50.00%","0.00%","0.00%",4,0,0,0,NA,0,0,0
"Key Crowell","ILL STATE",29,84.01,"A",77,76.7,60,NA,3,0,1,NA,76.3,2,14.8,1.16,9.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,1,1,3,3,"60.00%",29,1,2,"4.00%","0.00%","20.00%","0.00%","40.00%","0.00%","0.00%",3,0,0,1,NA,0,0,1
"Trey Lubin","RHODE ISLD",61,83.55,"A",70.3,71.7,69,70.8,4,0,1,NA,39.6,0,13,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"0.00%",0,0,1,0,1,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,1,100,0,0,0
"Branson Leduc-Mattox","WM & MARY",84,82.27,"A",72.7,71.3,71.2,NA,2,1,0,NA,39.6,1,13.5,0.09,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,1,1,"25.00%",5,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",3,0,0,2,NA,0,0,0
"X'Avion Brice","TXAMEA",35,82.2,"A",72.7,70.6,71,NA,5,0,4,NA,90,1,12.6,1.4,7,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,2,2,3,4,"80.00%",28,1,1,"5.00%","0.00%","20.00%","0.00%","20.00%","0.00%","0.00%",5,0,0,0,NA,0,0,1
"Kyree Richardson","RICHMOND",46,82.2,"A",69,68,65.8,NA,3,1,0,NA,29.2,2,17.1,1.79,17.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"25.00%",0,0,0,1,3,3,3,3,"42.90%",52,2,2,"3.50%","0.00%","28.60%","14.30%","28.60%","0.00%","33.30%",3,0,1,1,NA,0,0,1
"Jeremiah Postell","TARLETON",61,82.08,"A",70.5,68,73.1,NA,10,4,2,NA,100,0,7,1.03,11.3,-1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,4,2,2,2,3,"75.00%",34,1,0,"3.00%","0.00%","25.00%","0.00%","0.00%","0.00%","0.00%",5,0,0,1,NA,0,0,1
"Kendrick Clark","CHARLES SO",37,82.07,"A",76,76.1,64.9,60,2,0,1,NA,56.3,1,6.3,0.67,5.3,13,0,1,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,"33.30%",0,1,1,0,1,1,3,3,"50.00%",16,1,2,"4.20%","50.00%","16.70%","0.00%","33.30%","0.00%","50.00%",3,0,0,1,50,1,0,1
"Sanborne Melson","PORTLAND",17,81.99,"A",76.7,77.4,62.2,NA,1,0,0,NA,39.6,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"LaMarion Pierce","TENN MARTN",29,81.84,"A",77.2,77.2,61.3,NA,3,0,1,NA,56.3,1,2.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,1,1,3,1,"50.00%",0,0,2,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Mekhi Toms","N IOWA",71,81.68,"A",73.2,72.8,67.1,NA,8,1,1,NA,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",7,0,0,0,NA,0,0,0
"Harrison Brun","S DAKOTA",52,81.43,"A",76.8,76.2,70.7,60,5,0,4,NA,70.1,0,1.3,0.11,1.5,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",2,1,0,0,1,0,2,2,"66.70%",3,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",4,0,0,1,0,0,0,0
"Tim Thomas II","MONTANA ST",27,81.36,"A",79.6,65.6,90.5,NA,3,0,2,NA,39.6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.00%",2,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,1,NA,0,0,0
"Tyson Roberts","STNY BROOK",50,81.15,"A",78.6,79.3,63.4,66.1,6,1,4,NA,79.2,0,2,0.33,3,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"14.30%",1,1,0,1,1,0,3,3,"100%",9,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","33.30%","0.00%",7,0,0,0,0,0,1,0
"Justin Ferguson","MERCER",41,80.98,"A",81.1,81.6,62.6,NA,1,0,0,NA,56.3,1,11,0.22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.00%",0,0,0,0,0,0,3,1,"50.00%",5,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Mason Edwards","MCNEESE",24,80.95,"A",74.4,73.6,63.6,NA,1,0,1,NA,39.6,1,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Tim Christian","SO UTAH",33,80.49,"A",76.1,75.8,61.6,NA,2,0,0,NA,56.3,2,16.2,1.14,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,2,2,"40.00%",25,1,2,"4.50%","0.00%","20.00%","0.00%","40.00%","0.00%","0.00%",2,0,0,1,NA,0,0,1
"Bertin Placide","MERRIMACK",44,80.35,"A",70.5,70.4,65.3,58.7,3,0,1,NA,66.7,2,24.6,2.37,21.3,13,1,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,"25.00%",0,0,0,0,4,4,3,3,"37.50%",64,3,2,"7.40%","25.00%","37.50%","12.50%","25.00%","0.00%","33.30%",2,0,1,2,0,0,0,2
"Rett Hemphill","MURRAY ST",33,79.95,"B",76.7,82.6,67.3,58,7,0,4,NA,94.4,0,-1.3,1.18,6.7,4.5,0,3,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,"12.50%",1,2,0,0,3,2,4,3,"100%",20,1,0,"0.00%","100%","33.30%","0.00%","0.00%","0.00%","16.70%",6,0,0,0,0,0,0,0
"Cameron Goggins","MERCER",22,79.78,"B",80.2,80.1,61,NA,1,0,1,NA,56.3,1,8.5,0.33,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,1,"50.00%",4,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Jocelyn Malaska","ABILENE CH",37,79.61,"B",71.9,68.8,72.6,NA,4,1,1,NA,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Dev Holman","YNGTOWN ST",43,79.44,"B",76.7,75.4,70.2,NA,3,1,1,NA,39.6,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"Jayden Lewis","SAMFORD",28,79.3,"B",72.1,70.5,67.6,NA,2,2,0,NA,39.6,0,24.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,1,NA,0,0,0
"Tre Turner","WEBER ST",57,78.83,"B",70.8,67.2,74.4,NA,4,0,1,NA,39.6,0,28.5,0,0,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,2,NA,0,0,0
"Boston Wilson","CAL POLY",48,78.73,"B",75.6,75.5,65.6,NA,4,1,0,NA,56.3,1,7,0.33,5,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,1,1,1,2,2,"50.00%",10,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","25.00%",3,0,0,1,NA,0,0,0
"Geovanny Fabian","DELWARE ST",55,78.68,"B",67.5,62.9,75.2,NA,4,2,1,NA,39.6,0,20.8,0.26,6,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,1,1,1,1,"25.00%",6,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",2,0,0,2,NA,0,0,0
"Michael Henderson","ARKAPB",55,78.47,"B",81.8,87.3,48.7,NA,7,0,1,NA,85.4,1,11.3,0.67,10,8.33,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"12.50%",0,0,0,0,4,2,3,2,"66.70%",20,1,1,"0.00%","33.30%","33.30%","0.00%","33.30%","0.00%","20.00%",8,0,0,0,NA,0,0,0
"Erick Roman","VA MILT IN",17,78.21,"B",62.6,63.9,60.5,59.4,6,4,1,NA,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,4,2,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,0,0,0,0
"Jeremiah Brown","UC DAVIS",53,78.1,"B",67.7,66.4,67.4,60,3,0,2,NA,50.7,1,13,1.07,15,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",1,1,0,0,2,2,3,2,"33.30%",30,1,2,"3.60%","0.00%","16.70%","0.00%","33.30%","0.00%","0.00%",1,0,0,1,0,0,0,1
"Charron Dorsey","SCAR STATE",32,77.99,"B",73.6,73.6,62,NA,NA,0,0,NA,39.6,1,21.3,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","33.30%",NA,NA,0,0,0,1,NA,0,0,0
"TreShawn Shorty","IDAHO ST",89,77.75,"B",71.5,71.2,66.4,60,3,1,0,NA,23.8,0,19.6,0.7,14.3,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,"25.00%",0,0,0,1,4,4,2,3,"42.90%",43,3,1,"1.60%","28.60%","42.90%","28.60%","14.30%","0.00%","25.00%",4,0,2,1,0,0,0,1
"D.J. Adams","CHATTNOOGA",61,77.72,"B",72,72.1,64.1,NA,5,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",4,0,0,0,NA,0,0,0
"Garrison Heslop","NEWHVN",15,77.63,"B",75.5,63.2,81.6,NA,4,0,2,NA,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",4,0,0,0,NA,0,0,0
"Revis McClairen","DAVIDSON",27,77.56,"B",71.8,66.5,77.1,59.1,3,1,1,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,0,0,0,0
"Antonio Hall","NWSTATE",19,77.32,"B",69.4,65.6,69.4,NA,4,2,1,NA,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Dre Kirton","NEWHVN",33,76.18,"B",71.3,70.3,66.2,NA,1,0,0,NA,39.6,0,34,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Derrick Murdock","ARKAPB",16,75.99,"B",72,72.4,61.9,NA,3,1,1,NA,39.6,0,13,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Zech Pratt","LNDNWD",29,75.9,"B",71.2,74.1,52.3,NA,1,0,0,NA,39.6,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Caleb McKenzie","FL A&M",25,75.67,"B",71.7,71.4,64.2,60,3,0,2,NA,42.4,0,8.7,0.24,4,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,0,0,1,1,"33.30%",4,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,2,0,0,0,0
"Bryson Hughley","NC A&T",28,75.46,"B",79.1,79,65.1,NA,5,1,2,NA,81.9,0,1.3,1.1,3.7,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,2,3,"100%",11,0,0,"0.00%","33.30%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"Christian Lyons","DAVIDSON",52,75.1,"B",68.6,68,67.5,59.3,2,1,0,NA,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"0.00%",0,0,1,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,50,1,0,0
"Evin McDowell","MERCER",54,74.91,"B",75.1,75.2,65.9,NA,3,0,2,NA,71.5,0,8.7,0.32,5,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,2,"66.70%",10,0,1,"0.00%","0.00%","0.00%","0.00%","33.30%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Garrison Codde","DRAKE",64,74.49,"B",71.2,70.7,66.7,NA,3,0,1,NA,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",5,0,0,0,NA,0,0,0
"Austin Brown","CHARLES SO",23,74.32,"B",72.3,71.8,61,NA,2,0,1,NA,39.6,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,1,NA,0,0,0
