"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"Tanner Schuck","FURMAN",19,16.51,"F","ED",2026,"Southern",67.9,70.8,56,60.6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"0","0.00%",0,9,2,"0","11.10%",0,2,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",41,2,"0.00%",0,2,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",79,NA,79
"Ben Bienvenu","NWSTATE",23,16.21,"F","ED",2026,"Southland",50,57.6,57.3,60.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"0","0.00%",0,17,4,"17.60%","0",3,2,0,"0.00%",0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",45,3,"0.00%",2,1,0,"0.00%",1,2,0,0,0,"0.00%",3,3,0,0,0,"FCS",242,NA,242
"Franz Reisz","N IOWA",35,16.19,"F","ED",2026,"Missouri Valley",62.2,67.7,54.1,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,"0","0.00%",0,15,3,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,"0.00%",2,0,0,"0.00%",1,2,0,0,0,"0.00%",3,3,0,0,0,"FCS",188,NA,188
"Mikel Hines","NWSTATE",20,16.08,"F","ED",2026,"Southland",70.5,67.9,56.5,61.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,"0","0.00%",0,13,1,"0","7.70%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,2,"0.00%",0,0,0,"0.00%",1,0,0,1,0,"0.00%",2,2,0,1,0,"FCS",210,NA,210
"Joshua Saddler","CITADEL",16,16.06,"F","ED",2026,"Southern",75.2,66.1,55.4,65.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,"0","0.00%",0,6,1,"0","16.70%",0,2,0,"0.00%",0,0,0,0,0,1,39.6,0,0,"0.00%",0,1,0,0,1,"0.00%","100%","0.00%","0.00%",0,6,"100%",26,1,"0.00%",0,1,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",96,NA,96
"Adrian Ramirez","DUQUESNE",30,15.8,"F","ED",2026,"Northeast",67.5,68.5,57.1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"0","0.00%",0,25,0,"0","4.00%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",157,NA,157
"Dantu Gardner Jr.","BUTLER",37,15.8,"F","ED",2026,"Pioneer",61.1,66,53.9,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,18,"0","5.60%",2.8,19,5,"5.30%","10.50%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"0.00%",0,0,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",164,NA,164
"Rodney Mills","LIUSHAR",47,15.65,"F","ED",2026,"Northeast",51.6,45,58.2,60,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,20,"5.00%","5.00%",2.5,27,4,"25.90%","3.70%",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,"0.00%",2,1,0,"0.00%",1,2,0,0,0,"0.00%",3,3,0,0,0,"FCS",187,NA,187
"Jayden Norris","BUTLER",22,15.62,"F","ED",2026,"Pioneer",60.3,65.1,54,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,"0","0.00%",0,10,13.5,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,"0.00%",0,1,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",75,NA,75
"Jaylin Johnson","SACR HEART",56,15.62,"F","ED",2026,"CAA",63.2,66.7,57.6,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36,"2.80%","2.80%",1.4,20,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",101,NA,101
