"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"Premiere Whitley","E ILLINOIS",47,66.68,"B","DI",2026,"Big South - OVC Football Association",84.2,91.4,58.1,60,0,2,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,3,0,26,"0","3.90%",3.9,21,0,"0","14.30%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,"0.00%",2,1,1,"0.00%",1,1,0,1,0,"0.00%",4,4,1,0,0,"FCS",288,288
"JJ Lewis","MONMOUTH",48,65.45,"B","DI",2026,"CAA",81.3,73.7,80.3,NA,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,18,"11.10%","5.60%",5.6,30,2,"3.30%","10.00%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,"0.00%",1,1,0,"0.00%",2,1,0,1,0,"0.00%",4,4,0,0,0,"FCS",251,251
"Mitchel Jaskowiak","IDAHO",55,64.21,"B","DI",2026,"Big Sky",76.3,78.5,60,NA,0,2,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5,1,19,"5.30%","5.30%",2.6,36,8.5,"2.80%","19.40%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,8,"0.00%",2,4,1,"0.00%",6,2,0,0,0,"0.00%",8,8,0,0,0,"FCS",23,23
"Hayden Loveless","TOWSON",47,63.57,"B","DI",2026,"CAA",74.9,65.8,76.5,NA,1,1,2,0,0,2,1,3,1,0,0,0,0,0,0,0,1,0,1,26,"11.50%","11.50%",5.8,21,3.5,"4.80%","4.80%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,3,"0.00%",1,2,0,"0.00%",2,1,0,0,0,"0.00%",3,3,0,0,0,"FCS",347,347
"Nate Stohl","PRINCETON",40,63.11,"B","DI",2026,"Ivy",62.2,57.3,72.5,NA,0,4,3,0,0,0,2,2,0,0,0,0,0,1,0,0,0,5,5,11,"18.20%","18.20%",9.1,29,3,"17.20%","17.20%",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,8,"0.00%",4,3,1,"0.00%",4,4,0,0,0,"0.00%",8,8,0,0,0,"FCS",296,296
"Isaiah Harvey","CHATTNOOGA",23,63.1,"B","DI",2026,"Southern",72,57.9,69.8,62.1,0,0,2,2,0,0,1,3,0,0,0,1,1,0,0,1,0,2,1,14,"14.30%","21.40%",17.9,9,0,"11.10%","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,2,"0.00%",0,0,0,"0.00%",0,0,0,1,0,"0.00%",2,2,0,0,0,"FCS",156,156
"Josh Fedd","HARVARD",37,63.09,"B","DI",2026,"Ivy",68.7,53.9,73.7,NA,0,0,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,4,1,26,"15.40%","11.50%",9.6,11,5,"9.10%","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,"0.00%",0,0,0,"0.00%",1,0,0,2,0,"0.00%",3,3,0,0,0,"FCS",121,121
"Zack Black","MONTANA ST",46,63.07,"B","DI",2026,"Big Sky",69.2,63.8,68.8,60,0,1,4,1,0,0,2,3,0,0,0,0,0,0,0,0,0,3,2,27,"11.10%","11.10%",7.4,19,4.5,"10.50%","10.50%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,5,"0.00%",1,2,0,"0.00%",2,1,0,2,0,"0.00%",5,5,0,1,0,"FCS",9,9
"Sebastian Regis","STNY BROOK",47,62.26,"B","DI",2026,"CAA",69.3,71,62.7,60,0,1,2,2,0,0,1,3,0,0,0,0,0,0,0,1,0,2,0,32,"6.30%","9.40%",7.8,15,1,"0","6.70%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,"0.00%",1,1,0,"0.00%",1,0,0,1,0,"0.00%",4,4,1,0,0,"FCS",193,193
"Aaziah Scott","STHLSK",35,60.87,"B","DI",2026,"Northeast",89.5,90.8,66,NA,0,1,1,0,0,2,0,2,0,0,0,1,0,1,0,0,0,2,1,18,"11.10%","11.10%",5.6,17,0,"5.90%","11.80%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,2,"0.00%",1,1,1,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",342,342
