"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Blake Thorp","VALPO",16,31.97,"D"
"Emmanuel Olojo","VALPO",25,31.71,"D"
"K'Mard Kimble","STF AUSTIN",27,31.65,"D"
"Asher Tomaszewski","S DAKOTA",24,31.64,"D"
"Tyler Hammel","NEWHVN",50,31.59,"D"
"Walter Goggins","N ALABAMA",20,31.44,"D"
"Mack Johnson","YALE",30,31.34,"D"
"Mond Cole","N ALABAMA",23,31.13,"D"
"Cameryn Heath","WM & MARY",25,31.09,"D"
"Broderick Tommie Jr.","TENN MARTN",47,31.08,"D"
"Semaj Fluellyn","W GEORGIA",20,31.02,"D"
"Malcolm Jefferies","DELWARE ST",29,30.75,"D"
"Tiu Afalava","FORDHAM",37,30.63,"D"
"Kevin Bright","SACR HEART",49,30.59,"D"
"Bryce Rooks","MONMOUTH",30,30.47,"D"
"Arinze Maijeh","GEORGETOWN",20,30.36,"D"
"Davin Dzidzienyo","WM & MARY",55,30.34,"D"
"Jake Williams","UC DAVIS",38,30.31,"D"
"Jaylin Tate","YALE",46,30.07,"D"
"DeMarcus Wynn","PRVIEW A&M",26,30.06,"D"
"Marquacious Wright","LIUSHAR",39,29.94,"D"
"Molik Mason","PRVIEW A&M",51,29.68,"D"
"Keisean Johnson-Wilson","MONMOUTH",23,29.56,"D"
"Jaden Roper","BRYANT",28,29.53,"D"
"Caleb Estrada","CHISTA",41,29.48,"D"
"Tobi Akintade","HOUCHR",46,29.43,"D"
"Kerry North","PRVIEW A&M",30,29.23,"D"
"Dawson Rivers","W GEORGIA",24,29.18,"D"
"Josaiah Asuega","MONTANA ST",20,29.15,"D"
"Dishawn Misa","E WASHGTON",40,29.14,"D"
"Jaggar Tavai","UTAHTC",28,29.11,"D"
"Shawan Lewis","ALBANY",29,29.1,"D"
"Justyce Hathaway","MERRIMACK",17,29.03,"D"
"Davis Prichard","CAMPBELL",21,29.03,"D"
"Samarion George","TXAMEA",28,28.86,"D"
"Brandon Ukonu","HARVARD",34,28.54,"D"
"Gensley Auguste","DELWARE ST",24,28.53,"D"
"Zeliah Wade","PORTLAND",24,28.45,"D"
"Nathan Hayes","ELON",18,28.36,"D"
"Isaiah Boyd","ALBANY",37,28.29,"D"
"Case Mankins","RHODE ISLD",72,28.19,"D"
"Jared Hirschfeld","SACR HEART",37,28.13,"D"
"Fernando Jeanty","W CAROLINA",24,27.95,"D"
"Blake Holmes","NEW HAMP",54,27.8,"D"
"Malik Gucake","PRVIEW A&M",22,27.75,"D"
"Xavier Trotter","INCAR WORD",31,27.68,"D"
"Damola Owode","STHLSK",20,27.59,"D"
"Ramon McAndrews","MERCYHURST",33,27.36,"D"
"Mike Hamilton","MAINE",18,26.87,"D"
"Rashad Reid","ELON",27,26.67,"D"
"Elijah Clark","NC CENT",19,26.54,"D"
"Carson Moore","MERCYHURST",20,26.44,"D"
"Jadon Best","CAMPBELL",15,26.28,"D"
"Jeff Bowie","S DAKOTA",30,26.2,"D"
"Zion Patillo","DUQUESNE",21,26.14,"D"
"Immanuel Hawkins","PRVIEW A&M",41,26.02,"D"
"Charlie Meehleib","BUCKNELL",24,25.98,"D"
"Adam Camphor","SE MO ST",41,25.97,"D"
"Fasitootai Sagapolu","UTAHTC",57,25.66,"D"
"Michael Albert","PRINCETON",20,25.65,"D"
"Cadricus Stanley","NC A&T",20,25.41,"D"
"Jackson Stein","MURRAY ST",17,25.29,"D"
"Sam Greenspan","CORNELL",44,25.27,"D"
"Landon Carson","ALCORN ST",24,25.19,"D"
"Folu Shobowale","GEORGETOWN",32,25.15,"D"
"Milton White Jr.","MURRAY ST",16,25.03,"D"
"Peter Lagemann","BUCKNELL",20,24.98,"D"
"Ke'Vion Wellington","MERCER",33,24.88,"D"
"Chaz Knox","ELON",34,24.59,"D"
"Christian Markum","E ILLINOIS",15,24.52,"D"
"Jay Culbreth","W GEORGIA",18,24.5,"D"
"Herbert Ware","PORTLAND",50,24.41,"D"
"Dakari Harris","TXAMEA",29,24.35,"D"
"Levi Hoss","PRESBYTERN",43,24.2,"D"
"Wyatt Boals","ILL STATE",22,24,"D"
"Gabe Whittington","SE LA",25,23.91,"D"
"Isaac Keim","MONTANA",32,23.91,"D"
"Rhett Schaefer","S DAK ST",21,23.89,"D"
"Asaiah Hamond","TOWSON",31,23.78,"D"
"Ryan Kuennen","N IOWA",26,23.63,"D"
"Teddy Roby","ALCORN ST",20,23.61,"D"
"Isaiah Johnson","TARLETON",25,23.58,"D"
"Malachi Edgerly","CORNELL",20,23.53,"D"
"Hunter Sharbono","MONTANA ST",19,23.5,"D"
"Trenton Kintigh","WOFFORD",16,23.48,"D"
"Kavion Benton","N ALABAMA",39,23.46,"D"
"Josh Gonzalez","INCAR WORD",24,23.41,"D"
"Jordan Jones","CAMPBELL",25,23.34,"D"
"Carson Freese","PRESBYTERN",38,23.29,"D"
"Shanard Lo-Ray","MERCYHURST",26,23.13,"D"
"Aidan Horodnik","HOLY CROSS",51,23,"D"
"Jaice Tupea","E WASHGTON",22,22.91,"D"
"Cooper Austin","YALE",27,22.84,"D"
"Adam DeSantis","COLGATE",37,22.83,"D"
"Dawson James","NC A&T",50,22.77,"D"
"Ivan Murray Jr.","VILLANOVA",40,22.72,"D"
"O'Shea Miller","TARLETON",21,22.68,"D"
"Brandon Mills","MURRAY ST",28,22.63,"D"
"Darrell Hamilton","MERRIMACK",19,22.54,"D"
"Robert Beasley","INDIANA ST",30,22.53,"D"
"Mason Keifer","INDIANA ST",25,22.42,"D"
"Liam Forster","PENN",23,22.36,"D"
"Zekiel Seumalo","MONTANA",50,22.36,"D"
"Cooper Buffington","MONTANA",38,22.33,"D"
"Noah Raab","STETSON",23,22.18,"D"
"Gustavo Bravo","BRYANT",29,22,"D"
"Luca Lopez","PENN",23,21.96,"D"
"Chris Dixon","S DAKOTA",57,21.86,"D"
"Deshawn Palmer","ALCORN ST",42,21.83,"D"
"Keoni Perkins","DARTMOUTH",33,21.71,"D"
"Kion Wright","ALBANY",24,21.69,"D"
"Travon Sylvester","STF AUSTIN",21,21.67,"D"
"Josh Osuagwu","STHLSK",18,21.5,"D"
"Alexander Cossignani","DELWARE ST",30,21.49,"D"
"Delano Marcelus","MERCER",21,21.38,"D"
"Chance Symons","INCAR WORD",15,21.14,"D"
"Nick Johnsen","VALPO",16,21.13,"D"
"Renardo Lewis","GARD-WEBB",24,21,"D"
"Marquise Brunson","DELWARE ST",28,20.98,"D"
"Devin Huegel","UC DAVIS",20,20.97,"D"
"Montrell Henderson","CHATTNOOGA",21,20.94,"D"
"Luke Green","BUTLER",40,20.93,"D"
"Logan Jellison","ILL STATE",18,20.92,"D"
"Chase Somers","MERCYHURST",18,20.91,"D"
"Gerald Danner","PRESBYTERN",56,20.8,"D"
"Bryce Gentry-Warrick","MERRIMACK",33,20.79,"D"
"Kai Baugh","TXAMEA",44,20.66,"D"
"Jamari Buddin","DUQUESNE",20,20.58,"D"
"Cade Davis","STETSON",36,20.46,"D"
"Christian Santiago","ALBANY",19,20.38,"D"
"Anthony Gray","TXAMEA",41,20.2,"D"
"Brandon Dunn","CORNELL",16,20.18,"D"
"Calogero LoGrasso","BUCKNELL",49,20.11,"D"
"Alani Ma'afu","N ARIZONA",24,20.06,"D"
"Ocean Taufa","IDAHO",15,20.06,"D"
