"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Average.Depth.of.Tackle","Pursuit.Pressure","Run.Tackle.for.Losss.or.No.Gain","Pass.Rush.Productivity","Passer.Rating.Allowed","Average.Depth.of.Target.per.Coverage","Yards.per.Reception.Allowed","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Unblocked.Pass.Rush","Drops...Off.Targets.Receptions.Forced","Sacks","Missed.Tackles.on.Pass.Plays","Beaten.Defender","Plays.of.15..Yards.Allowed","Hits","Pass.Tackle.for.Loss.or.No.Gain","Lined.up.in.Press.Coverage","Batted.Passes","Pass.Break.Up","Forced.Fumble","Interceptions","Touchdowns.Allowed","Fumble.Recovery","Dropped.Int","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"MYLES BROWN","VIRGINIA",15,78.73,"B",90.1,87.6,60,61.8,5,2,3,2,0,0.33,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,3,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
"AJ TUITELE","CAL",67,77.08,"B",72,77.3,70.1,68.1,10,3,3,1,0,3,1,1,16.7,100,5,11.3,0.79,2,1,1,0,0,0,1,3,0,NA,0,0,0,0,0,0,0,0,2,1,1,1,4,3,2,2,1,3,0.75,34,1,0,0,0,0.023,0,0.25,0,8.5,0,0,0,10,0,4
"XAVIER ATKINS","AUBURN",40,76.58,"B",73.3,64.6,87.2,59.5,6,3,2,3,0,3,0,0,22.7,84.4,3.5,6.3,1.06,0,1,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,1,0,4,5,3,2,1,0,3,0.75,19,1,0,0,0,0,0,0.25,0,4.8,0,0,0,6,0,4
"CAM BUFFINGTON","IOWA",53,76.33,"B",74.2,87.3,56.1,54.9,15,4,7,4,0,2.75,0,1,0,110.4,8,10.5,1.17,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,5,2,1,0,0,4,4,2,0,2,1,21,2,0,0,0,0.056,0,1,0,10.5,0,0,0,15,0,7
"VINCENT FIRENZE","WAKE",41,75.86,"B",83.1,77.7,72.5,74.9,8,3,3,1,0,4,0,0,20,87.5,3.3,5,0.71,2,2,0,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,1,2,0,1,2,3,0,0,1,3,1,15,0,0,0,0,0,0,0,0,5,0,0,0,8,0,4
"ANTHONY PALANO","BOSTON COL",70,73.28,"B",77.6,84.8,68.8,62.2,9,4,2,3,1,8.75,0,0,25,48.6,9,11,0.79,1,1,0,1,1,0,0,0,0,NA,0,0,0,2,0,0,0,0.182,1,1,0,0,1,4,3,2,2,2,0.667,22,1,0,0,2,0,0.667,0.333,0.667,7.3,0,0.125,0.333,11,0,3
"TACKETT CURTIS","UCF",47,72.77,"B",75.6,72.9,67.4,68.1,9,4,3,2,0,2.25,1,0,0,56.3,4,5,0.31,2,0,1,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0.1,2,1,1,1,1,4,2,1,2,1,0.5,5,0,0,0,0,0,0,0,0,2.5,0,0,0.25,10,0,6
"JOHNATHAN HALL","UTAH",46,72.5,"B",79.7,81.3,79.1,64.7,7,1,5,1,0,1.75,0,1,18.8,118.8,1,13,0.52,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,4,1,1,2,3,1,1,1,1,1,1,13,1,0,0,0,0,0,1,0,13,0,0,0,7,0,6
"ANTOINE DESLAURIERS","SYRACUSE",57,72.39,"B",78.3,79.6,54.3,72.6,8,1,6,1,0,0.75,0,3,0,88.9,1.7,5.3,0.55,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,3,3,4,0,0,1,1,0,1,3,1,16,0,0,0,0,0,0,0,0,5.3,0,0,0,8,0,8
"ISAIAH CHISOM","OKLA STATE",37,71.2,"B",72.9,72.9,65.6,66.5,7,1,4,1,0,3,0,1,33.3,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5
"NICHOLAS RODRIGUEZ","MISSOURI",58,71.03,"B",59.6,65.3,78.7,48.1,9,3,3,3,2,3.5,3,1,20,106.3,8.5,13.3,1.38,0,1,1,1,0,1,2,1,0,NA,0,0,0,0,0,0,0,0.182,1,2,1,3,5,3,6,3,1,3,0.75,40,3,0,0,3,0.069,0.75,0.75,0,10,0,0.286,0,11,0,6
"BRYAN LONGWELL","VANDERBILT",67,68.3,"B",83.5,73.4,71.4,78.8,5,1,2,1,0,1,0,0,11.5,81.9,-1.7,3.7,0.39,0,1,0,0,0,0,0,1,1,NA,0,1,0,0,0,0,0,0,0,2,1,2,3,1,0,0,2,3,1,11,0,1,0,0,0,0,0,0,3.7,0.333,0,0,5,0,4
"KALEB SPENCER","VA TECH",25,67.18,"B",67.3,62.5,68.9,64.8,5,2,2,2,2,-1,1,1,50,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,1,0,0.286,1,1,1,1,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0,7,0,3
"OWEN LONG","ARIZONA ST",61,66.95,"B",68,71.8,74.6,58.6,10,3,4,3,1,0.67,1,1,37.5,95.8,-1.5,7,0.93,0,0,0,1,2,0,1,0,0,NA,0,0,0,0,0,0,0,0.231,3,1,1,1,2,3,3,2,0,4,1,28,1,0,0,0,0.033,0,0.25,0,7,0,0.143,0.333,13,0,7
"JUSTIN CRYER","TEXAS",63,66.19,"B",72.8,74.2,57.3,68.9,7,1,5,1,1,3.5,0,0,11.1,86.8,0.7,10.5,0.72,0,3,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0.125,3,2,0,3,3,1,3,1,3,2,0.667,21,1,1,0,0,0,0,0.333,0,7,0.333,0.167,0,8,0,6
"LUKE METZ","ALABAMA",47,65.79,"B",86.5,60,60.8,90.8,6,3,2,1,0,5,1,0,16.7,18.8,4,7,0.67,2,0,2,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,0,2,2,3,5,2,1,2,0.5,14,0,0,0,4,0,1,0,0.25,3.5,0,0,0,6,0,5
"KYLE EFFORD","GA TECH",64,65.39,"B",67.6,70.3,66.4,56.5,8,3,3,3,1,4.25,1,0,14.3,50.7,1.3,15,0.88,0,1,2,1,2,0,1,0,0,NA,1,0,0,0,0,0,0,0.273,2,1,0,2,3,3,6,1,2,1,0.333,15,1,0,0,0,0.059,0,0.333,0,5,0,0.125,0.667,11,0,6
"DEVEN BRYANT","USC",44,65.3,"B",67,81.6,60,52.7,9,2,4,2,0,3,1,1,0,70.1,2.8,4.5,0.86,0,0,1,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,0.1,3,1,1,1,1,2,3,3,2,4,0.667,18,1,1,0,0,0,0,0.167,0,3,0.167,0,0.25,10,0,5
"ISAIAH PATTERSON","W VIRGINIA",33,65.29,"B",81.3,84.5,55.3,72.5,8,4,4,3,1,3,0,0,0,79.2,-3.5,3,0.4,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.111,3,1,0,0,0,4,1,0,1,2,1,6,0,0,0,0,0,0,0,0,3,0,0.143,0,9,0,5
"NATHANIEL STAEHLING","MICHIGAN",44,65.2,"B",69.1,79.9,68.9,54.8,6,3,1,3,0,5.33,1,0,21.4,0,0,0,0,0,1,0,0,2,1,0,1,0,NA,0,0,0,0,0,0,0,0.25,1,0,0,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1
"ASHTON WOODS","W VIRGINIA",20,65.01,"B",92.4,59.5,70.7,92.6,5,1,3,1,1,-1,0,1,50,43.8,2,4,0.36,0,1,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0.167,1,2,1,0,1,1,2,0,2,1,1,4,1,0,0,0,0,0,1,1,4,0,0.333,0,6,0,4
"AMARE CAMPBELL","TENNESSEE",76,64.52,"B",69,56.1,59.2,74.1,12,6,2,4,0,4,0,0,0,93.1,4.3,7.6,0.81,2,0,0,0,0,0,1,0,1,NA,0,2,0,0,0,0,0,0,1,1,1,0,0,6,6,2,3,5,0.833,38,2,2,0,0,0.021,0,0.333,0,6.3,0.333,0,0,12,0,7
"ROLIJAH HARDY","INDIANA",32,64.41,"B",90.3,68.3,63.7,89.9,5,1,3,1,0,0,0,0,0,30.6,-1,2.3,0.5,0,0,2,0,0,1,0,0,2,NA,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,4,4,0.667,9,0,0,0,0,0,0,0,0.167,1.5,0,0,0,5,0,3
"TAH'J BUTLER","OLE MISS",43,63.81,"B",75.8,66.6,58.4,77,8,3,2,2,0,7.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3
"JACOB MANU","WASHINGTON",49,63.79,"B",71.5,72.3,66.1,65,3,1,2,1,1,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.25,1,1,0,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,4,0,4
"TROY BOWLES","MICHIGAN",60,63.73,"B",81.8,81.7,74.7,69.5,9,2,4,2,0,4.5,0,0,10,96.7,2.2,7.2,1.06,0,0,0,0,2,1,1,0,0,NA,0,0,0,0,0,1,0,0.182,1,3,0,1,1,2,2,2,3,5,1,36,1,0,0,0,0.029,0,0.2,0,7.2,0,0,0.286,11,0,8
"GIDEON ESPN LAMPRON","COLORADO",42,63.52,"B",79.9,70.2,77.6,69.3,2,0,2,0,0,-1,0,1,12.5,87.5,1,5,0.48,0,1,3,0,0,0,0,2,1,NA,0,0,0,0,1,0,0,0,1,1,2,1,3,0,1,1,2,2,0.4,10,1,0,0,0,0,0,0.2,0,2,0,0,0,2,0,2
"SAMMY BROWN","CLEMSON",55,62.91,"B",76.5,86.9,51.8,74,6,1,3,0,0,2,1,1,4.5,66.7,2,11,0.31,1,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,1,1,0.5,11,0,1,0,0,0,0,0,0,5.5,0.5,0,0,6,0,4
"MOSES WALKER","RUTGERS",44,61.87,"B",80.9,66.6,58.8,83.2,4,2,2,1,0,0,1,0,0,0,2,6,0.29,1,0,1,1,0,0,0,0,0,NA,0,0,0,2,0,0,0,0,0,2,0,0,1,2,2,1,4,1,0.25,6,0,0,0,2,0,0.5,0,0.5,1.5,0,0,0,4,0,3
"JERRY MIXON","OREGON",39,60.52,"B",79.7,67.8,57.2,81.5,8,3,3,2,1,3.5,0,0,0,70.1,-3.7,0.5,0.05,1,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0.111,1,2,1,0,0,3,1,0,2,2,0.667,1,0,1,0,1,0,0.333,0,0,0.3,0.333,0.2,0,9,0,6
"AIDEN HALL","WAKE",70,59.14,"C",64.2,88.4,54.5,48.4,13,3,4,3,0,1.67,0,3,0,117.7,7.8,12.3,1.36,0,0,0,0,2,0,2,0,0,NA,0,0,0,0,0,0,0,0.133,4,0,3,0,0,3,5,5,0,4,1,49,2,0,0,0,0.056,0,0.5,0,12.3,0,0,0.333,15,0,10
"BEN ROBERTS","TEXAS TECH",67,59.05,"C",64.2,71.2,65,58.7,11,3,5,1,1,0.5,1,1,0,87.9,10.2,14.3,1,2,0,0,1,0,0,2,0,0,NA,0,0,0,0,0,0,0,0.083,4,1,1,0,1,3,4,3,1,3,0.6,43,2,0,1,3,0.047,0.6,0.4,0,8.6,0,0.167,0,12,0,5
"KOOPER EBEL","PENN STATE",34,58.89,"C",70,75.3,52,62.5,5,3,1,3,0,6,0,0,8.3,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
"WHIT WEEKS","LSU",43,58.76,"C",82.6,81.1,62.6,75.2,4,1,3,1,0,2,0,0,0,39.6,-2,0,0,0,0,1,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,3
"NICK RINALDI","VANDERBILT",56,58.56,"C",68.9,65.1,62.1,68.1,5,1,2,1,0,7.5,0,0,5,66.7,6,11,0.69,0,1,1,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,2,1,2,3,1,2,1,2,1,0.5,11,1,0,0,0,0,0,0.5,0,5.5,0,0,0,5,0,3
"MYLES GRAHAM","FLORIDA",32,57.77,"C",72.1,76.1,59.1,66.1,8,4,1,2,0,5,0,0,0,70.1,-1.3,1,0.09,2,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,3,2,0.667,2,0,0,0,0,0,0,0,0,0.7,0,0,0,8,0,4
"JEREMIAH TELANDER","TENNESSEE",42,57.75,"C",72.3,64,61.1,75.6,3,2,1,1,0,0,0,0,6.7,0,12,0,0,1,1,1,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1
"SHAWN MURPHY","S CAROLINA",24,57.46,"C",74.1,83,63.5,61.9,4,1,3,1,0,-0.5,1,1,16.7,118.8,3.5,12.5,1.67,0,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,2,1,25,1,0,0,0,0.067,0,0.5,0,12.5,0,0,0,4,0,4
"TERRELL FOSTER","GEORGIA",25,57.17,"C",84.2,74.5,56.5,82.5,5,2,1,1,1,4.67,0,0,16.7,39.6,6,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.167,1,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0,3
"STANQUAN CLARK","LOUISVILLE",41,57.13,"C",85.2,71.5,96.4,56.6,2,1,1,0,0,3,0,0,8.3,66.7,5,11,0.48,1,0,1,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0.5,11,1,0,0,1,0,0.5,0.5,0,5.5,0,0,0,2,0,0
"DEVON JACKSON","OREGON",56,57.02,"C",85.9,81.4,NA,79.8,6,1,1,1,0,22.75,0,0,NA,70.1,1.3,1.5,0.11,0,0,1,0,0,0,0,0,0,NA,0,1,0,1,1,0,0,0,1,0,0,0,0,1,2,2,2,2,0.667,3,2,1,0,3,0,1,0.667,0.333,1,0.333,0,0,6,0,5
"AARON CHILES","FLORIDA",34,56.88,"C",61.3,73,55.1,64.3,5,1,4,1,0,4,1,0,0,56.3,7.5,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,2,2,1,0,1,1,3,2,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
"PAYTON PIERCE","OHIO STATE",67,56.26,"C",75.9,71,56.7,73.9,10,4,2,3,1,5.5,0,0,0,85.4,6,10,1.08,1,0,2,0,0,0,1,0,0,NA,0,0,1,0,0,0,0,0.091,1,1,0,0,0,4,4,2,1,4,0.667,40,2,0,0,0,0.027,0,0.333,0,6.7,0,0.167,0,11,0,6
"ROBERT WOODYARD JR.","MISSOURI",54,56.24,"C",72.9,92.4,55.9,52.8,9,0,5,0,1,2.5,1,1,0,47,10.7,15.5,2.21,0,0,2,0,0,0,2,1,0,NA,0,0,1,1,0,1,0,0.1,4,1,1,0,1,0,5,4,2,4,0.571,62,3,0,0,6,0.071,0.857,0.429,0.143,8.9,0,0.143,0,10,0,8
"CADE ULUAVE","BYU",50,56.08,"C",80.2,63.5,91.6,72.8,6,1,1,1,1,4.5,1,0,33.3,55.2,3.3,6.8,0.9,0,0,0,0,3,0,0,2,0,NA,0,0,0,1,0,0,0,0.4,0,1,0,1,3,1,5,3,1,4,1,27,0,0,0,0,0,0,0,0.25,6.8,0,0.25,0.5,10,0,4
"JONATHAN THOMPSON","CINCINNATI",25,56.03,"C",78.3,73.8,57.2,73.3,7,2,2,1,0,8.67,0,1,0,83.3,4,4,0.31,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,1,1,4,0,0,0,0,0,0,0,0,4,0,0,0,7,0,2
"JOEY GERLACH","MINNESOTA",23,55.53,"C",66.8,61.6,70.6,62.3,4,0,3,0,1,4.67,0,1,50,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,0.2,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,0,4
"TATE ROMNEY","OKLA STATE",50,54.63,"C",77.7,71.4,54.2,77.8,6,1,3,1,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,4
"TYLER MARTINEZ","COLORADO",38,54.33,"C",69.2,62.7,53.6,72.5,6,0,4,0,1,1.8,1,2,0,39.6,4.8,11,0.55,0,0,2,0,0,0,0,1,0,NA,0,1,0,0,0,0,0,0.143,4,0,2,0,1,0,3,1,2,1,0.25,11,1,1,0,0,0,0,0.25,0,2.8,0.25,0.167,0,7,0,7
"FRED JOHNSON","S CAROLINA",37,54.16,"C",71.4,90,60,60.3,4,3,0,2,0,0,1,0,7.1,95.8,-2,7,0.33,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,1,7,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0
"REGGIE POWERS III","OKLAHOMA",53,54.08,"C",74.3,64.3,67.4,76.8,5,0,3,0,1,4,0,0,25,81.3,4.8,5.3,1.23,0,2,1,1,1,0,0,0,1,NA,1,0,0,0,0,0,0,0.286,1,2,1,1,2,0,3,0,2,3,0.75,16,1,0,0,0,0,0,0.25,0,4,0,0.333,0.25,7,0,6
"LANDYN VAN KEKERIX","IOWA",18,53.99,"C",74.5,75.5,60,62.8,3,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"ISAIAH JONES","INDIANA",34,53.74,"C",74.5,81.7,46.7,69.5,5,2,3,1,0,1,0,1,16.7,79.2,-4,-4,-0.24,1,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.167,3,0,1,1,1,2,1,0,1,1,1,-4,0,0,0,0,0,0,0,0,-4,0,0,0.5,6,0,2
"DYLAN WILLIAMS","OREGON",50,53.38,"C",65.5,59.9,67,65.3,6,3,2,2,1,0,1,1,0,85.4,2,4.5,0.38,1,1,0,0,1,0,0,0,0,NA,1,0,0,0,0,0,0,0.25,1,1,1,2,2,3,4,2,3,2,1,9,0,0,0,2,0,1,0,0,4.5,0,0.25,0.25,8,0,2
"CARSON CRAWFORD","COLORADO",18,53.37,"C",87.7,75,76.4,71.5,3,1,2,1,0,3,0,0,16.7,108.3,-1,10,1.67,0,1,0,0,0,1,0,1,0,NA,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,1,1,10,1,0,0,0,0,0,1,0,10,0,0,0,3,0,1
"JAMAL ANDERSON","SMU",32,53.11,"C",81.1,70.9,63.8,75.9,4,0,3,0,0,4,0,0,0,59.4,2.5,7.5,0.83,0,0,0,0,0,1,0,0,1,NA,0,2,0,0,0,0,0,0,1,2,1,0,0,0,2,2,3,2,0.5,15,1,3,0,0,0,0,0.25,0,3.8,0.75,0,0,4,0,3
"JUSTIN OKORONKWO","S CAROLINA",25,53,"C",66.8,79.5,60.5,51.9,3,1,2,1,0,1,0,1,10,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"QUINCY DAVIS","KANSAS",58,52.89,"C",60.9,70.1,58.3,57.5,6,4,1,4,1,-2,0,1,5,74,11.5,14.5,2.07,0,0,2,0,0,0,1,0,0,NA,0,0,1,0,0,0,0,0.143,1,0,1,1,1,4,5,1,0,2,0.5,29,1,0,0,1,0.071,0.25,0.25,0,7.3,0,0.167,0,7,0,3
"JADEN ROBINSON","FLORIDA",28,52.73,"C",76.6,86.4,57.9,65.3,3,1,2,1,0,0,0,0,0,72.9,4,5.5,0.65,0,0,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,2,2,0.667,11,1,0,0,0,0,0,0.333,0,3.7,0,0,0,3,0,4
"CHRIS COLE","GEORGIA",24,51.54,"C",72.9,73.5,54.5,70.9,3,0,3,0,0,-0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"ELIJAH ELLISS","UTAH",44,51.28,"C",60.6,59,57.4,63.4,4,2,2,1,1,1,1,0,9.4,39.6,2.8,1,0.06,1,1,3,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.2,1,1,0,1,2,2,2,1,1,1,0.25,1,0,0,0,0,0,0,0,0,0.3,0,0.333,0,5,0,3
