"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Break.Up","Drops...Off.Targets.Receptions.Forced","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Interceptions","Pass.Stop","Average.Depth.of.Tackle","Assist.Tackles.on.Run.Plays","Plays.of.15..Yards.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Missed.Tackles.on.Pass.Plays","Touchdowns.Allowed","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Dropped.Int","Unblocked.Pass.Rush","Forced.Fumble","Beaten.Defender","Sacks","Fumble.Recovery","Pursuit.Pressure","Hits","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interception"
"MARQAVIOUS SABOOR","CINCINNATI",19,83.63,"A",74,73.2,68.5,53.4,1,0,1,0,0,2,0,0,1.5,1,1,0,0,0,1,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0.5,0,1,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,2,0,0,0,1
"MONTANA WARREN","ARIZONA ST",44,83.28,"A",74.2,63,82.2,72,8,2,4,118.8,0,0,0.57,13,10,0,1,3,2,0,0,0,0,0,0,33.3,1,0,0,0,0,1,0,1,0,0,3,1,0,1,2,1,1,0,1,1,13,1,0,0,0,0,0,1,0,13,0,0,0,8,0,7,0,0
"DERRICK BARKSDALE","UCLA",56,83.14,"A",75.3,80.6,57.3,NA,3,1,1,39.6,1,2,0.26,6,15.4,0,1,7,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0.2,6,0,1,0,1,0,0.2,0,0,1.2,0.2,0,0,3,0,1,0,0
"ELI BOWEN","OKLAHOMA",61,82.79,"A",73.6,66.3,86.2,NA,5,1,3,50.7,1,1,0.68,15,10,0,0,6,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,0.333,15,1,1,0,0,0.045,0,0.333,0,5,0.333,0,0,5,0,4,0,0
"DONOVAN JONES","NEBRASKA",41,82.7,"A",66.4,66.3,63.5,60,7,2,3,50,0,0,1.26,8,3.8,1,1,4.67,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.125,2,1,0,0,2,3,1,1,3,0.75,24,1,0,0,0,0,0,0.25,0.25,6,0,0.2,0,8,0,8,0,1
"KELVIN HILL","GA TECH",53,82.63,"A",73.8,73.9,68.2,60,3,2,0,39.6,1,1,0,0,16.5,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,3,0,1,0,0
"JACKSON VICK","NC STATE",16,80.77,"A",75.4,75,60,60,NA,0,0,0,1,2,0,0,8.7,1,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,1,2,0,0,0,0,1,0,1,0,0.333,0,0.333,0,0.333,NA,NA,NA,0,0,0,1
"JACOB WALLACE","IOWA",35,79.75,"B",73.9,71.3,71.3,NA,4,3,1,56.3,0,1,0.21,3,3.5,0,0,4,2,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0.5,3,0,0,0,0,0,0,0,0,1.5,0,0,0,4,0,1,0,0
"JETT JEFFERSON","MISS STATE",60,79.58,"B",68.6,68.4,61.5,NA,5,0,3,52.5,1,3,0.59,5.8,9.9,0,3,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0.455,29,1,3,0,0,0,0,0.091,0,2.6,0.273,0,0,5,0,5,0,0
"J'VARI FLOWERS","FLORIDA",27,79.51,"B",84.7,85.1,61.6,NA,NA,0,0,39.6,2,1,-0.06,-1,6.3,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,3,1,0.25,-1,0,2,0,0,0,0,0,0,-0.3,0.5,NA,NA,NA,0,0,0,0
"DJ WALLER JR.","LOUISVILLE",42,79.45,"B",80.8,80.9,62.1,NA,4,1,2,70.1,1,0,0.59,4.3,7.3,0,2,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,4,0.667,17,1,1,0,3,0,0.5,0.167,0,2.8,0.167,0,0,4,0,2,0,0
"SMITH SNOWDEN","MICHIGAN",62,79.2,"B",68.6,66.8,70.4,NA,3,1,1,39.6,1,4,0,0,16.6,0,0,3,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0.5,4,0,3,0,0
"OMAR THORNTON","MIAMI FL",23,79.05,"B",70,67.1,68.9,60,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ELIJAH DAVIS","UTAH",47,78.96,"B",80.3,80.5,61.5,NA,NA,0,0,39.6,2,0,0,0,25.7,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0
"KENSLEY LOUIDOR-FAUSTIN","MISSOURI",48,78.77,"B",72.8,60.9,83.6,83.6,4,1,2,115.6,1,2,1.07,15.5,18.5,0,0,0.5,1,1,0,0,1,0,0,50,1,1,0,0,0,0,0,0,0,0,2,1,3,3,1,2,2,1,2,0.5,31,2,1,0,1,0.035,0.25,0.5,0,7.8,0.25,0,0,4,0,3,0,0
"BOO CARTER","COLORADO",64,78.58,"B",72.6,72.6,62.5,NA,3,0,1,47.9,1,4,0.38,4.5,9.5,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,4,0.4,18,1,1,0,0,0,0,0.1,0,1.8,0.1,0,0,3,0,3,0,0
"EVAN SMITH","DUKE",47,78.23,"B",76.4,75.4,70.6,NA,2,0,1,3.5,0,3,0.68,9.5,5.5,1,0,2,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.333,1,0,0,0,0,2,2,1,2,0.333,19,1,0,0,0,0,0,0.167,0.167,3.2,0,0,0.5,3,0,3,0,1
"DEVON JORDAN","BAYLOR",43,77.66,"B",71.4,71.3,62.7,NA,2,0,2,56.3,2,1,0.31,2.7,7.8,0,2,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,3,0.5,8,0,2,0,0,0,0,0,0,1.3,0.333,0,0,2,0,2,0,0
"AUDAVION COLLINS","PENN STATE",30,76.37,"B",75.9,78.4,56.7,NA,2,0,0,39.6,1,0,0,0,15,0,0,22,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"ZION TRACY","PENN STATE",29,76.04,"B",78,78.7,65.2,60,3,1,1,56.3,1,0,0.24,4,1.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0.5,4,0,1,0,0,0,0,0,0,2,0.5,0,0,3,0,1,0,0
"BRADLEE JONES","RUTGERS",56,75.93,"B",74.4,65,91.8,NA,4,0,3,79.2,0,0,0.09,3,2,0,0,3.5,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0
"ANTIONE JACKSON","UCF",46,75.92,"B",75.9,74.1,70.9,NA,2,1,0,39.6,1,1,0,0,2.5,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0
"BENI NGOYI","IOWA STATE",25,75.91,"B",78.5,78.4,62.1,NA,1,0,1,42.4,1,1,0.25,4,18.7,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.333,4,0,1,0,0,0,0,0,0,1.3,0.333,0,0,1,0,1,0,0
"TEON PARKS","TCU",17,75.84,"B",78,77.6,60.3,NA,1,0,0,5.6,0,2,1.22,11,16,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0.333,11,0,0,0,0,0,0,0,0.333,3.7,0,0,0,1,0,1,0,1
"BYRON BALDWIN JR.","INDIANA",27,75.61,"B",70.5,63.9,78.8,60,3,1,2,56.3,0,1,0,0,2.5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
"JASON STOKES JR.","COLORADO",34,75.25,"B",78.1,77.5,64.2,NA,2,1,0,42.4,1,1,0.59,8,11.7,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,0.333,16,1,3,0,0,0,0,0.167,0,2.7,0.5,0,0,2,0,1,0,0
"BRICE POLLOCK","TEXAS TECH",74,74.8,"B",74.7,77.5,50.8,60,2,0,1,39.6,2,1,0.27,7.5,11.1,0,1,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0,1,0,0,0,2,1,3,2,0.286,15,1,2,0,3,0,0.429,0.143,0,2.1,0.286,0.5,0,3,0,2,0,0
"JAMES CHENAULT JR.","UTAH",36,74.77,"B",71.6,70.8,64.8,NA,4,2,1,52.6,2,1,1.42,12.3,12.9,0,1,0,1,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,3,0.375,37,2,2,0,0,0.039,0,0.25,0,4.6,0.25,0,0,4,0,2,0,0
"BRAVION ROGERS","TEXAS A&M",21,74.66,"B",72.4,71.4,64.8,NA,3,1,1,47.9,1,1,0.47,3.5,5.6,0,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,0.4,7,0,2,0,0,0,0,0,0,1.4,0.4,0,0,3,0,2,0,0
"SHELTON LEWIS","ARKANSAS",49,73.96,"B",72.6,75.6,54.2,NA,2,1,0,39.6,0,2,0,0,17,0,0,6,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"NAZIR WARD","SYRACUSE",30,73.38,"B",62.1,66,61.8,NA,2,0,1,39.6,1,3,0,0,26.6,0,1,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.333,0,1,0,0,0,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0.333,3,0,3,0,0
"GENTRY WILLIAMS","GEORGIA",20,72.65,"B",68.9,65.6,68.5,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RODRICK PLEASANT","UCLA",57,72.33,"B",60.3,66.7,55.3,NA,2,1,0,39.6,0,3,0,0,40.7,0,0,6,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"CHRIS GRAVES JR.","MISSOURI",58,72.16,"B",69.3,64,75,68.8,1,0,1,39.6,0,2,0,0,16,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,1,0,1,0,0
"MICHAEL RICHARD","MICH STATE",21,71.7,"B",72.7,73.7,61.9,NA,1,0,1,39.6,0,1,0,0,29,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"HASAAN SYKES","KENTUCKY",65,71.58,"B",61.1,62.4,67.3,NA,6,1,1,58.3,1,0,0.37,7,12.5,0,1,31,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,2,2,0.5,14,1,1,0,1,0,0.25,0.25,0,3.5,0.25,0,0,6,0,4,0,0
"JABARI MACK","LOUISVILLE",16,71.4,"B",72.1,69.6,60,NA,2,0,1,39.6,1,0,0,0,21,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,2,0,1,0,0
"SIONE LAULEA","MISSOURI",55,70.82,"B",71.2,70.4,67.2,NA,3,0,1,45.1,1,0,0.31,11,17.3,0,1,6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0.333,11,0,2,0,1,0,0.333,0,0,3.7,0.667,0,0,3,0,2,0,0
"JAY TIMMONS","OHIO STATE",62,70.81,"B",65.3,70.1,47.2,NA,6,0,3,56.3,0,2,0.13,2.5,8.8,0,3,7,0,0,1,1,0,2,0,NA,0,0,0,1,0,0,1,0,0,0.333,0,1,0,0,0,4,2,1,2,0.5,5,1,0,0,0,0,0,0.25,0,1.3,0,0.667,0.167,9,0,6,0,0
"CADEN HARRIS","GEORGIA",19,70.8,"B",71.6,71.4,61.6,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"THERRIAN ALEXANDER III","BYU",50,70.5,"B",65,67.9,50,60,2,0,2,39.6,0,1,0,0,28,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"AMIER BOYD","TEXAS TECH",67,70.47,"B",71.2,69.2,62.8,70.1,3,1,1,68.5,1,2,1.41,17.3,19.3,1,1,0,0,2,0,0,1,0,1,33.3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,4,3,4,4,0.444,69,2,2,0,4,0.041,0.444,0.222,0.111,7.7,0.222,0,0,3,0,1,1,1
"ISAIAH BROWN-MURRAY","VA TECH",21,70.42,"B",70.8,70.6,61.1,NA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"TY REDMOND","TENNESSEE",60,70.42,"B",68,68.6,62.1,58.3,7,1,2,58.9,1,1,0.74,7.3,8.3,0,2,7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,1,4,3,2,4,0.5,29,0,1,0,0,0,0,0,0,3.6,0.125,0.5,0.143,9,0,8,0,0
"JERMAINE MATHEWS JR.","OHIO STATE",76,70.19,"B",70.3,69.1,71.1,59.3,6,1,3,93.1,0,0,0.42,6.3,3,0,2,-2.5,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.25,1,2,0,0,1,3,2,2,3,1,19,1,0,0,0,0,0,0.333,0,6.3,0,0.25,0.25,8,0,5,0,0
"JAHLIL FLORENCE","MISSOURI",27,70.08,"B",73.3,80,46.4,NA,1,0,0,2.8,0,2,0.23,3,15.7,1,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,2,1,0.333,3,0,0,0,1,0,0.333,0,0.333,1,0,1,0,2,0,2,0,1
"KENNY WORTHY","CINCINNATI",42,70.04,"B",74.4,75,61.7,56.8,4,0,2,78.1,0,1,0.5,4.3,12.8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,0.75,13,1,0,0,1,0,0.25,0.25,0,3.3,0,0,0,4,0,3,0,0
"JESSE OFURIE","RUTGERS",56,69.96,"B",70.4,65.1,80.6,59.8,7,1,4,87.5,0,2,1.29,7.3,7,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,3,2,6,0.75,44,4,0,0,7,0.029,0.875,0.5,0,5.5,0,0,0,7,0,6,0,0
"CREE THOMAS","COLORADO",65,69.54,"B",78.3,78.3,62.6,NA,2,0,0,54.6,2,1,0.48,11.5,10,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0.4,23,1,2,0,0,0.021,0,0.2,0,4.6,0.4,0,0,2,0,2,0,0
"RJ JOHNSON","COLORADO",18,69.4,"B",72.9,72.1,64.5,NA,2,0,0,39.6,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"KADE PHILLIPS","TEXAS",60,69.38,"B",60.8,61.2,58.3,NA,6,2,1,43.8,1,1,0.27,10,12.3,0,1,11,1,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,2,4,3,1,1,0.333,10,1,1,0,0,0,0,0.333,0,3.3,0.333,0.333,0,7,0,4,0,0
"AYDAN WEST","MINNESOTA",60,69.19,"B",65.3,62.8,61.8,60,6,0,2,56.3,1,1,0.38,5,6.5,0,1,3.67,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.25,1,1,0,0,0,4,3,2,2,0.5,10,0,1,0,0,0,0,0,0,2.5,0.25,0.25,0.25,8,0,4,0,0
"JAY'VION COLE","ARIZONA",59,69.11,"B",69.6,68.3,69.1,59.7,3,1,0,79.2,1,4,0.62,8,11.4,0,0,16,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0.286,16,1,1,0,0,0,0,0.143,0,2.3,0.143,0,0,3,0,2,0,0
"CHAMARRYUS BOMAR","W VIRGINIA",16,68.57,"B",67.7,66.2,63.3,NA,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"JAYLEN WATSON","IOWA",53,68.28,"B",67.2,65.1,68.8,NA,3,1,1,42.4,0,1,0.35,7,12.3,0,0,18,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1,2,2,2,1,0.333,7,0,1,0,0,0,0,0,0,2.3,0.333,0,0.5,4,0,0,0,0
"ANTWAN PEEK JR.","CINCINNATI",40,68.19,"B",65.9,65.1,66.6,57.4,4,3,2,78.1,0,1,0.68,4.3,0,0,2,0,2,0,0,2,0,0,0,12.5,0,0,1,0,0,0,0,1,1,0.333,0,0,1,2,2,3,2,2,3,0.75,13,1,0,0,2,0,0.5,0.25,0,3.3,0,0,0.5,6,0,2,0,0
"PJ WOODLAND","LSU",38,68.18,"B",68.1,67.6,63.1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
