"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Interception","Assist.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Target.per.Coverage","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Pass.Stop","Lined.up.in.Press.Coverage","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Break.Up","Run.Tackle.for.Losss.or.No.Gain","Plays.of.15..Yards.Allowed","Unblocked.Pass.Rush","Pass.Rush.Productivity","Missed.Tackles.on.Pass.Plays","Forced.Fumble","Touchdowns.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Pursuit.Pressure","Hits","Dropped.Int","Sacks","Beaten.Defender","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"KADEN MCFADDEN","TCU",42,76.07,"B",82.3,76.7,76.2,77.1,8,2,1,0,2,79.2,0.12,3,4.5,3,1,NA,0,0,1,0,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,1,1,4,1,1,3,0,0,0.5,0,0,0,0,0,3,0,0,0
"TY BENEFIELD","LSU",45,74.81,"B",74.9,73.8,71.6,59.6,6,3,3,0,2,39.6,0,10.3,2,0,2,NA,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0.333,0,0,0,0,0,0
"FALETAU SATUALA","BYU",67,73.89,"B",69.6,69.2,64.3,65.7,9,3,3,0,4,56.3,0.15,9.5,-1,6,2,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,1,1,0,0,4,4,2,3,1,0.5,6,0,0,0,0,0,0,0,0,3,0,0.167,0
"JARDIN GILBERT","MISS STATE",59,73.52,"B",73.7,69.2,79,63.9,6,2,2,0,1,39.6,0,16,1.5,0,0,NA,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAHSHAWN CLARK","WASHINGTON",51,72.31,"B",77,77.6,63.3,63.3,NA,0,0,1,NA,0,0,20.7,0,0,NA,NA,2,NA,NA,1,NA,0,1,20,NA,0,0,NA,1,1,0,0,0,0,0,NA,NA,0,1,2,NA,1,0,2,0,0,0,0,1,0,0,0,0,0,0.333,0,0.333,NA,NA
"DEVIN VAUGHT","MICH STATE",52,70.52,"B",76,68.8,83.9,59.9,9,1,3,0,1,0,0,0,7.5,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JELANI MCDONALD","TEXAS",65,70.21,"B",68.2,65.6,70.9,NA,9,6,1,0,5,95.8,0.49,26,0,19,1,NA,1,1,1,0,0,1,0,NA,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,3,2,1,1,0.333,19,1,0,0,0,0.026,0,0.333,0,6.3,0,0.167,0
"SAEL REYES","SMU",30,70.19,"B",73.7,75.8,52.7,60,5,3,0,0,3,39.6,0,6,5,0,0,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"BRANDYN HILLMAN","VIRGINIA",29,69.47,"B",81.6,83,63.6,NA,3,0,1,2,0,16.7,0.09,3,8,2,1,NA,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1,1,2,1,0.5,2,0,0,0,2,0,1,0,1,1,0,0,0.333
"PEYTON BOWEN","OKLAHOMA",61,68.07,"B",72.6,78.9,60.9,NA,6,3,1,0,3,39.6,0,12,2,0,0,NA,0,2,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333,0
"TA'SHAWN JAMES","UCLA",47,67.52,"B",73.7,66,59.3,91.6,6,2,3,0,1,0,0,0,7.33,0,1,NA,0,1,1,0,0,0,1,37.5,0,0,0,0,1,1,0,1,1,0,0,0.143,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
"MONTINO WILLIAMS","VIRGINIA",20,66.2,"B",79.2,81.3,67.3,NA,2,1,0,0,1,39.6,0,45,4,0,0,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"MEKHAI SMITH","MINNESOTA",33,65.95,"B",67,66.3,63,66.8,8,3,1,0,3,0,0,0,11,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0
"KP PRICE","BOSTON COL",70,65.87,"B",70,62.3,78.6,66.3,7,3,3,0,2,108.3,0.34,8,1,10,0,NA,0,0,1,0,2,0,1,16.7,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,1,3,1,1,0,1,1,10,1,0,0,1,0,1,1,0,10,0,0,0
"TYSON FLOWERS","VA TECH",33,65.59,"B",77.1,75.1,71.7,NA,4,0,2,0,0,0,0,0,6.33,0,1,NA,0,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RICARDO JONES","VANDERBILT",54,65.08,"B",72.7,71.6,67.7,63.8,2,1,0,0,1,39.6,0,9,37,0,0,NA,1,0,0,1,0,0,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0
"TAMARCUS COOLEY","LSU",37,65.07,"B",87.4,88.7,62.1,NA,3,0,2,0,0,42.4,0.16,9.7,0,4,2,NA,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0.333,4,0,0,0,0,0,0,0,0,1.3,0,0,0
"CRUCE BROOKINS","PITTSBURGH",56,64.92,"B",78.5,77.9,70.8,59.1,6,0,3,0,0,79.2,0.32,2.8,4.5,4.7,2,NA,0,0,0,1,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,3,0.75,14,0,1,0,0,0,0,0,0,3.5,0.25,0,0
"GEIMERE LATIMER II","W VIRGINIA",44,64.34,"B",83.7,72.5,91.6,66.9,4,0,2,0,0,64.6,0.27,-1.4,25.5,2,1,NA,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,3,0.6,6,0,0,0,0,0,0,0,0,1.2,0,0,0
"MALIK HARTFORD","UCLA",58,63.75,"B",66.5,71.7,68.1,55.8,9,2,4,0,1,79.2,0.15,2,7.67,3,1,NA,0,0,1,0,0,0,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,3,0,1,1,1,3,0,0,0,0,0,0,0,0,3,0,0,0
"LYRIK RAWLS","ARIZONA ST",39,63.74,"B",86.1,89.5,69.5,59.9,4,1,1,1,1,81.3,0.89,7,5,8.5,1,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,2,2,3,2,0.667,17,2,1,0,0,0,0,0.667,0.333,5.7,0.333,0,0.5
"ZACH LUTMER","IOWA",53,63.61,"B",70.7,72.9,64.9,NA,7,4,0,0,3,112.5,1.4,13,15,14,1,NA,1,1,1,0,0,1,0,NA,0,0,1,1,0,0,1,0,0,0,0,0.125,0,0,0,0,4,1,0,1,2,0.5,28,2,1,0,0,0.05,0,0.5,0,7,0.25,0.2,0
"ISAAC SMITH","MISS STATE",52,62.82,"B",77.6,78.5,64.4,59.6,5,2,2,0,0,84.7,0.6,3,0,5.2,2,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,5,0.833,26,0,1,0,0,0,0,0,0,4.3,0.167,0,0
"GREG SMITH","N CAROLINA",42,62.78,"B",76.8,77.9,60.7,66.6,4,1,1,1,1,0,0,0,2.5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JORDAN CASTELL","KENTUCKY",64,62.04,"B",73.4,67.4,71.1,80.9,7,2,1,1,2,41.7,0.53,18,3.67,18,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,1,1,0.5,18,0,0,0,1,0.029,0.5,0,0.5,9,0,0,0
"JUSTIN DENSON JR.","PURDUE",55,61.36,"B",61.1,55.1,65,65.2,7,2,2,0,2,39.6,0,22.5,13,0,0,NA,2,2,0,0,1,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0.222,2,1,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0
"JIMMY WYRICK","SMU",23,61.34,"B",76.3,72.3,60,75.3,3,1,2,0,0,79.2,0,0,0,0,2,NA,0,0,1,0,0,0,0,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"JACKSON BENNEE","UTAH",60,61.1,"B",68.5,67.8,66.2,NA,3,1,2,1,0,27.1,0.83,7.8,3,11,1,NA,2,0,1,1,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,3,3,3,3,0.5,33,3,1,0,0,0,0,0.5,0.167,5.5,0.167,0,0
"TY BRYANT","KENTUCKY",67,60.97,"B",71.8,65.2,75.4,71.3,9,1,3,0,0,79.2,0.11,-0.5,8.8,2,1,NA,0,0,1,0,0,0,2,50,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,1,1,1,0,2,1,4,0,0,0,2,0,1,0,0,2,0,0,0
"CARTER DAVIS","BOSTON COL",69,59.45,"C",63.1,71.7,54.1,NA,7,2,1,1,1,35.4,0.47,6,5.5,15,0,NA,1,1,1,0,1,1,0,NA,0,1,0,0,0,0,0,0,0,0,0,0.125,1,1,0,0,2,5,2,2,1,0.5,15,1,0,0,2,0.031,1,0.5,0.5,7.5,0,0.25,0
"JAYLEN MOSES","SMU",18,59.3,"C",89.9,89.4,61.3,NA,2,1,1,0,0,70.1,0.42,2,0,2.5,1,NA,1,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,0.667,5,0,0,0,0,0,0,0,0,1.7,0,0,0
"MATTHEW JUNG","WISCONSIN",57,58.78,"C",66.2,57.6,76.2,59.8,10,4,1,0,3,83.3,0.17,-4,6,4,0,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,1,1,0,0,4,2,1,0,1,1,4,1,0,0,1,0,1,1,0,4,0,0.1,0
"BRAY HUBBARD","ALABAMA",53,58.43,"C",66.6,57.2,82.1,58.8,4,1,2,0,1,39.6,0,21.7,0.67,0,0,NA,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JORDAN ALLEN","HOUSTON",27,58.42,"C",89.8,89.8,61.9,60,1,0,0,1,0,16.7,0.36,4,0,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,5,0,0,0,1,0,0.5,0,0.5,2.5,0,0,0
"JAYLEN MCCLAIN","OHIO STATE",80,57.99,"C",60.4,54.5,73.5,NA,6,1,1,1,0,2.1,0.3,19.8,6.67,14,0,NA,2,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,3,0,1,0.25,14,1,0,0,0,0,0,0.25,0.25,3.5,0,0,0
"MICAH GIFFORD","BAYLOR",31,57.88,"C",79.9,67.6,90.9,NA,4,1,0,0,1,0,0,0,11,0,0,NA,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DASHAWN SPEARS","LSU",44,57.58,"C",74.5,74,49.5,84.7,2,0,2,0,0,70.1,0.22,11.3,0,3,2,NA,0,0,0,1,0,0,1,75,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,2,2,0.667,6,0,1,0,3,0,1,0,0,2,0.333,0,0
"DREW SURGES","IOWA STATE",28,57.44,"C",76.3,73.7,73.7,59.5,6,2,2,0,1,91.7,0.8,5.5,4.5,6,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,12,0,0,0,0,0,0,0,0,6,0,0,0
"TAE HARRIS","GA TECH",66,57.32,"C",69.5,74.2,60.4,NA,5,0,2,0,0,39.6,0,6,5,0,0,NA,0,1,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.167,2,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.167,0
"ALFONZO ALLEN JR.","FLORIDA",24,57.18,"C",71.8,73.3,60,59.1,2,1,1,0,0,0,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JJ DUNNIGAN","MIAMI FL",23,56.94,"C",77.3,73,76.1,60,5,1,3,0,1,91.7,1.5,4.7,4.5,6,2,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,1,18,0,0,0,2,0,0.667,0,0,6,0,0,0
"KOY BEASLEY","KANSAS ST",46,56.85,"C",73.8,73.2,69.5,NA,5,2,2,0,2,87.5,0.19,5,7,5,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,5,0,0,0,0,0,0,0,0,5,0,0,0
"RONAN HANAFIN","CLEMSON",47,56.11,"C",70.6,71,61.3,64,7,0,2,0,0,85.4,0.28,4.5,0,4.5,2,NA,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,4.5,0,0,0
"TJ METCALF","TENNESSEE",73,55.96,"C",61.5,59.9,64.7,59.2,8,3,2,1,1,87.5,0.33,1.3,12,5,1,NA,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.111,1,0,0,0,3,4,3,1,3,1,15,1,0,0,0,0,0,0.333,0.333,5,0,0.167,0
"TY BARTRUM","UCF",15,55.65,"C",74.4,64.8,77.5,NA,4,2,0,0,2,0,0,0,6,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QUAY'SHEED SCOTT","S CAROLINA",26,55.58,"C",80.5,81.7,60,58.6,2,0,0,0,0,39.6,0.23,14.8,0,5,0,NA,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.25,5,0,1,0,0,0,0,0,0,1.3,0.25,0,0
"JAYDEN WILLIAMS","UCF",59,55.45,"C",69.5,68.1,68.9,59.7,6,3,2,0,2,97.5,1.37,6.4,0,9.3,2,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,0.8,37,1,0,0,0,0.037,0,0.2,0,7.4,0,0,0
"MIGUEL MITCHELL","ARKANSAS",37,54.55,"C",70.6,67.4,73.5,56.5,3,1,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRODY MILLER","IOWA STATE",40,54.53,"C",70.3,68.8,68.9,NA,4,2,0,0,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MALIK ESQUERRA","TEXAS TECH",75,53.81,"C",71.1,69.5,72.3,59.6,8,1,3,0,1,79.2,0.05,-4,6.67,1.5,3,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,2,2,2,2,1,3,0,0,0,2,0,1,0,0,1.5,0,0,0.286
"KEON SABB","ALABAMA",47,53.3,"C",80,81.2,67.8,59.9,5,0,0,0,0,79.2,0.03,0,11,1,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0
"NATE RITCHIE","UTAH",71,53.16,"C",67.6,65.7,66.8,65.2,7,0,2,0,0,96.7,0.77,5.4,3.5,9,1,NA,0,0,0,0,0,1,2,12.5,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,0,2,2,2,4,0.8,36,2,1,0,0,0.021,0,0.4,0,7.2,0.2,0,0
"DAVIEN KERR","SYRACUSE",62,52.74,"C",61.9,59.6,66.6,59.4,3,3,0,0,1,39.6,0,25,0,0,0,NA,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"MJ CANNON","CINCINNATI",49,52.64,"C",73.4,74.5,62.3,NA,2,2,0,0,0,39.6,0,2,0,0,0,NA,1,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"AARON FLOWERS","OREGON",57,52.53,"C",65.6,66.2,62.7,59.4,6,1,4,0,1,56.3,0.31,1.5,3.25,4.5,1,NA,2,0,0,0,0,0,1,50,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,3,1,1,2,0.5,9,0,0,0,3,0,0.75,0,0,2.3,0,0,0
"BRYCE THORNTON","FLORIDA",15,52.47,"C",80.1,81,61.8,NA,1,0,0,0,0,0,0,0,8,0,0,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"QUIMARI SHEMWELL","CAL",30,52.16,"C",68.1,67.9,60.4,NA,1,0,0,1,0,0,0.32,13.5,0,7,0,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,7,0,1,0,0,0,0,0,0.25,1.8,0.25,0,0
"JERON JONES","WASHINGTON",48,52.06,"C",62.4,60.9,70,58.1,5,0,3,0,0,104.2,0.69,11.7,-1,6.3,2,NA,3,0,0,0,1,0,1,50,1,0,1,0,0,0,1,0,0,0,0,0.167,1,1,1,1,0,3,3,1,4,0.571,25,1,0,0,0,0,0,0.143,0,3.6,0,0,0.2
"KJ BOLDEN","GEORGIA",22,51.88,"C",73.4,71.3,65.7,NA,2,1,1,0,1,79.2,-0.13,-2,0,-2,1,NA,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,-2,0,0,0,0,0,0,0,0,-2,0,0,0
"CHRISTIAN PIERCE","USC",44,51.74,"C",68,67.3,65.9,NA,3,2,0,0,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KALEB HARRIS","AUBURN",41,51.56,"C",75.8,75.8,63.3,65.9,6,2,0,0,1,83.3,0.31,1.5,0,4,0,NA,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,2,2,2,3,2,1,8,0,0,0,0,0,0,0,0,4,0,0,0.286
"JEREMIAH COOPER","PENN STATE",34,51.33,"C",71.5,72.8,64.1,NA,4,0,3,0,0,79.2,0,-2,7.5,0,2,NA,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0.2,1,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0
"WESLEY FAIR","KANSAS ST",16,51.31,"C",67.7,63.1,69.5,58.9,3,2,0,0,2,0,0,0,10,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAIRO SKANES","WISCONSIN",22,51.13,"C",72.7,72.6,67.3,NA,3,0,2,0,0,79.2,-0.13,0,10.5,-1,1,NA,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0
"J'ZAVIEN CURRENCE","S CAROLINA",19,51.03,"C",71.3,64.7,68.2,70.6,4,1,2,0,1,87.5,0.5,4,2,5,1,NA,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,5,0,0,0.5,0,0,0,0,0,5,0,0,0
"CARSON LAWRENCE","VANDERBILT",36,50.94,"C",63.9,56.9,71.2,67.8,4,1,2,0,1,0,0,0,4,0,1,NA,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
