"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"ELIJAH BARNES","KENTUCKY",47,16.88,"F"
"CHASE SMITH","MIAMI FL",15,16.75,"F"
"FRANK CUSANO","WAKE",52,16.21,"F"
"T.J. CAPERS","LOUISVILLE",37,15.98,"F"
"TAVION WALLACE","KENTUCKY",23,15.91,"F"
"JADEN YATES","HOUSTON",21,15.38,"F"
"DAWSON MERRITT","NEBRASKA",15,13.67,"F"
"BRYCE COWAN","VANDERBILT",25,12.55,"F"
"CALVIN THOMAS","N CAROLINA",17,11.53,"F"
"LANDON DANLEY","VIRGINIA",26,11.42,"F"
"ARION CARTER","TENNESSEE",54,5.38,"F"
"MOHAMED TOURE","MIAMI FL",17,3.39,"F"
"TA'MERE ROBINSON","USC",17,2.44,"F"
"DAVHON KEYS","LSU",20,2.21,"F"
"JA'QUAVION SMITH","ARKANSAS",32,0,"F"
