"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Pass.Block.Efficiency","Percentage.of.Negative.Grade","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"MUSTAFA KANNEH","DELAWARE",67,70.89,"B",66,53.8,0.06,0.023,97.7,0.119,0.047,1,1,1,0
"JOHN IANNUZZI","C MICHIGAN",37,70.77,"B",64.4,60.2,0.054,0,0,0.027,0.063,1,0,0,0
"BRYCE PARSON","OHIO",59,70.24,"B",53.6,86,0,0,0,0.034,0,0,0,0,0
"GREG NUNNERY","SO MISS",41,69.87,"B",64.4,34.3,0.049,0.105,0,0.073,0.105,0,0,2,0
"ZACH COCHNAUER","NEVADA",55,69.51,"B",54.3,85.7,0.018,0,0,0.091,0,0,0,0,0
"MO CLIPPER JR.","GA SOUTHRN",35,69.48,"B",55.4,83.9,0,0,0,0.057,0,0,0,0,0
"JOSH RAYMOND","GA SOUTHRN",31,69.11,"B",51.3,86.6,0,0,0,0.032,0,0,0,0,0
"RHETT LARSON","W KENTUCKY",83,68.76,"B",56.9,77.4,0.024,0.02,0,0.072,0.02,0,0,1,0
"ALEX HARRIS","BOWL GREEN",69,67.36,"B",68,49.6,0.087,0,95.5,0.087,0.091,3,1,0,0
"TAVO MOTU'APUAKA","UTAH ST",94,65.22,"B",64.7,60.4,0.043,0,92.9,0.074,0.063,4,0,0,0
"JAYDEN TRAPP","UTEP",26,65.18,"B",53.1,53.4,0,0,100,0.077,0,0,1,0,0
"NATE HAMPTON","AKRON",57,64.69,"B",55,68.4,0.018,0,98.6,0.105,0.028,1,1,0,0
"HUNTER WHITENACK","W MICHIGAN",69,64.64,"B",51.6,68.7,0.015,0.036,0,0.058,0.036,0,0,1,0
"ALEX GALE","MIDDLE TN",29,64.55,"B",58.8,69.2,0.035,0,0,0.138,0,0,1,0,0
"DUSTYN MORELL","KENT STATE",42,64.02,"B",50.8,84.1,0.024,0,0,0.095,0,0,1,0,0
"ETHAN KRAMER","E CAROLINA",42,62.21,"B",53.4,76.2,0,0,0,0.071,0,0,1,0,0
"THOMAS SHRADER","USF",56,61.69,"B",58.4,54.7,0.036,0.045,0,0.071,0.091,1,0,1,0
"KARSON JONES","E CAROLINA",28,60.85,"B",56.5,71.3,0,0,0,0.107,0,0,1,0,0
"DENELL NIX JR.","SM HOUSTON",72,60.76,"B",47.8,79.9,0.014,0,0,0.083,0,0,1,0,0
"CALEB COOK","USF",56,60.53,"B",50.6,75.2,0.018,0,0,0.107,0,0,1,0,0
"ASHANTI COLE","LA TECH",33,59.89,"C",48.9,56.8,0.03,0,96.9,0.121,0.063,1,0,0,0
"VINCENT FIACABLE","FAU",90,59.73,"C",58.3,60.7,0.011,0,0,0.044,0.035,2,0,0,0
"COLE DELLINGER","E MICHIGAN",54,59.33,"C",50.9,68.3,0,0,100,0.111,0.031,1,1,0,0
"JACOB JEUDY","BALL ST",29,59.3,"C",59.2,50.7,0.035,0.05,0,0.103,0.1,1,0,1,0
"LOGAN COX","DOMINION",57,59.11,"C",54.4,73.6,0.018,0,0,0.105,0.05,1,0,0,0
"BRANDON SMITH","AKRON",28,58.78,"C",62.2,53.1,0.036,0,94.1,0.143,0.118,2,0,0,0
"JACOB SCHORSCH","MIAMI OH",52,58.64,"C",51.8,60.6,0.019,0,0,0.077,0.026,1,0,0,0
"ANTONIO TRIPP JR.","FIU",78,58.2,"C",60.3,66.2,0.013,0,0,0.051,0.036,2,1,0,0
"JALEN SLAPPY","MARSHALL",51,57.98,"C",57.9,64.6,0.02,0,0,0.059,0.067,2,0,0,0
"MARQUISE THORPE-TAYLOR","FRESNO ST",45,57.03,"C",58.8,13,0.044,0.045,95.5,0.156,0.091,1,0,1,0
"MISAEL SANDOVAL","BALL ST",63,56.93,"C",58.3,48.8,0.032,0,0,0.079,0.047,2,0,0,0
"DYLAN SHAW","N TEXAS",38,56.71,"C",56.9,41.4,0.053,0.048,0,0.132,0.095,1,0,1,0
"TYLER VOLTIN","OREGON ST",78,56.07,"C",58.8,67.1,0.051,0.035,0,0.115,0.052,1,1,1,1
"AMARIE ARCHER","AKRON",43,55.87,"C",60.3,51.6,0.023,0,94.2,0.093,0.115,3,0,0,0
"ZAIRE FLOURNOY","FIU",78,55.77,"C",51.4,69.9,0,0.018,0,0.077,0.036,1,0,1,0
"BEN RIOS","UTSA",61,55.72,"C",58.2,61.4,0.033,0,0,0.098,0.029,1,2,0,0
"ALEX BIRCHMEIER","LIBERTY",69,55.28,"C",56.3,50.7,0.043,0,0,0.101,0.059,2,0,0,0
"COLTON THOMASSON","UNLV",43,55.22,"C",52.4,59,0.023,0,0,0.093,0.063,1,0,0,0
"AIDEN JONES","FAU",90,54.84,"C",50,70.6,0,0,0,0.067,0.017,1,1,0,0
"JAKOBY ISOM","LA LAFAYET",35,54.77,"C",53.3,19.3,0.029,0.071,0,0.114,0.071,0,0,0,1
"KADEN MOREAU","LA LAFAYET",46,54.49,"C",64.2,28.4,0.065,0,0,0.109,0.048,1,2,0,0
"REESE BAKER","TULANE",60,53.97,"C",53.3,72,0.017,0,0,0.117,0.053,2,0,0,0
"LUKE SANDY","CHARLOTTE",67,53.84,"C",58.1,53.2,0.015,0.025,0,0.09,0.05,1,1,1,0
"WILLIAM JOHNSON III","KENT STATE",48,53.64,"C",60.2,51.3,0.042,0,0,0.146,0.074,2,0,0,0
"ROGER CARREON","BOISE ST",68,53.39,"C",64,28,0.029,0,95.8,0.088,0.083,3,1,0,0
"DARRELL JONES","UTSA",45,52.9,"C",53.3,59.2,0.022,0,0,0.111,0.039,1,1,0,0
"ROBBY MARTIN","MARSHALL",51,52.85,"C",53.3,64.6,0.02,0,0,0.098,0.067,2,0,0,0
"RYAN MITCHELL","MO STATE",30,52.4,"C",51.8,61.2,0,0,0,0.1,0.056,1,0,0,0
"OMORUYI ALIU-OTOKITI","UTEP",34,52.32,"C",51.3,59.8,0.029,0,96.4,0.206,0.071,1,1,0,0
"CARSON RASMUSSEN","BOISE ST",68,51.87,"C",51.5,59,0,0.028,94.4,0.118,0.083,2,0,0,1
"AMARE TAASE","UNLV",58,51.06,"C",60.2,36,0.052,0,0,0.121,0.05,1,2,0,0
"JAYMAR TASI","NEW MEXICO",50,50.47,"C",64.9,15.9,0.04,0.036,0,0.08,0.071,1,2,1,0
"WILLIE GOODACRE","N TEXAS",33,50.13,"C",47,69,0,0,0,0.182,0,0,1,0,0
"DOM SILVIA","CHARLOTTE",40,49.85,"C",62.7,53.8,0.025,0,0,0.1,0.063,2,2,0,0
"NICK BAKKEN","WASH STATE",58,49.24,"C",58.6,59.3,0.035,0,0,0.138,0.094,3,0,0,0
"LUKE SKARTVEDT","N ILLINOIS",57,49,"C",46.7,76.9,0,0,0,0.14,0.026,1,1,0,0
"KALIEM CROSWELL","LA MONROE",63,48.88,"C",47.4,57.6,0.016,0,0,0.143,0,0,2,0,0
"CHANDLER TELFAIRE","DELAWARE",56,47.14,"C",53,45.9,0.054,0.027,93.2,0.196,0.108,3,0,0,1
"SETH ANSTEAD","OHIO",64,45.13,"C",57.6,37.9,0.016,0.023,0,0.078,0.091,3,0,1,0
"JONATHAN HARDER","TOLEDO",30,43.4,"C",53.3,49.6,0,0,92.9,0.133,0.143,3,0,0,0
"JUDAH KAIO","HAWAII",77,40.93,"C",51.7,34.7,0.039,0.02,0,0.143,0.039,1,2,0,1
"GRAYSON MAINS","TEMPLE",56,38.17,"D",54.1,34.4,0.018,0,0,0.143,0.043,1,3,0,0
"JAYMON LAMB","UTEP",34,37.64,"D",56.9,4.1,0.029,0.059,94.1,0.176,0.176,2,1,0,1
"MATTHEW BROUSSARD","LA LAFAYET",55,36.63,"D",56.5,14.6,0,0,0,0.073,0.111,3,0,0,0
"LUKE PETIT","TROY",68,35.92,"D",52.1,21.7,0.059,0.035,0,0.191,0.103,2,1,0,1
"GAVIN DABO","W MICHIGAN",69,34.38,"D",51.3,18.6,0.029,0.071,0,0.203,0.107,1,1,1,1
"QUENTIS GRIFFIN JR.","LA MONROE",63,34.3,"D",49.7,25.1,0.016,0.03,0,0.143,0.091,2,1,1,0
"KEON JOHNSON","N TEXAS",71,34.02,"D",47.8,29.1,0.014,0.029,0,0.141,0.059,1,2,0,1
"PATRICK SCREWS JR.","TROY",68,33.46,"D",47,52.2,0,0,0,0.147,0.069,2,2,0,0
"GINO QUINONES","FRESNO ST",32,32.83,"D",43.9,17,0,0,94.1,0.188,0.118,2,0,0,0
"CALIB PEREZ","UAB",55,32.53,"D",48.3,24.2,0.018,0.037,96.3,0.182,0.148,3,1,1,0
"JOSHUA DANIEL","COAST CAR",69,28.08,"D",53.3,47.8,0.015,0,0,0.145,0.077,4,3,0,0
"DONOVAN LAWRENCE","UAB",82,26.22,"D",46,24.8,0.024,0.071,92.9,0.207,0.143,3,1,2,1
"GREG SMITH JR.","MIAMI OH",46,25.35,"D",51,7.8,0,0.029,0,0.152,0.059,1,3,0,1
"TRAY FRANKLIN","COAST CAR",69,25.14,"D",45.9,46,0.015,0,0,0.174,0.077,4,2,0,0
"GRESHAM PERRY","TULANE",60,24.51,"D",53.4,32.9,0,0.026,0,0.167,0.132,4,1,1,0
"TYLER CHAMBERS","N ILLINOIS",57,22.32,"D",45.2,23.9,0,0.026,0,0.175,0.079,2,2,0,1
"BRADY BARROWMAN","BALL ST",34,20.54,"D",57.1,0,0.059,0.043,0,0.235,0.174,3,2,0,1
"KYLE MARTIN","WASH STATE",58,0,"F",38.8,5.8,0,0.031,0,0.259,0.125,3,3,0,1
