"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"HERSCHEL TURNER","NEVADA",1,"HB",2026,"MWC",70.3,6,11,51,4.6,1,5,0,0,4,31,2.8,20,1.8,0,0.455,0.36,2,0.364,"NEVADA",1,"MWC",68.1,1,5,0,2,1,20,20,0,1,0,0,0,1,0,0,3,3,0,0,4,26,1,0,"100%","0.00%","0.00%",85.4,0,0.4,0.5,"50.00%","MWC","G5",22,50.62,"C"
"JAQUARI LEWIS","APP STATE",5,"HB",2026,"Sun Belt",78.1,7,11,69,6.3,1,3,0,0,7,28,2.5,41,3.7,0,0.273,0.64,3,0,"APP STATE",5,"Sun Belt",55.5,0,15,0,1,1,4,4,0,0,0,0,0,1,0,0,9,9,2,0,0.27,-5,0,0,"100%","0.00%","0.00%",83.3,0.067,0.067,0,"100%","Sun Belt","G5",31,49.72,"C"
"JAMARICE WILDER","SO MISS",6,"HB",2026,"Sun Belt",77.9,10,14,90,6.4,2,6,0,0,3,56,4,34,2.4,0,0.429,0.21,2,0.071,"SO MISS",6,"Sun Belt",54.9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Sun Belt","G5",29,49.57,"C"
"LUCKY SUTTON","S DIEGO ST",7,"HB",2026,"Pac-12",61.1,11,18,58,3.2,3,5,0,0,8,29,1.6,29,1.6,0,0.278,0.44,2,0.111,"S DIEGO ST",7,"Pac-12",54.3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Pac-12","G5",35,49.42,"C"
"BOOGIE WOODS III","KENNESAW",24,"HB",2026,"C-USA",70.7,6,11,49,4.5,1,4,0,0,6,8,0.7,41,3.7,0,0.364,0.55,3,0.182,"KENNESAW",24,"C-USA",68.5,2,6,0,3,3,15,5,0,1,0,0,0,3,0,0,24,8,4,0,2.5,-3,0,1,"100%","0.00%","0.00%",87.5,0.167,0.5,0,"100%","C-USA","G5",28,48.8,"C"
"LANEAR MCCRARY JR.","GA STATE",5,"HB",2026,"Sun Belt",73.6,8,9,75,8.3,1,6,0,0,3,16,1.8,59,6.6,0,0.667,0.33,2,0,"GA STATE",5,"Sun Belt",59.5,1,10,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0.2,2,0,0,"100%","0.00%","0.00%",79.2,0,0.1,0,"100%","Sun Belt","G5",24,48.48,"C"
"AMAREON BLUE","E MICHIGAN",15,"HB",2026,"MAC",69,5,11,81,7.4,1,4,0,0,3,53,4.8,28,2.5,0,0.364,0.27,1,0.091,"E MICHIGAN",15,"MAC",58.7,3,16,0,3,3,12,4,0,0,0,0,0,3,1,1,10,3.3,2,1,0.75,0.7,0,1,"100%","0.00%","33.30%",83.3,0,0.188,0,"100%","MAC","G5",32,47.36,"C"
"TYVONN BYARS","RICE",26,"HB",2026,"The American",76.3,10,16,104,6.5,0,6,0,0,1,45,2.8,59,3.7,0,0.375,0.06,3,0.188,"RICE",26,"The American",58.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",29,45.13,"C"
"DARRELL SMITH","LA LAFAYET",0,"HB",2026,"Sun Belt",78.5,8,10,84,8.4,2,5,0,0,1,64,6.4,20,2,0,0.5,0.1,2,0,"LA LAFAYET",0,"Sun Belt",53.3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,"0.00%","0.00%","0.00%",39.6,0,0.125,0,"0.00%","Sun Belt","G5",21,45.06,"C"
"TJ WASHINGTON JR.","NEW MEX ST",0,"HB",2026,"C-USA",67.5,4,7,43,6.1,2,4,0,0,2,32,4.6,11,1.6,0,0.571,0.29,3,0,"NEW MEX ST",0,"C-USA",79.5,1,6,0,1,1,32,32,0,1,0,0,0,1,0,0,34,34,16,0,5.33,-2,1,1,"100%","0.00%","0.00%",118.8,0,0.167,0,"100%","C-USA","G5",16,44.91,"C"
