"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Defeated.Runblock.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Sacks.Allowed","Hits.Allowed"
"KING LARGE","MO STATE",30,71.57,"B",54.4,84.7,0.033,0,0.133,0,0,0,0,0,0
"LUKE DUSKA","KENNESAW",27,71.56,"B",52.8,71.2,0,0,0.083,100,0,1,0,0,0
"LUKE NEEDHAM","RICE",40,70.98,"B",62.8,73.3,0.075,0,0.028,0,0,0,0,0,0
"ETHAN GREEN","USF",46,70.51,"B",59.4,81.5,0.043,0,0.067,0,0,0,0,0,0
"KEYON COX","UAB",52,70.27,"B",72.3,46.5,0.058,0.035,0.095,94.8,0.069,1,1,0,1
"NOAH ROSAHAC","DELAWARE",58,70.14,"B",72.2,74.6,0.052,0.026,0.053,96.2,0.051,3,1,1,0
"GABE FUNK","BOWL GREEN",63,69.74,"B",52.1,83.2,0,0,0.061,98.3,0.033,0,1,0,0
"ALLEN JONES JR.","AKRON",48,69.3,"B",61.9,71.1,0.021,0,0.053,98.3,0.035,1,1,0,0
"MA'KYI LEE","NEW MEX ST",51,68.82,"B",48.8,81.2,0,0.05,0.29,0,0.05,0,0,1,0
"JOHNNY WILLIAMS IV","N TEXAS",71,68.54,"B",50.5,87.8,0.014,0,0.135,0,0,0,0,0,0
"XAVIER ALLEN","MEMPHIS",41,67.98,"B",68.8,50.3,0.098,0,0.067,0,0,1,0,0,0
"TEKO SHOATS","OREGON ST",78,67.15,"B",75.8,74.5,0.064,0.017,0.1,0,0.035,2,1,0,1
"J'VEN WILLIAMS","CHARLOTTE",76,66.94,"B",59.3,87.5,0.026,0,0.1,0,0.022,0,1,0,0
"STERLING WIGGINS","ARK STATE",63,66.38,"B",67.9,61.8,0.063,0.027,0.192,100,0.108,1,3,1,0
"MATT HOFER","TOLEDO",45,65.75,"B",67,50.1,0.044,0.071,0.059,94.6,0.107,0,1,0,2
"ZACH AAMLAND","TEMPLE",47,65.63,"B",73.3,64.8,0.085,0.053,0.071,0,0.105,0,1,0,1
"ASHTON TRIPP","WASH STATE",58,65.33,"B",47.4,71.5,0.035,0,0.269,0,0,2,0,0,0
"REESE TRIPP","MIDDLE TN",51,65.19,"B",64.8,53.5,0.078,0,0.182,0,0,3,0,0,0
"JOHN HOLTHAUS","COLO STATE",70,65.07,"B",51,83.6,0.014,0,0.094,0,0,0,0,0,0
"AARON KARAS","MEMPHIS",64,64.1,"B",59.1,79.8,0.016,0,0.022,0,0,0,0,0,0
"NIKOLA MILOVAC","KENNESAW",58,64.09,"B",52,59.4,0.017,0,0.179,98.3,0.033,2,1,0,0
"SIMEON AFALAVA","S JOSE ST",78,63.74,"B",50.6,63.9,0,0,0.061,100,0,2,0,0,0
"COLIN ALEXANDER","GA SOUTHRN",65,63.33,"B",55.3,84.4,0,0,0.048,0,0,0,0,0,0
"NETO UMEOZULU","N TEXAS",71,63.15,"B",53.4,65.1,0.042,0.029,0.189,0,0.029,1,0,0,1
"TYRIQ POINDEXTER","APP STATE",60,63.07,"B",61,69.7,0.033,0,0.138,0,0.032,0,1,0,0
"COLE MILLWARD","NEW MEXICO",64,62.91,"B",53.2,83.9,0.016,0,0.143,0,0.028,0,1,0,0
"RILEY MCGEHEE","MEMPHIS",25,62.54,"B",49.9,78.8,0,0,0.118,0,0,0,0,0,0
"EVAN MALCORE","MIAMI OH",52,62.22,"B",58.7,80.5,0.019,0,0.143,0,0.026,1,1,0,0
"CAM STANCIL","JVILLE ST",48,61.86,"B",66.2,69.4,0.042,0.037,0,0,0.037,0,0,1,0
"QUENTIN BUTLER","MIDDLE TN",51,61.67,"B",75.3,73.8,0.078,0,0,0,0.069,0,2,0,0
"BRIAN BEIDATSCH","MIAMI OH",46,61.5,"B",62.6,72.4,0.022,0,0.083,0,0,2,0,0,0
"BRAYLON JENKINS","WYOMING",55,60.77,"B",66.1,78.8,0.055,0.039,0.035,0,0.077,0,1,1,0
"TORIYAN JOHNSON","COLO STATE",67,60.64,"B",56.4,75.4,0.015,0,0.067,0,0,1,0,0,0
"TRUMAIN LAWSON","OHIO",64,60.43,"B",68.6,55.3,0.047,0.045,0.05,0,0.045,0,0,0,2
"JA'KAVION NONAR","FAU",90,59.69,"C",50.2,87.5,0,0,0.094,0,0.017,0,1,0,0
"LARRY EDWARDS","SO MISS",38,58.96,"C",78.4,20.8,0.105,0,0.039,0,0,2,0,0,0
"MOFE ADEWOLE","KENT STATE",38,58.8,"C",58.5,64.8,0.026,0.045,0.125,0,0.045,1,0,1,0
"ZAY ALEXANDER","LA LAFAYET",56,58.29,"C",58.2,35.3,0.071,0.036,0.214,0,0.036,1,0,1,0
"JOHN WATKINS","TEMPLE",46,57.47,"C",68.5,67.3,0.065,0,0,0,0.063,0,1,0,0
"MANUEL SERNA","S JOSE ST",78,57.32,"C",53.7,61,0,0.022,0.03,98.9,0.044,1,1,0,1
"CHRISTIAN WILLIAMS","LIBERTY",69,56.11,"C",64.5,55.6,0.058,0,0.114,0,0.029,2,1,0,0
"AIDAN ANDREWS","GA STATE",25,55.41,"C",69.3,40.8,0.08,0,0.1,0,0.067,0,1,0,0
"RAYKWON GOLDTHWAITE","DOMINION",57,54.75,"C",52.9,62.9,0.035,0,0.135,0,0,3,0,0,0
"DAVID APPLEWHITE","LA MONROE",63,54.06,"C",55.1,75.3,0.032,0,0.167,0,0.061,1,2,0,0
"BEN GUSTAFSON","N ILLINOIS",37,53.72,"C",67,63.4,0.027,0.08,0,0,0.08,1,0,1,1
"KRISTOS FERNANDEZ","CHARLOTTE",76,53.13,"C",66.4,63.8,0.04,0.022,0.1,0,0.065,1,2,0,1
"JACKSON BROWN","UNLV",62,52.86,"C",63.3,68.8,0.032,0,0.077,0,0.043,2,1,0,0
"CAM EAST","TULSA",61,52.85,"C",53.7,75.1,0,0,0.065,0,0.035,0,1,0,0
"ARMOND OWENS","NEW MEX ST",35,52.69,"C",69.2,53.9,0.086,0,0.077,0,0.111,0,1,0,0
"BRAYDEN WALTON","FRESNO ST",46,52.67,"C",54.4,48.8,0.022,0.043,0.13,93.5,0.13,0,2,0,1
"BRYCE WEAVER","E CAROLINA",42,51.75,"C",56.6,62.1,0,0.045,0.05,0,0.045,1,0,0,1
"CHRIS HOOD","BALL ST",63,51.59,"C",68.1,61.1,0.032,0.023,0,0,0.047,1,1,0,1
"JACK LAIRD","MARSHALL",36,50.5,"C",52,50.3,0.028,0,0.214,0,0.045,1,1,0,0
"BEN GALLOWAY","FAU",90,50.44,"C",50.9,68.2,0.011,0.017,0.125,0,0.035,1,1,0,1
"WAHKEEM ROMAN","DELAWARE",31,50,"C",54.6,13.8,0.032,0,0.308,94.4,0.111,0,2,0,0
"HAYES CREEL","E CAROLINA",42,49.14,"C",52.9,52,0,0.045,0.3,0,0.091,1,1,1,0
"JAYLEN GARTH","UTSA",34,48.81,"C",49.9,59.5,0,0.05,0.071,0,0.05,1,0,0,1
"TAI RAY","W KENTUCKY",83,48.5,"C",55.2,66.6,0.012,0,0.156,0,0.039,2,2,0,0
"SEBASTIAN ESPINOZA","MO STATE",27,48.39,"C",53.3,55.8,0,0.071,0.077,0,0.071,1,0,1,0
"GEORGE JACKSON","LA LAFAYET",48,48.08,"C",54.2,63,0,0,0.077,0,0.045,0,1,0,0
"BEN ROEBUCK","W MICHIGAN",69,47.39,"C",50.1,64.4,0,0.071,0.098,0,0.071,1,0,1,1
"DEACON RAWLS","JAMES MAD",54,46.85,"C",53.3,62,0.056,0,0.258,0,0.13,0,3,0,0
"MATTHEW WILLIAMS","GA SOUTHRN",57,46.79,"C",48.7,65.3,0.018,0.027,0.158,0,0.081,0,2,0,1
"JARIAN SHELBY","OHIO",64,46.35,"C",67.9,57.6,0.047,0,0.1,0,0.068,2,3,0,0
"TARIQ MONTGOMERY","MARSHALL",51,45.8,"C",56.9,58.5,0.02,0,0.095,0,0.067,0,2,0,0
"ALEKAI AFOA","UNLV",62,45.52,"C",61.6,68.3,0.065,0,0.073,0,0.095,2,2,0,0
"TYLER MEADOWS","KENT STATE",42,45.49,"C",51.1,58.1,0,0.042,0.111,0,0.083,0,1,0,1
"MICHAEL WOOTEN","USF",56,45.17,"C",54.5,62.2,0.018,0.045,0.059,0,0.091,0,1,1,0
"WILLIAM BOONE","TEXAS ST",59,44.56,"C",51.9,58.2,0.017,0.031,0.148,93.1,0.156,0,4,0,1
"DEAN BRISKI","HAWAII",77,44.53,"C",54,59.3,0.013,0,0.192,0,0.039,3,2,0,0
"KENDRICK HALL","DOMINION",57,44.46,"C",66.4,35.5,0.07,0.1,0.081,0,0.15,1,1,1,1
"JONATHAN GOULD","AKRON",46,44.41,"C",52.9,39.3,0,0,0.118,96.6,0.069,2,2,0,0
"JEREMY SMITH","FIU",78,43.86,"C",52,60.1,0.013,0.018,0.182,0,0.054,2,2,0,1
"AJ VINSON","LA MONROE",63,42.98,"C",56.6,67.9,0.016,0,0.1,0,0.091,0,3,0,0
"JADARIOUS LEE","KENNESAW",58,42.11,"C",53.9,14.5,0.035,0.033,0.107,96.7,0.067,3,1,0,1
"TYLER ETHRIDGE","BOISE ST",68,41.99,"C",55.8,63.1,0,0,0.031,95.8,0.083,3,3,0,0
"KARSTEN UPCHURCH","W KENTUCKY",83,40.74,"C",62.3,57.5,0.036,0,0.156,0,0.059,4,3,0,0
"JONNY LESTER","WASH STATE",58,40.18,"C",65.5,49.5,0.052,0.031,0.231,0,0.156,1,4,0,1
"PAYTON KIRKLAND","UAB",30,40.07,"C",39.7,22.2,0,0,0.211,95,0.1,0,1,0,0
"JORDON JONES","TROY",68,39.78,"D",33.7,48.6,0,0,0.231,0,0.035,1,1,0,0
"SAMUEL ADJIN","E MICHIGAN",57,38.85,"D",57.9,60.1,0,0,0,0,0.05,1,2,0,0
"JIMMY LISTON","UTAH ST",94,38.72,"D",53.3,47.2,0.011,0.032,0.032,100,0.048,4,1,2,0
"NICKOLAS MOLINA","FIU",70,37.98,"D",31.4,55.4,0,0.057,0.353,0,0.094,0,2,1,2
"D.J. GETH","LIBERTY",69,37.88,"D",58.1,34.2,0.043,0.029,0.171,0,0.088,2,2,0,1
"ISAAC SOHN","SM HOUSTON",72,37.4,"D",68.8,50.1,0.042,0.019,0.1,0,0.096,2,4,0,1
"TYLER BRUMFIELD","E MICHIGAN",69,34.44,"D",60,33.2,0.015,0.022,0.043,100,0.109,2,4,0,1
"GRAYSON JOHNSON","UTEP",46,34.1,"D",50.6,25.5,0,0,0.12,92.9,0.095,2,2,0,0
"A'MARION BRELAND","UTSA",58,32.93,"D",49.4,41,0,0,0.12,0,0.061,1,2,0,0
"RYAN MICKOW","TULANE",47,32.37,"D",63.4,1.9,0.043,0.08,0.182,0,0.12,1,1,2,0
"CALEB PYFROM","NEW MEX ST",28,32.25,"D",56.6,49.4,0,0,0.091,0,0.118,0,2,0,0
"MAKHETE GUEYE","MO STATE",25,31.4,"D",61.6,3.4,0.12,0,0.158,0,0.167,0,1,0,0
"JACK FOSTER","NEVADA",55,30.21,"D",72.4,31.4,0.091,0,0.054,0,0.167,1,3,0,0
"BARRETT MADDOX","UAB",82,29.31,"D",30.8,38.6,0.012,0,0.25,96.2,0.103,3,4,0,0
"CHAD SCHUSTER","W MICHIGAN",69,29.06,"D",58,27.8,0.029,0,0.073,0,0.071,2,2,0,0
"JOSIAH TIMOTEO","OREGON ST",73,29.03,"D",60.4,34.5,0.014,0.075,0.15,0,0.094,3,1,1,3
"JAYCE MITCHELL","LA LAFAYET",32,27.69,"D",52.4,19.6,0,0,0.1,0,0.083,0,1,0,0
"JACOB BOOTH","C MICHIGAN",32,25.63,"D",60.2,40.3,0,0,0,0,0.1,1,2,0,0
"DOMINIC STEWARD","TULANE",40,24.02,"D",61.4,26.4,0.025,0.04,0.067,0,0.16,0,3,0,1
"IBRAHIM TRAORE","TOLEDO",45,23.96,"D",53.2,28.9,0,0,0.118,94.6,0.107,5,3,0,0
"DAYLON METOYER","BOISE ST",68,23.88,"D",53.4,23.7,0,0.111,0.094,88.9,0.194,1,3,1,3
"DARION REED","TULANE",33,23.74,"D",61.5,20.7,0.03,0.039,0.286,0,0.154,4,3,0,1
"TYLER ROBERTS","UTEP",46,21.5,"D",59.3,15.4,0.022,0,0.12,90.5,0.191,1,4,0,0
"MYLES JOSEPH","SM HOUSTON",72,20.09,"D",57.6,54.9,0.014,0.019,0.1,0,0.115,3,5,1,0
"LANE MAHNESMITH","N ILLINOIS",57,15.91,"F",48.8,42.2,0,0.079,0.158,0,0.158,2,3,2,1
"MARTIN KOIVISTO","C MICHIGAN",46,14.58,"F",54.2,1.9,0,0.091,0.042,0,0.136,1,1,2,0
"TRISTAN COOK","BALL ST",63,11.66,"F",48.6,40.1,0,0.023,0.1,0,0.14,1,5,1,0
"DARION RIVERS","TROY",47,10.48,"F",48.6,16.1,0.021,0,0.192,0,0.095,6,2,0,0
"DANIEL JONES","COAST CAR",69,9.5,"F",64.5,31.8,0.029,0.019,0.118,0,0.115,6,5,1,0
"DAUGHTRY RICHARDSON","COAST CAR",69,8.3,"F",43,56.8,0,0,0.118,0,0.154,1,8,0,0
"BOOGIE HENDERSON","HAWAII",77,0,"F",55.8,0,0.026,0.02,0.115,0,0.157,1,7,0,1
