"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Receiving.Yards","Receiving.Touchdowns","Targets","Receptions","Receiving.Yards.after.Contract","Contested.Targets","Receiving.Grade","Snaps.on.Press.Coverage","Yards.per.Route.Run","Passer.Rating.when.Targetted","Missed.Tackles.forced.on.Receptions","Yards.After.Catch.per.Reception","Average.Depth.of.Target","Contested.Catches","Dropped.Passes","Fumbles","Fumbles.Lost","Receiving.Snaps","Receiving.First.Downs","Catchable.Targets","Contested.Catches.Percentage","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Explosive.Plays","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Percentage.of.Targets.per.Receiving.Snaps"
"CYRUS ELLISON","COAST CAR",31,27.76,"D",28,0,4,3,7,0,44.7,0,1.87,93.8,0,7.3,4.8,0,0,1,1,15,1,3,0,0,0.267,0,0,1,0,0.75
"BLAKE SMITH","TEXAS ST",29,27.41,"D",17,0,2,2,1,0,61.7,4,1.31,102.1,0,1,7.5,0,0,0,0,13,1,2,0,0.077,0.154,0,0,1,0,1
"CASH CHEEKS","UTEP",32,26.84,"D",22,0,2,1,1,0,62.4,1,1.69,89.6,0,3,22.5,0,0,0,0,13,1,1,0,0.077,0.154,0.5,1,1,0,0.5
"COLE KELLER","JAMES MAD",48,26.83,"D",30,0,2,1,5,0,52.6,0,2.14,95.8,0,10,12.5,0,1,0,0,14,1,2,0,0.071,0.143,0.5,1,0.5,0.5,0.5
"KAMAEHU KOPA-KAAWALAUOLE","S JOSE ST",32,25.71,"D",8,0,2,2,0,1,59.4,0,0.47,83.3,0,0.5,3.5,1,0,0,0,17,1,2,1,0.059,0.118,0,0,1,0,1
"TREVOR WILSON","BUFFALO",52,25.5,"D",14,0,3,2,2,0,68.7,0,0.88,77.1,0,3,4.3,0,0,0,0,16,2,2,0,0,0.188,0,0,1,0,0.667
"PRESTON KILGORE","SO MISS",34,25.44,"D",21,0,2,2,5,0,55.6,0,1.4,110.4,0,5.5,5,0,0,0,0,15,1,2,0,0,0.133,0,1,1,0,1
"BREC LONG","N TEXAS",38,25.37,"D",14,0,2,2,5,0,55.6,1,1,95.8,1,9,-2,0,0,0,0,14,1,2,0,0,0.143,0,0,1,0,1
"COLLIN REMENOWSKY","UTAH ST",22,25.14,"D",14,0,1,1,2,0,75.3,0,1.75,118.8,0,8,6,0,0,0,0,8,1,1,0,0,0.125,0,0,1,0,1
"BRENDAN LOFTUS","MIAMI OH",16,25.1,"D",15,0,2,2,1,0,58.9,0,3.75,97.9,0,1.5,6,0,0,0,0,4,1,2,0,0.5,0.5,0,0,1,0,1
"LUKE DOUGLAS","APP STATE",25,24.9,"D",16,0,2,2,1,0,70.4,0,1.78,100,0,4.5,3.5,0,0,0,0,9,1,2,0,0,0.222,0,0,1,0,1
"TERIK MULDER","KENT STATE",25,24.55,"D",11,0,3,1,3,1,51.7,1,0.85,45.1,0,15,0,0,1,0,0,13,1,2,0,0,0.231,0,0,0.5,0.5,0.333
"KYLE FRENDT","WYOMING",19,24.49,"D",15,0,2,2,3,0,68.2,1,2.14,97.9,0,8.5,-1,0,0,0,0,7,0,2,0,0.286,0.286,0,0,1,0,1
"WYATT SULLIVAN","USF",34,24.21,"D",12,0,3,1,2,1,51.6,1,0.75,46.5,0,7,10.3,0,1,0,0,16,1,2,0,0.063,0.188,0,0,0.5,0.5,0.333
"SCOTT ISACKS","UAB",42,24.11,"D",15,0,2,1,1,0,66.4,2,1.5,75,0,5,6,0,0,0,0,10,1,1,0,0,0.2,0,1,1,0,0.5
"JORDAN CLARK","RICE",25,24.07,"D",11,0,1,1,2,0,69.4,1,1.83,112.5,0,7,4,0,0,0,0,6,1,1,0,0.167,0.167,0,0,1,0,1
"GAVIN CORREIA","FRESNO ST",25,23.69,"D",12,0,1,1,2,0,68.9,1,1.5,116.7,0,3,9,0,0,0,0,8,1,1,0,0,0.125,0,0,1,0,1
"HUNTER HOPPERTON","KENT STATE",22,23.42,"D",12,0,3,3,0,0,67.5,0,1.33,83.3,0,1,3,0,0,0,0,9,1,3,0,0,0.333,0,0,1,0,1
"LUKE CLYBURN","USF",31,23.42,"D",8,0,1,1,2,0,75.5,0,2.67,100,0,4,4,0,0,0,0,3,1,1,0,0,0.333,0,0,1,0,1
"ROD GIBBS","S ALABAMA",66,22.32,"D",18,0,2,2,1,0,59,0,0.9,104.2,0,1,8,0,0,0,0,20,1,2,0,0.05,0.1,0,0,1,0,1
"BRAYDEN BOCKLER","LA TECH",22,21.73,"D",7,0,2,2,2,0,73.9,0,1,81.3,0,1,2.5,0,0,0,0,7,1,2,0,0,0.286,0,0,1,0,1
"MAX REESE","N TEXAS",47,21.13,"D",9,0,3,3,1,0,51.9,2,0.36,79.2,0,2,1,0,0,0,0,25,1,3,0,0.08,0.12,0,0,1,0,1
"JOSH BURRELL","ARK STATE",27,20.74,"D",10,0,1,1,3,0,60.8,1,0.56,108.3,0,5,5,0,0,0,0,18,1,1,0,0.056,0.056,0,0,1,0,1
"TAYVION GALLOWAY","MIDDLE TN",26,18.08,"F",9,0,3,2,2,0,51.4,2,0.53,70.1,0,3,7.3,0,0,0,0,17,0,2,0,0,0.176,0,0,1,0,0.667
"ISMAEL SMITH FLORES","E CAROLINA",23,18.02,"F",9,0,3,2,1,0,56.8,2,0.82,70.1,0,1.5,0.7,0,0,0,0,11,0,2,0,0.091,0.273,0,0,1,0,0.667
"DOMINIC TOY","COLO STATE",41,17.68,"F",12,0,1,1,1,0,57.1,1,0.63,116.7,0,3,9,0,0,0,0,19,0,1,0,0.053,0.053,0,0,1,0,1
"WESLEY CAMPBELL VI","GA STATE",28,17.5,"F",4,0,2,1,1,1,53.3,0,0.33,56.3,0,1,7,0,0,0,0,12,0,2,0,0.083,0.167,0,0,0.5,0,0.5
"GLEN WEBER","N ILLINOIS",20,17.39,"F",10,0,2,2,3,0,56.4,0,0.91,87.5,0,4.5,0.5,0,0,0,0,11,0,2,0,0,0.182,0,0,1,0,1
"DAVIS LANE","RICE",48,17.35,"F",5,0,1,1,1,0,66.6,0,0.63,87.5,0,2,3,0,0,0,0,8,1,1,0,0,0.125,0,0,1,0,1
"WILL SWARTZ","RICE",29,16.73,"F",0,0,2,0,0,1,55.7,0,0,39.6,0,0,21,0,0,0,0,3,0,0,0,0,0.667,1,0,0,0,0
"ADAM PARKS","W MICHIGAN",52,15.82,"F",9,0,2,2,3,0,52.7,0,0.47,85.4,0,4,0.5,0,0,0,0,19,0,2,0,0,0.105,0,0,1,0,1
"GERARD BULLOCK JR.","KENNESAW",29,15.3,"F",5,0,1,1,2,0,55.4,2,0.5,87.5,0,2,3,0,0,0,0,10,0,1,0,0.1,0.1,0,0,1,0,1
"CONNER CRAVAACK","AKRON",29,15.13,"F",5,0,1,1,3,0,52.4,2,0.38,87.5,0,6,-1,0,0,0,0,13,0,1,0,0,0.077,0,0,1,0,1
"TANNER LEMASTER","E MICHIGAN",33,14.96,"F",8,0,1,1,1,0,52.8,1,0.53,100,0,7,1,0,0,0,0,15,0,1,0,0,0.067,0,0,1,0,1
"AJ JOHNSON","FAU",74,14.82,"F",6,0,2,2,3,0,48.4,1,0.14,79.2,0,2.5,0.5,0,0,0,0,42,0,2,0,0.024,0.048,0,0,1,0,1
"LOFTON HOWARD","W KENTUCKY",34,13.97,"F",3,0,2,2,1,0,54,1,0.18,79.2,0,2,-0.5,0,0,0,0,17,0,2,0,0,0.118,0,0,1,0,1
"CALEB RYAN","LIBERTY",17,13.96,"F",7,0,1,1,0,0,56,0,1.17,95.8,0,1,6,0,0,0,0,6,0,1,0,0,0.167,0,0,1,0,1
"JEREMIAH BECK JR.","SO MISS",24,13.93,"F",0,0,1,0,0,1,52.6,2,0,0,0,0,9,0,0,0,0,5,0,0,0,0.2,0.2,0,0,0,0,0
"TY STAMEY","TEXAS ST",21,13.75,"F",7,0,1,1,1,0,54.9,0,0.7,95.8,0,2,5,0,0,0,0,10,0,1,0,0.1,0.1,0,0,1,0,1
"AJ MILLER","OHIO",25,13.05,"F",4,0,1,1,2,0,52.9,1,0.33,83.3,0,4,0,0,0,0,0,12,0,1,0,0,0.083,0,0,1,0,1
"PETER CLARKE","TEMPLE",49,12.91,"F",0,0,2,0,0,1,49.9,0,0,39.6,0,0,11,0,0,0,0,18,0,0,0,0.056,0.111,0,0,0,0,0
"JOSH HUMES","DELAWARE",21,12.46,"F",0,0,0,0,0,0,52.2,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"GUS MCGEE","CHARLOTTE",38,12.36,"F",3,0,2,2,0,0,53.8,0,0.21,79.2,0,0.5,1,0,0,0,0,14,0,2,0,0,0.143,0,0,1,0,1
"JACKSON WORLEY","TROY",59,12.25,"F",6,0,1,1,0,0,54.5,0,0.6,91.7,0,4,2,0,0,0,0,10,0,0,0,0,0.1,0,0,0,0,1
"NATE LEVICKI","W MICHIGAN",30,11.89,"F",4,0,1,1,1,0,55,0,0.44,83.3,0,1,3,0,0,0,0,9,0,1,0,0,0.111,0,0,1,0,1
"CHRISTIAN ROSS","MIAMI OH",25,10.39,"F",1,0,1,1,1,0,55,0,0.13,79.2,0,2,-1,0,0,0,0,8,0,1,0,0,0.125,0,0,1,0,1
"JUICE VEREEN","COLO STATE",28,10.29,"F",-2,0,5,1,0,0,47.2,2,-0.12,39.6,0,0,7.2,0,1,0,0,17,0,3,0,0.176,0.294,0,0,0.333,0.333,0.2
"JERRY LYDIATT","NEW MEX ST",28,10.22,"F",0,0,1,0,0,0,55.7,0,0,39.6,0,0,23,0,0,0,0,4,0,0,0,0.25,0.25,1,0,0,0,0
"JACK PEDERSEN","WASH STATE",54,10.12,"F",3,0,2,1,1,0,51.5,0,0.12,56.3,0,1,2.5,0,0,0,0,26,0,1,0,0,0.077,0,0,1,0,0.5
"ANDREW METZGER","OHIO",19,9.68,"F",0,0,1,1,0,0,56.3,0,0,79.2,0,1,-1,0,0,0,0,7,0,1,0,0,0.143,0,0,1,0,1
"BRADY RHOADS","CHARLOTTE",15,9.48,"F",0,0,1,0,0,0,53.5,0,0,39.6,0,0,23,0,0,0,0,6,0,0,0,0,0.167,1,0,0,0,0
"JP MIKHAEL","GA SOUTHRN",26,8.95,"F",0,0,2,0,0,0,52.1,0,0,39.6,0,0,19,0,0,0,0,11,0,0,0,0.182,0.182,0.5,0,0,0,0
"CHRIS GACAYAN II","TULSA",26,8.44,"F",0,0,1,0,0,1,35.4,0,0,39.6,0,0,14,0,1,0,0,6,0,1,0,0,0.167,0,0,0,1,0
"REED JESIOLOWSKI","KENNESAW",45,7.42,"F",0,0,1,0,0,0,52.7,2,0,39.6,0,0,-1,0,0,0,0,17,0,0,0,0,0.059,0,0,0,0,0
"JACKSON FORD","S DIEGO ST",28,7.12,"F",0,0,1,0,0,0,51.8,1,0,39.6,0,0,6,0,0,0,0,10,0,0,0,0.1,0.1,0,0,0,0,0
"TY THOMPSON","TULANE",27,6.6,"F",0,0,1,0,0,0,50.1,0,0,39.6,0,0,13,0,0,0,0,19,0,0,0,0.053,0.053,0,0,0,0,0
"JAKE APPLEGET","FRESNO ST",38,5.69,"F",0,0,0,0,0,0,51.4,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"ANTONIO FERGUSON","UAB",44,5.44,"F",0,0,1,0,0,0,42.2,3,0,39.6,0,0,2,0,1,0,0,14,0,1,0,0,0.071,0,0,0,1,0
"EZRA BURGESS","ARK STATE",19,5.32,"F",0,0,1,0,0,0,56.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0
"JASON FOWLER","N ILLINOIS",21,4.9,"F",0,0,0,0,0,0,53.6,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"MATT BYRNES","UNLV",36,4.86,"F",0,0,0,0,0,0,53.5,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"KAUASI HANSEN","UTAH ST",24,4.82,"F",0,0,0,0,0,0,59.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CARTER ECK","NEVADA",16,4.74,"F",0,0,0,0,0,0,59.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"THATCHER MILLER","JAMES MAD",20,4.74,"F",0,0,0,0,0,0,59.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"JEWLYEN ROBERTS","TULSA",22,4.69,"F",0,0,0,0,0,0,58.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"JAKE FURTNEY","OHIO",25,4.6,"F",0,0,0,0,0,0,51.8,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"BLANE CLEAVER","BOWL GREEN",20,4.45,"F",0,0,0,0,0,0,57.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"SCOTT MOORE","DELAWARE",16,4.45,"F",0,0,1,0,0,0,40.7,2,0,39.6,0,0,5,0,1,0,0,6,0,1,0,0,0.167,0,0,0,1,0
"AVION MCBRIDE","GA STATE",26,4.43,"F",0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MAX MOSEY","RICE",16,4.41,"F",0,0,0,0,0,0,57.4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"DEVON TAUAEFA","HAWAII",16,4.21,"F",0,0,0,0,0,0,56.2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"JAMES FALK","RICE",29,4.14,"F",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ELIJAH MULIUFI","S DIEGO ST",16,4.07,"F",0,0,0,0,0,0,55.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"EVAN DANGLER","USF",27,3.93,"F",0,0,0,0,0,0,54.7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"RYAN WOLFER","S DIEGO ST",16,3.81,"F",0,0,0,0,0,0,54.2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"JOE STEIN","N ILLINOIS",18,3.78,"F",0,0,0,0,0,0,53.6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"JACOB NEWELL","TOLEDO",18,3.73,"F",0,0,0,0,0,0,53.4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"KIME FANGUPO","S DIEGO ST",17,3.71,"F",0,0,0,0,0,0,53.6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"CADE CALLAHAN","LA MONROE",25,3.69,"F",0,0,0,0,0,0,53.1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"EVAN POTICHER","MIDDLE TN",19,3.63,"F",0,0,0,0,0,0,53.2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"KYLE MULLENIX","GA STATE",19,3.61,"F",0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"NADER CHIRCHI","COLO STATE",40,3.59,"F",0,0,0,0,0,0,46.3,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"GABE MILBOURN","OREGON ST",18,3.53,"F",0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"SAM LEE","TOLEDO",28,3.52,"F",0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"BEN GRICE","RICE",34,3.43,"F",0,0,0,0,0,0,51.8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"EMILIANO SOLDEVILLA","LA LAFAYET",25,3.4,"F",0,0,0,0,0,0,51.9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"SIMON MAPA","NEW MEXICO",34,3.34,"F",0,0,0,0,0,0,51.5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"DAWSON JOHNSON","TULANE",26,3.29,"F",0,0,0,0,0,0,50.9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"CARSON SU'ESU'E","NEW MEX ST",23,3.25,"F",0,0,0,0,0,0,51.1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"BRODERICK PETERS","SO MISS",38,3.25,"F",0,0,0,0,0,0,50.8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"ISAIAH BUTLER-TANNER","UTSA",29,3.18,"F",0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"KACHE KAIO","UTAH ST",57,2.84,"F",0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"ALEX SCHERLE","BALL ST",28,2.75,"F",0,0,0,0,0,0,48.1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"MATT SMITH","SM HOUSTON",21,1.08,"F",0,0,1,0,0,0,37,0,0,39.6,0,0,2,0,1,0,0,10,0,1,0,0,0.1,0,0,0,1,0
"TYLER LITTLE","ARK STATE",29,1.01,"F",0,0,2,0,0,0,33.6,0,0,39.6,0,0,1.5,0,1,0,0,8,0,1,0,0,0.25,0,0,0,1,0
"LOGAN MAULDIN","CHARLOTTE",16,0.6,"F",0,0,2,0,0,0,32.4,0,0,39.6,0,0,3,0,2,0,0,9,0,2,0,0.111,0.222,0,0,0,1,0
"RUSTY VANWETZINGA IV","C MICHIGAN",21,0.48,"F",0,0,1,0,0,0,31.1,0,0,0,0,0,14,0,1,0,0,7,0,1,0,0,0.143,0,0,0,1,0
"RYDER KUSCH","TEMPLE",26,0,"F",0,0,1,0,0,0,33.6,0,0,39.6,0,0,-2,0,1,0,0,4,0,1,0,0,0.25,0,0,0,1,0
