"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Zion Fowler-El","WAGNER",96,48,2,49.11,"C"
"Keyon Concepcion","MAINE",22,22,1,49.09,"C"
"Devin Yeats","VALPO",34,34,1,49.01,"C"
"Jason Palmieri","SACR HEART",109,54.5,2,48.99,"C"
"Ja'Kheo Mitchell","UTAHTC",23,23,1,48.7,"C"
"Aboraa Kwarteng","RHODE ISLD",113,56.5,2,48.61,"C"
"Andrez Lewis","TXAMEA",35,35,1,48.42,"C"
"Nick Palumbo","LEHIGH",47,47,1,48.29,"C"
"Jordan Herron","N COLORADO",23,23,1,48.19,"C"
"Marvin Sims","AUSTINPEAY",37,37,1,48.19,"C"
"B.J. Fleming","TARLETON",103,51.5,2,48.08,"C"
"Bryce Allen","RICHMOND",77,38.5,2,48.03,"C"
"Kai Austin","WM & MARY",107,53.5,2,47.99,"C"
"Taj Hughes","N IOWA",24,24,1,47.97,"C"
"AJ Adams","DAVIDSON",33,33,1,47.83,"C"
"Romelo Boykin","ABILENE CH",76,38,2,47.67,"C"
"Deuce Oliver","TENN MARTN",80,40,2,47.46,"C"
"Dimitri Howard","MURRAY ST",24,24,1,47.28,"C"
"Joey Stout","N ARIZONA",40,40,1,47.27,"C"
"Luke Mailander","ILL STATE",132,66,2,47.23,"C"
"DK Daniel","W GEORGIA",52,26,2,47.16,"C"
"Nathan Stewart","DELWARE ST",61,61,1,47.08,"C"
"Nodin Tracy","FORDHAM",86,43,2,46.89,"C"
"Trey Firestone","MURRAY ST",105,52.5,2,46.75,"C"
"Justus Murray Jr.","ALBANY",33,33,1,46.56,"C-"
"Derek Burrell","WAGNER",27,27,1,46.42,"C-"
"Jaqai Carter","ROB MORRIS",102,51,2,46.39,"C-"
"David Cabrera","E WASHGTON",26,26,1,46.2,"C-"
"Lekeldrick Bridges","MONTANA",60,30,2,46.18,"C-"
"Rodny Ojo","PRVIEW A&M",79,39.5,2,46.13,"C-"
"Alijah Turner","STHLSK",45,45,1,46.12,"C-"
"Jaquan Lee","FL A&M",24,24,1,46.06,"C-"
"Lonyatta Alexander Jr.","IDAHO",30,30,1,45.97,"C-"
"DJ Maultsby","SCAR STATE",43,43,1,45.88,"C-"
"Nehemiah Hixon","ALABAMA ST",27,27,1,45.78,"C-"
"Corey Holmes","TXRG",94,47,2,45.74,"C-"
"Elijah Roy","LNDNWD",98,49,2,45.74,"C-"
"Luke Shields","FURMAN",50,50,1,45.65,"C-"
"Trey Weary","E TENN ST",43,43,1,45.64,"C-"
