"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Zy'Terrio Lee","CAMPBELL",134,67,2,67.9,"B"
"Elijah Baker","ALABAMA ST",104,52,2,67.58,"B"
"Bennett Nunnally","HOLY CROSS",117,58.5,2,67.54,"B"
"Devan Taylor","ALBANY",64,64,1,67.53,"B"
"Linden Clemmons","WM & MARY",99,49.5,2,67.23,"B"
"Godwin Burger","RICHMOND",37,37,1,67.13,"B"
"Anthony Iliano","MAINE",125,62.5,2,67.03,"B"
"Sam Browder","E TENN ST",107,53.5,2,66.9,"B"
"Trinidad Wilson","SOUTHERN U",106,53,2,66.66,"B-"
"Matthew Snarr","UTAHTC",116,58,2,66.64,"B-"
"Hayden Raley","WM & MARY",53,53,1,63.1,"B-"
"Reuben Logan","BUCKNELL",72,72,1,63.02,"B-"
"Mason Ludwig","YNGTOWN ST",63,63,1,63,"B-"
"Emmitt Harris","ALBANY",64,64,1,62.83,"B-"
"Samuel Petros","MERCYHURST",112,56,2,62.83,"B-"
"Austin Lambert","VALPO",62,62,1,62.8,"B-"
"Tucker Van Meter","MOREHEAD",32,32,1,62.6,"B-"
"Daniel Olalekan","DELWARE ST",146,73,2,62.58,"B-"
"Ryan Steinbrink","COLGATE",115,57.5,2,62.47,"B-"
"Jayden Simmons","N ALABAMA",101,50.5,2,62.4,"B-"
"Dontay Bishop","RHODE ISLD",134,67,2,62.24,"B-"
"Luke Roaten","ABILENE CH",125,62.5,2,62.19,"B-"
"Ben Hollowell","BETH COOK",30,30,1,62.04,"B-"
"Kiegan Henson","IDAHO",139,69.5,2,62,"B-"
"Josh Duran","MONMOUTH",108,54,2,61.76,"B-"
"Gabe Snyder","STETSON",48,48,1,61.65,"B-"
"Dillon Porter","WOFFORD",37,37,1,61.64,"B-"
"Kyan Rauk","S DAK ST",63,31.5,2,61.41,"B-"
"Tim Suk","SACR HEART",125,62.5,2,61.41,"B-"
"Case Pickelman","GEORGETOWN",57,57,1,61.4,"B-"
"Charlie Vliem","IDAHO",139,69.5,2,61.3,"B-"
"Sirri Kandiyeli","SO UTAH",125,62.5,2,61.3,"B-"
"Jourden Hale-Frater","CHISTA",85,42.5,2,61.13,"B-"
"Logan Brady","NWSTATE",119,59.5,2,61.08,"B-"
"Jackson Reasoner","DRAKE",57,57,1,60.87,"B-"
"Pule Leatigaga","PORTLAND",156,78,2,60.87,"B-"
"Darwin Murillo","CITADEL",66,66,1,60.64,"B-"
"Henry Fanua","UC DAVIS",25,25,1,60.52,"B-"
"Desmeal Leigh","YNGTOWN ST",68,68,1,60.29,"B-"
"Tyrone Julot","SCAR STATE",80,40,2,60.27,"B-"
"Aidan Donald","CHATTNOOGA",40,40,1,60.05,"B-"
"Gregory Celestin Jr","SACR HEART",76,76,1,59.73,"C+"
"Trevanti Davis","STF AUSTIN",117,58.5,2,59.69,"C+"
"Wes Thompson","TXRG",152,76,2,59.55,"C+"
"Zachary Curtis","LAMAR",107,53.5,2,59.38,"C+"
"Leavy Johnson","N ALABAMA",97,48.5,2,59.27,"C+"
"Tyler Sulsberger","W ILLINOIS",127,63.5,2,59.22,"C+"
"KJ Brooks","TOWSON",92,46,2,59.08,"C+"
"Grayson Sykes","VA MILT IN",58,58,1,58.88,"C+"
"Esom Nnajiofor","WOFFORD",112,56,2,58.57,"C+"
"Jaylen Eberhardt","CHISTA",98,49,2,58.46,"C+"
"Eric Nunez","TENN TECH",55,55,1,58.37,"C+"
"Jacob Hood","NICHOLLS",66,33,2,58.35,"C+"
"Titan Fleischmann","MONTANA ST",118,59,2,58.24,"C+"
"Ebuka Okafor","TEXAS STHN",59,59,1,58.05,"C+"
"David Porotesano","UC DAVIS",114,57,2,58.04,"C+"
"Calvin McMillian","PRVIEW A&M",98,49,2,57.94,"C+"
"Grant Murin","ROB MORRIS",118,59,2,57.92,"C+"
"Matt Fries","MONMOUTH",103,51.5,2,57.88,"C+"
"Brady O'Hara","MONMOUTH",107,53.5,2,57.76,"C+"
"Calvin Balentine","TEXAS STHN",63,63,1,57.69,"C+"
"Christian Menard","NWSTATE",83,41.5,2,57.58,"C+"
"Ty Williams","E TENN ST",91,45.5,2,57.47,"C+"
"James Aldrich","WAGNER",119,59.5,2,57.37,"C+"
"Jaden Wedderburn","ILL STATE",137,68.5,2,57.33,"C+"
"Zach Corrigan","SE LA",104,52,2,57.1,"C+"
"Kyron Barnes","NICHOLLS",115,57.5,2,57.06,"C+"
"Sam Young III","HAMPTON",29,29,1,56.85,"C+"
"Leif Magnuson","CAL POLY",71,71,1,56.82,"C+"
"Sean Pozniak","NEWHVN",107,53.5,2,56.65,"C+"
"Luke Sampson","WEBER ST",150,75,2,56.64,"C+"
"Gavin Bennett","HAMPTON",82,41,2,56.62,"C+"
"Saidou Ba","AUSTINPEAY",72,36,2,56.41,"C+"
"Eli Brasher","FURMAN",81,40.5,2,56,"C+"
"Jay Wade","WEBER ST",150,75,2,55.89,"C+"
"Connor Van Tassell","STNY BROOK",110,55,2,55.87,"C+"
"James Durand","W ILLINOIS",129,64.5,2,55.29,"C+"
"Wilbert Phillips","SE MO ST",64,64,1,55,"C+"
"Abe Hilbert","MOREHEAD",80,40,2,54.54,"C+"
"Nesta Crowell","SO UTAH",125,62.5,2,49.13,"C"
"Andrew Swingle","LNDNWD",129,64.5,2,49.09,"C"
"Jaidyn Jones","TXAMEA",71,35.5,2,48.97,"C"
"Jalen Cole","CHISTA",32,32,1,48.8,"C"
"Daved Richardson","LIUSHAR",117,58.5,2,48.69,"C"
"Quandre Brooks","CHARLES SO",37,37,1,48.49,"C"
"Abdallah Daud","DUQUESNE",75,37.5,2,48.27,"C"
"Daniel McClees","CENT CT ST",26,26,1,48.04,"C"
"Caleb Smith","FL A&M",97,48.5,2,47.91,"C"
"Camden Jury","N ARIZONA",37,37,1,47.77,"C"
"Rylan Filipe","GEORGETOWN",28,28,1,47.74,"C"
"Chris Laney","MS VLY ST",28,28,1,47.69,"C"
"Noah Juliussen","MOREHEAD",86,43,2,47.47,"C"
"Christian Wingfield","FL A&M",41,41,1,47.15,"C"
"Ty Miles","NEW HAMP",116,58,2,47.08,"C"
"Malik Wilson","WAGNER",118,59,2,47.01,"C"
"Ra'Qui Martin","MERRIMACK",113,56.5,2,46.5,"C-"
"Kendal Septs","TXAMEA",115,57.5,2,45.5,"C-"
"Drew Dickerson","MOREHEAD",67,33.5,2,45.36,"C-"
"Ronald Anderson","RICHMOND",105,52.5,2,44.7,"C-"
"Ramsey Qishta","HOUCHR",60,60,1,44.23,"C-"
"Penn Craver","DAVIDSON",64,64,1,44.12,"C-"
"Samuel Egharevba","NORFOLK",47,47,1,43.92,"C-"
"Josiah Lancaster","CHARLES SO",41,41,1,43.54,"C-"
"Will Fitzpatrick","GARD-WEBB",161,80.5,2,43.39,"C-"
"Cameron Beiswenger","BUTLER",49,49,1,43.27,"C-"
"Blake Bradford","GARD-WEBB",140,70,2,42.94,"C-"
"Marcus McDaniel","MS VLY ST",42,42,1,42.68,"C-"
"Samuel Eskridge","E KENTUCKY",91,45.5,2,41.94,"C-"
"Collen Jackson","HAMPTON",106,53,2,41.66,"C-"
"Trey Gibbs","SE MO ST",65,65,1,41.65,"C-"
"Joshua Schuetzmann","RHODE ISLD",134,67,2,41.18,"C-"
"La-Quann Gaddy","CENT CT ST",55,55,1,41.15,"C-"
"Isaac Rue","N ALABAMA",31,31,1,40.97,"C-"
"Brenden Jones","TXRG",153,76.5,2,40.96,"C-"
"Zion Rogers","HOWARD",112,56,2,39.91,"D+"
"Justice Musser","INDIANA ST",50,50,1,39.39,"D+"
"Jaylen Ackerman","GRAMBLING",81,40.5,2,39.23,"D+"
"T'Khi Alexander","TOWSON",49,49,1,39.19,"D+"
"Wyatt Scarritt","FORDHAM",92,46,2,38.45,"D+"
"Derrick Cooper","ALCORN ST",37,37,1,37.73,"D+"
"Tyson Miller","NORFOLK",52,52,1,36.51,"D+"
"Joel Van-Tagoe","TENN STATE",60,60,1,36.41,"D+"
"Mattis Karrasch","N ARIZONA",32,32,1,36.34,"D+"
"Rambo Mageo","UTAHTC",118,59,2,36.34,"D+"
"Madden Daly","MOREHEAD",31,31,1,34.15,"D+"
"Cole Greenwell","STETSON",67,67,1,33.49,"D+"
"Armon Bethea","GRAMBLING",78,39,2,33.13,"D"
"Richard Mulhern","VA MILT IN",49,49,1,32.33,"D"
"Trenton VanBoening","LNDNWD",74,74,1,31.88,"D"
"Eli Williams","NC A&T",50,50,1,31.8,"D"
"Trevor Newkirk","PORTLAND",156,78,2,31.5,"D"
"Camarion Ragland","NC A&T",28,28,1,31.13,"D"
"Abe Diallo","ALCORN ST",56,56,1,30.18,"D"
"Ryan Nolan","NORFOLK",48,48,1,29.45,"D"
"Will Smith","FORDHAM",96,48,2,28.95,"D"
"Justin Howard","NICHOLLS",27,27,1,27.16,"D"
"Keith Forbes","DELWARE ST",84,84,1,24.45,"D-"
"Steven Nelson","TENN STATE",60,60,1,23.55,"D-"
"Brady Pickett","CITADEL",66,66,1,22.63,"D-"
"Ellington Brooks-Lytle","PRESBYTERN",75,75,1,22.43,"D-"
"Jeremiah Ndaiga","NEWHVN",29,29,1,22.08,"D-"
"Matt McElwain","WM & MARY",46,46,1,17.23,"F"
"Jeremy Fishkin","FL A&M",52,52,1,16.35,"F"
"Joshua Waymack","PRESBYTERN",52,52,1,8.3,"F"
"Morgan Jordan","ALBANY",74,74,1,5.91,"F"
"Griffin Hile","INDIANA ST",50,50,1,0.99,"F"
"Ben Darnell","SAMFORD",68,68,1,0,"F"
"Charles Allen III","STNY BROOK",54,54,1,0,"F"
