"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"CORY BUTLER JR.","ARIZONA ST",32,19.03,"F",9,"WR",2026,"Big 12",60.7,1,14,0,2,2,17,8.5,0,1,0,0,0,2,0,0,23,11.5,6,0,1.21,-3,0,1,1,0,"0.00%",102.1,0.143,0.143,0,1,"P4",1,8.5,0.142857142857143
"DEANDRE MOORE JR.","COLORADO",70,18.79,"F",3,"WR",2026,"Big 12",54.1,8,31,11,10,4,37,9.3,0,3,3,0,0,7,0,0,18,4.5,6,0,1.19,12.9,1,0,0.571,0.429,"0.00%",50.8,0.129,0.323,0.2,0.4,"P4",0.4,3.7,0.32258064516129
"JOURDIN HOUSTON","RUTGERS",42,18.73,"F",4,"WR",2026,"Big Ten",55.8,4,33,9,8,3,37,12.3,0,1,1,0,0,5,2,0,21,7,14,0,1.12,8.6,1,1,0.6,0.2,"25.00%",13,0.242,0.242,0,0.375,"P4",0.375,4.625,0.242424242424242
"TERRENCE LEWIS","OKLA STATE",34,18.25,"F",3,"WR",2026,"Big 12",59.5,1,21,6,4,3,20,6.7,0,0,0,0,0,3,0,0,0,0,0,0,0.95,8.5,0,0,1,0,"0.00%",85.4,0,0.191,0,0.75,"P4",0.75,5,0.19047619047619
"ISAIAH FUHRMANN","GA TECH",29,18.24,"F",13,"WR",2026,"ACC",59.3,1,20,6,1,1,10,10,0,1,0,0,0,1,0,0,1,1,1,0,0.5,9,0,0,1,0,"0.00%",108.3,0.05,0.05,0,1,"P4",1,10,0.05
"TRISTEN BROWN","VANDERBILT",48,18.07,"F",5,"WR",2026,"SEC",56.6,1,26,2,3,2,16,8,0,1,0,0,0,2,0,0,7,3.5,6,0,0.62,10,0,1,1,0,"0.00%",79.9,0.077,0.115,0.333,0.667,"P4",0.666666666666667,5.33333333333333,0.115384615384615
"TRAVIS SMITH JR.","TENNESSEE",24,16.81,"F",1,"WR",2026,"SEC",55.7,2,11,0,3,2,22,11,0,1,1,0,0,3,0,0,9,4.5,4,0,2,5.3,1,0,0.667,0.333,"0.00%",88.2,0,0.273,0,0.667,"P4",0.666666666666667,7.33333333333333,0.272727272727273
"ASHTON BETHEL-ROMAN","TEXAS A&M",42,16.74,"F",8,"WR",2026,"SEC",57.1,3,25,5,3,1,13,13,0,1,0,0,0,2,0,0,0,0,0,0,0.52,25,0,0,0.5,0,"0.00%",47.9,0,0.12,0.667,0.333,"P4",0.333333333333333,4.33333333333333,0.12
"COY EAKIN","TEXAS TECH",36,16.62,"F",3,"WR",2026,"Big 12",60.3,1,17,2,2,2,13,6.5,0,0,0,0,0,2,0,0,11,5.5,6,0,0.76,1,0,1,1,0,"0.00%",93.8,0.059,0.118,0,1,"P4",1,6.5,0.117647058823529
"DYZIER CARTER","RUTGERS",17,16.49,"F",0,"WR",2026,"Big Ten",64.1,2,11,5,5,3,19,6.3,0,1,0,0,0,3,0,0,0,0,-1,0,1.73,11.4,0,0,1,0,"0.00%",28.3,0.455,0.455,0.2,0.6,"P4",0.6,3.8,0.454545454545455
