"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"NATE ROBERTS","OHIO STATE",24,20.78,"D",83,"TE",2026,"Big Ten",60.5,1,16,2,1,1,11,11,0,1,0,0,0,1,0,0,6,6,3,0,0.69,5,0,0,1,0,"0.00%",112.5,0.063,0.063,0,1,"P4"
"MICAH RILEY","TEXAS A&M",32,19.93,"F",88,"TE",2026,"SEC",59.9,3,18,2,2,2,13,6.5,0,1,0,0,0,2,0,0,6,3,1,0,0.72,3.5,0,0,1,0,"0.00%",93.8,0.056,0.111,0,1,"P4"
"DYLAN WADE","UCF",32,19.26,"F",0,"TE",2026,"Big 12",51.1,2,16,3,4,1,15,15,0,1,1,0,0,2,0,0,13,13,2,0,0.94,9,1,0,0.5,0.5,"0.00%",3.1,0.063,0.25,0,0.25,"P4"
"SAM WEST","MISS STATE",44,19.07,"F",87,"TE",2026,"SEC",54,2,31,0,2,1,11,11,0,1,0,0,0,1,0,0,9,9,3,0,0.35,7,0,0,1,0,"0.00%",66.7,0.032,0.065,0,0.5,"P4"
"ELIJA LOFTON","MIAMI FL",41,18.92,"F",9,"TE",2026,"ACC",57.1,2,20,3,1,1,14,14,0,1,0,0,0,1,0,0,4,4,0,0,0.7,10,0,0,1,0,"0.00%",118.8,0,0.05,0,1,"P4"
"JETT CARPENTER","TEXAS TECH",28,18.36,"F",85,"TE",2026,"Big 12",62.6,1,10,1,1,1,9,9,0,1,0,0,0,1,0,0,7,7,2,0,0.9,2,0,0,1,0,"0.00%",104.2,0,0.1,0,1,"P4"
"COLE RUSK","ARIZONA",32,17.66,"F",14,"TE",2026,"Big 12",50.7,0,20,1,1,1,13,13,0,1,0,0,0,1,0,0,2,2,0,0,0.65,11,0,0,1,0,"0.00%",118.8,0.05,0.05,0,1,"P4"
"JAKE TAYLOR","DUKE",28,17.62,"F",15,"TE",2026,"ACC",53.1,0,12,4,1,1,5,5,0,0,0,0,0,1,1,1,0,0,0,1,0.42,5,0,0,1,0,"100%",87.5,0,0.083,0,1,"P4"
"CHICO HOLT","STANFORD",24,17.55,"F",84,"TE",2026,"ACC",62.3,1,12,0,1,1,7,7,0,1,0,0,0,1,0,0,3,3,3,0,0.58,4,0,0,1,0,"0.00%",95.8,0.083,0.083,0,1,"P4"
"NOAH MEYERS","SYRACUSE",19,16.64,"F",81,"TE",2026,"ACC",56.4,2,4,1,2,1,10,10,0,1,1,0,0,2,0,0,-1,-1,0,0,2.5,10.5,0,0,0.5,0.5,"0.00%",64.6,0.25,0.5,0,0.5,"P4"
"AJ SZYMANSKI","MARYLAND",21,16.57,"F",89,"TE",2026,"Big Ten",55,3,9,0,2,1,6,6,0,0,1,0,0,2,0,0,4,4,4,0,0.67,7.5,0,1,0.5,0.5,"0.00%",56.3,0.222,0.222,0,0.5,"P4"
"MATTHEW KLOPFENSTEIN","BAYLOR",67,15.88,"F",85,"TE",2026,"Big 12",48.7,0,30,4,3,2,5,2.5,0,0,0,0,0,2,0,0,5,2.5,2,0,0.17,7.7,0,0,1,0,"0.00%",70.1,0,0.1,0.333,0.667,"P4"
"DESIRRIO RILES","FLORIDA ST",40,15.73,"F",6,"TE",2026,"ACC",53.6,0,14,5,2,1,6,6,0,0,0,0,0,1,0,0,3,3,3,0,0.43,10.5,0,0,1,0,"0.00%",56.3,0,0.143,0,0.5,"P4"
"NICK TOWNSEND","TEXAS",29,15.59,"F",81,"TE",2026,"SEC",60.4,5,14,0,1,1,9,9,0,0,0,0,0,1,0,0,11,11,3,0,0.64,-2,0,0,1,0,"0.00%",104.2,0,0.071,0,1,"P4"
"BRENNAN PARACHEK","MICH STATE",51,15.46,"F",82,"TE",2026,"Big Ten",59.8,1,18,0,1,1,10,10,0,1,0,0,0,1,0,0,0,0,0,0,0.56,10,0,0,1,0,"0.00%",108.3,0.056,0.056,0,1,"P4"
"KAMREAN JOHNSON","WAKE",22,15.06,"F",12,"TE",2026,"ACC",56.3,0,12,0,2,2,8,4,0,0,0,0,0,2,0,0,4,2,2,0,0.67,2,0,0,1,0,"0.00%",83.3,0.083,0.167,0,1,"P4"
"LOGAN BLAKE","RUTGERS",43,14.27,"F",11,"TE",2026,"Big Ten",48.1,0,20,1,1,1,7,7,0,0,0,0,0,1,0,0,4,4,3,0,0.35,3,0,0,1,0,"0.00%",95.8,0,0.05,0,1,"P4"
"ZEKE MOORE","BOSTON COL",36,14.22,"F",48,"TE",2026,"ACC",51.2,1,13,0,1,1,7,7,0,0,0,0,0,1,0,0,5,5,3,0,0.54,2,0,0,1,0,"0.00%",95.8,0,0.077,0,1,"P4"
"GAVIN GROVER","CINCINNATI",41,14.1,"F",87,"TE",2026,"Big 12",55.5,2,13,1,1,1,8,8,0,0,0,0,0,1,0,0,4,4,2,0,0.62,4,0,0,1,0,"0.00%",100,0,0.077,0,1,"P4"
"GEORGE ROHL","MINNESOTA",15,13.24,"F",44,"TE",2026,"Big Ten",56.5,0,4,0,1,1,6,6,0,0,0,0,0,1,0,0,2,2,1,0,1.5,4,0,0,1,0,"0.00%",91.7,0,0.25,0,1,"P4"
"RILEY WILLIAMS","MISS STATE",21,12.39,"F",18,"TE",2026,"SEC",52.5,1,14,1,1,1,9,9,0,0,0,0,0,1,0,0,4,4,0,0,0.64,5,0,0,1,0,"0.00%",104.2,0.071,0.071,0,1,"P4"
"MASON WILLIAMS","OHIO STATE",23,11.65,"F",86,"TE",2026,"Big Ten",54.2,0,9,0,1,1,6,6,0,0,0,0,0,1,0,0,1,1,1,0,0.67,5,0,0,1,0,"0.00%",91.7,0.111,0.111,0,1,"P4"
"HOUSTON THOMAS","TEXAS A&M",22,10.99,"F",87,"TE",2026,"SEC",55.3,0,9,0,1,1,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0.78,7,0,0,1,0,"0.00%",95.8,0,0.111,0,1,"P4"
"AR'MARI TOWNS","PURDUE",18,10.02,"F",6,"TE",2026,"Big Ten",57,1,7,0,1,1,5,5,0,0,0,0,0,1,0,0,1,1,0,0,0.71,4,0,0,1,0,"0.00%",87.5,0.143,0.143,0,1,"P4"
"WILL LOERZEL","WAKE",29,9.79,"F",85,"TE",2026,"ACC",75.5,1,5,0,1,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0.6,12,0,0,1,0,"0.00%",79.2,0,0.2,0,1,"P4"
"BRODY FOLEY","LOUISVILLE",15,9.24,"F",80,"TE",2026,"ACC",57.7,1,4,0,1,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0.75,3,0,0,1,0,"0.00%",79.2,0.25,0.25,0,1,"P4"
"JACOB HARRIS","WISCONSIN",17,8.07,"F",89,"TE",2026,"Big Ten",53.5,0,12,0,2,1,3,3,0,0,0,0,0,1,1,0,2,2,0,0,0.25,2.5,0,0,1,0,"50.00%",56.3,0.083,0.167,0,0.5,"P4"
"LINKON CURE","KANSAS ST",32,6.71,"F",0,"TE",2026,"Big 12",51,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,"0.00%",39.6,0,0.143,1,0,"P4"
"OLSEN PATT-HENRY","CLEMSON",25,6.61,"F",11,"TE",2026,"ACC",55,0,14,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.07,1,0,0,1,0,"0.00%",79.2,0.071,0.071,0,1,"P4"
"DOMINICK BARRY","WAKE",32,6.13,"F",84,"TE",2026,"ACC",50.8,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,"0.00%",39.6,0,0.083,1,0,"P4"
"RYAN WARD","W VIRGINIA",30,5.66,"F",84,"TE",2026,"Big 12",54.9,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,"0.00%",39.6,0,0.143,1,0,"P4"
