"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"BRENDAN BLACK","NEBRASKA",74,52.08,"C",59.3,0.027,86,0.105,0,0,0,0,0,0,0
"EMMANUEL KOJO POKU","S CAROLINA",45,51.89,"C",65.8,0.044,83.6,0,0,0,0,0,0,0,0
"MAX BUCHANAN","MIAMI FL",50,51.88,"C",73.6,0.1,51.2,0.143,0.035,0,0.035,0,1,1,0
"JOSEPH HANSON","OKLA STATE",91,51.62,"C",69.6,0.055,84.3,0.059,0.018,0,0.018,0,0,1,0
"CADEN MAAS","IOWA STATE",49,51.53,"C",50.5,0.02,84.7,0.222,0,0,0,0,0,0,0
"KEVO WESLEY","VANDERBILT",37,51.41,"C",53.1,0.027,81.8,0.191,0,0,0,0,0,0,0
"JORDAN LARSEN","DUKE",79,51.4,"C",65.6,0.076,74.8,0.125,0,0,0.032,1,0,0,0
"KNIJEAH HARRIS","FLORIDA",43,51.36,"C",63.6,0.047,84.8,0,0,0,0,0,0,0,0
"ROGER ALDERMAN","UTAH",48,50.85,"C",51.8,0.021,61.6,0.107,0,100,0,0,1,0,0
"EUGENE BROOKS","UCLA",49,50.73,"C",74.2,0.122,58.3,0.039,0.043,0,0.087,1,0,0,1
"BRADLEY SMITH","DUKE",79,50.63,"C",69.4,0.114,69.2,0.083,0,0,0.032,1,1,0,0
"AMORY HILLS","MARYLAND",43,50.01,"C",60.9,0.047,77.6,0.118,0,0,0,0,1,0,0
"BRANDON BAKER","TEXAS",52,49.94,"C",54.1,0,85.6,0.182,0,0,0,0,0,0,0
"KYLE SFARCIOC","BYU",48,49.54,"C",73.3,0.125,54.1,0.115,0,0,0.045,1,1,0,0
"JOSEPH IONATA","GA TECH",57,49.28,"C",46,0.018,56.6,0.25,0,100,0,0,2,0,0
"MAKI STEWART","ARIZONA ST",45,49.22,"C",67,0.067,78.5,0.063,0,0,0.035,1,0,0,0
"DONOVAN HASLAM","TENNESSEE",26,48.98,"C",57.8,0.039,79.6,0.067,0,0,0,0,0,0,0
"COOPER TERPSTRA","UCF",25,48.34,"C",82.3,0.2,17.3,0,0,91.7,0.167,1,0,0,0
"DOUGLAS UTU","OREGON",35,47.87,"C",73.9,0.086,61.4,0,0,0,0,0,2,0,0
"TROVON BAUGH","TEXAS A&M",68,47.49,"C",54.3,0.029,81.9,0.138,0.026,0,0.026,0,0,0,1
"LJ PRUDHOMME","MISS STATE",49,47.22,"C",60.5,0.02,78,0.182,0,0,0.026,1,0,0,0
"NICK KRAHE","W VIRGINIA",76,47.12,"C",71.8,0.145,37.3,0.1,0,0,0,0,3,0,0
"TEGRA TSHABOLA","KENTUCKY",58,46.98,"C",58.1,0.017,84.7,0.035,0,0,0,0,0,0,0
"HAYDEN TRETER","USC",59,46.93,"C",61.8,0.051,71.3,0.069,0,0,0,0,1,0,0
"CHAMP TAULEALEA","WASHINGTON",27,46.69,"C",56.9,0.074,62.9,0.273,0.063,0,0.125,1,0,1,0
"DONTRELL GLOVER","GEORGIA",25,46.35,"C",57.1,0,80.1,0.1,0,0,0,0,0,0,0
"MCKENZIE AGNELLO","HOUSTON",76,46.3,"C",51.7,0.04,81.1,0.205,0,0,0.027,1,0,0,0
"ERYX DAUGHERTY","LOUISVILLE",70,45.79,"C",58.8,0.057,75.9,0.176,0,0,0.028,1,1,0,0
"BRADY NORTON","MICHIGAN",41,44.86,"C",63.6,0.024,78.3,0,0.045,0,0.045,0,0,1,0
"RODERICK KEARNEY","FLORIDA",37,44.4,"C",56.5,0,82.5,0.048,0,0,0,0,0,0,0
"JOHNNY DICKSON III","OKLA STATE",91,44.39,"C",54.8,0.011,84.3,0.147,0,0,0.018,1,0,0,0
"LAYTH GHANNAM","VA TECH",43,44.31,"C",51.5,0.047,72,0.261,0,0,0.05,1,0,0,0
"ROB LAPUAHO","ARIZONA ST",44,43.67,"C",52.6,0.023,76.4,0.136,0,0,0,0,1,0,0
"TREVOR BUHR","PENN STATE",44,43.59,"C",56.6,0.023,63.8,0.1,0.042,0,0.042,0,0,0,1
"LUCAS ALLGEYER","IOWA",28,43.4,"C",64.3,0.036,71.4,0.2,0,0,0.056,1,1,0,0
"JUDAH PRUITT","BOSTON COL",78,43.29,"C",66.6,0.039,80.7,0.08,0.019,0,0.038,1,0,1,0
"PAUL MUBENGA","NEBRASKA",73,43.14,"C",56,0.041,72.8,0.135,0,0,0.028,1,0,0,0
"GUNNER GIVENS","VANDERBILT",27,42.97,"C",57.8,0,82.5,0,0,0,0,0,0,0,0
"MALACHI BRELAND","ARKANSAS",88,42.96,"C",59.3,0.011,83.2,0.023,0,0,0,0,1,0,0
"SIOAPE VATIKANI","CAL",90,42.6,"C",61.2,0.033,76.5,0.056,0,0,0,0,2,0,0
"JAMARI FREEMAN","MISS STATE",25,42.4,"C",50.1,0.04,44.1,0.375,0,0,0,0,2,0,0
"LEIGHTON JONES","IOWA",67,42.3,"C",72.5,0.075,67,0.074,0,0,0.05,2,1,0,0
"EVAN LINK","MICHIGAN",41,42.27,"C",53.9,0,78.6,0.1,0.048,0,0.048,0,0,1,0
"WENDELL MOE JR.","TENNESSEE",37,41.49,"C",54.9,0,70.2,0.15,0,0,0,0,1,0,0
"PATRICK KUTAS","OLE MISS",81,40.53,"C",63.8,0.049,74,0.077,0,0,0.048,2,0,0,0
"BJ WILLIAMS","PITTSBURGH",70,40.44,"C",55,0,83.1,0.043,0,0,0,0,1,0,0
"JOE BRUNNER","INDIANA",47,40.15,"C",59.8,0.043,61.2,0.167,0,0,0.059,1,0,0,0
"KOBE BRANHAM","ARKANSAS",88,40.06,"C",53.7,0,83.2,0.047,0.022,0,0.022,0,0,0,1
"JACOB STRAND","AUBURN",73,39.64,"D",45.3,0.014,71.3,0.3,0.047,0,0.047,0,0,1,1
"JOSH WILLIAMS","STANFORD",70,39.61,"D",61.1,0.029,59.9,0.227,0.021,0,0.042,1,1,0,1
"TREVOR BINDEL","IOWA STATE",32,38.49,"D",52.2,0.031,52.5,0.158,0,0,0,0,1,0,0
"SHAMURAD UMAROV","TENNESSEE",49,38.05,"D",59.5,0.041,56.5,0.083,0,0,0,0,2,0,0
"KENDALL STANLEY","PITTSBURGH",70,37.73,"D",63.8,0.029,72.7,0,0,0,0.021,1,1,0,0
"MAL WALDREP JR.","ALABAMA",44,36.11,"D",61.9,0.023,62.5,0.048,0,0,0.043,1,0,0,0
"HUNTER ZAMBRANO","TEXAS TECH",73,35.95,"D",55.1,0.014,60.4,0.118,0,0,0.026,1,0,0,0
"WADE HELTON","ARIZONA ST",34,35.11,"D",68.7,0.059,46.5,0,0,0,0,0,3,0,0
"NATE PABST","FLORIDA ST",69,34.73,"D",62.6,0.029,63.6,0.108,0,0,0.063,2,0,0,0
"IDRYS COTTON","NWESTERN",56,32.55,"D",56,0.018,49.2,0.185,0,0,0.035,1,1,0,0
"JACKSON CANTWELL","MIAMI FL",34,32.3,"D",51.9,0,29,0.167,0.063,0,0.063,0,0,1,0
"ALIOU BAH","LSU",83,31.97,"D",56.8,0.024,67.5,0.128,0,0,0.045,2,1,0,0
"COLE SKINNER","AUBURN",73,31.95,"D",52.1,0.027,64.7,0.2,0,0,0.047,2,1,0,0
"CONNER MOORE","MICH STATE",88,31.89,"D",67.2,0.068,40,0.065,0.048,0,0.071,1,0,1,1
"TRENT FERGUSON","OREGON",30,31.66,"D",62.2,0.033,53.2,0.083,0,0,0.056,1,1,0,0
"ELYJAH THURMON","CLEMSON",49,31.06,"D",56.2,0.02,56.2,0.1,0,0,0.035,1,1,0,0
"BO BORDELON","LSU",83,30.22,"D",68.3,0.072,37.7,0.103,0,0,0.045,2,2,0,0
"CADE MCCONNELL","VANDERBILT",64,29.68,"D",61.8,0.047,53.9,0.03,0,0,0.065,2,0,0,0
"WILLIAM SANDERS","ALABAMA",32,29.36,"D",50.8,0,64.3,0.188,0,0,0.063,1,1,0,0
"ZIRON BROWN","STANFORD",66,27.47,"D",62.4,0.03,44.2,0.053,0,0,0,0,4,0,0
"ROBERT SMITH IV","BOSTON COL",78,27.35,"D",52.1,0.013,62,0.2,0.019,0,0.057,2,1,0,1
"MICHAEL BENNETT III","OREGON",49,26.46,"D",51.5,0,64.4,0.176,0,0,0.031,1,3,0,0
"NATE KIBBLE","BAYLOR",102,24.83,"D",56.3,0.02,52.5,0.163,0,0,0.051,3,1,0,0
"BLAKE CHERRY","WISCONSIN",38,24.54,"D",65.6,0.053,12.8,0.053,0.053,0,0.105,1,1,0,1
"JOHNNIE BROWN III","LOUISVILLE",70,22.38,"D",60.6,0.043,41.2,0.088,0,0,0.056,2,2,0,0
"ASHER HALE","BAYLOR",102,17.11,"F",53.1,0.01,50.1,0.163,0,0,0.034,2,4,0,0
"DENNIS RAHOUSKI","NWESTERN",56,16.8,"F",60.8,0.018,50.8,0,0,0,0.103,3,0,0,0
"RONAN O'CONNELL","CLEMSON",49,0,"F",41.3,0,27.5,0.2,0,0,0.138,4,0,0,0
