"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"TYLER POWELL","ARIZONA",51,17,3,17.54,"F"
"TONY LIVINGSTON","BAYLOR",68,22.6666666666667,3,17.47,"F"
"GRANT STEC","WISCONSIN",116,38.6666666666667,3,15.73,"F"
"KADEN HELMS","MINNESOTA",28,14,2,15.18,"F"
"DOMINICK BARRY","WAKE",91,30.3333333333333,3,14.97,"F"
"JULIAN JOHNSON","MINNESOTA",28,14,2,14.88,"F"
"LYVIEL WATERS","CINCINNATI",92,30.6666666666667,3,13.77,"F"
"JANIRAN BONNER","NEBRASKA",63,21,3,13.59,"F"
"JADEN REDDELL","GEORGIA",40,20,2,12.86,"F"
"RICHIE ANDERSON III","TEXAS A&M",90,30,3,12.77,"F"
"AJ SZYMANSKI","MARYLAND",56,18.6666666666667,3,12.58,"F"
"BRENNAN PARACHEK","MICH STATE",122,40.6666666666667,3,12.45,"F"
"HOUSTON THOMAS","TEXAS A&M",87,29,3,12.04,"F"
"CHRISTIAN ABNEY","ILLINOIS",112,37.3333333333333,3,11.74,"F"
"NATE KURISKY","DUKE",124,41.3333333333333,3,10.32,"F"
"THOMAS MEYER","IOWA",81,27,3,9.23,"F"
"LACOTA DIPPRE","FLORIDA",96,32,3,8.55,"F"
"KALEB THOMAS","HOUSTON",61,20.3333333333333,3,7.88,"F"
"TYLER FORTENBERRY","IOWA STATE",36,18,2,6.88,"F"
"CAM BALL","W VIRGINIA",44,14.6666666666667,3,6.46,"F"
"BENNETT CHRISTIAN","OHIO STATE",52,17.3333333333333,3,5.97,"F"
"ZACH GRACE","LSU",61,20.3333333333333,3,5.94,"F"
"WILL MONNEY","UTAH",59,19.6666666666667,3,5.89,"F"
"ZACH ORTWERTH","IOWA",37,18.5,2,5.56,"F"
"JOSH FORD","ALABAMA",63,21,3,5.07,"F"
"HARRY LODGE","UCLA",47,23.5,2,4.76,"F"
"ELIJAH WASHINGTON-BAKER","SYRACUSE",60,20,3,4.44,"F"
"JACK VAN DORSELAER","OKLAHOMA",62,20.6666666666667,3,4.37,"F"
"ANDREW BARKER","INDIANA",70,23.3333333333333,3,4.29,"F"
"BRIAN KORTOVICH","PENN STATE",34,17,2,4.02,"F"
"JOSH SAPP","W VIRGINIA",86,28.6666666666667,3,3.44,"F"
"SEMI TAULANGA","UTAH",27,13.5,2,3.4,"F"
"MIKE TYLER","S CAROLINA",27,13.5,2,3.35,"F"
"JACKSON BERRYMAN","PURDUE",26,13,2,3,"F"
"GABE FISHER","VANDERBILT",67,22.3333333333333,3,2.82,"F"
"CARTER MOSES","KANSAS",74,24.6666666666667,3,2.51,"F"
"JORDON HARRIS","MISSOURI",78,26,3,2.45,"F"
"JUDE JAMES","MISSOURI",46,23,2,2,"F"
"FISHER CLEMENTS","COLORADO",138,46,3,1.53,"F"
"MAX DRAG","S CAROLINA",52,26,2,1.25,"F"
"TRAVILLE FREDERICK JR.","HOUSTON",42,21,2,0.27,"F"
"HEZE KENT","FLORIDA",36,18,2,0.23,"F"
