"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level"
"Troy Bruce","ALAB A&M",NA,59.22,"C",35,"HB",2026,"SWAC",0,0,11,145,13.2,2,7,0,0,0,28,2.5,117,10.6,0,0.636,0,5,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Jaylen Jenkins","STF AUSTIN",29,58.76,"C",6,"HB",2026,"Southland",75.2,5,9,65,7.2,1,3,0,0,5,15,1.7,50,5.6,0,0.333,0.56,1,0.111,"STF AUSTIN",6,"Southland",58.5,2,17,1,2,2,8,4,0,0,0,0,0,2,0,0,8,4,1,0,0.47,0,0,0,"100%","0.00%","0.00%",83.3,0,0.118,0,"100%","Southland","FCS"
"Gerald Modest Jr.","WOFFORD",40,58.59,"C",6,"HB",2026,"Southern",70.4,10,20,85,4.3,1,6,0,0,4,25,1.3,60,3,0,0.3,0.2,1,0,"WOFFORD",6,"Southern",62.1,2,17,0,2,1,9,9,0,1,0,0,0,1,0,0,11,11,4,0,0.53,1.5,0,0,"100%","0.00%","0.00%",62.5,0,0.118,0,"50.00%","Southern","FCS"
"CJ Hester","STNY BROOK",48,54.69,"C",33,"HB",2026,"CAA",69.4,8,14,95,6.8,2,3,0,0,2,69,4.9,26,1.9,0,0.214,0.14,1,0,"STNY BROOK",33,"CAA",52.2,0,31,0,2,1,1,1,0,0,0,0,0,1,0,0,2,2,0,0,0.03,0.5,0,0,"100%","0.00%","0.00%",56.3,0,0.065,0,"50.00%","CAA","FCS"
"Jayden Jenkins","DELWARE ST",51,54.63,"C",4,"HB",2026,"MEAC",64.2,5,10,57,5.7,0,3,0,0,3,7,0.7,50,5,0,0.3,0.3,2,0,"DELWARE ST",4,"MEAC",82.5,4,26,0,5,5,47,9.4,0,3,0,0,0,5,0,0,68,13.6,18,0,1.81,-4.2,0,1,"100%","0.00%","0.00%",105.8,0,0.192,0,"100%","MEAC","FCS"
"Danny Shaban","COLGATE",40,54.21,"C",21,"HB",2026,"Patriot",65.1,8,18,94,5.2,1,6,0,0,4,48,2.7,46,2.6,0,0.333,0.22,3,0.167,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Patriot","FCS"
"Athean Renfro Jr.","TEXAS STHN",43,53.55,"C",28,"HB",2026,"SWAC",66.1,11,17,81,4.8,0,4,0,0,3,21,1.2,60,3.5,0,0.235,0.18,4,0,"TEXAS STHN",28,"SWAC",66.2,2,17,0,2,2,9,4.5,0,0,0,0,0,2,0,0,18,9,2,0,0.53,-4.5,0,1,"100%","0.00%","0.00%",85.4,0,0.118,0,"100%","SWAC","FCS"
"JJ Cowan","CAMPBELL",29,51.74,"C",5,"HB",2026,"CAA",71.4,7,11,83,7.5,0,5,0,0,5,11,1,72,6.5,0,0.455,0.45,3,0.091,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"CAA","FCS"
"Victor Dawson","ILL STATE",47,51.66,"C",5,"HB",2026,"Missouri Valley",61.5,8,21,73,3.5,2,7,0,0,1,37,1.8,36,1.7,0,0.333,0.05,2,0.143,"ILL STATE",5,"Missouri Valley",53.1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
"Brady Hensley","E KENTUCKY",13,50.01,"C",42,"HB",2026,"United Athletic",75.8,5,7,91,13,1,2,0,0,1,76,10.9,15,2.1,0,0.286,0.14,1,0.286,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"United Athletic","FCS"
"Josiah Johnson","S DAK ST",47,49.51,"C",22,"HB",2026,"Missouri Valley",67.2,9,20,80,4,1,6,0,0,3,25,1.3,55,2.8,0,0.3,0.15,1,0,"S DAK ST",22,"Missouri Valley",52.1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
"Kenny Smith Jr.","MONMOUTH",32,49.37,"C",6,"HB",2026,"CAA",60.1,4,11,44,4,1,4,0,0,1,23,2.1,21,1.9,0,0.364,0.09,1,0,"MONMOUTH",6,"CAA",70.8,2,19,0,3,2,16,8,1,2,0,0,0,2,0,0,10,5,3,0,0.84,9,0,0,"100%","0.00%","0.00%",119.4,0,0.158,0.333,"66.70%","CAA","FCS"
"Misa Paiau","CAL POLY",31,49.33,"C",0,"HB",2026,"Big Sky",73,6,11,54,4.9,0,2,0,0,5,19,1.7,35,3.2,0,0.182,0.45,1,0.182,"CAL POLY",0,"Big Sky",64.4,1,15,0,3,2,3,1.5,0,0,0,0,0,2,0,0,7,3.5,-2,0,0.2,2.7,0,0,"100%","0.00%","0.00%",70.1,0,0.2,0,"66.70%","Big Sky","FCS"
"Aidan Garrett","STHLSK",35,48.17,"C",0,"HB",2026,"Northeast",64.1,9,18,69,3.8,1,6,1,1,5,9,0.5,60,3.3,0,0.333,0.28,2,0.056,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Northeast","FCS"
"Jaden Green","CAL POLY",29,47.64,"C",1,"HB",2026,"Big Sky",69.1,5,12,89,7.4,0,5,0,0,2,15,1.3,74,6.2,0,0.417,0.17,2,0.25,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big Sky","FCS"
"Alex Broome","ABILENE CH",33,47.59,"C",20,"HB",2026,"United Athletic",67.4,4,10,52,5.2,0,3,0,0,2,17,1.7,35,3.5,0,0.3,0.2,3,0.2,"ABILENE CH",20,"United Athletic",68.3,1,18,0,4,3,5,1.7,0,0,0,0,0,3,0,0,16,5.3,9,0,0.28,-3.5,0,1,"100%","0.00%","0.00%",77.1,0,0.222,0,"75.00%","United Athletic","FCS"
"Za'Marion Webber","ARKAPB",10,47.04,"C",5,"HB",2026,"SWAC",81.1,4,7,56,8,1,2,0,0,4,6,0.9,50,7.1,0,0.286,0.57,2,0.143,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Preston Alford","STF AUSTIN",12,46.78,"C",28,"HB",2026,"Southland",72.4,4,6,76,12.7,0,2,0,0,4,47,7.8,29,4.8,0,0.333,0.67,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Shane Eason","STHLSK",29,46.49,"C",20,"HB",2026,"Northeast",62,7,16,89,5.6,0,4,0,0,5,15,0.9,74,4.6,0,0.25,0.31,2,0.063,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Northeast","FCS"
"Delon Thompson","PORTLAND",71,45.65,"C",24,"HB",2026,"Big Sky",69.2,11,20,82,4.1,0,4,0,0,2,19,0.9,63,3.1,0,0.2,0.1,0,0,"PORTLAND",24,"Big Sky",55.7,2,32,2,2,2,8,4,0,0,0,0,0,2,0,0,15,7.5,5,0,0.25,-3.5,0,0,"100%","0.00%","0.00%",83.3,0.031,0.063,0,"100%","Big Sky","FCS"
"Elijah Jennings","MONMOUTH",33,45.57,"C",3,"HB",2026,"CAA",66.1,6,11,52,4.7,0,3,0,0,2,23,2.1,29,2.6,0,0.273,0.18,1,0,"MONMOUTH",3,"CAA",63.1,1,19,0,2,2,15,7.5,1,1,0,0,0,2,0,0,13,6.5,-1,0,0.79,1,0,0,"100%","0.00%","0.00%",137.5,0,0.105,0,"100%","CAA","FCS"
"Billy Roberson II","HOWARD",23,45.44,"C",24,"HB",2026,"MEAC",74.4,5,7,44,6.3,1,3,0,0,4,18,2.6,26,3.7,0,0.429,0.57,1,0.286,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Jordan Fisher","UC DAVIS",29,45.39,"C",20,"HB",2026,"Big Sky",65.4,5,12,64,5.3,1,5,0,0,4,37,3.1,27,2.3,0,0.417,0.33,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big Sky","FCS"
"Charles Pierre Jr.","S DAKOTA",38,44.73,"C",3,"HB",2026,"Missouri Valley",63.1,4,10,46,4.6,2,3,0,0,1,24,2.4,22,2.2,0,0.3,0.1,2,0.1,"S DAKOTA",3,"Missouri Valley",52,0,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,"0.00%","0.00%","100%",39.6,0,0.05,0,"0.00%","Missouri Valley","FCS"
"Champ Dozier","HOUCHR",21,44.62,"C",1,"HB",2026,"Southland",74.2,5,8,86,10.8,0,4,0,0,0,66,8.3,20,2.5,0,0.5,0,2,0.25,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Broderick Taylor","TXRG",10,44.2,"C",26,"HB",2026,"Southland",74.2,3,6,73,12.2,0,2,0,0,3,10,1.7,63,10.5,0,0.333,0.5,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Charles Langama","N DAKOTA",NA,44.18,"C",6,"HB",2026,"Missouri Valley",0,0,11,120,10.9,1,5,0,0,0,14,1.3,106,9.6,0,0.455,0,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Missouri Valley","FCS"
"Ri'Jon Hammond","TEXAS STHN",12,43.19,"C",26,"HB",2026,"SWAC",71.9,7,8,45,5.6,1,5,0,0,4,22,2.8,23,2.9,0,0.625,0.5,1,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Marquez Davis","MCNEESE",15,42.9,"C",22,"HB",2026,"Southland",71,4,9,67,7.4,1,3,0,0,1,38,4.2,29,3.2,0,0.333,0.11,3,0.222,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Hutch Swilley","MCNEESE",16,42.69,"C",5,"HB",2026,"Southland",75.4,5,7,58,8.3,0,4,0,0,2,18,2.6,40,5.7,0,0.571,0.29,3,0.143,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southland","FCS"
"Sebastien Boyle","CITADEL",33,42.65,"C",44,"HB",2026,"Southern",75,3,7,70,10,1,2,0,0,1,-4,-0.6,74,10.6,0,0.286,0.14,1,0.143,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Isaiah Daniel","BETH COOK",13,42.63,"C",27,"HB",2026,"SWAC",68.3,5,10,65,6.5,0,4,0,0,2,20,2,45,4.5,0,0.4,0.2,3,0.3,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Matt Morad","WAGNER",37,42.23,"C",3,"HB",2026,"Northeast",66,7,21,83,4,1,5,0,0,1,52,2.5,31,1.5,0,0.238,0.05,2,0.048,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Northeast","FCS"
"Michael Cadden","BUCKNELL",43,42.18,"C",26,"HB",2026,"Patriot",63.2,4,9,37,4.1,0,1,0,0,2,14,1.6,23,2.6,0,0.111,0.22,1,0,"BUCKNELL",26,"Patriot",63.7,3,19,2,7,6,24,4,0,1,0,0,0,6,1,1,47,7.8,10,1,1.26,-3.9,0,1,"100%","0.00%","14.30%",81,0.053,0.368,0,"85.70%","Patriot","FCS"
"Tyrell Campbell","MURRAY ST",21,42.15,"C",5,"HB",2026,"Missouri Valley",60.7,6,9,80,8.9,1,2,1,1,1,20,2.2,60,6.7,0,0.222,0.11,1,0.222,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Missouri Valley","FCS"
"Cortez Stone","E KENTUCKY",21,42.14,"C",22,"HB",2026,"United Athletic",76.9,6,9,63,7,0,3,0,0,2,13,1.4,50,5.6,0,0.333,0.22,2,0.333,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"United Athletic","FCS"
"Myles Thomason","NEW HAMP",33,41.11,"C",23,"HB",2026,"CAA",55.4,3,12,23,1.9,0,2,0,0,2,2,0.2,21,1.8,0,0.167,0.17,0,0.25,"NEW HAMP",23,"CAA",79.5,5,19,0,10,7,36,5.1,0,3,0,0,0,7,1,0,30,4.3,5,0,1.89,1.7,0,0,"100%","0.00%","10.00%",35.8,0,0.526,0,"70.00%","CAA","FCS"
"Travis Kerney","HOWARD",33,41.09,"C",4,"HB",2026,"MEAC",52.4,1,14,40,2.9,0,1,0,0,4,19,1.4,21,1.5,0,0.071,0.29,1,0.071,"HOWARD",4,"MEAC",57.6,0,16,0,1,1,13,13,0,1,0,0,0,1,0,0,6,6,2,0,0.81,7,0,0,"100%","0.00%","0.00%",118.8,0,0.063,0,"100%","MEAC","FCS"
"Sekou Kamau","WAGNER",33,40.81,"C",0,"HB",2026,"Northeast",56.2,6,13,50,3.9,0,2,1,1,0,5,0.4,45,3.5,0,0.154,0,1,0.308,"WAGNER",0,"Northeast",66.6,2,16,0,2,2,13,6.5,0,0,0,0,0,2,0,0,2,1,1,0,0.81,5.5,0,0,"100%","0.00%","0.00%",93.8,0,0.125,0,"100%","Northeast","FCS"
"Journey Wyche","CHATTNOOGA",25,40.76,"C",0,"HB",2026,"Southern",44.4,0,16,113,7.1,0,4,0,1,0,43,2.7,70,4.4,0,0.25,0,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Zahmari Palode-Gary","MERCER",25,40.73,"C",7,"HB",2026,"Southern",66.8,3,7,57,8.1,0,2,0,0,1,15,2.1,42,6,0,0.286,0.14,2,0,"MERCER",7,"Southern",57.6,0,15,0,1,1,6,6,0,0,0,0,0,1,0,0,8,8,2,0,0.4,-2,0,0,"100%","0.00%","0.00%",91.7,0,0.067,0,"100%","Southern","FCS"
