"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"Timothy Artis Jr.","SOUTHERN U",66,63.16,"B",54.8,0.015,83.4,0.111,0,0,0,0,0,0,0
"Chris Luna","FURMAN",55,62.97,"B",58.7,0.018,72.2,0.227,0,0,0.03,1,0,0,0
"Christian Blackwell","SACR HEART",76,62.59,"B",53.9,0,83.8,0.162,0,0,0,0,0,0,0
"Matthew Perdue","COLGATE",51,62.52,"B",60.7,0.02,80.9,0,0,0,0,0,0,0,0
"Charles Stewart","WM & MARY",55,62.46,"B",56.1,0.018,84,0.063,0,0,0,0,0,0,0
"Quin Whalen","VILLANOVA",53,62.35,"B",58.3,0.019,82.2,0.032,0,0,0,0,0,0,0
"Cam Nolan","HOLY CROSS",68,61.46,"B",61,0.059,64.7,0.129,0,0,0.027,1,1,0,0
"Tony Failla","LNDNWD",74,60.95,"B",61.6,0.027,76.2,0.081,0,0,0.027,1,0,0,0
"Erik Gray","STF AUSTIN",51,60.81,"B",62.5,0.039,71.8,0.136,0,0,0.035,1,1,0,0
"Riley Whitten","SE LA",38,60.4,"B",55,0,80,0.125,0,0,0,0,0,0,0
"Walker Thompson","MS VLY ST",42,60.39,"B",56.7,0,81,0.091,0,0,0,0,0,0,0
"Carter Taylor","MOREHEAD",53,59.84,"C",49.1,0,81,0.206,0,0,0,0,0,0,0
"Trevor Winters","WAGNER",77,59.79,"C",66.3,0.052,74,0.026,0,0,0.051,2,0,0,0
"Jack Boutaugh","MAINE",60,59.68,"C",51.8,0,73.4,0.269,0,0,0,0,1,0,0
"Joden Nelson","TOWSON",39,59.52,"C",52.6,0,69.4,0.143,0.04,0,0.04,0,0,0,1
"Stratton Smith","AUSTINPEAY",44,59.37,"C",56.7,0,83.2,0.059,0,0,0,0,0,0,0
"Jayden Colvin","CAMPBELL",83,58.9,"C",57.7,0,84,0.029,0,0,0,0,0,0,0
"Trent Savage","TXAMEA",32,58.77,"C",58.3,0,63.6,0.1,0.045,0,0.045,0,0,1,0
"Mike Lengi","CITADEL",66,58.25,"C",55.5,0,82.3,0.063,0,0,0,0,0,0,0
"Hayden Jones","CAL POLY",60,58.14,"C",59.4,0.017,78.3,0.1,0,0,0.033,1,0,0,0
"Caleb Billiot","NWSTATE",60,57.82,"C",55.2,0.017,49.4,0.105,0.045,0,0.045,0,0,0,1
"Jack D'Ambra","MONTANA",69,57.79,"C",57.6,0,85.7,0,0,0,0,0,0,0,0
"Maddox Radcliffe","E TENN ST",38,57.05,"C",66.1,0.053,61.4,0,0,0,0.053,1,0,0,0
"Zach Watson","W CAROLINA",64,56.97,"C",55.8,0,75,0.143,0,0,0,0,1,0,0
"Tyler Leinberger","NORFOLK",61,56.9,"C",55.2,0,78.5,0.065,0,0,0,0,0,0,0
"Mich'le Joseph","TENN TECH",58,56.75,"C",56.5,0,78.1,0.043,0,0,0,0,0,0,0
"Dylan Scott","E WASHGTON",77,56.68,"C",56.9,0,84.1,0,0,0,0,0,0,0,0
"Brennan Kurtz","BRYANT",53,56.4,"C",62.1,0.057,37.1,0.148,0,0,0.039,1,0,0,0
"Clayton Hixon","WOFFORD",55,56.19,"C",61.5,0.018,70.8,0,0,0,0,0,1,0,0
"Jake Kiernan","BUCKNELL",72,56.03,"C",59.5,0,74.9,0.071,0.023,0,0.023,0,0,1,0
"Ryan McCombs","W ILLINOIS",64,55.07,"C",57,0,82.8,0.048,0.023,0,0.023,0,0,1,0
"Michael Forney","W ILLINOIS",65,54.98,"C",60.5,0.015,65.9,0.143,0,0,0.023,1,1,0,0
"Devin Lively","CHATTNOOGA",57,54.85,"C",57.7,0,76,0,0,0,0,0,0,0,0
"Noah Watts","SAMFORD",37,53.64,"C",51.2,0,77.3,0.143,0,0,0,0,1,0,0
"Justin Joe","CHARLES SO",41,53.44,"C",58.6,0,64,0.095,0,0,0,0,1,0,0
"Ethan Goodin","S ILLINOIS",73,52.97,"C",54.7,0.027,59.6,0.15,0,0,0.03,1,0,0,0
"Matt Brooks","DUQUESNE",34,52.76,"C",50.6,0,75.4,0.267,0,0,0.053,1,0,0,0
"Cade Draper","UTAHTC",43,51.32,"C",49.4,0,65.2,0.2,0,0,0,0,1,0,0
"Luke Swaine","NEW HAMP",61,51.1,"C",63,0.049,37.7,0.138,0.031,0,0.063,1,1,1,0
"Braxton Goff","TARLETON",60,50.73,"C",55.8,0,57,0.067,0,96.8,0.067,2,0,0,0
"Logan Wylie","MERRIMACK",59,49.8,"C",51.8,0.017,33.8,0.286,0.026,96.1,0.079,2,1,1,0
"Aiden Kaplan","MONTANA ST",51,49.36,"C",57.4,0,77,0.042,0,0,0.037,1,0,0,0
"Abram Nicklas","TXRG",71,48.77,"C",44,0,76.3,0.211,0,0,0.019,1,0,0,0
"Zachary Marshall","TEXAS STHN",78,48.12,"C",56.4,0.013,64.6,0.103,0.026,0,0.051,1,1,0,1
"Drew Page","INDIANA ST",50,47.05,"C",45.7,0.02,58.3,0.222,0,0,0,0,2,0,0
"Caleb Flores","TARLETON",60,46.59,"C",57.3,0.033,45,0.067,0,95.2,0.1,3,0,0,0
"Jabari Edwards","GARD-WEBB",85,46.11,"C",60.1,0.024,65.6,0.111,0.017,0,0.035,1,2,1,0
"Colton Patterson","N COLORADO",76,45.79,"C",54.2,0.013,76.1,0.08,0.02,0,0.059,2,0,0,1
"Nik Belski","BUTLER",49,45.5,"C",55.3,0,66.2,0.08,0,0,0.042,1,0,0,0
"Wil Turner IV","SAMFORD",31,45.1,"C",52.2,0.032,33.6,0.375,0,0,0.087,2,0,0,0
"Christian Loving","BETH COOK",62,42.87,"C",58.6,0,43.8,0.065,0.032,91.9,0.129,3,0,0,1
"Colter Lynch","ABILENE CH",63,40.23,"C",59.8,0.032,34,0.13,0,0,0.05,2,1,0,0
"Mike Brennan","PRESBYTERN",76,37.96,"D",55.1,0,52,0.091,0,0,0.047,2,0,0,0
"Semisi Latu","PORTLAND",84,37.76,"D",52.6,0,62.4,0.207,0,0,0.055,3,1,0,0
"Blake Rhodes-Brown","DELWARE ST",37,37.46,"D",57.1,0,44.6,0.071,0.043,0,0.087,1,1,1,0
"Parker Nichols","DAVIDSON",64,36.15,"D",54.4,0.016,41.4,0.412,0,0,0.085,4,2,0,0
"Tyler Barrett","GEORGETOWN",57,34.89,"D",58,0.035,46.3,0.222,0,0,0.1,3,2,0,0
"Hudson Brewer","SE MO ST",69,30.27,"D",50.1,0.015,24.4,0.216,0.031,0,0.063,1,2,1,0
"Emery D'Urso","HAMPTON",51,26.61,"D",47.2,0,27.8,0.2,0.039,0,0.077,1,2,1,0
"Ian Markham-Miller","TOWSON",42,21.68,"D",57.5,0,24.3,0.125,0.039,0,0.154,3,0,1,0
"Kennedy Jackson","TENN STATE",60,19.26,"F",49.7,0.017,23.5,0.194,0,0,0.069,2,3,0,0
"Jackson Nixon","ALBANY",74,19.21,"F",68.3,0.04,7.1,0.039,0.021,93.7,0.125,5,4,1,0
"Jonah Bossette","CHISTA",61,15.01,"F",60.7,0.033,27.3,0.091,0.026,0,0.154,5,1,1,0
"Jorge Rodriguez","LIUSHAR",54,0,"F",48.6,0,8.5,0.154,0,0,0.143,4,1,0,0
