"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"Jack Ewell","WOFFORD",39,44.9,"C",86,"TE",2026,"Southern",77,4,19,0,4,3,34,11.3,0,1,0,0,0,3,0,0,30,10,6,"0.00%",1.79,2,1,0,"100%","0.00%","0.00%",100,"5.30%","21.10%","0.00%","75.00%","FCS"
"Jaylan Johnson","INDIANA ST",27,44.9,"C",84,"TE",2026,"Missouri Valley",69.9,4,19,0,4,3,28,9.3,0,1,0,0,0,3,0,0,20,6.7,9,"0.00%",1.47,1.8,1,0,"100%","0.00%","0.00%",93.8,"15.80%","21.10%","0.00%","75.00%","FCS"
"Evan Morris","N COLORADO",42,41.84,"C",1,"TE",2026,"Big Sky",44.7,4,30,1,6,2,14,7,0,1,2,0,0,4,1,0,5,2.5,4,"0.00%",0.47,12,0,0,"50.00%","50.00%","16.70%",2.8,"13.30%","20.00%","16.70%","33.30%","FCS"
"Nicolas Brown","SCAR STATE",56,41.33,"C",8,"TE",2026,"MEAC",80.1,3,17,0,3,3,38,12.7,0,1,0,0,0,3,0,0,34,11.3,-6,"0.00%",2.24,1.3,1,1,"100%","0.00%","0.00%",118.8,"0.00%","17.60%","0.00%","100%","FCS"
"Itty Henry","ABILENE CH",47,34.69,"D",87,"TE",2026,"United Athletic",51.4,1,28,1,4,2,7,3.5,0,0,0,0,0,2,0,0,2,1,2,"0.00%",0.25,2.3,0,0,"100%","0.00%","0.00%",56.3,"3.60%","14.30%","0.00%","50.00%","FCS"
"Maddox McKim","SAMFORD",43,34.69,"D",11,"TE",2026,"Southern",47.1,3,27,3,4,2,9,4.5,0,0,0,0,0,2,1,0,6,3,4,"0.00%",0.33,7,0,0,"100%","0.00%","25.00%",56.3,"3.70%","14.80%","25.00%","50.00%","FCS"
"Coleman Kuntz","S DAK ST",80,31.12,"D",82,"TE",2026,"Missouri Valley",51.7,2,43,0,3,2,13,6.5,0,1,0,0,0,2,0,0,1,0.5,0,"0.00%",0.3,9.3,0,0,"100%","0.00%","0.00%",75.7,"2.30%","7.00%","0.00%","66.70%","FCS"
"Will Dixon","RHODE ISLD",46,31.12,"D",87,"TE",2026,"CAA",62.6,3,18,0,3,2,18,9,0,1,0,0,0,2,1,1,2,1,2,"100%",1,9,0,0,"100%","0.00%","33.30%",82.6,"5.60%","16.70%","0.00%","66.70%","FCS"
"Elijah Smalls","MAINE",31,31.12,"D",80,"TE",2026,"CAA",69.6,2,18,1,3,2,12,6,0,2,0,0,0,2,0,0,3,1.5,1,"0.00%",0.67,7,0,0,"100%","0.00%","0.00%",74.3,"5.60%","16.70%","0.00%","66.70%","FCS"
"Hayden Daugherty","N ARIZONA",35,31.12,"D",14,"TE",2026,"Big Sky",52.3,2,20,1,3,2,18,9,0,1,1,0,0,3,0,0,18,9,15,"0.00%",0.9,0.7,0,2,"66.70%","33.30%","0.00%",82.6,"0.00%","15.00%","0.00%","66.70%","FCS"
"Rayden Aphayvong","STNY BROOK",33,31.12,"D",47,"TE",2026,"CAA",59.3,2,17,0,3,2,35,17.5,0,1,1,0,0,3,0,0,1,0.5,0,"0.00%",2.06,11,1,0,"66.70%","33.30%","0.00%",106.3,"11.80%","17.60%","33.30%","66.70%","FCS"
"Kordell Rodgers","TEXAS STHN",38,28.06,"D",8,"TE",2026,"SWAC",40.9,5,21,0,5,1,11,11,0,1,2,0,0,3,2,0,1,1,0,"0.00%",0.52,7.2,0,0,"33.30%","66.70%","40.00%",39.6,"0.00%","23.80%","0.00%","20.00%","FCS"
"Danny Joiner","TARLETON",54,27.55,"D",44,"TE",2026,"United Athletic",53.4,1,19,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,"0.00%",0,0,0,0,"100%","0.00%","0.00%",79.2,"10.50%","10.50%","0.00%","100%","FCS"
"Titus Rohrer","MONTANA",45,27.55,"D",44,"TE",2026,"Big Sky",49.8,0,21,2,2,2,11,5.5,0,0,0,0,0,0,0,0,5,2.5,2,"0.00%",0.52,3,0,0,"0.00%","0.00%","0.00%",89.6,"0.00%","9.50%","0.00%","100%","FCS"
"Davin Driskell","LAMAR",31,27.55,"D",1,"TE",2026,"Southland",61.5,2,16,0,2,2,10,5,0,1,0,0,0,2,0,0,12,6,4,"0.00%",0.63,-1,0,0,"100%","0.00%","0.00%",87.5,"12.50%","12.50%","0.00%","100%","FCS"
"Nolan Clayton","VILLANOVA",47,27.55,"D",19,"TE",2026,"Patriot",70.2,2,15,0,2,2,32,16,0,1,0,0,0,2,0,0,7,3.5,3,"0.00%",2.13,12.5,1,0,"100%","0.00%","0.00%",118.8,"6.70%","13.30%","50.00%","100%","FCS"
"Nathanial Clark","HOWARD",59,27.55,"D",86,"TE",2026,"MEAC",51.1,0,32,1,2,2,13,6.5,0,1,0,0,0,2,1,1,0,0,0,"100%",0.41,6.5,0,0,"100%","0.00%","50.00%",93.8,"3.10%","6.30%","0.00%","100%","FCS"
"Nick Petrillo","ALBANY",28,27.55,"D",18,"TE",2026,"CAA",53.4,0,18,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,"0.00%",0,0,0,0,"100%","0.00%","0.00%",79.2,"0.00%","11.10%","0.00%","100%","FCS"
"Jaylen King","MS VLY ST",51,27.55,"D",82,"TE",2026,"SWAC",53.6,0,21,0,2,2,5,2.5,0,0,0,0,0,2,0,0,8,4,3,"0.00%",0.24,-1.5,0,0,"100%","0.00%","0.00%",79.2,"0.00%","9.50%","0.00%","100%","FCS"
"Jeter Purdy","N ARIZONA",36,24.49,"D",89,"TE",2026,"Big Sky",58,2,30,8,4,1,21,21,0,1,0,0,0,1,1,1,1,1,1,"100%",0.7,16.3,1,0,"100%","0.00%","25.00%",9.4,"3.30%","13.30%","25.00%","25.00%","FCS"
"Edward Khutsishvili","UC DAVIS",37,24.49,"D",0,"TE",2026,"Big Sky",47.8,2,19,0,4,1,13,13,1,1,1,0,0,2,1,0,0,0,0,"0.00%",0.68,17,0,0,"50.00%","50.00%","25.00%",80.2,"0.00%","21.10%","50.00%","25.00%","FCS"
"Kaleb Costner","TENN MARTN",62,20.92,"D",0,"TE",2026,"Big South - OVC Football Association",58.4,1,21,0,3,1,7,7,0,1,0,0,0,1,1,0,5,5,5,"0.00%",0.33,14.3,0,1,"100%","0.00%","33.30%",2.8,"0.00%","14.30%","33.30%","33.30%","FCS"
"Ethan Hosak","LAFAYETTE",33,20.92,"D",85,"TE",2026,"Patriot",51.8,4,17,0,3,1,5,5,0,0,0,0,0,2,1,0,2,2,1,"0.00%",0.29,4,0,0,"50.00%","0.00%","33.30%",42.4,"0.00%","17.60%","0.00%","33.30%","FCS"
"Austin Bray","YNGTOWN ST",40,17.35,"F",85,"TE",2026,"Missouri Valley",56.4,2,25,5,2,1,18,18,0,0,0,0,0,1,1,0,11,11,11,"0.00%",0.72,6.5,1,1,"100%","0.00%","50.00%",81.3,"4.00%","8.00%","0.00%","50.00%","FCS"
"Alex McDonald","YNGTOWN ST",28,17.35,"F",17,"TE",2026,"Missouri Valley",60.8,2,15,1,2,1,15,15,0,1,0,0,0,1,1,0,10,10,1,"0.00%",1,11,1,0,"100%","0.00%","50.00%",75,"6.70%","13.30%","0.00%","50.00%","FCS"
"Reed Boyd","MCNEESE",25,17.35,"F",83,"TE",2026,"Southland",61.6,2,15,0,2,1,9,9,0,0,0,0,0,1,0,0,9,9,0,"0.00%",0.6,0,0,0,"100%","0.00%","0.00%",62.5,"0.00%","13.30%","0.00%","50.00%","FCS"
"Brayden Welch","N COLORADO",39,17.35,"F",87,"TE",2026,"Big Sky",50.5,3,17,0,2,1,20,20,0,1,1,0,0,2,0,0,7,7,6,"0.00%",1.18,9.5,1,0,"50.00%","50.00%","0.00%",85.4,"5.90%","11.80%","0.00%","50.00%","FCS"
"Chris Herrin","S DAKOTA",37,17.35,"F",86,"TE",2026,"Missouri Valley",50.3,0,15,0,2,1,7,7,0,1,0,0,0,1,0,0,1,1,1,"0.00%",0.47,9,0,0,"100%","0.00%","0.00%",58.3,"0.00%","13.30%","0.00%","50.00%","FCS"
"Drew Sullivan","BUTLER",29,17.35,"F",88,"TE",2026,"Pioneer",40.6,1,16,0,2,1,7,7,0,0,1,0,0,2,0,0,3,3,1,"0.00%",0.44,7.5,0,0,"50.00%","50.00%","0.00%",58.3,"0.00%","12.50%","0.00%","50.00%","FCS"
"Jayden York","ABILENE CH",37,13.78,"F",0,"TE",2026,"United Athletic",52.3,1,21,1,1,1,5,5,0,0,0,0,0,1,1,1,-1,-1,-1,"100%",0.24,6,0,0,"100%","0.00%","100%",87.5,"4.80%","4.80%","0.00%","100%","FCS"
"Charlie Browder","E TENN ST",38,13.78,"F",88,"TE",2026,"Southern",60.3,1,16,1,1,1,31,31,1,1,0,0,0,1,0,0,20,20,0,"0.00%",1.94,11,1,0,"100%","0.00%","0.00%",158.3,"0.00%","6.30%","0.00%","100%","FCS"
"Miles Marshall","S ILLINOIS",59,13.78,"F",47,"TE",2026,"Missouri Valley",58.1,4,22,0,1,1,7,7,1,1,0,0,0,1,0,0,7,7,0,"0.00%",0.32,0,0,0,"100%","0.00%","0.00%",135.4,"0.00%","4.50%","0.00%","100%","FCS"
"Larry Benton III","ABILENE CH",31,13.78,"F",88,"TE",2026,"United Athletic",53.6,1,20,0,1,1,-2,-2,0,0,0,0,0,1,0,0,1,1,1,"0.00%",-0.1,-3,0,0,"100%","0.00%","0.00%",79.2,"5.00%","5.00%","0.00%","100%","FCS"
"Greg Genross","MONMOUTH",49,13.78,"F",82,"TE",2026,"CAA",57.2,1,24,0,1,1,21,21,0,1,0,0,0,1,0,0,5,5,4,"0.00%",0.88,16,1,0,"100%","0.00%","0.00%",118.8,"4.20%","4.20%","0.00%","100%","FCS"
"Kayden Stuit","E WASHGTON",37,13.78,"F",44,"TE",2026,"Big Sky",51.3,0,16,1,1,1,18,18,0,1,0,0,0,0,0,0,6,6,3,"0.00%",1.13,12,1,0,"0.00%","0.00%","0.00%",118.8,"6.30%","6.30%","0.00%","100%","FCS"
"Mason McSweeney","HOLY CROSS",34,13.78,"F",44,"TE",2026,"Patriot",62.9,1,15,2,1,1,11,11,0,1,0,0,0,1,0,0,0,0,0,"0.00%",0.73,11,0,0,"100%","0.00%","0.00%",112.5,"6.70%","6.70%","0.00%","100%","FCS"
"Tyler Bonkowski","LAMAR",45,13.78,"F",87,"TE",2026,"Southland",59.2,1,20,0,1,1,13,13,0,1,0,0,0,1,0,0,12,12,7,"0.00%",0.65,1,0,2,"100%","0.00%","0.00%",118.8,"5.00%","5.00%","0.00%","100%","FCS"
"Aiden Grote","LNDNWD",72,13.78,"F",87,"TE",2026,"Big South - OVC Football Association",55.4,1,32,7,1,1,18,18,0,1,0,0,0,1,0,0,11,11,3,"0.00%",0.56,7,1,0,"100%","0.00%","0.00%",118.8,"0.00%","3.10%","0.00%","100%","FCS"
"Ty Brown","MURRAY ST",33,13.78,"F",12,"TE",2026,"Missouri Valley",51.2,3,19,2,1,1,0,0,0,0,0,0,0,1,1,1,-7,-7,-7,"100%",0,7,0,0,"100%","0.00%","100%",79.2,"0.00%","5.30%","0.00%","100%","FCS"
"Aidan Sefa","W GEORGIA",38,13.78,"F",9,"TE",2026,"United Athletic",37.9,4,15,0,1,1,3,3,0,0,1,0,0,1,0,0,0,0,0,"0.00%",0.2,3,0,0,"100%","100%","0.00%",79.2,"0.00%","6.70%","0.00%","100%","FCS"
"Andrew Korkosz","MERRIMACK",30,13.78,"F",18,"TE",2026,"IND (FCS)",62.8,1,17,1,1,1,13,13,0,1,0,0,0,1,0,0,8,8,2,"0.00%",0.76,5,0,0,"100%","0.00%","0.00%",118.8,"0.00%","5.90%","0.00%","100%","FCS"
"Will McKissick","E WASHGTON",38,13.78,"F",85,"TE",2026,"Big Sky",51.4,0,15,1,1,1,14,14,0,1,0,0,0,0,0,0,9,9,2,"0.00%",0.93,5,0,0,"0.00%","0.00%","0.00%",118.8,"0.00%","6.70%","0.00%","100%","FCS"
"Jack Roland","CHISTA",36,13.78,"F",87,"TE",2026,"IND (FCS)",53.4,0,18,2,1,1,2,2,0,0,0,0,0,1,0,0,3,3,1,"0.00%",0.11,-1,0,0,"100%","0.00%","0.00%",79.2,"0.00%","5.60%","0.00%","100%","FCS"
"Tyreke Jinks","ROB MORRIS",43,7.14,"F",15,"TE",2026,"Northeast",38.2,4,24,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"0.00%",0,6.5,0,0,"0.00%","100%","50.00%",39.6,"0.00%","8.30%","0.00%","0.00%","FCS"
"Jake Young","W CAROLINA",29,7.14,"F",87,"TE",2026,"Southern",47.5,3,24,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"0.00%",0,9.5,0,0,"0.00%","0.00%","50.00%",39.6,"4.20%","8.30%","0.00%","0.00%","FCS"
"Landon Strickland","CHATTNOOGA",46,7.14,"F",87,"TE",2026,"Southern",50.8,1,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,21.5,0,0,"0.00%","0.00%","0.00%",0,"6.70%","13.30%","50.00%","0.00%","FCS"
"David Hargro","W ILLINOIS",64,7.14,"F",15,"TE",2026,"Big South - OVC Football Association",44.9,1,41,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0.00%",0,12,0,0,"0.00%","0.00%","0.00%",39.6,"4.90%","4.90%","0.00%","0.00%","FCS"
"Jackson Head","AUSTINPEAY",39,3.57,"F",13,"TE",2026,"United Athletic",49.2,1,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,25,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","4.50%","100%","0.00%","FCS"
"Jackson Pryor","FURMAN",28,3.57,"F",17,"TE",2026,"Southern",50.5,2,16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","100%",39.6,"0.00%","6.30%","0.00%","0.00%","FCS"
"Ryan Johnson","E WASHGTON",36,0,"F",42,"TE",2026,"Big Sky",49.8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
