"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Pass.Block.Efficiency","Knockdown.Percentage","Defeated.Runblock.Percentage","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Hits.Allowed","Sacks.Allowed"
"Oscar Solis","GEORGETOWN",33,57.11,"C",57.3,53.2,0.03,0,0,0.267,0.056,1,1,0,0
"Jacorey Wright","MERCER",43,57.02,"C",65.9,64.7,0.047,0,0,0.1,0.087,1,2,0,0
"Malik Wilson","WAGNER",76,56.93,"C",56.5,77.4,0.026,0,0,0.081,0.026,1,1,0,0
"Sean Wilson","LAFAYETTE",59,56.64,"C",56.7,78.6,0,0,0,0.053,0,1,0,0,0
"Zion Sauvao","N COLORADO",76,56.61,"C",61.1,67,0.013,0,0,0.12,0.02,1,1,0,0
"Ramier Lewis","TEXAS STHN",78,56.51,"C",70.1,57.2,0.064,0,0.051,0.026,0.077,1,1,1,1
"David Porotesano","UC DAVIS",62,56.25,"C",59.4,73.6,0.032,0,0,0.039,0.028,1,1,0,0
"Maleek McNeil","BETH COOK",62,56.19,"C",52,62.1,0.016,91.9,0.065,0.129,0.129,1,2,1,1
"Jeremiah McCrimmon","CAMPBELL",83,55.95,"C",66.1,72.5,0.024,0,0.021,0.057,0.063,0,2,0,1
"Luke Sampson","WEBER ST",77,55.89,"C",60.5,79.3,0.013,0,0.042,0,0.042,0,0,1,1
"Montrey Strickland","N COLORADO",76,55.73,"C",79.3,58.9,0.053,0,0,0.08,0.078,2,4,0,0
"James Durand","W ILLINOIS",65,55.65,"C",47.8,79.1,0,0,0,0.191,0.023,0,1,0,0
"Chris Therien","VILLANOVA",37,55.45,"C",54,76.5,0,0,0,0.15,0.059,0,1,0,0
"Titan Fleischmann","MONTANA ST",50,55.24,"C",56,79.4,0,0,0,0.08,0.04,0,1,0,0
"Kamron Frye","WM & MARY",55,54.76,"C",50.9,83.2,0,0,0,0.063,0,1,0,0,0
"Robby Medici","E KENTUCKY",38,54.76,"C",71,24.2,0.079,0,0.067,0.043,0.067,1,0,0,1
"Lukas Donahue","MERRIMACK",33,54.36,"C",48.8,52.1,0,92,0.08,0.125,0.12,0,1,1,1
"Jake Waltman","BRYANT",40,54.15,"C",57,57.7,0.025,0,0,0.191,0.053,1,1,0,0
"Godwin Burger","RICHMOND",37,53.9,"C",56.8,69.9,0,0,0.043,0.071,0.043,0,0,0,1
"Dontay Bishop","RHODE ISLD",62,53.81,"C",45,74.8,0.016,0,0.027,0.24,0.054,0,1,0,1
"Logan Brasfield","ILL STATE",71,53.74,"C",51.4,77.5,0,0,0.027,0.088,0.027,0,0,0,1
"Charlie Vliem","IDAHO",59,53.71,"C",49.4,44.7,0.017,95.8,0.028,0.261,0.111,1,3,0,1
"Daved Richardson","LIUSHAR",55,53.08,"C",58.5,56.5,0.036,0,0,0.111,0.036,1,1,0,0
"Hayden Raley","WM & MARY",53,52.86,"C",52.7,70.1,0.019,0,0,0.097,0.045,0,1,0,0
"Reuben Logan","BUCKNELL",72,52.76,"C",46.9,79.5,0,0,0,0.107,0,1,0,0,0
"Bennett Nunnally","HOLY CROSS",72,52.57,"C",65.4,66.1,0.042,0,0,0.161,0.098,1,4,0,0
"Tucker Van Meter","MOREHEAD",32,52.26,"C",58.7,39.6,0.063,0,0,0.167,0.125,0,1,0,0
"Jake Utley","S DAKOTA",58,52.08,"C",71.2,57.4,0.069,0,0,0.061,0.16,0,4,0,0
"Jay Wade","WEBER ST",77,51.66,"C",55.7,77.5,0,0,0.021,0.069,0.042,0,1,0,1
"Zachary Curtis","LAMAR",51,51.55,"C",50.9,67.6,0.02,0,0.031,0.158,0.063,0,1,0,1
"Dillon Porter","WOFFORD",37,51.12,"C",56.7,51.7,0.027,0,0.105,0.167,0.105,1,0,1,1
"Case Pickelman","GEORGETOWN",57,50.83,"C",63.3,59.4,0.053,0,0,0.111,0.1,1,3,0,0
"Darwin Murillo","CITADEL",66,49.94,"C",51.8,79,0,0,0.056,0.042,0.056,1,0,0,1
"KJ Brooks","TOWSON",42,49.92,"C",58.7,69.8,0,0,0.039,0.063,0.077,0,1,0,1
"Desmeal Leigh","YNGTOWN ST",68,49.53,"C",55.9,70,0.015,0,0.023,0.16,0.07,1,2,1,0
"Aidan Donald","CHATTNOOGA",40,49.25,"C",56.7,66,0,0,0,0,0,1,0,0,0
"Gregory Celestin Jr","SACR HEART",76,48.87,"C",48.8,80.6,0,0,0.026,0.081,0.051,0,1,1,0
"Nesta Crowell","SO UTAH",71,48.42,"C",58,66.4,0,0,0,0.02,0.048,0,1,0,0
"Connor Van Tassell","STNY BROOK",65,48.03,"C",56.1,68.3,0,0,0,0.136,0.047,1,2,0,0
"Tim Suk","SACR HEART",76,47.97,"C",51.6,78.1,0,0,0,0.081,0.051,0,2,0,0
"Grant Murin","ROB MORRIS",67,47.94,"C",58.2,64.6,0.015,0,0,0.056,0.065,0,2,0,0
"Grayson Sykes","VA MILT IN",58,47.88,"C",38,73.9,0,0,0,0.244,0.059,0,1,0,0
"Matt Fries","MONMOUTH",38,47.29,"C",56.7,55.9,0.026,0,0.045,0.063,0.091,0,1,1,0
"Eric Nunez","TENN TECH",55,47.29,"C",52.8,61.7,0,0,0.029,0.048,0.029,0,0,1,0
"Luke Roaten","ABILENE CH",61,47.23,"C",56.2,68.1,0,0,0.05,0.095,0.075,0,1,1,1
"Calvin McMillian","PRVIEW A&M",50,46.99,"C",62.6,46.2,0.04,0,0,0.045,0.036,2,1,0,0
"Ebuka Okafor","TEXAS STHN",59,46.92,"C",61.7,68.8,0.017,0,0,0,0.032,3,1,0,0
"Trevanti Davis","STF AUSTIN",51,45.65,"C",50.4,58,0,0,0.035,0.227,0.069,1,1,0,1
"Matthew Snarr","UTAHTC",43,45.42,"C",53.3,63.7,0,0,0.043,0.1,0.087,0,1,0,1
"Linden Clemmons","WM & MARY",25,44.34,"C",56.1,43.6,0,0,0,0.125,0,2,0,0,0
"Ryan Steinbrink","COLGATE",51,43.97,"C",61.2,52.4,0.02,0,0,0.071,0.043,3,1,0,0
"Blake Bradford","GARD-WEBB",64,43.67,"C",67.5,33.4,0.063,0,0,0.191,0.07,4,3,0,0
"Jaden Wedderburn","ILL STATE",71,42.51,"C",48.5,59.4,0,0,0,0.118,0.027,1,1,0,0
"Zion Rogers","HOWARD",65,42.45,"C",45.7,68.6,0.015,0,0,0.179,0.054,2,2,0,0
"Quandre Brooks","CHARLES SO",37,41.83,"C",52.3,63.5,0,0,0.056,0.053,0.111,0,1,0,1
"Wyatt Scarritt","FORDHAM",48,41.27,"C",62.5,51.2,0.021,0,0,0,0.037,3,1,0,0
"Camden Jury","N ARIZONA",37,40.95,"C",61.2,62.1,0,0,0.036,0,0.107,0,2,0,1
"Rylan Filipe","GEORGETOWN",28,40.91,"C",51.5,51,0,0,0.071,0.143,0.143,0,1,1,0
"Chris Laney","MS VLY ST",28,40.85,"C",57.4,37.8,0.036,0,0,0.063,0.083,1,1,0,0
"Logan Brady","NWSTATE",60,40.4,"C",55,45.6,0.017,0,0,0.053,0.045,1,1,0,0
"Tyrone Julot","SCAR STATE",55,40.27,"C",60.7,32.7,0.036,0,0.048,0.059,0.095,1,1,1,0
"Eli Brasher","FURMAN",35,39.77,"D",52.7,59.3,0,0,0,0.071,0.048,2,1,0,0
"Wes Thompson","TXRG",70,39.17,"D",51,56.8,0,0,0,0.158,0.039,2,2,0,0
"Jaylen Ackerman","GRAMBLING",47,39.11,"D",55.5,46.2,0.021,0,0,0,0.04,1,1,0,0
"Drew Dickerson","MOREHEAD",41,39.08,"D",55.3,45.6,0,0,0,0.04,0.063,0,1,0,0
"Kyron Barnes","NICHOLLS",46,38.55,"D",53.9,20.5,0.065,0,0,0.28,0.095,3,2,0,0
"Jaidyn Jones","TXAMEA",46,38.42,"D",52.9,46.3,0.022,0,0.032,0.2,0.097,2,2,1,0
"Abdallah Daud","DUQUESNE",32,37.47,"D",58.7,40.5,0.031,0,0,0.133,0.176,0,3,0,0
"Will Fitzpatrick","GARD-WEBB",85,37.37,"D",58.6,65.1,0.012,0,0,0.074,0.017,7,1,0,0
"Daniel Olalekan","DELWARE ST",84,37.05,"D",58.2,68.6,0,0,0.069,0,0.086,1,1,3,1
"Caleb Smith","FL A&M",65,36.86,"D",45.1,50.2,0,0,0.024,0.261,0.071,1,2,0,1
"Ramsey Qishta","HOUCHR",60,36.68,"D",58.6,45.6,0.017,0,0.033,0.069,0.1,1,2,0,1
"Penn Craver","DAVIDSON",64,36.55,"D",63.6,12.1,0.031,0,0.021,0.235,0.043,4,1,1,0
"Esom Nnajiofor","WOFFORD",55,36.35,"D",71.2,35.6,0.055,0,0.037,0.036,0.148,3,3,1,0
"Samuel Egharevba","NORFOLK",47,36.32,"D",47.7,37.9,0,0,0.048,0.192,0.095,0,1,0,1
"Armon Bethea","GRAMBLING",47,35.89,"D",52.6,46.3,0,0,0,0.136,0.08,1,2,0,0
"Josiah Lancaster","CHARLES SO",41,35.87,"D",45.9,60.3,0,0,0,0.143,0.1,1,2,0,0
"Cameron Beiswenger","BUTLER",49,35.55,"D",48.1,50.6,0,0,0.083,0.12,0.125,0,1,1,1
"Jacob Hood","NICHOLLS",31,35.53,"D",56.9,42.8,0,0,0,0.133,0.125,1,2,0,0
"Marcus McDaniel","MS VLY ST",42,34.86,"D",54.3,24.7,0.024,0,0.05,0.091,0.1,0,1,1,0
"Pule Leatigaga","PORTLAND",84,34.65,"D",61.5,49.6,0.012,0,0,0,0.018,5,1,0,0
"Trey Gibbs","SE MO ST",65,33.67,"D",47.1,39.1,0.015,0,0.063,0.182,0.063,3,0,1,1
"Sammy Ayache","LEHIGH",70,32.87,"D",59.4,37.6,0.043,0,0,0.065,0.083,4,2,0,0
"Kyan Rauk","S DAK ST",38,32.66,"D",58,57.9,0,0,0.037,0,0.111,2,2,1,0
"Takai Wallace","DELWARE ST",82,31.85,"D",66.2,49.2,0.024,0,0.053,0.08,0.088,5,2,2,1
"Christian Menard","NWSTATE",42,31.35,"D",56.1,12.3,0.024,0,0,0.107,0.071,1,1,0,0
"Justice Musser","INDIANA ST",50,31.09,"D",59.7,14.2,0.04,0,0.031,0.056,0.031,4,0,1,0
"Sean Pozniak","NEWHVN",51,30.61,"D",61.2,39.1,0.02,0,0,0.063,0.114,1,4,0,0
"Collen Jackson","HAMPTON",37,30,"D",63.3,28.4,0.027,0,0.045,0.067,0.091,5,1,1,0
"Will Smith","FORDHAM",45,29.46,"D",58.5,30.8,0,0,0.04,0.05,0.12,0,2,0,1
"Derrick Cooper","ALCORN ST",37,29.23,"D",60.4,0,0.027,0,0,0.167,0.053,3,1,0,0
"Jaylen Eberhardt","CHISTA",61,28.67,"D",50,40.5,0,0,0.026,0.182,0.103,1,3,1,0
"Jourden Hale-Frater","CHISTA",48,28.06,"D",59.8,0,0.042,0,0.037,0.191,0.148,0,3,1,0
"Joel Van-Tagoe","TENN STATE",60,27.78,"D",50.6,23.5,0.017,0,0,0.161,0.069,2,2,0,0
"Mattis Karrasch","N ARIZONA",32,27.7,"D",58.9,31.1,0,0,0.042,0,0.125,0,2,1,0
"Brenden Jones","TXRG",71,27.59,"D",50,45.7,0,0,0.019,0.211,0.077,3,3,0,1
"Ronald Anderson","RICHMOND",69,27.22,"D",55.9,24.2,0.015,0,0.024,0.107,0.098,0,3,0,1
"Rambo Mageo","UTAHTC",45,27.14,"D",46.1,41.8,0,0,0,0.136,0.045,4,1,0,0
"Andrew Swingle","LNDNWD",74,26.19,"D",51.7,41.9,0,0,0,0.054,0.081,1,3,0,0
"Madden Daly","MOREHEAD",31,25.35,"D",50.9,12.3,0,0,0,0.13,0.125,0,1,0,0
"Gavin Bennett","HAMPTON",42,23.81,"D",49.2,36.6,0,0,0.048,0.191,0.191,1,3,0,1
"Richard Mulhern","VA MILT IN",49,23.44,"D",49.4,10.7,0,0,0.077,0.139,0.154,0,1,0,1
"Trenton VanBoening","LNDNWD",74,22.98,"D",41.3,36,0,0,0.054,0.216,0.081,3,1,0,2
"Eli Williams","NC A&T",50,22.9,"D",54.3,18.6,0.04,0,0.103,0.191,0.172,3,2,1,2
"Camarion Ragland","NC A&T",28,22.21,"D",54.1,14,0,0,0.083,0.125,0.167,2,1,0,1
"Abe Diallo","ALCORN ST",56,21.25,"D",58.4,5.6,0.018,0,0.037,0.103,0.074,4,1,1,0
"Saidou Ba","AUSTINPEAY",37,21.21,"D",57.9,32.5,0,0,0.048,0,0.191,0,3,0,1
"Ryan Nolan","NORFOLK",48,20.52,"D",38.6,40.5,0,0,0,0.231,0.136,2,3,0,0
"Samuel Eskridge","E KENTUCKY",38,20.31,"D",51.3,8.6,0,0,0.125,0.091,0.188,0,1,2,0
"Justin Howard","NICHOLLS",27,18.28,"F",55.8,3.8,0,0,0.4,0.136,0.6,0,1,1,1
"Ra'Qui Martin","MERRIMACK",56,18.01,"F",46.9,3.7,0.018,93.2,0,0.158,0.135,4,5,0,0
"Keith Forbes","DELWARE ST",84,15.73,"F",57,28.7,0,0,0.069,0.039,0.121,1,3,4,0
"Steven Nelson","TENN STATE",60,14.91,"F",49.7,8,0,0,0.035,0.129,0.138,0,3,1,0
"Ty Miles","NEW HAMP",61,14.18,"F",63.6,2.3,0.016,0,0.094,0.035,0.156,2,2,0,3
"Brady Pickett","CITADEL",66,14.08,"F",50.6,0.2,0.03,0,0,0.125,0.167,1,3,0,0
"Ellington Brooks-Lytle","PRESBYTERN",75,13.91,"F",55.7,16.6,0.013,0,0.071,0.061,0.119,3,2,2,1
"Jeremiah Ndaiga","NEWHVN",29,13.6,"F",56.4,0,0,0,0.105,0.1,0.211,1,2,2,0
"Kendal Septs","TXAMEA",46,11.21,"F",49.8,3.6,0,0,0.129,0.2,0.194,1,2,2,2
"Joshua Schuetzmann","RHODE ISLD",62,9.3,"F",49.5,16.1,0,0,0.054,0.16,0.108,5,2,0,2
"Jeremy Fishkin","FL A&M",52,8.85,"F",40.9,8.9,0.019,0,0.031,0.35,0.188,2,5,0,1
"Joshua Waymack","PRESBYTERN",52,3.36,"F",47.3,0,0,0,0.065,0.191,0.129,5,2,1,1
"Trevor Newkirk","PORTLAND",84,2.14,"F",52.8,6.8,0,0,0.018,0.103,0.109,3,5,1,0
"Morgan Jordan","ALBANY",74,2.07,"F",56.5,0,0,89.6,0.104,0.039,0.188,6,4,4,1
"Griffin Hile","INDIANA ST",50,0.16,"F",57.5,8.1,0,0,0,0,0.125,5,4,0,0
"Ben Darnell","SAMFORD",68,0,"F",42.2,4.4,0,0,0.043,0.227,0.13,3,4,0,2
