"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"MARTIN OWUSU","FRESNO ST",28,35.97,"D","DI",2026,"Pac-12",67.6,69.8,56.2,60,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,16,4,0,0.063,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,0,1,3,0,0,4,1,0,0,0,0,6,6,0,1,0,"G5",114,114
"XAVIER SLAYTON","NEW MEXICO",15,35.85,"D","DI",2026,"MWC",59.1,62.2,55.8,NA,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,10,0,0.2,10,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G5",58,58
"KEVIN ROBERTS","JAMES MAD",23,35.75,"D","DI",2026,"Sun Belt",74.8,73.2,65.7,NA,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,13,0.154,0.077,3.9,10,1,0.1,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,"G5",291,291
"GEORDAN GUIDRY","TULANE",16,35.51,"D","DI",2026,"The American",80.6,81.7,61.5,NA,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,9,0.111,0,0,7,2.67,0,0.571,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,4,0,1,2,0,0,3,1,0,0,0,0,4,4,0,0,0,"G5",185,185
"PRESTON CARR","E CAROLINA",29,35.36,"D","DI",2026,"The American",71.7,73.6,57.3,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,10,0,0,0,19,-0.5,0.053,0.211,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2,0,0,2,2,0,2,0,0,0,0,0,2,2,0,0,0,"G5",76,76
"JUSTIN BENTON","N TEXAS",23,35.33,"D","DI",2026,"The American",77.8,74.7,68,NA,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,1,11,0.091,0.091,4.5,12,2,0.083,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,0,0,1,0,0,2,0,0,0,0,0,2,2,0,0,0,"G5",109,109
"MIKE JARVIS","LIBERTY",39,35.32,"D","DI",2026,"C-USA",70.1,71.7,64.4,59.8,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,21,0.143,0.095,4.8,16,0,0,0.188,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,"G5",18,18
"TONY CARTER","ARK STATE",33,35.23,"D","DI",2026,"Sun Belt",58.5,58.2,57.8,60,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,24,0.083,0.083,4.2,9,0,0.111,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,0,2,0,0,0,0,1,0,0,0,0,2,2,1,0,0,"G5",257,257
"KENYATTA HARDGE","MARSHALL",47,35.2,"D","DI",2026,"Sun Belt",70.1,70.7,64.3,60.1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,33,0.061,0.03,1.5,13,3,0,0.154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,"G5",201,201
"MANDJOU BERTE","GA STATE",31,35.2,"D","DI",2026,"Sun Belt",67,57.3,66.9,60.2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,3,24,0.125,0.125,6.3,7,1,0.286,0.143,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,2,0.5,0,0,0,0.5,1,0,1,1,1,0.5,4,4,0,1,1,"G5",288,288
"FELIX HIXON","MIDDLE TN",42,35.02,"D","DI",2026,"C-USA",65.1,67.8,55.5,NA,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,26,4,0.039,0.039,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,6,0.143,3,1,0,0.143,3,3,1,0,0,0,7,7,0,0,0,"G5",47,47
"JAVON WILLIAMS","E CAROLINA",20,34.48,"D","DI",2026,"The American",66.6,62.2,67.4,NA,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,9,0.222,0.111,5.6,11,0,0.091,0.091,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,"G5",200,200
