"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Pass.Break.Up","Lined.up.in.Press.Coverage","Interception","Average.Depth.of.Tackle","Receiving.Yards.per.Coverage.Target","Drops...Off.Targets.Receptions.Forced","Average.Depth.of.Target.per.Coverage","Pass.Stop","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Pass.Plays","Assist.on.Pass.Plays","Missed.Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Dropped.Int","Touchdowns.Allowed","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Run.Tackle.for.Losss.or.No.Gain","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Beaten.Defender","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interceptions"
"ISHMEL ATKINS","SM HOUSTON",52,74.55,"B",70.7,71.6,69.5,47.3,5,2,0,1,NA,0,8,5.3,1,18.3,0,0,1,0,0,2,1,0,50,1,0,0,0,0,0,0,0,0,0.167,0,0,1,2,2,1,2,2,0.667,16,0,1,0,0,0,0,0,0,0.333,0,0.333,6,0,3,0,0
"KESHAWN DAVILA","N TEXAS",31,74.43,"B",71,67.3,73.2,NA,3,1,2,0,NA,0,1.5,0,3,21,0,0,0,0,0,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"ANTHONY MATTISON","MO STATE",40,73.59,"B",67.2,66.4,79.4,38.6,5,1,3,0,NA,0,0.5,3.7,1,4.3,1,0,1,0,0,1,0,0,50,1,1,1,0,0,0,0,0,0,0.167,2,2,1,1,2,1,1,2,0.667,11,0,0,0,0,0,0,0,0,0,0,0.333,6,0,4,0,0
"AVERY DEMERY","LA LAFAYET",72,73.53,"B",72.8,77,51.7,NA,4,1,0,1,NA,1,6,2.9,3,8.9,0,0,1,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.333,0,0,0,1,5,3,2,2,0.286,20,1,1,0,0,0,0,0.143,0.143,0.143,0.5,0.25,6,0,3,0,1
"NOAH FLORES","ARK STATE",39,73.32,"B",78.7,78.3,64.7,NA,3,1,1,1,NA,0,0,6,0,23.3,1,1,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0.333,18,1,2,0,0,0.04,0,0.333,0,0.667,0,0,3,0,1,0,0
"CATRELL WHITE","AKRON",48,72.36,"B",78.6,78.6,62.3,NA,4,0,1,1,NA,0,0,2.2,1,14.6,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0.4,11,1,2,0,0,0,0,0.2,0,0.4,0,0,4,0,4,0,0
"DEVIN ROBINSON","TULSA",33,71.03,"B",79.9,78.3,73.2,57.5,3,1,1,0,NA,0,1,0.5,2,-4.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,2,0.5,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"JAYLON EDMOND","HAWAII",64,70.68,"B",74.2,74.3,63.9,NA,3,0,1,0,NA,1,0,6,3,19.5,1,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0.333,36,1,0,0,0,0.025,0,0.167,0.167,0,0,0,3,0,2,0,1
"JAMARION KOLAGBODI","DELAWARE",53,70.51,"B",70.1,69.8,70.1,53.9,5,0,2,1,NA,0,12.67,7.2,2,18.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0.4,36,1,1,0,0,0.04,0,0.2,0,0.2,0,0,5,0,4,0,0
"DRE WALKER","APP STATE",33,70.44,"B",80.9,83.1,62.6,59.6,1,0,1,0,NA,1,0,8.6,1,22.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0.4,43,1,0,0,0,0.067,0,0.2,0.2,0,0,0,1,0,1,0,1
"JAION JACKSON","C MICHIGAN",29,70.13,"B",64.8,61.7,70.1,NA,4,4,0,0,NA,0,0,0,0,30,0,0,0,1,0,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0
"KAMERON CARTER","LA TECH",35,69.99,"B",75.7,73.6,71.1,NA,1,0,1,1,NA,0,0,0,0,4,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0.5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"JABARI STRAIT","TROY",31,69.69,"B",77.3,77.6,61.4,NA,NA,0,0,1,NA,0,0,0,1,22.7,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0.667,NA,NA,NA,0,0,0,0
"DONOVAN WATKINS","TOLEDO",43,69.04,"B",75.1,73.2,71.2,NA,1,1,0,1,NA,0,0,0,0,4,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0
"AHLSTON WARE","FAU",35,69.02,"B",73.8,73,66.7,NA,2,0,0,1,NA,0,7,0,2,21,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.333,0,0,2,0,1,0,0
"GRECO CARRILLO","S JOSE ST",35,68.71,"B",72.6,73.3,60.3,57.8,4,0,2,0,NA,1,0,7.3,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,1,22,1,0,0,0,0.037,0,0.333,0.333,0,0,0,4,0,3,0,1
"BRENT GORDON JR.","LA LAFAYET",63,68.66,"B",70.3,73.3,68.8,58.8,5,0,1,2,NA,0,10,11.3,0,10.5,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.167,0,1,0,0,2,2,3,4,0.667,68,2,2,0,0,0.037,0,0.333,0,0.333,0,0.2,6,0,6,0,0
"WILL YATES","BALL ST",47,68.18,"B",70.5,70.9,62.1,59.1,2,0,1,1,NA,0,0,2.6,3,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0.429,18,0,1,0,0,0,0,0,0,0.143,0,0,2,0,2,0,0
"TYSON MCCRARY","GA STATE",36,67.75,"B",68.3,67.5,63.8,NA,4,1,0,1,NA,0,7,4,2,24,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0.2,20,1,2,0,0,0.033,0,0.2,0,0.4,0,0,4,0,3,0,0
"JADEN ALLEN","N TEXAS",41,67.62,"B",69.5,63.1,82.2,59.1,4,2,2,0,NA,0,4,2,1,19,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
"JOJO JOHNSON","BOWL GREEN",34,67.18,"B",62.9,65.8,52.6,NA,5,3,0,0,NA,1,0,3.2,1,14,0,0,0,1,0,2,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,3,0.6,16,2,0,0,0,0,0,0.4,0.2,0,0,0,5,0,2,0,1
"TRAVIS ROMAN","COAST CAR",16,66.97,"B",75.7,75.2,60,NA,1,0,0,0,NA,1,0,3.5,1,10,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,7,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,0,1
"JYAIRE BROWN","SO MISS",54,66.35,"B",68.1,68.4,58.2,67.4,4,0,3,1,NA,0,2,5,0,13.7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.2,0,0,1,0,3,2,3,2,0.667,15,1,1,0,0,0,0,0.333,0,0.333,0,0.25,5,0,3,0,0
"TREY RUBINSTEIN","KENT STATE",35,66.26,"B",68.3,73.7,53,64.3,1,1,0,1,NA,0,0,-3,0,-3,0,0,0,0,1,1,1,0,10,1,0,0,1,0,0,0,0,0,0.5,0,0,2,1,1,0,2,1,1,-3,0,1,0,0,0,0,0,0,1,0.5,0,2,0,1,0,0
"CHANCE GAMBLE","GA SOUTHRN",79,65.72,"B",61.3,59.3,69.2,60,7,1,2,1,NA,0,15,3,1,12.6,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0,1,0,1,5,5,2,3,0.429,21,2,1,0,0,0,0,0.286,0,0.143,0,0.167,8,0,5,0,0
"MARIO THOMPSON","DOMINION",61,65.53,"B",68,58,79.3,61.5,9,0,5,0,NA,0,3.6,6.8,0,5.8,2,1,1,0,0,0,0,1,3.3,1,0,1,0,0,0,0,0,2,0.1,3,1,1,0,3,3,2,4,0.8,34,2,0,0,1,0.05,0.2,0.4,0,0,0,0.2,10,0,6,0,0
"CAM ROBINSON","NAVY",75,65.07,"B",68.8,66.7,70.7,NA,2,1,0,2,NA,0,6.5,13.2,1,24.2,0,2,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0.4,66,2,2,0,0,0.053,0,0.4,0,0.4,0,0,2,0,3,0,0
"CALEB WOMACK","S JOSE ST",65,65.04,"B",65.6,64.9,59.3,69.8,7,1,2,0,NA,1,6.33,12.1,1,5.7,1,2,1,1,1,0,0,0,50,2,0,0,0,0,0,0,0,0,0.222,1,0,2,1,6,5,2,6,0.857,85,3,0,0,0,0.048,0,0.429,0.143,0,0.25,0.2,9,0,5,0,1
"TAYDEN BARNES","NEW MEX ST",26,64.55,"B",67.1,70.9,56.2,58.6,2,0,2,0,NA,0,-1,1,0,9,1,0,0,0,1,0,0,0,50,1,1,1,0,0,0,0,0,0,0.333,1,2,1,0,1,0,1,1,0.5,2,0,1,0,0,0,0,0,0,0.5,0.5,0,3,0,1,0,0
"QUENTAVIUS SCANDRETT","BALL ST",53,64.42,"B",66.8,77.3,32.1,59.5,3,1,1,1,NA,0,0,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0.5,4,0,1,0,0,0,0,0,0,0.5,0,0,3,0,2,0,0
"JOSHUA FRANKLIN","W MICHIGAN",55,64.38,"B",70.7,68.7,73.7,59,4,2,0,0,NA,0,9,10.4,2,16.8,0,1,0,1,0,1,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,0.4,52,2,1,0,0,0.031,0,0.4,0,0.2,0,0,4,0,1,0,0
"JA'MARION WAYNE","COAST CAR",35,63.8,"B",73.6,79.3,62.4,44.2,2,0,0,0,NA,1,0,8.5,1,12.8,0,1,1,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0.333,0,0,1,0,2,1,1,1,0.25,34,1,0,0,0,0.063,0,0.25,0.25,0,0,0.333,3,0,3,0,1
"RAYQUAN ADKINS","E MICHIGAN",52,63.41,"B",67.9,68.5,63.4,60,6,0,1,0,NA,0,9.8,2.7,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0.333,8,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0
"TAY'VION LAWSON","KENNESAW",72,63.23,"B",68.7,65.8,72.3,NA,7,1,1,1,NA,0,10.67,7.7,1,8.8,1,1,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,4,0.667,46,2,1,0,0,0.035,0,0.333,0,0.167,0,0,7,0,4,0,0
"TREZ MOORE","TEXAS ST",64,62.95,"B",73.7,73.2,65.6,NA,3,0,1,0,NA,0,0,2.2,1,8.7,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,3,0.5,13,1,2,0,0,0,0,0.167,0,0.333,0,0,3,0,3,0,0
"KJ MINIEFIELD","MIDDLE TN",16,62.76,"B",70.9,66.9,69.3,NA,1,0,1,1,NA,0,4,3,0,15.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0.5,6,0,1,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0
"AMARIYUN KNIGHTEN","MIAMI OH",19,62.6,"B",73.5,73,60.9,NA,1,0,0,1,NA,0,0,2.3,0,12.3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0.333,7,0,2,0,0,0,0,0,0,0.667,0,0,1,0,1,0,0
"JAYDEN LEWIS","LA MONROE",57,62.54,"B",68.4,65.1,71.6,NA,2,0,2,0,NA,0,3,0,2,19.5,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
"DELVON GULLEY","UAB",57,62.38,"B",68.8,69.9,61,NA,3,0,1,1,NA,0,1,0,0,5,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5,0,4,0,4,0,0
"E'ZAIAH SHINE","TULANE",69,62.25,"B",73.3,73.2,66.6,NA,2,0,0,1,NA,0,7,5,2,13.2,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0.4,25,1,1,0,0,0.027,0,0.2,0,0.2,0,0,2,0,1,0,0
"JQ BROOKS","JVILLE ST",44,61.97,"B",70,68.2,69.1,NA,3,2,1,0,NA,0,3,3.5,0,8.5,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0.5,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"YASSINE FALKE","N ILLINOIS",33,61.89,"B",66.2,62.8,70.3,NA,2,0,1,0,NA,1,2,6.3,1,15.3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,0.667,19,1,0,0,0,0,0,0.333,0.333,0,0,0,2,0,2,0,1
"DE'MARCUS PETERS","NEW MEX ST",66,60.79,"B",73.8,76.8,45.3,NA,4,1,1,0,NA,0,0,3.3,0,10.8,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,3,2,0.5,13,1,1,0,0,0,0,0.25,0,0.25,0,0,4,0,1,0,0
"MARSHALL WASHINGTON","N ILLINOIS",39,60.77,"B",74.2,73.7,67.6,NA,1,0,0,0,NA,0,2,0,1,26,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0
"DONAVAN PHILORD","C MICHIGAN",61,60.57,"B",60.4,59.6,54.8,69.9,2,0,1,1,NA,0,0,6.3,2,15.8,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,2,1,1,0.25,25,1,1,1,0,0.029,0,0.25,0,0.25,0,0,2,0,2,0,0
"RONALD JACKSON JR.","OHIO",68,60.4,"B",67.8,67.1,66,NA,3,0,2,0,NA,0,2,0,0,0,1,0,1,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0.25,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,4,0,0
"RONALD MOORE JR.","LIBERTY",32,60.4,"B",78.2,85.1,45.8,56.7,1,0,0,0,NA,1,0,2.5,0,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,1,1,0.5,5,0,0,0,0,0,0,0,0.5,0,1,0,2,0,2,0,1
"JAYDEN ROBERTSON","S JOSE ST",69,60.05,"B",70.8,73.4,49.5,NA,2,0,0,1,NA,0,0,0,3,21.2,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0.167,1,0,3,0,2,0,0
"CRAIG ROYAL JR.","TEXAS ST",45,59.85,"C",71.4,72.9,56.9,NA,8,0,2,0,NA,0,8.33,6,1,14.3,2,1,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,2,1,2,2,0.5,24,0,1,0,0,0.031,0,0,0,0.25,0.25,0.167,10,0,9,0,0
"KOBI BLACKWELL","BUFFALO",72,59.57,"C",68.2,60.6,90.2,NA,5,0,3,0,NA,0,2.67,15.5,0,12,1,1,0,0,0,0,0,1,NA,0,1,1,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,1,31,2,0,0,0,0.026,0,1,0,0,0,0,5,0,6,0,0
"DECORIAN THOMPSON","UTEP",23,59.53,"C",68.2,66.1,66.6,NA,2,2,0,0,NA,0,0,0,0,26,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"JEREMIAH HUGHES","HAWAII",61,59.24,"C",64.1,65.5,56.3,NA,6,0,0,1,NA,0,15,0,0,8.7,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.143,0,0,0,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0,7,0,2,0,0
"D'ANGELO MAYES","UTAH ST",67,59.23,"C",68.8,65.5,71.1,70.4,6,1,1,0,NA,0,1,9,1,15.8,0,2,0,1,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,4,0.8,45,1,0,0,0,0.044,0,0.2,0,0,0,0,6,0,3,0,0
"JUSTIN CONTENT","UTEP",37,59.11,"C",67.9,67.4,65.9,58.6,3,0,2,0,NA,0,10,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
"DONTRAE HENDERSON","ARK STATE",52,59.06,"C",68,65,73.9,59.1,2,0,1,0,NA,0,3,1.3,3,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.25,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"TERRENCE JONES","JAMES MAD",25,59.04,"C",69.1,65.3,70,NA,2,2,0,0,NA,0,0,0,1,4,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"BRAXTON MYERS","W KENTUCKY",21,58.92,"C",69.1,66.6,67.5,NA,3,2,0,0,NA,0,9,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"MARION MOORE","N DAK ST",25,58.66,"C",77.3,70.4,70,66.8,1,1,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA
"KADEN COOK","JVILLE ST",37,58.62,"C",72.4,72.4,66.8,57.4,4,1,1,0,NA,0,2,4,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.5,8,1,0,0,0,0,0,0.5,0,0,0,0,4,0,3,0,0
