"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"GAVENCH MARCELIN","FAU",28,31.38,"D"
"MATYUS MCLAIN","WASH STATE",41,31.03,"D"
"ROMAN CAYWOOD","BOISE ST",17,30.99,"D"
"KHAMANI POTTS","COLO STATE",22,30.78,"D"
"IKENNA OZURUMBA","NAVY",22,30.55,"D"
"JOSAIAH KNIGHT","W KENTUCKY",20,30.42,"D"
"LOGAN KNAPP","OREGON ST",24,30.34,"D"
"ANDRE PORTER","UNLV",47,30.33,"D"
"OBINNA OKEKE","NEW MEX ST",22,30.21,"D"
"JAY CRABLE","FAU",26,30.08,"D"
"RAMON PERNAS","SO MISS",32,29.97,"D"
"SULTAN BADMUS","ARK STATE",16,29.92,"D"
"JOSH LEWIS","TULANE",39,28.78,"D"
"JAMEER LEWIS","SO MISS",36,28.68,"D"
"TYLER GILLISON","OHIO",57,28.6,"D"
"NATHAN VANTIMMEREN","C MICHIGAN",20,28.45,"D"
"TA'DERIUS COLLINS","TEXAS ST",19,28.38,"D"
"CARTER EVANS","E MICHIGAN",45,28.14,"D"
"LEDARRION MENTER","DOMINION",39,27.82,"D"
"HUDSON BALL","TULSA",24,27.46,"D"
"CAMERON JONES","TEMPLE",37,27.45,"D"
"VENSON SNEED","W KENTUCKY",26,27.25,"D"
"ADAM TOMCZYK","HAWAII",17,26.95,"D"
"DAVION RHODES","N TEXAS",37,26.83,"D"
"CAIUS COY","SM HOUSTON",29,26.8,"D"
"DYLAN SPENCER","UTSA",29,26.62,"D"
"BLAIR ALEXANDER","W MICHIGAN",15,26.38,"D"
"LANCE WILLIAMS","LA LAFAYET",43,26.34,"D"
"KAMERON CYPRIEN","SO MISS",43,25.93,"D"
"ELIJAH DURHAM-SMITH","BOWL GREEN",25,25.71,"D"
"CALEB PITTS","APP STATE",21,25.4,"D"
"KELAN BUTLER","GA STATE",25,25.05,"D"
"ISIAH CHALA","SACRAMENTO",26,24.91,"D"
"JASIYAH ROBINSON","E CAROLINA",37,24.58,"D"
"ETHAN CRISP","LIBERTY",24,24.15,"D"
"BJ DIAKITE","UTAH ST",26,23.95,"D"
"ELIN JONES","W KENTUCKY",15,23.77,"D"
"QUENTIN LEWIS","BOWL GREEN",15,23.7,"D"
"SEMAJ BRIDGEMAN","KENT STATE",21,23.45,"D"
"POASA UTU","NEVADA",30,23.41,"D"
"JOJO ODOM","LA TECH",39,23.37,"D"
"KAI RUSSELL","KENNESAW",39,23.35,"D"
"ZSACARI MINNIS","W KENTUCKY",33,23.2,"D"
