"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Stop","Assist.Tackles.on.Run.Plays","Pass.Break.Up","Interceptions","Drops...Off.Targets.Receptions.Forced","Yards.per.Reception.Allowed","Run.Tackle.for.Losss.or.No.Gain","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Tackle","Lined.up.in.Press.Coverage","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Run.Plays","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Touchdowns.Allowed","Beaten.Defender","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"JONES THOMAS","WYOMING",64,62.85,"B",91.1,91.8,66.7,60,5,0,0,18.1,0,0,0,2,0,20,0,0.67,16,NA,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0.333,20,1,0,0,0,0.033,0,0.333,0.667,6.7,0,0,0
"MARIO EASTERLY","DOMINION",75,62.33,"B",61.2,56.3,71.8,58.7,7,4,1,62.2,1,3,0,0,4,13.7,0,0.93,8,NA,12.6,1,3,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,4,5,5,3,3,0.429,41,1,0,0,1,0.023,0.143,0.143,0,5.9,0,0,0.5
"JAYLEN LEWIS","W KENTUCKY",51,62.15,"B",60.3,53.8,68.7,NA,11,2,4,39.6,0,2,0,0,1,0,1,0,5.17,NA,14,0,1,0,2,NA,0,0,0,0,0,0,1,0,0,0,0,0.214,4,1,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.25
"TAEDEN ROGERS","LA TECH",56,61.52,"B",57.6,44.2,84.8,NA,10,5,2,95.8,0,4,1,0,2,28,2,2.8,1.33,NA,20,1,4,2,0,NA,1,0,0,0,0,0,0,1,0,0,0,0.286,2,2,1,5,7,7,2,3,0.5,84,3,1,0,1,0.067,0.167,0.5,0,14,0.167,0,0.571
"TRAVIS ANDERSON","BOISE ST",56,61.31,"B",74,74.2,68.9,58.5,6,1,3,79.2,1,1,0,1,0,13,1,0.41,6.67,NA,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.333,2,1,0,1,3,1,2,1,1,13,0,0,0,0,0,0,0,1,13,0,0.4,0.25
"GUMBO GASKINS","MIDDLE TN",25,61.21,"B",66.1,67.5,59.8,60,4,3,1,0,1,2,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0
"DY'LON WOMACK","CHARLOTTE",45,60.6,"B",72.1,68.8,74.9,60,6,3,1,87.5,0,3,0,0,0,5,1,0.18,-3,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,5,0,0,0,1,0,1,0,0,5,0,0,0
"AARON SEARS","GA SOUTHRN",72,60.56,"B",71.6,70.5,71.7,57.2,7,2,1,77.1,1,2,0,0,1,7,0,0.33,8,NA,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.667,14,1,0,0,0,0,0,0.333,0,4.7,0,0,0
"ASHTON WILLIAMS","TULSA",61,60.4,"B",70.5,69.2,69.2,NA,3,2,0,39.6,0,1,1,0,0,0,0,0,5,NA,11,1,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5
"BRANDON ROSE","COAST CAR",45,60.4,"B",74.1,87.8,40.2,NA,1,1,0,39.6,0,1,2,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0.667,0
"JAKYRI JONES","GA SOUTHRN",54,59.56,"C",80.1,77.7,77,60,5,2,1,67.4,0,1,0,1,0,9.7,1,1.07,8.67,NA,-2.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.167,1,1,0,2,1,1,2,3,1,29,2,0,0,0,0.037,0,0.667,0.333,9.7,0,0,0.5
"DEUCE LEE","GA STATE",50,59.52,"C",74.2,72.8,71.3,NA,6,0,1,8.3,0,0,1,1,1,13,0,0.34,8.67,NA,10.3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0.333,13,1,1,0,0,0,0,0.333,0.333,4.3,0.333,0,0
"DALLAS DALEY","AIR FORCE",61,59.28,"C",74.9,53.4,87,64.4,10,2,6,118.8,1,2,0,0,0,14,2,2.47,1.67,NA,5.7,0,0,1,0,6.3,0,0,0,0,1,1,0,0,0,0,0,0,5,2,1,2,5,2,1,3,1,42,3,0,0,0,0.059,0,1,0,14,0,0,0
"SAILASA VADRAWALE III","OREGON ST",74,59.12,"C",68.1,76.1,52.8,NA,4,1,3,39.6,0,1,1,0,0,0,1,0,1.67,NA,10,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0.429,3,1,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.429,0
"JAYDEN LAWTON","TEXAS ST",40,58.98,"C",79.4,80.3,64.2,NA,2,1,0,42.4,0,0,2,0,1,5,0,0.17,3,NA,5.3,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0.333,5,1,2,0,0,0,0,0.333,0,1.7,0.667,0,0
"KALEB PURDY","APP STATE",56,58.82,"C",70.1,67.7,69.9,NA,8,0,3,93.8,1,0,1,0,0,6.5,2,0.43,4.83,NA,3.5,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.111,2,2,0,0,3,2,2,2,1,13,1,1,0,0,0,0,0.5,0,6.5,0.5,0.143,0
"LAQUAN ROBINSON","SO MISS",47,58.56,"C",65.5,54.9,78,63.8,9,2,3,127.1,1,2,0,0,0,5,1,0.19,8.33,NA,2,0,1,0,0,50,0,0,0,1,0,1,0,0,0,0,0,0.1,2,1,1,2,3,2,0,1,1,5,1,0,0,0,0,0,1,0,5,0,0,0.333
"JAYON HARVEY","JAMES MAD",33,58.53,"C",69.2,65,72.3,NA,4,2,2,0,1,2,0,0,0,0,0,0,2,NA,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"SHAMIR STERLIN","FIU",57,58.41,"C",74.8,74.3,69.7,NA,8,1,2,91,1,0,1,0,0,7,0,0.88,5.67,NA,10,1,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,4,5,0.833,35,3,2,0,0,0.025,0,0.5,0,5.8,0.333,0,0
"AG MCGHEE","ARK STATE",50,58.28,"C",71.9,71.2,67.3,NA,4,1,1,42.4,0,0,1,0,1,5,0,0.15,7,NA,18,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0.333,5,0,1,0,0,0,0,0,0,1.7,0.333,0,0
"MARC WOODS","JVILLE ST",64,58.28,"C",70.3,73,61.1,NA,5,1,1,39.6,0,1,0,0,1,0,0,0,9,NA,10.5,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.167,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.25,0
"TERRENTE HINTON","MARSHALL",30,58.14,"C",73.7,72.1,69.8,NA,6,2,0,75.7,0,1,1,0,0,6.5,0,0.62,10.5,NA,4,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,2,2,2,2,2,0.667,13,1,1,0,0,0,0,0.333,0,4.3,0.333,0,0.25
"C.J. COOMBES","N TEXAS",52,58.09,"C",70.7,68.9,70.1,NA,7,1,4,83,2,1,1,0,1,7.2,0,1.24,5,NA,10.6,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.125,2,0,0,1,3,2,2,5,0.714,36,0,1,0,0,0.035,0,0,0,5.1,0.143,0.2,0
"AYDEN JACKSON","USF",53,57.73,"C",63.6,50,72.2,NA,12,5,3,118.8,0,5,0,0,0,37,0,3.08,5.71,NA,35,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.077,3,0,0,5,3,1,0,1,1,37,1,0,0,0,0.083,0,1,0,37,0,0.077,0
"JOSH HUNTER","S DIEGO ST",65,57.67,"C",62.2,68.1,59.2,NA,7,1,2,0,1,0,0,0,0,0,0,0,5.33,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JT HASKINS","OHIO",40,57.64,"C",68,61.3,75.3,60,7,1,2,0,1,1,0,0,0,0,0,0,2.67,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"JA'DEN MCBURROWS","APP STATE",39,57.47,"C",72.8,77.9,48.5,NA,3,0,1,56.3,1,0,1,0,0,-1,0,-0.04,3,NA,6.5,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0.5,-1,0,1,0,0,0,0,0,0,-0.5,0.5,0,0
"LANDYN CLEVELAND","UNLV",38,57.41,"C",72.7,69,74.3,NA,7,2,1,116.7,0,1,1,0,0,16,0,0.84,10.75,NA,20,1,0,1,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0.5,16,1,1,0,0,0.053,0,0.5,0,8,0.5,0,0
"AMARI WALLACE","SACRAMENTO",40,57.2,"C",65.3,65.4,61.9,NA,8,1,2,NA,1,1,0,NA,NA,NA,0,NA,4,NA,NA,0,1,NA,1,NA,0,0,0,NA,0,0,0,0,0,0,0,0.2,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.167
"TREY RIDLEY","WASH STATE",27,57.02,"C",73.4,73.4,67.5,NA,4,1,2,79.2,2,1,0,0,0,2.5,0,0.42,8,NA,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,5,0,0,0,0,0,0,0,0,2.5,0,0,0
"TAYLEN EADY","N DAK ST",42,56.54,"C",61.2,51.3,72.3,NA,6,3,1,NA,0,2,0,NA,NA,NA,0,NA,8,NA,NA,1,1,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0.143,1,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.333
"CAM MILLER","KENNESAW",23,56.26,"C",65.1,75.9,51.5,NA,2,0,0,0,0,0,0,1,1,0,0,0,13,NA,31,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DEMETRIUS HILL","FIU",33,55.89,"C",75.8,82.1,50.4,NA,3,0,3,79.2,3,0,0,0,0,-2,0,-0.09,0,NA,-3,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0.25,0,1,0,0,1,0,3,1,1,-2,0,0,0,0,0,0,0,0,-2,0,1,0
"TAVIN WARD","USF",48,55.63,"C",64.3,63.9,63.7,NA,6,1,2,0,0,1,0,0,0,0,1,0,6.6,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.143,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0
"BRAXTON STARNES","COAST CAR",20,55.43,"C",70.1,62.7,73.2,57,4,2,0,39.6,0,2,0,0,1,0,0,0,2,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COLLIN GILL","CHARLOTTE",48,55.34,"C",63.9,68.7,41.5,74.8,6,0,2,66.7,2,0,0,0,0,11,0,0.42,5,NA,11.5,0,0,0,1,10,0,1,0,0,0,1,0,0,1,0,0,0.143,0,1,2,0,4,1,2,1,0.5,11,1,0,0,1,0,0.5,0.5,0,5.5,0,0.5,0
"TAIRAN DAVIS JR.","AKRON",40,55.13,"C",84.6,87.9,62,NA,1,0,0,39.6,0,0,0,0,1,0,0,0,0,NA,24,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELIJAH BROWN","COLO STATE",57,55.01,"C",63.1,70.5,44.3,74.6,5,0,4,94.4,1,0,0,0,1,18,0,1.2,6.75,NA,5,0,0,1,1,19.2,3,0,1,1,0,0,0,1,1,0,0,0.167,3,0,4,0,4,0,1,1,0.333,18,1,0,0,0,0.067,0,0.333,0,6,0,0.2,0
"JASON CROSS JR.","N TEXAS",42,55,"C",67.2,65.3,67.9,NA,6,1,0,39.6,0,1,0,0,1,0,0,0,2,NA,8,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASON MARSHALL","E MICHIGAN",49,54.56,"C",61.6,60.9,61.8,NA,8,2,1,79.2,1,2,0,0,0,3,0,0.14,16,NA,2,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,2,3,2,1,1,1,3,0,0,0,0,0,0,0,0,3,0,0.143,0.333
"LANDON SYLVIE","SO MISS",63,54.44,"C",59.7,65,46.4,NA,6,3,1,62.5,2,0,0,0,1,9,0,0.24,9,NA,-2.5,2,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,2,3,1,0,1,0.5,9,0,0,0,0,0,0,0,0,4.5,0,0.5,0
"KALEN WOODS","MIDDLE TN",66,54.01,"C",75.6,73.2,75.1,NA,5,1,0,87.5,0,0,0,0,0,5,0,0.16,11.67,NA,4,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,0,0,0,0,0,0,0,0,5,0,0,0
"JAEDEN GOULD","TEMPLE",24,53.88,"C",68.2,65.9,67.3,60,3,2,0,39.6,0,2,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOEY POPE","W MICHIGAN",60,53.86,"C",65.1,61.1,71.6,NA,5,2,1,39.6,1,2,0,0,1,12,0,0.32,0,NA,2.5,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0.25,12,1,0,0,0,0,0,0.25,0,3,0,0,0
"ANDRUW ELLIS","N ILLINOIS",18,53.84,"C",79,81.1,60,NA,NA,0,0,0,NA,NA,0,1,1,0,NA,0,0,NA,17,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,NA,NA
"KAL-EL PASCAL","BOWL GREEN",57,53.42,"C",66.7,64.3,68.4,NA,13,0,3,92.4,2,0,0,0,0,7.4,0,1.37,8.25,NA,1.2,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.133,1,0,0,0,3,2,2,5,0.833,37,2,0,0,0,0,0,0.333,0,6.2,0,0.111,0.167
"DALLAS YOUNG","S ALABAMA",47,53.2,"C",65.4,62.7,68.3,60,6,1,0,45.1,0,0,0,0,2,11,0,0.5,31,NA,9.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.333,11,1,0,0,0,0,0,0.333,0,3.7,0,0,0
"JADEN CARRILLO","FRESNO ST",26,52.87,"C",78.3,82.6,62,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DARRELL BRYANT JR.","C MICHIGAN",53,52.76,"C",69.5,69.4,64.6,NA,4,1,2,51.4,0,0,1,1,1,12,1,0.71,2,NA,11.7,1,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.333,2,1,0,1,3,2,2,2,0.667,24,2,1,0,0,0,0,0.667,0.333,8,0.333,0.333,0.333
