"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Chris Koffi","TOWSON",88,44,2,34.59,"D+"
"Colten Swanson","SO UTAH",28,28,1,34.34,"D+"
"Cedric Henderson","MURRAY ST",65,32.5,2,34.3,"D+"
"Jordan Martin-Durham","W CAROLINA",57,28.5,2,34.27,"D+"
"Matt Eskridge II","E WASHGTON",35,35,1,34.22,"D+"
"Michael Johnson","CHISTA",36,36,1,34.1,"D+"
"Dayyan O'Neal","LEHIGH",30,30,1,33.85,"D+"
"Royce Maloles","MCNEESE",76,38,2,33.75,"D+"
"Abdoul Idriss","WAGNER",45,22.5,2,33.68,"D+"
"Nate Abbott","IDAHO ST",42,21,2,33.66,"D+"
"Ryan Bell","CHATTNOOGA",65,32.5,2,33.6,"D+"
"Mason Burke","LNDNWD",28,28,1,33.43,"D+"
"Daniel Adefolarin","LAFAYETTE",40,40,1,33.4,"D+"
"Ravon Johnson","DUQUESNE",51,25.5,2,33.37,"D+"
"Rushaune Vilane","HOLY CROSS",77,38.5,2,33.32,"D"
"Avery Ducsik","PORTLAND",64,32,2,33.3,"D"
"Martavius Durden Jr.","LIUSHAR",58,29,2,33.24,"D"
"Ameer Johnson","TENN TECH",21,21,1,33.22,"D"
"Bristol Biegenzahn","ELON",32,32,1,33.22,"D"
"Trystan Anderson","W CAROLINA",57,57,1,33.12,"D"
"Amarion Fuller","ALABAMA ST",40,20,2,33.08,"D"
"Jeramy Stith","DAVIDSON",36,36,1,33.04,"D"
"Seth Chestnut","TOWSON",30,30,1,32.8,"D"
"Steve Zayachkowsky","CHARLES SO",51,51,1,32.58,"D"
"Jay Culbreth","W GEORGIA",32,32,1,32.38,"D"
"Mounir Keshen","MONMOUTH",59,29.5,2,32.2,"D"
"Donovan Nevils","N ALABAMA",18,18,1,32.16,"D"
"KJ Gillespie","E TENN ST",57,28.5,2,32.14,"D"
"Josh Bowling","MOREHEAD",51,25.5,2,32.01,"D"
"Matthew Moore","PRVIEW A&M",36,36,1,31.8,"D"
"Jordan Pigram","N ARIZONA",20,20,1,31.68,"D"
"Kennarius Chandler","TENN MARTN",21,21,1,31.61,"D"
"Porter Small","WEBER ST",76,38,2,31.55,"D"
"Jailyn Gibbs","ABILENE CH",47,47,1,31.44,"D"
"Jaxon Lee","ALABAMA ST",41,20.5,2,31.43,"D"
"J.T. Houston","CAL POLY",57,28.5,2,31.35,"D"
"Sam Farmer","S ILLINOIS",20,20,1,31.34,"D"
"Brandon Collins","TENN STATE",18,18,1,31.23,"D"
"Terrell James","FL A&M",66,33,2,30.93,"D"
"Lance Carson","TARLETON",101,50.5,2,30.75,"D"
"Auston Francis","WAGNER",25,25,1,30.68,"D"
"Tyler Aristyl","GRAMBLING",18,18,1,30.66,"D"
"Jordan Franklin","SCAR STATE",33,33,1,30.63,"D"
"Patrick Carter","MERCYHURST",54,27,2,30.46,"D"
"Alex Sumler","LAMAR",22,22,1,30.42,"D"
"Terrelle Elmore","SE MO ST",26,26,1,30.2,"D"
"Adrian Rufo","MERRIMACK",41,20.5,2,30.16,"D"
"Aidan Foster","HOWARD",41,41,1,30.11,"D"
"Caleb Turner-Allen","W CAROLINA",88,44,2,29.89,"D"
"Jaylen Pettus","N IOWA",76,38,2,29.63,"D"
"Blake Palladino","N COLORADO",56,28,2,29.25,"D"
"Matthew Goldman","TXAMEA",44,22,2,29.21,"D"
"Isaiah Johnson","TARLETON",44,22,2,29.11,"D"
"James Harris","SE LA",23,23,1,29.04,"D"
"Javen Augustus","IDAHO",49,24.5,2,28.81,"D"
"Jackson Biser","MURRAY ST",31,31,1,28.8,"D"
"Kade Millard","CAL POLY",39,39,1,25.87,"D-"
"Kion Wright","ALBANY",18,18,1,25.85,"D-"
"Crew Heier","S DAKOTA",56,28,2,25.82,"D-"
"Nhycer Kelly","ELON",69,34.5,2,25.73,"D-"
"Fred Vili","N ALABAMA",38,38,1,25.69,"D-"
"Julius Laine","ABILENE CH",43,21.5,2,25.64,"D-"
"Nasir Spruill","E KENTUCKY",71,35.5,2,25.64,"D-"
"Malachi Calhoun","HAMPTON",76,38,2,25.48,"D-"
"Tanner Schuck","FURMAN",19,19,1,25.29,"D-"
"Oliver Macy","PORTLAND",48,24,2,25.23,"D-"
"Christian Kiptoo","CHISTA",15,15,1,25.14,"D-"
"Ben Bienvenu","NWSTATE",23,23,1,24.97,"D-"
"Franz Reisz","N IOWA",35,35,1,24.95,"D-"
"Mikel Hines","NWSTATE",20,20,1,24.83,"D-"
"Joshua Saddler","CITADEL",16,16,1,24.81,"D-"
"Salehe Koonooka-Williams","TXAMEA",41,20.5,2,24.75,"D-"
"JR Lyons","MOREHEAD",46,23,2,24.54,"D-"
"Dantu Gardner Jr.","BUTLER",37,37,1,24.53,"D-"
"Cayden Gibson","SAN DIEGO",59,29.5,2,24.51,"D-"
"Jeremiah Faustin","DELWARE ST",34,34,1,24.46,"D-"
"Tyler Davis","FORDHAM",67,33.5,2,24.41,"D-"
"Rodney Mills","LIUSHAR",47,47,1,24.36,"D-"
"Jayden Norris","BUTLER",22,22,1,24.33,"D-"
"Jaylin Johnson","SACR HEART",56,56,1,24.33,"D-"
"Jakel Houston-Irving","ALCORN ST",20,20,1,24.31,"D-"
"Javontay Martin","NORFOLK",50,25,2,24.22,"D-"
"Ryan Hussey","GEORGETOWN",54,54,1,24.12,"D-"
"Lucien Griffin","MERCYHURST",30,30,1,24.05,"D-"
"Iyioluwa Adekoya","MCNEESE",64,32,2,23.94,"D-"
"Michael McGill","CAMPBELL",30,30,1,23.89,"D-"
"Terence Carpenter II","TENN STATE",23,23,1,23.82,"D-"
"Adrian Ramirez","DUQUESNE",63,31.5,2,23.73,"D-"
"Hope Tita","HOUCHR",34,34,1,23.73,"D-"
"Kekama Cosma","PORTLAND",76,38,2,23.56,"D-"
"Scott Walker","BRYANT",52,26,2,23.43,"D-"
"Henry Eber","GEORGETOWN",25,25,1,23.34,"D-"
"Charles Atkins","CHARLES SO",19,19,1,23.31,"D-"
"Ke'Andre McClendon","LNDNWD",20,20,1,23.31,"D-"
"Josiha Mason","E TENN ST",20,20,1,23.13,"D-"
"Ethan Clabo","NC A&T",18,18,1,23.05,"D-"
"TJ Shittu","CENT CT ST",32,32,1,22.94,"D-"
"Chauncey Warren","MS VLY ST",25,25,1,22.83,"D-"
"Payton Foley","BUTLER",22,22,1,22.81,"D-"
"Keisean Johnson-Wilson","MONMOUTH",15,15,1,22.75,"D-"
"Axel Ramazani","N IOWA",15,15,1,22.51,"D-"
"Langston Cook","PRESBYTERN",44,44,1,22.36,"D-"
"Kingsley Acho","LEHIGH",21,21,1,22.21,"D-"
"Chance Pickard","NC A&T",20,20,1,22.12,"D-"
"LaFenis Mays Jr.","N ALABAMA",19,19,1,21.83,"D-"
"Kavion Benton","N ALABAMA",52,26,2,21.74,"D-"
"Will Plemons","CAL POLY",15,15,1,21.74,"D-"
"Javen Dixon","NC A&T",17,17,1,21.58,"D-"
"Deondri Clark","MS VLY ST",15,15,1,21.56,"D-"
"Carson Moore","E WASHGTON",19,19,1,21.5,"D-"
"Bryce Stringer","PRESBYTERN",34,34,1,21.4,"D-"
"Kingston Watson","CHISTA",23,23,1,21.39,"D-"
"Raleigh Collins III","YNGTOWN ST",35,35,1,21.29,"D-"
"Eddie Conover","NC A&T",42,42,1,21.26,"D-"
"Caleb Reid","W GEORGIA",56,28,2,21.25,"D-"
"Donovan Dyson","MONMOUTH",44,22,2,21.25,"D-"
"Malaki Pegues","TENN TECH",21,21,1,21.06,"D-"
"Lovell Vereen II","INDIANA ST",27,27,1,21.05,"D-"
"Charlie Leota","INDIANA ST",15,15,1,20.9,"D-"
"Devin Murphy","N ARIZONA",33,33,1,20.67,"D-"
"Brennen Acosta","N COLORADO",21,21,1,20.64,"D-"
"Jaheim Lowe","TXAMEA",16,16,1,20.56,"D-"
"Cornell Williams III","SOUTHERN U",18,18,1,20.43,"D-"
"CJ Wade","N IOWA",48,48,1,20.41,"D-"
"Damiano Mastroianni","MOREHEAD",39,19.5,2,20.31,"D-"
"Tylan Cole","ARKAPB",48,48,1,20.31,"D-"
"Caden Holt","TARLETON",22,22,1,19.91,"F"
"Jaylon Price","TENN STATE",15,15,1,19.74,"F"
"JJ Jean-Louis","PRVIEW A&M",28,28,1,19.72,"F"
"Cody Moss","W ILLINOIS",17,17,1,19.69,"F"
"Tristan Ginn","LNDNWD",15,15,1,19.35,"F"
"Jackson Bandy","LAMAR",16,16,1,19.33,"F"
"Jayden Scott","GRAMBLING",22,22,1,19.28,"F"
"Shawn Phillips","MORGAN ST",18,18,1,19.08,"F"
"Breon Askins","CENT CT ST",27,27,1,19.07,"F"
"Jaqui Vaughan","HAMPTON",55,27.5,2,18.93,"F"
"Ruben Tshilombo","GARD-WEBB",53,26.5,2,18.88,"F"
"Dillon White","MAINE",55,27.5,2,18.36,"F"
"Noah Gartner","GARD-WEBB",32,32,1,18.25,"F"
"Ashden Oberg","WEBER ST",46,23,2,17.95,"F"
"Mason Love","HOWARD",36,36,1,17.88,"F"
"Deshawn Carter","TENN STATE",25,25,1,17.87,"F"
"Antoine Okelo-Johnson","NICHOLLS",16,16,1,17.81,"F"
"Ja Vere Cannonier","CENT CT ST",33,33,1,17.36,"F"
"Jestin Gilmore","CHATTNOOGA",55,27.5,2,17.23,"F"
"Chevy Robinson","WEBER ST",95,47.5,2,17.01,"F"
"Isaiah Morrison","FL A&M",47,23.5,2,17,"F"
