"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Stop","Assist.Tackles.on.Run.Plays","Pass.Break.Up","Interceptions","Drops...Off.Targets.Receptions.Forced","Yards.per.Reception.Allowed","Run.Tackle.for.Losss.or.No.Gain","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Tackle","Lined.up.in.Press.Coverage","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Run.Plays","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Touchdowns.Allowed","Beaten.Defender","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"BRIAN DUKES JR.","S JOSE ST",62,44.6,"C",61.5,64.3,51.7,NA,3,1,0,39.6,0,0,0,0,1,0,0,0,0,NA,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"ELIJAH BROWN","COLO STATE",23,44.59,"C",57.3,64.3,50.3,NA,2,0,0,0,0,0,0,0,0,0,0,0,6,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0
"RODRICK HUNTER","AKRON",53,44.54,"C",64.5,61.7,68.7,NA,5,0,3,118.8,2,0,0,0,0,15,0,0.88,8.5,NA,13,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.167,1,0,0,0,2,2,1,2,1,30,1,0,0,1,0.029,0.5,0.5,0,15,0,0,0.25
"KALEB PURDY","APP STATE",32,44.24,"C",61.1,58.3,65.9,NA,3,1,1,65.4,0,0,0,0,2,5.3,0,0.89,4,NA,3.2,1,2,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0.4,1,0,0,1,3,3,2,3,0.6,16,1,0,0,4,0,0.8,0.2,0,3.2,0,0,0.5
"CHASE GREEN","TULANE",17,44.15,"C",59.2,53.1,66.6,NA,2,2,0,56.3,0,2,0,0,1,6,0,1.2,0,NA,1.5,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,2,1,1,0,1,0.5,6,0,0,0,1,0,0.5,0,0,3,0,0,1
"JOE REDDISH","APP STATE",17,43.91,"C",63.3,58.1,68.4,NA,2,0,2,56.3,1,0,0,0,1,3,0,0.3,2,NA,11.5,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0.5,3,0,0,0,2,0,1,0,0,1.5,0,0,0
"JA'DEN MCBURROWS","APP STATE",15,43.25,"C",64.8,63.9,62.1,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"DEMONTE GASTON","GA STATE",16,43.23,"C",59.6,58.9,61,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DONOVAN TURNER","SACRAMENTO",18,43.21,"C",58.5,62.8,54.5,59.2,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,1,NA,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"CAMEREN JENKINS","N TEXAS",16,42.86,"C",59.7,61.5,57.1,NA,1,0,0,0,0,0,0,0,0,0,0,0,7,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
