"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Pass.Break.Up","Lined.up.in.Press.Coverage","Interception","Average.Depth.of.Tackle","Receiving.Yards.per.Coverage.Target","Drops...Off.Targets.Receptions.Forced","Average.Depth.of.Target.per.Coverage","Pass.Stop","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Pass.Plays","Assist.on.Pass.Plays","Missed.Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Dropped.Int","Touchdowns.Allowed","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Run.Tackle.for.Losss.or.No.Gain","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Beaten.Defender","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interceptions"
"JAVON GILLESPIE","NEW MEX ST",24,83.75,"A",78.6,80,61.1,NA,2,0,1,1,NA,0,2,0,3,23.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,2,0,1,0,0
"JARVARIUS SIMS","W MICHIGAN",49,82.84,"A",76.3,74.4,73.8,NA,3,0,1,1,NA,0,7.33,0,2,23.8,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,3,0,1,0,0
"DEANDRE BOYKINS","FIU",55,82.25,"A",73,73.3,68.6,56.6,7,1,4,0,NA,0,1.33,4.3,1,4.3,2,0,0,1,1,0,0,0,NA,0,0,2,0,0,0,0,0,0,0.125,2,2,0,1,1,0,1,2,0.667,13,0,0,0,2,0,0.667,0,0,0,0.25,0,8,0,6,0,0
"ZION FRINK","DOMINION",35,79.64,"B",79.9,70.5,90.1,NA,4,1,2,0,NA,0,12.33,0,1,32,0,0,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
"JAYDEN ROBERTSON","S JOSE ST",52,76.79,"B",73.7,73.5,62,NA,1,0,1,2,NA,0,0,1.8,1,11,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,3,5,2,0.333,11,0,2,0,1,0,0.167,0,0,0.333,0,0.5,2,0,1,0,0
"MATTHEW MCKENZIE","C MICHIGAN",41,76.15,"B",70.9,78.3,63.5,68.6,NA,0,0,1,NA,0,0,0,1,2.5,NA,0,NA,NA,NA,NA,0,0,NA,1,NA,NA,0,0,0,0,0,0,NA,NA,0,1,NA,2,1,2,0,0,0,0,2,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0
"AARON WARREN","N ILLINOIS",27,75.78,"B",70,68.2,68,NA,2,1,0,2,NA,0,11,9.5,0,4.5,0,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0.5,38,2,2,0,0,0.067,0,0.5,0,0.5,0,0,2,0,1,0,0
"ISRAEL PETITE","TOLEDO",59,75.12,"B",72.1,72.2,70.6,54.6,7,1,3,0,NA,0,10.5,4,1,5,2,0,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,4,0.8,20,0,0,0,3,0,0.6,0,0,0,0,0,7,0,5,0,0
"YASSINE FALKE","N ILLINOIS",38,74.89,"B",71.3,69.5,72,58.3,3,1,2,0,NA,1,-1,2.3,2,15.3,1,0,0,0,0,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,2,1,1,0.25,9,0,0,0,0,0,0,0,0.25,0,0,0,3,0,3,0,1
"JA'MARION WAYNE","COAST CAR",57,74.65,"B",64.4,78.2,48.4,NA,5,0,2,1,NA,0,33,3.5,1,13,1,0,1,0,2,0,1,0,NA,0,0,0,0,0,0,0,0,0,0.375,1,0,0,0,4,1,3,2,0.5,14,0,1,0,2,0,0.5,0,0,0.25,0.4,0.333,8,0,5,0,0
"RYAN GADSON","FIU",35,73.21,"B",74.9,73.9,67.8,NA,1,0,0,1,NA,0,7,0,1,27,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0
"KEN WILLIS","JAMES MAD",64,73.17,"B",60.4,64.5,52.5,47.1,7,1,4,1,NA,0,-3,8,1,14.5,3,1,3,0,1,1,0,0,NA,1,0,1,0,0,0,0,0,0,0.364,1,1,1,1,7,4,2,1,0.5,16,1,1,0,1,0.033,0.5,0.5,0,0.5,0.333,0.375,11,0,7,0,0
"TREZ MOORE","TEXAS ST",46,72.73,"B",74.8,74.3,69.1,NA,5,0,0,1,NA,0,7,0,0,-3,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0.25,6,0,4,0,0
"TYSON WILLIAMS","TULSA",74,72.44,"B",68.1,65.2,79.3,55.2,4,0,1,1,NA,1,6,1.9,1,12.1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,2,0.286,13,1,1,0,2,0,0.286,0.143,0.143,0.143,0,0,4,0,3,0,1
"JAMIR BENJAMIN","RICE",35,71.69,"B",82.4,83.3,62.4,NA,2,0,2,0,NA,0,0,1,0,7.5,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.5,4,0,2,0,2,0,0.5,0,0,0.5,0,0,2,0,2,0,0
"ANTHONY ROGERS","TULANE",59,71.54,"B",63,68,53.2,NA,3,1,2,1,NA,0,4,0,1,6.5,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0.25,2,0,0,1,3,1,1,0,0,0,0,1,0,1,0,0.5,0,0,0.5,0.25,0,4,0,2,0,0
"JAI-AYVIAUYNN CELESTINE","FIU",38,71.53,"B",72.3,68.2,74.5,NA,3,1,1,1,NA,0,1,5,0,15.3,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0.667,15,1,1,0,0,0,0,0.333,0,0.333,0,0,3,0,4,0,0
"JERICO WASHINGTON JR.","BOISE ST",50,71.45,"B",66.6,66.2,63.5,NA,5,0,2,1,NA,1,0,6,0,8.9,2,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,5,0.714,42,1,1,0,3,0.032,0.429,0.143,0.143,0.143,0,0,5,0,5,0,1
"TRE'QUON FEGANS","JVILLE ST",50,71.38,"B",67.2,64.8,70.7,60,2,1,1,1,NA,0,0,0,0,12,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"MIKE LINDSAY","S DIEGO ST",46,71.23,"B",70.2,69.6,65.5,NA,2,0,0,1,NA,1,4,4,4,17.2,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0.167,24,1,1,0,1,0.03,0.167,0.167,0.167,0.167,0,0,2,0,2,0,1
"DENVER HARRIS","UNLV",73,71.2,"B",81.1,81.5,63.6,NA,4,0,2,0,NA,0,0,5,0,4,2,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,5,0,0,0,1,0,1,0,0,0,0,0,4,0,2,0,0
"TOBY BOLTON","GA STATE",25,70.22,"B",81.4,79.6,65.2,NA,2,0,2,0,NA,0,0,1,2,18.3,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.333,3,0,0,0,1,0,0.333,0,0,0,0,0,2,0,2,0,0
"DEVIN ROBINSON","TULSA",55,69.82,"B",76.5,67.5,86.7,70.9,6,3,2,0,NA,0,0.5,8,0,-0.5,1,0,1,1,0,2,0,0,NA,0,0,1,0,1,0,0,0,1,0.143,1,1,0,3,1,1,1,2,1,16,1,0,0,2,0,1,0.5,0,0,0,0.333,7,0,4,0,0
"JUAN BERCHAL","APP STATE",35,69.82,"B",75,74.1,67.2,NA,3,0,0,1,NA,0,9.5,0,0,11,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.333,0,4,0,0,0,0
"JAKEVIAN RODGERS","UTSA",23,69.66,"B",66.9,74.8,30.3,76.1,3,1,2,1,NA,0,0,2.5,0,2,2,0,0,0,2,1,0,0,NA,0,0,0,0,0,1,1,0,0,0.4,0,0,1,1,2,0,2,1,0.5,5,0,1,0,1,0,0.5,0,0,0.5,0.667,0,4,0,2,0,0
"JYAIRE BROWN","SO MISS",34,67.06,"B",72.8,75.1,56.9,NA,3,0,3,0,NA,0,4,2,0,1,2,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,1,4,0,0,0,1,0,0.5,0,0,0,0,0,3,0,3,0,0
"DAMYRION DARBY","S ALABAMA",17,66.98,"B",89.1,89.4,61.1,60,NA,0,0,0,NA,1,0,4.5,0,14,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,1,0.5,9,0,0,0,1,0,0.5,0,0.5,0,NA,NA,NA,0,1,0,1
"AMARI BUTLER","LA TECH",26,66.88,"B",73.4,73.9,63.1,NA,NA,0,0,1,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0
"ZACH MORRIS","UTSA",35,66.81,"B",72.5,73.3,60.5,56.7,NA,0,0,1,NA,0,0,0,0,11,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0
"FRANKIE EDWARDS III","NEW MEXICO",32,65.77,"B",71.7,66.6,78,NA,3,1,2,0,NA,0,2,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
"CALEB WOMACK","S JOSE ST",63,65.21,"B",72.6,70.8,75.8,57.2,6,2,3,0,NA,0,0,4,0,4.2,3,0,0,0,0,2,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,5,0.833,24,1,0,0,3,0,0.5,0.167,0,0,0,0,6,0,2,0,0
"TRAVIS ROMAN","COAST CAR",39,65.08,"B",70.9,66,74.4,NA,4,2,1,0,NA,0,3.5,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0
"RAYQUAN ADKINS","E MICHIGAN",63,64.4,"B",74.4,72.8,71.5,NA,5,0,3,0,NA,0,10,11,0,9.2,3,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,5,0.833,66,1,0,0,4,0.027,0.667,0.167,0,0,0,0,5,0,5,0,0
"CALDRA WILLIFORD","TULSA",41,64.18,"B",70.3,68.5,69.8,NA,5,0,2,0,NA,0,13.5,2.8,2,10.8,2,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,0.6,14,1,0,0,3,0,0.6,0.2,0,0,0,0,5,0,3,0,0
"JUSTIN BROWN","W KENTUCKY",31,64.07,"B",68.7,64.7,70.6,NA,6,1,1,0,NA,1,11.33,5,1,9,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0.5,10,1,0,0,1,0,0.5,0.5,0.5,0,0,0,6,0,3,0,1
"JEREMIAH HUGHES","HAWAII",58,63.33,"B",69.4,68.5,67.9,NA,6,1,2,0,NA,0,7.75,8,0,6,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0
"AMARION FORTENBERRY","USF",51,61.87,"B",65.1,64.1,70.1,56,2,1,1,0,NA,0,-2,0.8,3,9.8,0,0,1,1,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0.333,1,1,1,1,2,1,1,1,0.2,4,0,1,0,3,0,0.6,0,0,0.2,0,0.5,3,0,4,0,0
"DONMIEL ROGERS","E MICHIGAN",46,61.79,"B",66.1,62.1,76,NA,6,2,3,0,NA,0,0,7.7,2,4.5,2,1,1,0,0,2,0,0,NA,0,0,1,0,0,0,0,0,0,0.25,1,1,0,2,2,2,1,4,0.667,46,1,0,0,4,0.033,0.667,0.167,0,0,0,0.25,8,0,3,0,0
"SHERROD SMITH","BOISE ST",44,61.39,"B",68.8,72.2,45.1,NA,3,0,1,1,NA,0,0,2.7,2,13.9,1,0,0,0,1,0,0,0,NA,0,1,0,0,0,0,0,0,0,0.25,0,1,0,0,2,1,2,4,0.571,19,0,1,0,6,0,0.857,0,0,0.143,1,0,4,0,3,0,0
"CALEB DOBBS","E MICHIGAN",71,60.34,"B",71.6,69.7,73.7,60,1,0,0,1,NA,1,12,6.3,3,10.9,0,1,1,0,0,0,1,2,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,3,5,3,0.429,44,2,1,0,2,0.026,0.286,0.286,0.143,0.143,0,1,2,0,2,0,1
"IRABONOISE ONIHA","NAVY",39,60.32,"B",67.5,68.5,65.1,71.9,5,2,1,0,NA,0,3,12,0,10,0,0,0,2,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,1,1,1,1,12,1,0,0,1,0,1,1,0,0,0,0,5,0,2,0,0
"TRAVIS JACKSON","FAU",34,60.25,"B",69.7,68.6,66.1,NA,3,0,1,0,NA,0,4,0,1,23,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"AVERY DEMERY","LA LAFAYET",46,60.22,"B",68.8,65.9,63.4,72.8,4,0,2,0,NA,0,0,7.5,0,6.5,2,1,0,0,0,0,0,0,NA,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,2,1,15,0,0,0,1,0.039,0.5,0,0,0,0,0,4,0,4,0,0
"DREY BRAXTON","BOWL GREEN",59,59.71,"C",51.8,43.5,76.9,60,6,5,0,2,NA,0,0,8.7,0,14.2,0,2,1,0,0,5,0,1,NA,0,0,0,0,0,0,0,0,0,0.143,0,0,0,5,5,5,1,4,0.667,52,3,2,0,2,0.071,0.333,0.5,0,0.333,0,0.5,7,0,2,0,0
"BRENT GORDON JR.","LA LAFAYET",52,59.47,"C",59.1,59.5,60.9,54.1,5,1,1,1,NA,1,1,4.8,2,12,0,0,1,1,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0.286,1,1,0,1,8,6,2,5,0.5,48,2,1,0,4,0,0.4,0.2,0.1,0.1,0.333,0.25,7,0,4,0,1
"LIAM LINDO","N ILLINOIS",45,59.4,"C",68.8,72.3,49.5,NA,3,0,0,0,NA,0,11,0,0,35,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0
"JAYLEN MOSON","S ALABAMA",38,58.92,"C",80,80,65.3,NA,2,0,0,0,NA,1,20,2.8,2,3.6,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,1,1,1,2,0.4,14,1,0,0,2,0,0.4,0.2,0.2,0,0,0.5,3,0,2,0,1
"JUSTIN COTTRELL","SM HOUSTON",20,58.75,"C",67.8,67.4,62.1,NA,3,0,0,1,NA,0,0,5.5,0,18,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,11,1,1,0,1,0,0.5,0.5,0,0.5,0,0,3,0,1,0,0
"JD DREW","TULSA",64,58.72,"C",66.7,60.6,70.3,86.6,3,0,2,0,NA,0,5,7.3,1,10.7,2,1,0,0,0,0,0,1,NA,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,2,2,0.667,22,1,0,0,2,0.026,0.667,0.333,0,0,0,0,3,0,6,0,0
"JOEL BOAMAH","MO STATE",60,58.67,"C",70.2,72.8,41.4,60,5,0,2,0,NA,0,0,7.2,5,14.4,2,2,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,5,4,4,0.444,65,2,0,0,3,0.065,0.333,0.222,0,0,0,0,5,0,5,1,0
"NOAH MANGHAM","GA SOUTHRN",28,58.41,"C",66.5,62.9,70.3,NA,1,0,1,1,NA,0,2,14,0,15,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0.5,28,1,1,0,0,0.077,0,0.5,0,0.5,0,0,1,0,1,0,0
"ASHTON MCSHANE","LIBERTY",21,58.37,"C",62.2,65.7,52.4,NA,3,0,3,0,NA,0,0,3,0,8,2,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,2,2,0.667,9,0,0,0,1,0,0.333,0,0,0,0,0,3,0,3,0,0
"JADEN MICKEY","BOISE ST",34,58.36,"C",68.1,65.2,71.4,NA,5,0,2,0,NA,0,2,16.3,0,10.7,1,1,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,1,1,3,1,49,1,0,0,1,0.05,0.333,0.333,0,0,0,0,5,0,4,0,0
"KEONTEZ BRADLEY","BUFFALO",70,58.27,"C",60.8,59.1,66.2,NA,7,0,4,0,NA,0,4.25,9.3,2,18.8,2,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,1,4,0.667,56,2,0,0,1,0.045,0.167,0.333,0,0,0,0,7,0,5,0,0
"KESHAWN DAVILA","N TEXAS",23,58.22,"C",66.8,71.6,53.9,NA,3,2,0,0,NA,0,0,0,1,38,0,0,0,0,1,2,0,0,NA,0,0,0,0,0,0,0,0,0,0.25,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,4,0,3,0,0
"AIDEN WALKER","NEVADA",62,58.13,"C",65.4,61.7,71.6,64.9,4,1,1,0,NA,0,10.5,5.5,1,7,0,0,0,1,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,3,0.75,22,0,0,0,2,0,0.5,0,0,0,0,0,4,0,4,0,0
"JOSHUA FRANKLIN","W MICHIGAN",45,57.93,"C",78.6,75.4,77.3,NA,6,0,2,0,NA,0,2.33,15,0,5.5,0,1,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0.143,2,0,0,0,2,2,1,2,1,30,1,0,0,2,0.039,1,0.5,0,0,0,0.25,7,0,3,0,0
"TYLER HALLUM","KENNESAW",31,57.9,"C",70,70.9,60.8,NA,2,0,2,0,NA,0,0,1.5,1,5.5,1,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0.333,1,1,0,0,1,0,1,1,0.5,3,0,0,0,0,0,0,0,0,0,0.5,0,3,0,2,0,0
"TYSON SHAMSID-DEEN","WYOMING",24,57.35,"C",67.9,67.3,60.9,NA,3,0,1,0,NA,0,0,0,1,4,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0.25,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
"CATRELL WHITE","AKRON",38,57.32,"C",71.1,70.6,66.1,NA,2,0,0,0,NA,0,8,0,1,26,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"ZACH HOBSON","AKRON",35,57.09,"C",65.1,63,69.5,59.3,3,1,0,0,NA,0,6.5,1,2,17,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.333,3,0,0,0,1,0,0.333,0,0,0,0,0,3,0,2,0,0
"ERIC MCCLAIN","NEW MEXICO",18,57.04,"C",71,63.8,73.8,NA,2,0,1,0,NA,0,4,0,0,21,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"JAMARION KOLAGBODI","DELAWARE",39,56.82,"C",65.5,61,76.9,58.9,1,0,1,0,NA,0,2,0,1,8,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"CHAMP LEWIS","SO MISS",42,56.52,"C",65.4,64,66,NA,4,0,1,1,NA,0,9,13.6,0,17.4,1,2,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,2,4,0.8,68,3,1,0,2,0.087,0.4,0.6,0,0.2,0,0,4,0,3,0,0
"CHRIS TOOLEY III","FAU",22,55.79,"C",59.2,61.5,55.1,58.7,4,2,2,0,NA,0,4,6.7,0,-1.7,1,0,0,1,0,1,0,1,NA,0,1,0,1,0,0,0,0,0,0,1,1,1,2,2,1,1,3,1,20,1,0,0,3,0,1,0.333,0,0,0,0,4,0,1,0,0
"CJ BLOCKER","COLO STATE",51,55.48,"C",67.2,67.2,63.2,NA,4,1,0,0,NA,1,11,7,1,16.3,0,1,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1,2,1,1,1,0.333,21,0,0,0,0,0.042,0,0,0.333,0,0.333,0,5,0,3,0,1
