"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Run.Tackle.for.Losss.or.No.Gain","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Pass.Plays","Average.Depth.of.Tackle","Missed.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Pass.Rush.Productivity","Unblocked.Pass.Rush","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Yards.per.Reception.Allowed","Sacks","Pursuit.Pressure","Pass.Break.Up","Hits","Drops...Off.Targets.Receptions.Forced","Beaten.Defender","Plays.of.15..Yards.Allowed","Forced.Fumble","Lined.up.in.Press.Coverage","Pass.Tackle.for.Loss.or.No.Gain","Fumble.Recovery","Interceptions","Dropped.Int","Touchdowns.Allowed","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"STEVIE BRACEY","BUFFALO",47,78.45,"B",69.4,62.2,74.6,65.3,7,1,5,1,1,0,2.33,0,39.6,0,NA,0,19,0,0,1,2,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,2,3,2,2,3,1,3,1,2,0,0,0,0,0,0.5,1,0,1,0,0,0,0,0,0,7,0,7
"JACKSON FORREST","DOMINION",26,78.15,"B",94.3,76.2,94.6,62.7,3,0,3,0,0,0,0,0,0,0,NA,1,0,0,0,3,1,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,3,0,1,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1
"WALKER O'STEEN","JVILLE ST",36,76.98,"B",65.1,73.8,54.2,53.5,8,2,6,3,2,0,1.6,0,85.4,1,NA,1,-2,0,4.5,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,5,1,3,0,1,2,4,1,1,2,1,9,1,0,0,1,0,0.5,0.5,0,4.5,0,0,0,8,0,3
"TJ THOMPSON","TROY",43,76.71,"B",77.9,68.6,69.6,74,5,2,2,1,2,0,-1,1,0,0,NA,1,4.3,0,0,0,0,0,0,2,0,0,0,NA,0,0,1,0,0,0,0.167,2,0,1,3,3,2,1,0,2,0,0,0,0,0,0,1,0,0.333,0,0.333,0,0,0.2,0,6,0,3
"ISAAC ZAY","TOLEDO",65,75.67,"B",67,71.4,73.5,58.5,11,1,8,2,0,0,1.4,0,95.5,1.84,NA,1,7.1,1,11.4,1,0,2,0,0,0,1,0,NA,0,0,0,0,0,0,0,5,3,2,1,2,1,6,4,2,5,0.714,57,3,2,0,5,0.032,0.714,0.429,0,8.1,0.286,0,0,11,0,9
"ZACH MOWCHAN","E MICHIGAN",74,75.4,"B",71.8,81.8,60,61.1,10,4,5,0,4,0,5,1,47.9,0.33,NA,0,7,0,13,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0.091,5,0,0,0,0,4,3,2,1,1,0.333,13,1,1,0,2,0,0.667,0.333,0,4.3,0.333,0.091,0,11,0,5
"JASHAWN NELSON","N ILLINOIS",64,75.17,"B",75,76,70.7,65.1,9,1,5,3,1,0,1.33,0,81.9,1.3,NA,0,2.8,0,8.8,0,0,1,0,1,3,1,0,NA,0,0,0,0,0,0,0,5,0,3,0,0,1,3,2,3,4,0.667,35,2,1,0,0,0.037,0,0.333,0,5.8,0.167,0,0,9,0,8
"KOA NAOTALA","DOMINION",34,74.23,"B",72.6,81.5,61.9,54.6,9,3,4,1,3,1,0.33,0,112.5,1.38,NA,1,7,0,11,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.1,3,1,1,1,2,3,3,1,1,1,1,11,0,0,0,1,0,1,0,0,11,0,0,0.25,10,0,7
"ALEX MITCHELL","APP STATE",35,74.09,"B",74.4,76.5,59.2,65.5,6,2,4,2,2,0,1,1,39.6,0,NA,0,16,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.143,4,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,7,0,3
"RASHON MYLES JR.","GA SOUTHRN",26,73.22,"B",80.1,82.2,69.7,62.2,5,1,3,1,1,0,3,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,4
"HAYDEN DAWAHARE","KENT STATE",43,71.53,"B",74,69.2,61.2,72,6,1,3,2,1,0,1.33,1,0,0,NA,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.143,2,1,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,0,5
"DEREK HOUSTON","SACRAMENTO",23,71.23,"B",85.9,82.4,57.1,76.4,5,2,2,1,2,0,NA,0,NA,NA,NA,0,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,1,1,1,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0,3
"BLAKE MATTHEWS","DELAWARE",40,71.19,"B",81.5,88.3,72.7,65.3,6,2,3,0,2,1,1,0,93.8,1.08,NA,1,1,0,6.5,2,0,0,1,0,0,0,0,NA,0,1,0,0,0,0,0.143,1,2,0,1,4,2,1,1,2,2,1,13,0,0,0,2,0,1,0,0,6.5,0,0,0.25,7,0,4
"AIDEN SULLIVAN","OREGON ST",50,71.17,"B",72.8,91.1,56.9,44.9,11,3,6,1,3,2,3.38,0,77.1,0.74,NA,0,1.7,0,7,0,1,0,1,1,0,0,0,NA,0,0,0,0,0,0,0.154,6,0,1,0,1,3,3,3,0,2,0.667,14,0,0,0,3,0,1,0,0,4.7,0,0,1,13,0,7
"JERRY WALL III","CHARLOTTE",49,70.58,"B",72.7,75.4,71.3,58.4,9,2,5,1,2,0,3,1,56.3,0.46,NA,0,11.5,0,6,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.1,3,2,1,0,1,2,2,1,0,1,0.5,6,0,0,0,2,0,1,0,0,3,0,0.143,0,10,0,7
"MARCANTHONY PARKER","NAVY",39,70.08,"B",82.2,87.5,56.4,70.3,8,1,5,1,0,0,4.14,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5
"CREWS LAW","E CAROLINA",51,69.43,"B",62.5,53.4,68.1,66,6,2,2,1,2,0,2.33,0,0,0,NA,2,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,1,3,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
"MIKEY ROSA","JVILLE ST",22,68.58,"B",77.4,77.9,62.9,NA,4,2,1,1,2,0,1,0,NA,NA,NA,1,NA,0,NA,0,0,0,1,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,1,0,1,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,2
"TYLER LASSITER","SO MISS",15,67.82,"B",90.1,78.7,57.5,81.5,5,2,3,1,0,0,2,0,0,0,NA,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
"JAMIH OTIS","HAWAII",60,67.71,"B",74.4,75.4,59.4,65.8,12,2,5,1,2,1,4.33,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.143,5,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.5,14,0,9
"IKE ESONWUNE","UAB",44,67.64,"B",78.8,72.2,73.3,72.2,6,2,2,0,2,0,3.5,0,83.3,0.21,NA,1,4,0,4,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,1,2,2,1,0,2,1,1,4,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3
"BOEN PHELPS","BOISE ST",64,67.33,"B",75.3,78.2,63,67.2,7,2,3,1,2,0,1.75,0,39.6,0,NA,0,2,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,4
"DAX COLLINS","TULSA",62,67,"B",69.5,71.6,69,68,6,1,2,0,1,0,7,0,0,0,NA,2,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
"ROBERT STEVENS III","ARK STATE",62,66.62,"B",67.3,58.1,70.8,72.2,10,2,6,0,2,0,3.33,3,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.231,5,1,0,2,3,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,13,0,13
"DEAN FORD","SM HOUSTON",51,66.53,"B",65.4,76.6,55.1,51.7,6,1,4,2,0,0,4.6,0,0,0,NA,0,0,1,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,4,0,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
"DONELIUS JOHNSON","AKRON",47,65.92,"B",70.3,82,NA,53,12,4,6,1,3,0,2.71,1,149.3,2.05,NA,0,5.7,1,22.5,0,0,0,0,1,0,2,0,NA,0,0,0,0,1,0,0.077,6,0,1,0,0,4,3,2,0,2,0.667,45,2,0,0,3,0.091,1,0.667,0,15,0,0.091,0,13,0,7
"GAVIN MOUL","DELAWARE",44,65.47,"B",69.4,78,51.6,72.9,5,1,2,0,1,0,4.25,0,39.6,0,NA,2,3,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,0,2,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,4
"STELLAN BOWMAN","CHARLOTTE",31,65.18,"B",64.4,63.8,NA,61.8,3,1,2,2,1,0,-1,0,0,0,NA,0,0,0,0,0,2,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"AYDEN COMBS","LA TECH",22,64.63,"B",81.1,73.3,67.7,71.9,4,1,3,0,1,0,2,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3
"OUMAR DIOMANDE","COLO STATE",41,64.54,"B",69.3,78.2,53.8,57.9,10,6,3,0,6,1,1.5,1,77.1,4.14,NA,0,7.8,0,19.3,0,0,0,0,1,0,2,0,NA,0,0,1,0,0,0,0.167,2,1,0,0,0,6,4,2,2,3,0.75,58,3,0,0,4,0.143,1,0.75,0.25,14.5,0,0.111,0.333,12,0,5
"JALEN BELL","DELAWARE",26,64.49,"B",83.6,70.8,92.3,70,3,2,1,0,1,1,0,0,100,1.78,NA,1,1,1,8,0,2,0,2,0,0,0,0,NA,0,0,0,0,0,0,0.25,0,1,0,4,6,2,2,2,2,2,1,16,1,0,0,2,0,1,0.5,0,8,0,0,0.333,4,0,2
"DWIGHT NUNOO","AKRON",42,64.44,"B",74.3,72.7,59.1,70.4,7,4,3,0,3,0,4,0,79.2,0.27,NA,0,-0.7,1,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,0,4,2,1,2,3,1,6,0,0,0,2,0,0.667,0,0,2,0,0,0,7,0,5
"BRAYSHAWN LITTLEJOHN","FIU",25,64.39,"B",81.7,79,58.3,72,6,1,4,1,1,0,0.75,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.143,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,7,0,5
"SANDERS ELLIS","BOWL GREEN",55,64.28,"B",79.7,80.8,56.8,71.8,8,3,3,0,3,0,1.5,0,89.6,0.52,NA,0,-0.5,0,5.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,0,3,1,0,1,2,1,11,0,0,0,2,0,1,0,0,5.5,0,0,0,8,0,4
"COLEMAN CAULEY","NAVY",34,64.15,"B",69.3,68.6,62.8,64.5,5,2,3,0,2,0,1.5,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
"DICKSON AGU","TULANE",61,63.23,"B",68.5,73.3,60,59.6,9,4,4,0,3,0,5,0,116.7,0.57,NA,0,-6,1,12,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,2,2,1,0,0,4,6,2,2,1,1,12,1,0,0,1,0,1,1,0,12,0,0,0,9,0,3
"COBY OWENS","GA STATE",36,62.48,"B",79.8,79.6,55.2,75.1,4,1,3,1,1,0,-2,0,79.2,0.05,NA,1,-3,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,4,0,2
"DYLAN LEE","S JOSE ST",59,61.9,"B",90.4,70,62,91,6,0,5,0,0,0,2.5,1,16.7,0.06,NA,0,4.3,0,1,0,0,1,0,0,0,0,0,NA,1,0,1,0,0,1,0.143,3,2,1,0,0,0,2,1,5,2,0.5,2,0,1,0,4,0,1,0,0.25,0.5,0.25,0.2,0,7,0,5
"JARED LLOYD","MO STATE",45,61.43,"B",69.2,77.8,58.3,58.5,12,1,6,1,1,0,3.13,0,95.8,0.3,NA,0,5,0,7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,6,0,1,0,0,1,3,1,0,1,1,7,0,0,0,1,0,1,0,0,7,0,0,0,12,0,10
"BEAU BARTON","RICE",24,60.98,"B",83.2,83.2,66,62.9,4,1,3,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"SAM STONE","TULSA",32,60.09,"B",76.1,66.7,63.9,73.3,4,2,2,1,0,0,0,0,42.4,0.47,NA,0,2.3,2,7,0,0,0,0,2,0,0,0,NA,0,0,0,0,0,1,0,1,1,1,1,1,2,1,0,1,1,0.333,7,0,0,0,2,0,0.667,0,0,2.3,0,0,0,4,0,2
"KAMUELA KA'AIHUE","UNLV",45,59.82,"C",65.9,67.4,69.7,58.1,6,2,2,1,2,0,3.75,1,79.2,0,NA,1,-5,0,0,0,1,0,0,0,1,0,0,NA,0,0,0,0,0,0,0.143,2,0,1,2,2,2,3,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.143,0,7,0,5
"GARRETT HAWKINS","UTEP",44,59.58,"C",71.9,78.6,54.6,63.5,3,2,1,1,2,0,0,0,39.6,0,NA,0,2,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1
"COLIN GALLAGHER","DELAWARE",28,59.29,"C",80.8,83.3,68.7,64.8,4,0,3,0,0,0,2.5,0,87.5,0.42,NA,1,5,0,5,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,0,2,3,0,0,0,1,1,1,5,0,0,0,1,0,1,0,0,5,0,0,0,4,0,5
"TANO LETULI","S DIEGO ST",60,59.1,"C",73.3,81.5,53.3,67.4,7,1,4,0,1,0,5,0,89.6,0.33,NA,1,-3.5,0,5.5,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,4,0,0,2,2,1,0,0,0,2,1,11,0,0,0,2,0,1,0,0,5.5,0,0,0,7,0,6
"PICKLE STEWART","FIU",30,58.82,"C",74,84.6,56.3,52.5,6,3,1,1,3,0,3,0,116.7,1.71,NA,0,5,0,12,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,0,1,1,12,1,0,0,1,0,1,1,0,12,0,0,0,6,0,3
"DARION WHITE","UTSA",42,58.61,"C",77.4,69.6,67.7,72.8,5,1,2,0,1,1,7,0,78.5,0.52,NA,0,5,0,7.5,0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.167,0,2,0,3,3,1,2,1,2,2,0.667,15,0,0,0,1,0,0.333,0,0,5,0,0,0.25,6,0,5
"RYAN GREEN","GA STATE",15,58.52,"C",76.1,75.1,NA,64.3,4,2,2,0,2,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"BRIAN BATES JR.","SM HOUSTON",28,58.49,"C",72.5,70.2,69.7,62.4,3,1,2,1,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"ZAIDEN DAVIS","NEW MEX ST",19,58.4,"C",71.1,73.4,NA,64.2,5,2,3,1,1,0,2,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.167,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0,3
"JASEIM MITCHELL","COLO STATE",40,57.99,"C",60.3,66.9,57.4,61.1,10,4,3,0,2,0,3.33,0,93.8,0.93,NA,0,2,2,6.5,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,0,1,1,5,3,1,0,2,1,13,0,0,0,2,0,1,0,0,6.5,0,0,0,10,0,4
"MERCURY SWAIM","NEW MEXICO",28,57.76,"C",78.3,77.2,70.9,63.4,6,1,4,0,1,0,4,0,79.2,0.25,NA,1,-3,0,2,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,2,0,0,0,6,0,2
"NASERI DANIELSON","S JOSE ST",66,57.47,"C",66.8,61.5,65.9,66.3,10,3,2,0,3,0,6,1,90,0.68,NA,0,4.4,0,7,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0.091,0,2,0,1,1,3,4,3,2,4,0.8,28,1,1,0,4,0,0.8,0.2,0,5.6,0.2,0.2,0,10,0,6
"GAVIN WILLIS","CHARLOTTE",59,57.06,"C",72.1,71.8,60,63.3,7,4,1,0,3,0,4.5,1,79.2,0.18,NA,0,4,1,3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.125,1,0,0,0,0,4,3,1,1,1,1,3,0,0,0,0,0,0,0,0,3,0,0.167,0,8,0,3
"JOSIAH TAYLOR","FIU",31,57.06,"C",76.3,71.2,59.2,72.2,5,0,4,1,0,0,3.75,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"MALCOLM MCCAIN","MIAMI OH",66,56.68,"C",70.4,76.3,53.2,66.1,10,3,3,1,1,1,3.75,1,95.8,0.17,NA,0,2,2,7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.167,3,0,1,1,1,3,3,1,1,1,1,7,0,0,0,1,0,1,0,0,7,0,0.167,0.167,12,0,3
"ERIC STUART","TEMPLE",28,56.37,"C",82.1,78.8,NA,71.4,2,1,1,1,0,0,-1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"JAXTON ECK","NEW MEXICO",27,55.96,"C",84.8,79,70.1,64.7,5,2,2,0,1,0,5.33,0,108.3,0.63,NA,0,9,1,10,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,1,1,10,0,0,0,1,0,1,0,0,10,0,0,0,5,0,3
"AVERY SLEDGE","SO MISS",24,55.9,"C",81,84.4,58.9,69.1,4,0,3,2,0,0,-0.5,0,94.4,1.82,NA,0,-0.7,0,6.7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,2,0,0,0,1,1,2,3,1,20,1,0,0,3,0,1,0.333,0,6.7,0,0,0,4,0,4
"KADIN SCHMITZ","CHARLOTTE",58,55.71,"C",56.9,56.8,60,58.5,7,4,1,1,4,0,3.5,1,95.8,0.5,NA,0,6,0,7,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.125,1,0,1,1,1,4,5,1,0,1,1,7,1,0,0,1,0,1,1,0,7,0,0.143,0,8,0,4
"COLE NILLES","TEXAS ST",24,54.9,"C",68.2,71,54.5,64.2,3,3,0,0,3,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ALEX ELLIOTT","N DAK ST",21,54.76,"C",62.8,76.9,59.5,53.2,4,3,1,0,2,0,NA,0,NA,NA,NA,0,NA,1,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,1,0,0,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,1
