"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Receiving.Yards","Receiving.Touchdowns","Targets","Receptions","Receiving.Yards.after.Contract","Contested.Targets","Receiving.Grade","Snaps.on.Press.Coverage","Yards.per.Route.Run","Passer.Rating.when.Targetted","Missed.Tackles.forced.on.Receptions","Yards.After.Catch.per.Reception","Average.Depth.of.Target","Contested.Catches","Dropped.Passes","Fumbles","Fumbles.Lost","Receiving.Snaps","Receiving.First.Downs","Catchable.Targets","Contested.Catches.Percentage","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Explosive.Plays","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Percentage.of.Targets.per.Receiving.Snaps"
"DECORION TEMPLE","OREGON ST",54,12.32,"F",15,0,2,2,1,0,49.7,1,0.43,97.9,0,8,-0.5,0,0,0,0,35,0,2,0,0,0.057,0,0,1,0,1
"PRESTON KILGORE","SO MISS",34,12.24,"F",7,0,2,2,2,0,55.8,1,0.5,81.3,0,2.5,1,0,0,0,0,14,0,2,0,0,0.143,0,0,1,0,1
"CLINT WALKER","BUFFALO",84,12.14,"F",5,0,1,1,0,0,52.2,2,0.29,87.5,0,0,5,0,0,0,0,17,0,1,0,0.059,0.059,0,0,1,0,1
"ADAM PARKS","W MICHIGAN",52,11.87,"F",12,0,2,2,2,0,58.3,0,2,91.7,0,2,4,0,0,0,0,6,0,2,0,0,0.333,0,0,1,0,1
"TOBY PAYNE","MARSHALL",49,11.65,"F",6,0,2,1,1,0,50.6,2,0.22,56.3,0,2,5.5,0,0,0,0,27,0,2,0,0,0.074,0,0,0.5,0,0.5
"RUSTY VANWETZINGA IV","C MICHIGAN",21,11.55,"F",8,0,1,1,1,0,56,1,1.14,100,0,4,4,0,0,0,0,7,0,1,0,0,0.143,0,0,1,0,1
"DAWSON JOHNSON","TULANE",26,11.45,"F",2,0,2,2,1,0,56.9,1,0.25,79.2,0,1.5,-0.5,0,0,0,0,8,0,2,0,0.125,0.25,0,0,1,0,1
"BRYCE ANDERSON","LA MONROE",37,10.89,"F",5,0,1,1,3,0,62.8,0,0.42,87.5,0,6,-1,0,0,0,0,12,1,1,0,0.083,0.083,0,0,1,0,1
"GABE MILBOURN","OREGON ST",18,10.8,"F",3,0,2,2,-1,0,56.5,1,0.38,79.2,0,3,-1.5,0,0,0,0,8,0,2,0,0,0.25,0,0,1,0,1
"BREC LONG","N TEXAS",38,9.8,"F",9,0,3,2,-2,0,55.5,0,1.13,70.1,0,3.5,2.3,0,1,0,0,8,1,3,0,0.125,0.375,0,0,0.667,0.333,0.667
"JACKSON VERDUGO","FIU",44,9.62,"F",7,0,1,1,0,0,49.9,1,0.3,95.8,0,0,7,0,0,0,0,23,0,1,0,0,0.043,0,0,1,0,1
"MATT SMITH","SM HOUSTON",22,9.47,"F",5,0,1,1,1,0,58.6,0,1.67,87.5,0,1,4,0,0,0,0,3,0,1,0,0.333,0.333,0,0,1,0,1
"LONNIE JOHNSON","DOMINION",14,9.43,"F",8,0,1,1,0,0,57.7,0,1.6,100,0,4,4,0,0,0,0,5,0,1,0,0.2,0.2,0,0,1,0,1
"JOSHUA LONG","E MICHIGAN",69,9.25,"F",4,0,1,1,2,0,48.9,1,0.14,83.3,0,7,-3,0,0,0,0,28,0,1,0,0,0.036,0,0,1,0,1
