"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Pass.Block.Efficiency","Percentage.of.Negative.Grade","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"MAC WALTERS","APP STATE",51,63.76,"B",59.7,75.6,0.078,0,0,0.098,0,0,1,0,0
"LUKE SKARTVEDT","N ILLINOIS",70,63.33,"B",65.5,72.5,0.057,0,0,0.057,0.026,1,0,0,0
"JACKSON BELLAMY","BUFFALO",43,63.1,"B",55.2,84.3,0.047,0,0,0.093,0,0,0,0,0
"THOMAS SHRADER","USF",56,62.73,"B",57.5,83.1,0,0,0,0.036,0,0,0,0,0
"JALEN SLAPPY","MARSHALL",66,62.57,"B",54.9,86.5,0,0,0,0.03,0,0,0,0,0
"BRANDON STONER","GA SOUTHRN",44,62.5,"B",53,88.4,0,0,0,0.023,0,0,0,0,0
"GRESHAM PERRY","TULANE",51,62.25,"B",54.5,85.2,0.02,0,0,0.059,0,0,0,0,0
"JACOB RUSSELL","C MICHIGAN",57,62.22,"B",62.2,61.8,0.053,0,0,0.053,0,0,1,0,0
"ROBBY MARTIN","MARSHALL",66,62.18,"B",54.2,86.5,0,0,0,0.03,0,0,0,0,0
"FRANKIE TINILAU","JAMES MAD",27,61.78,"B",53.3,82.2,0.037,0,0,0.074,0,0,0,0,0
"PATRICK SCREWS JR.","TROY",69,61.75,"B",66.1,52.2,0.058,0.065,0,0.058,0.065,0,0,2,0
"LUKE PETIT","TROY",69,61.11,"B",73.9,55.3,0.087,0.065,0,0.058,0.097,1,0,1,1
"NONSO OMEZI","W KENTUCKY",77,60.68,"B",64.7,62.7,0.052,0,0,0.052,0.023,1,0,0,0
"SHALIK HUBBARD","S ALABAMA",78,60.61,"B",62.2,70.4,0.051,0.023,0,0.064,0.023,0,1,1,0
"CALEB COOK","USF",56,60.52,"B",61.2,79.9,0.018,0,0,0.018,0.03,1,0,0,0
"BAMIDELE BADUSI","TEXAS ST",53,60.36,"B",54.5,82.8,0.019,0,0,0.075,0,0,0,0,0
"JOSH RAYMOND","GA SOUTHRN",26,60.35,"B",53.1,84.2,0,0,0,0.039,0,0,0,0,0
"ALEX BIRCHMEIER","LIBERTY",30,59.78,"C",55.8,84.4,0,0,0,0.067,0,0,0,0,0
"PRECIOUS EKEH","KENNESAW",59,58.98,"C",60,83.1,0.017,0,0,0.051,0.022,1,0,0,0
"ZACH COCHNAUER","NEVADA",51,58.68,"C",60.8,67.6,0.059,0,0,0.118,0,0,1,0,0
"GRIFFIN HART","JAMES MAD",34,58.66,"C",58,63,0,0.053,0,0.029,0.053,0,0,1,0
"MUSTAFA KANNEH","DELAWARE",72,58.45,"C",56.8,77.1,0,0,0,0.028,0,0,1,0,0
"TRENT RAMSEY","APP STATE",76,57.06,"C",55.9,87.5,0.013,0,0,0.04,0.031,1,0,0,0
"DENNIS STREY JR.","E MICHIGAN",53,56.86,"C",60.5,73.4,0.038,0.032,0,0.075,0.032,0,1,0,1
"JOHN IANNUZZI","C MICHIGAN",57,56.54,"C",64.1,61.8,0.053,0,0,0.07,0.043,1,0,0,0
"NOEL PORTNJAGIN","JAMES MAD",25,56.52,"C",53.5,80.1,0,0,0,0.08,0,0,0,0,0
"ROGER CARREON","BOISE ST",74,56.27,"C",64.4,67.2,0.068,0,0,0.095,0.031,1,1,0,0
"DENARIS DEROSA JR.","HAWAII",72,56.06,"C",72.7,43.3,0.069,0,0,0.097,0,0,3,0,0
"MISAEL SANDOVAL","BALL ST",73,56,"C",45.7,85.4,0.014,0,0,0.069,0,0,0,0,0
"LOGAN SCRIVNER","MO STATE",54,55.88,"C",59.6,83.5,0.018,0,0,0.056,0.045,1,0,0,0
"ADRIAN CRESPIN","MIDDLE TN",32,55.42,"C",57.9,62.8,0,0,0,0.031,0,0,1,0,0
"SETH ANSTEAD","OHIO",69,54.9,"C",56.2,80.8,0,0,0,0.029,0.031,1,0,0,0
"ALEX GALE","MIDDLE TN",40,54.4,"C",56.6,67.5,0,0,0,0.05,0,0,1,0,0
"JOE METZGER","UNLV",35,54.32,"C",59.3,55.1,0.029,0.05,0,0.114,0.05,0,0,1,0
"MATTHEW NEHF","C MICHIGAN",34,53.94,"C",62,30.6,0.029,0.071,0,0.059,0.071,0,0,0,1
"HUNTER ERB","TULSA",58,53.92,"C",58,68.9,0.017,0.053,0,0.052,0.053,0,0,1,1
"CARSON RASMUSSEN","BOISE ST",78,53.59,"C",56.1,81.9,0.064,0,0,0.205,0,0,1,0,0
"BRODY BOLYN","BOWL GREEN",48,53.45,"C",59,77.8,0.042,0,0,0.104,0.045,1,0,0,0
"LUKE SANDY","CHARLOTTE",56,52.58,"C",61.7,55.9,0.054,0,0,0.107,0.031,1,0,0,0
"RYAN MITCHELL","MO STATE",62,52.42,"C",54.6,80.4,0.016,0,0,0.065,0.037,1,0,0,0
"RYAN WALKER","JVILLE ST",57,52.18,"C",60.6,62.3,0.018,0,0,0.053,0.04,1,0,0,0
"GAVIN MCLAUGHLIN","COAST CAR",30,52.1,"C",58,56,0.033,0.071,0,0.167,0.071,0,0,1,0
"DUSTYN MORELL","KENT STATE",74,51.93,"C",59.1,59.3,0.027,0.028,0,0.04,0.056,1,0,1,0
"LAVAKA TAUKEIAHO","S JOSE ST",79,51.77,"C",52.3,81.8,0.025,0,0,0.139,0,0,1,0,0
"IAN MAYES","TULSA",75,51.4,"C",58,73.3,0.04,0.022,0,0.107,0.044,1,0,1,0
"GAGE STANALAND","GA STATE",72,51.32,"C",52.8,71.1,0.014,0,0,0.097,0,0,1,0,0
"MICHAEL LEVILLE WATKINS","S DIEGO ST",57,51.23,"C",59.3,71.1,0.07,0,0,0.123,0.042,1,1,0,0
"ANTONIO TRIPP JR.","FIU",77,50.86,"C",48.5,76.4,0.026,0,0,0.065,0.024,1,0,0,0
"TYLER CHAMBERS","N ILLINOIS",70,50.33,"C",57.9,75.9,0.029,0,0,0.1,0.026,1,1,0,0
"GUZZY KAYED","E MICHIGAN",53,50.02,"C",46.9,79.3,0,0,0,0.075,0,0,1,0,0
"VINCENT FIACABLE","FAU",80,49.59,"C",57.7,70.5,0.025,0,0,0.088,0.024,1,1,0,0
"DEANDRE DUFFUS","GA STATE",66,49.49,"C",62.5,52.7,0.045,0,0,0.076,0.039,1,1,0,0
"MIKE WALLACE JR.","KENNESAW",59,49.27,"C",54.4,63.8,0,0,0,0.051,0.022,1,0,0,0
"TREVARIS EDWARDS","MIDDLE TN",72,48.59,"C",55.4,78.1,0,0,0,0.042,0.038,2,0,0,0
"REESE BAKER","TULANE",50,47.72,"C",61.4,64.9,0.04,0,0,0.08,0.04,1,2,0,0
"TRAY FRANKLIN","COAST CAR",40,47.13,"C",64.1,56.3,0.1,0,0,0.125,0.095,2,0,0,0
"JAMAL SILER","S ALABAMA",78,46.43,"C",55.3,63.4,0.013,0.023,0,0.077,0.047,1,0,1,0
"SKYLER GRANT","MEMPHIS",25,45.94,"C",54.4,52.8,0,0.071,0,0.16,0.071,0,0,1,0
"ZAIRE FLOURNOY","FIU",77,45.72,"C",58.9,45.9,0.052,0.024,0,0.078,0.049,1,1,1,0
"TAVO MOTU'APUAKA","UTAH ST",55,45.67,"C",52.6,74.6,0,0,0,0.073,0.026,1,1,0,0
"JOSHUA DANIEL","COAST CAR",55,45.6,"C",51,76.1,0.018,0,0,0.091,0.029,1,1,0,0
"TYLER CHEN","S JOSE ST",79,45.56,"C",66.9,45.9,0.076,0,0,0.127,0.049,2,1,0,0
"TYLER VOLTIN","OREGON ST",75,45.38,"C",57.3,75.2,0.013,0.018,0,0.067,0.035,1,2,1,0
"JULIUS TATE","USF",56,44.52,"C",63,57.4,0.036,0,0,0.107,0.061,2,0,0,0
"GEORGE MAILE","UTAH ST",59,44.34,"C",57.3,63.1,0,0,0,0.051,0.024,1,2,0,0
"COLE PRINCIPE","RICE",41,43.36,"C",50.6,46.8,0,0.071,0,0.122,0.071,0,0,0,1
"MARQUISE THORPE-TAYLOR","FRESNO ST",62,43.08,"C",46.7,69.5,0,0,0,0.081,0.031,1,0,0,0
"ALOALI'I MAUI","SO MISS",57,42.49,"C",60.5,54.2,0.035,0,0,0.123,0.049,2,0,0,0
"COLTON THOMASSON","UNLV",50,40.69,"C",53.5,63,0.02,0.037,0,0.12,0.074,1,0,0,1
"ZACH SMITH","COLO STATE",66,39.3,"D",56.2,62.7,0.03,0,0,0.106,0.053,2,1,0,0
"LOGAN COX","DOMINION",54,39.24,"D",53.4,57.7,0.018,0,0,0.13,0.032,1,1,0,0
"PARKER MITCHELL","MEMPHIS",31,36.53,"D",49.5,61.5,0,0.05,0,0.129,0.1,1,0,1,0
"BEN RIOS","UTSA",75,36.39,"D",58,52.2,0.013,0,0,0.08,0.061,3,0,0,0
"ETHAN NEWMAN","NEVADA",74,35.17,"D",66.3,25.3,0.054,0.045,0,0.095,0.068,1,3,2,0
"LUKE MOISE","NEW MEX ST",50,33.94,"D",51.4,50.6,0.02,0.033,0,0.14,0.067,1,1,1,0
"QUENTIS GRIFFIN JR.","LA MONROE",64,33.88,"D",51.4,42.7,0.016,0.037,0,0.109,0.074,1,1,1,0
"MATTHEW BROUSSARD","LA LAFAYET",46,33.56,"D",52.6,45.6,0.022,0,0,0.152,0.042,1,1,0,0
"KARSON JONES","E CAROLINA",35,32.43,"D",58.7,23.1,0.029,0.091,0,0.143,0.136,1,0,1,1
"CHANDLER TELFAIRE","DELAWARE",72,31.9,"D",58.9,52.2,0.056,0,0,0.125,0.089,4,0,0,0
"KYLE MARTIN","WASH STATE",30,31.5,"D",49.3,30.7,0.033,0,0,0.133,0.063,1,0,0,0
"SETH WILFRED","UTAH ST",59,31.27,"D",48.3,61.6,0.017,0.024,0,0.119,0.073,2,0,0,1
"DONOVAN LAWRENCE","UAB",70,30,"D",58.7,27.1,0.071,0.045,0,0.171,0.136,2,0,1,0
"ETHAN KRAMER","E CAROLINA",73,29.15,"D",48.7,54.9,0,0,0,0.164,0.047,2,0,0,0
"GRACESON SPANN","SM HOUSTON",66,29.01,"D",45.9,52.2,0,0.023,0,0.121,0.045,1,1,0,1
"WILLIAM JOHNSON III","KENT STATE",74,28.19,"D",55.6,32,0.027,0,0,0.095,0.083,3,0,0,0
"ALEX HARRIS","BOWL GREEN",50,28.13,"D",63,3,0.04,0.043,0,0.08,0.13,2,0,0,1
"ETHAN WILLIAMS","GA SOUTHRN",44,28.05,"D",47.7,34.6,0,0,0,0.091,0.057,2,0,0,0
"TYLER KEINATH","NEW MEX ST",71,27.36,"D",59.9,44.5,0.028,0.023,0,0.127,0.091,3,1,1,0
"KHI'LEN GATES","DOMINION",38,25.83,"D",44.1,56.8,0,0,0,0.184,0.048,1,1,0,0
"DENELL NIX JR.","SM HOUSTON",66,25.52,"D",51,53.2,0.03,0,0,0.152,0.068,3,1,0,0
"PATRICK VALENT","RICE",44,24.59,"D",49,34.7,0,0,0,0.136,0.067,1,1,0,0
"MASON BARTON","COAST CAR",30,24.48,"D",49.9,53.5,0,0,0,0.233,0,0,4,0,0
"LUKE ROGERS","SO MISS",37,23.26,"D",48.9,33.9,0,0.045,0,0.189,0.091,1,0,0,1
"THOMAS BARR","BUFFALO",71,21.92,"D",60.2,31.9,0.028,0.02,0,0.127,0.082,3,2,1,0
"MATEO RODRIGUEZ","NEW MEX ST",40,21.77,"D",53.8,32.3,0.05,0,0,0.175,0.105,2,1,0,0
"JUDAH KAIO","HAWAII",69,20.64,"D",60.4,23.1,0.029,0,0,0.116,0.085,4,1,0,0
"AUSTIN ELLIS","LA TECH",51,20.54,"D",39.8,48.9,0,0.029,0,0.176,0.057,1,1,0,1
"MAARTEN WOUDSMA","MEMPHIS",56,12.47,"F",45.5,30,0,0.029,0,0.196,0.088,2,1,1,0
"ASHANTI COLE","LA TECH",59,0,"F",45.7,37.2,0.017,0,0,0.237,0.105,4,2,0,0
