"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Defeated.Runblock.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Sacks.Allowed","Hits.Allowed"
"DAUGHTRY RICHARDSON","COAST CAR",61,58.95,"C",57.1,83.5,0.016,0,0.115,0,0.029,0,1,0,0
"D.J. GETH","LIBERTY",34,57.58,"C",47.9,82.3,0,0,0.143,0,0,0,0,0,0
"REESE TRIPP","MIDDLE TN",71,57.18,"C",66.2,72.3,0.028,0.029,0,0,0.029,0,0,1,0
"JIMMY LISTON","UTAH ST",54,56.96,"C",57,72.6,0,0,0.188,0,0.026,0,1,0,0
"KEVIN TERRY","TEMPLE",32,56.76,"C",66.1,61.4,0.063,0,0.056,0,0.071,0,1,0,0
"ETHAN GREEN","USF",55,56.67,"C",61.6,74.9,0.018,0,0.048,0,0,1,0,0,0
"ROSS LIEGEL","N ILLINOIS",69,56.54,"C",62.7,82.7,0.015,0,0,0,0,1,0,0,0
"KEYON COX","UAB",60,55.91,"C",63.1,44.1,0.083,0.031,0.222,0,0.094,0,2,1,0
"ASHTON TRIPP","WASH STATE",68,55.22,"C",69.5,56.4,0.059,0.029,0.03,0,0.057,0,1,0,1
"AARON KARAS","MEMPHIS",66,54.59,"C",60.2,76.9,0.015,0,0.03,0,0,1,0,0,0
"KEVIN EVEHE","LIBERTY",31,54.27,"C",53.4,81,0,0,0.045,0,0,0,0,0,0
"JORDON JONES","TROY",77,54.12,"C",51.1,77.7,0.013,0,0.139,0,0.024,0,1,0,0
"CHRIS HOOD","BALL ST",61,54.08,"C",57.9,73.9,0.016,0,0.097,0,0.033,0,1,0,0
"HENRY SELLARDS","NEVADA",60,53.78,"C",54.5,72.5,0.017,0,0.133,0,0.033,0,1,0,0
"TRISTAN COOK","BALL ST",61,53.21,"C",64.8,67.9,0.033,0,0.032,0,0,2,0,0,0
"JACK FOSTER","NEVADA",60,53.17,"C",55.2,81.5,0.017,0,0.067,0,0.033,0,1,0,0
"TRUMAIN LAWSON","OHIO",61,52.79,"C",78.1,29.7,0.082,0,0.158,0,0.071,1,3,0,0
"MOFE ADEWOLE","KENT STATE",31,52.56,"C",56.5,76.8,0,0,0.083,0,0,1,0,0,0
"REX JOHNSEN","WYOMING",59,52.43,"C",65.6,78.7,0.034,0,0,0,0.054,0,2,0,0
"DEANDRE MARSHALL","UTSA",53,50.72,"C",59.1,58.5,0.038,0.035,0.208,0,0.069,1,1,1,0
"JACK LAIRD","MARSHALL",75,50.52,"C",49.4,81,0.013,0,0.109,0,0.036,0,1,0,0
"ROLAN FULLWOOD","FRESNO ST",63,50.48,"C",49.6,70.2,0.016,0.032,0.188,0,0.032,1,0,0,1
"BRAYLON JENKINS","WYOMING",59,50.22,"C",79.6,47.8,0.068,0.054,0.045,0,0.108,0,2,0,2
"ZACH AAMLAND","TEMPLE",44,50.21,"C",59,37.5,0.045,0,0.111,0,0,1,0,0,0
"BEN ROEBUCK","W MICHIGAN",65,49.92,"C",62.4,68,0.046,0,0.054,0,0.071,0,2,0,0
"QUINTON HARRIS","COLO STATE",65,49.63,"C",56.9,71,0.015,0,0.111,0,0.021,1,1,0,0
"MARTIN KOIVISTO","C MICHIGAN",66,49.18,"C",62.6,62.3,0.061,0,0.086,0,0.125,0,1,0,0
"CAM STANCIL","JVILLE ST",52,48.74,"C",62.1,58.6,0.019,0.035,0.087,0,0.035,1,0,0,1
"KENDRICK HALL","DOMINION",67,48.51,"C",68.2,55.2,0.075,0.04,0.119,0,0.12,1,2,0,1
"COLE MILLWARD","NEW MEXICO",46,48.39,"C",46.8,64.4,0.022,0.039,0.25,0,0.077,0,1,1,0
"TARIQ MONTGOMERY","MARSHALL",75,48.11,"C",53.5,63.3,0.013,0.035,0.087,0,0.035,0,0,0,1
"DAYLON METOYER","BOISE ST",55,47.83,"C",45.1,69.1,0,0,0.176,0,0,1,0,0,0
"CAM EAST","TULSA",60,47.21,"C",56.5,71,0.017,0,0.031,0,0.036,0,1,0,0
"RILEY MCGEHEE","MEMPHIS",67,46.53,"C",46,79.2,0,0,0.121,0,0.029,0,1,0,0
"JUSTIN MICHAELIS","RICE",63,46.46,"C",64.6,61.6,0.079,0,0.132,0,0.12,1,3,0,0
"JOHN WATKINS","TEMPLE",76,45.55,"C",64.5,53.4,0.04,0.032,0.022,0,0.065,0,1,0,1
"DARION REED","TULANE",62,45.29,"C",53.9,65.5,0.016,0.059,0.107,0,0.059,0,0,2,0
"BRODY DUFFEL","TULSA",35,44.61,"C",58.7,59.1,0.029,0,0.053,0,0.063,0,1,0,0
"DEACON RAWLS","JAMES MAD",75,42.79,"C",60.6,68,0.013,0.031,0.023,0,0.063,0,1,1,0
"DAVIS DOTSON","TULSA",34,42.56,"C",53.7,70.1,0,0,0.136,0,0.083,0,1,0,0
"JOSEPH BORJON","S DIEGO ST",79,42.49,"C",48.7,76.2,0,0,0.119,0,0.027,1,1,0,0
"ALEX LOPEZ","W KENTUCKY",40,42.12,"C",57,73.3,0.025,0,0.059,0,0.087,0,2,0,0
"IBRAHIM TRAORE","TOLEDO",80,41.32,"C",57.1,68.4,0.013,0.036,0.08,0,0.036,1,0,0,2
"CARLOS SLAYDEN","AKRON",55,40.5,"C",49.6,75.2,0,0,0.133,0,0,3,0,0,0
"LUKE NEEDHAM","RICE",53,38.76,"D",60.6,36.4,0.038,0.043,0.1,0,0.043,2,0,1,0
"KARSTEN UPCHURCH","W KENTUCKY",60,36.72,"D",51.8,66.8,0.017,0.029,0.115,0,0.088,0,2,0,1
"ALLEN JONES JR.","AKRON",60,36.53,"D",58.1,62.4,0.017,0,0.118,0,0.047,2,2,0,0
"HAYDEN CHRISTMAN","LA TECH",83,35.46,"D",47.5,77.9,0,0,0.091,0,0.04,1,2,0,0
"A'MARION BRELAND","UTSA",53,35,"D",56.6,48.1,0.019,0,0.083,0,0.069,0,2,0,0
"JORDAN BROWN","GA STATE",51,34.12,"D",64.1,52,0.02,0.03,0,0,0.061,1,1,1,0
"TROY SMITH III","LA TECH",77,33.53,"D",56.4,66,0,0,0.03,0,0.023,2,1,0,0
"DANIEL JONES","COAST CAR",62,33,"D",59.4,58.3,0.016,0.056,0.077,0,0.083,1,1,1,1
"CHAD SCHUSTER","W MICHIGAN",65,32.75,"D",56,64.3,0.015,0,0.054,0,0.071,1,2,0,0
"JARIAN SHELBY","OHIO",61,32.58,"D",57.7,61.2,0,0.024,0.053,0,0.071,0,2,0,1
"KRISTOS FERNANDEZ","CHARLOTTE",65,32.51,"D",59,56.8,0.031,0,0.043,0,0.048,2,2,0,0
"AIDAN ANDREWS","GA STATE",35,32.51,"D",55.6,41.4,0,0,0.214,0,0,4,0,0,0
"STERLING WIGGINS","ARK STATE",55,32.01,"D",54,47,0.018,0,0.111,0,0.036,2,1,0,0
"NOAH ROSAHAC","DELAWARE",66,31.68,"D",66.7,35.7,0.061,0.053,0,0,0.105,0,2,1,1
"TYRIQ POINDEXTER","APP STATE",81,31.5,"D",54.7,71,0.012,0.022,0.029,0,0.043,2,1,0,1
"SIMEON AFALAVA","S JOSE ST",74,30.82,"D",57.5,56.4,0.014,0.041,0.16,0,0.082,1,2,1,1
"JAQUAN ADAMS","TULSA",62,30.66,"D",51.5,47.7,0.016,0,0.088,0,0.071,0,2,0,0
"TYLER BRUMFIELD","E MICHIGAN",66,30.38,"D",56.1,42.6,0.03,0.051,0.259,0,0.077,3,1,0,2
"SETH WILFRED","UTAH ST",55,30.11,"D",47.8,61,0,0,0.125,0,0.051,1,2,0,0
"TRA'JON TOWNSEND","TROY",77,29.73,"D",57.4,59.2,0.013,0.024,0.028,0,0.024,3,0,1,0
"J'VEN WILLIAMS","CHARLOTTE",65,29.71,"D",62.2,60,0.015,0,0.087,0,0.071,2,3,0,0
"K'LEYONE IOSUA","UTAH ST",55,29.49,"D",57.5,53.8,0,0.026,0.063,0,0.077,0,2,1,0
"JOHNNY WILLIAMS IV","N TEXAS",89,29.37,"D",49.6,67.7,0.011,0.017,0.067,0,0.034,2,1,0,1
"KYLE COX","BOISE ST",25,29.14,"D",67,21.5,0.08,0,0.182,0,0.214,0,3,0,0
"NIKOLA MILOVAC","KENNESAW",65,28.13,"D",49.9,44.8,0.015,0,0.148,0,0.079,0,3,0,0
"BEN GUSTAFSON","N ILLINOIS",43,27.83,"D",55.1,33.3,0,0.032,0.167,0,0.065,1,1,1,0
"BRADEN CAIN","SO MISS",67,26.71,"D",57.9,61.3,0.015,0.045,0.087,0,0.114,0,3,0,2
"JOE CROCKER","BUFFALO",46,22.42,"D",53.2,49.4,0,0,0.136,0,0.125,0,3,0,0
"ZAY ALEXANDER","LA LAFAYET",62,22.16,"D",55.3,29.4,0.032,0,0.098,0,0.095,1,2,0,0
"MANUEL SERNA","S JOSE ST",74,21.71,"D",41.4,69.2,0,0.02,0.16,0,0.061,2,2,1,0
"JADARIOUS LEE","KENNESAW",65,21.27,"D",49.5,48.8,0,0,0.074,0,0.079,0,3,0,0
"GRAYSON JOHNSON","UTEP",33,21.23,"D",58.3,47.1,0,0.125,0,0,0.188,0,1,2,0
"SAMUEL ADJIN","E MICHIGAN",43,20.13,"D",48.4,29.9,0,0,0.286,0,0.035,4,1,0,0
"MANASSE ITETE","ARK STATE",48,19.77,"F",61.7,29,0.021,0.04,0,0,0.12,0,2,0,1
"BARRETT MADDOX","UAB",60,19.68,"F",47,35.1,0.017,0.094,0.222,0,0.125,1,1,2,1
"GABRIEL ARENA","BUFFALO",48,19.55,"F",51.3,38.9,0,0,0.1,0,0.111,0,2,0,0
"RYAN MICKOW","TULANE",62,19.18,"F",59,54.4,0.032,0,0.143,0,0.176,0,6,0,0
"MARCUS MASCOLL","GA STATE",62,16.19,"F",57.2,61.5,0,0.023,0.053,0,0.093,2,3,0,1
"JEREMIAH ORR","JVILLE ST",52,15.6,"F",50.2,16.9,0,0,0.13,0,0.035,2,1,0,0
"RAYKWON GOLDTHWAITE","DOMINION",57,15.6,"F",40.7,44.2,0.035,0,0.265,0,0.087,4,2,0,0
"JEREMY SMITH","FIU",82,15.29,"F",54,64.9,0,0.06,0.125,0,0.12,1,3,1,2
"DANZEL NEWELL","NEW MEXICO",29,14.46,"F",53.7,0,0.035,0,0.294,0,0.167,1,2,0,0
"MOUSTAFA DAOUD","KENT STATE",44,11.73,"F",47.1,7.3,0,0.091,0.318,0,0.136,2,1,1,1
"TYLER ROBERTS","UTEP",45,9.53,"F",46.9,43.7,0,0.15,0.16,0,0.25,0,2,2,1
"JAMES THOMAS JR.","BOWL GREEN",52,6.8,"F",64.5,0,0.039,0.045,0.067,0,0.091,4,1,0,1
"NETO UMEOZULU","N TEXAS",89,5.73,"F",45.1,44.2,0,0,0.233,0,0.068,4,4,0,0
"GABE FUNK","BOWL GREEN",52,3.76,"F",48.4,18.3,0.019,0,0.067,0,0.091,2,2,0,0
"DANTE DEVINE","SO MISS",67,0,"F",63.3,28.3,0.03,0.045,0.087,0,0.136,3,4,0,2
