"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"DAVID MBADINGA","GA SOUTHRN",6,"HB",2026,"Sun Belt",71.4,9,18,103,5.7,0,6,0,0,4,28,1.6,75,4.2,0,0.333,0.22,3,0,"GA SOUTHRN",6,"Sun Belt",69.2,4,21,0,5,5,40,8,0,2,0,0,0,5,0,0,60,12,15,0,1.9,-4,0,1,"100%","0.00%","0.00%",100,0,0.238,0,"100%","Sun Belt","G5",41,56.54,"C"
"MAURICE TURNER","TULANE",0,"HB",2026,"The American",63.7,7,7,64,9.1,0,5,1,0,3,21,3,43,6.1,0,0.714,0.43,4,0.143,"TULANE",0,"The American",61.6,1,14,0,4,2,31,15.5,1,1,0,0,0,2,0,0,30,15,4,0,2.21,4.8,1,1,"100%","0.00%","0.00%",115.6,0.143,0.286,0,"50.00%","The American","G5",33,54.11,"C"
"CONNOR WALENDZAK","TOLEDO",8,"HB",2026,"MAC",77.5,9,12,62,5.2,2,7,0,0,2,14,1.2,48,4,0,0.583,0.17,2,0,"TOLEDO",8,"MAC",59.5,2,22,0,2,1,9,9,1,1,0,0,0,1,1,0,7,7,0,0,0.41,4,0,0,"100%","0.00%","50.00%",102.1,0,0.091,0,"50.00%","MAC","G5",34,53.3,"C"
"DEVIN ROCHE","DOMINION",3,"HB",2026,"Sun Belt",64.4,9,18,102,5.7,0,3,2,1,4,12,0.7,90,5,0,0.167,0.22,3,0.056,"DOMINION",3,"Sun Belt",67.9,1,11,0,2,1,25,25,0,1,0,0,0,1,0,0,26,26,0,0,2.27,0,1,0,"100%","0.00%","0.00%",95.8,0,0.182,0,"50.00%","Sun Belt","G5",41,50.41,"C"
"TJ ENGLEMAN JR.","E CAROLINA",4,"HB",2026,"The American",76.3,10,16,99,6.2,0,4,0,0,5,49,3.1,50,3.1,0,0.25,0.31,3,0.313,"E CAROLINA",4,"The American",55.3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",33,49.29,"C"
"SETH DAVIS","TULSA",23,"HB",2026,"The American",84.6,5,9,90,10,1,3,0,0,3,59,6.6,31,3.4,0,0.333,0.33,2,0.111,"TULSA",23,"The American",58.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",15,48.05,"C"
"JAYLIN CARTER","MEMPHIS",6,"HB",2026,"The American",64.8,5,11,60,5.5,0,5,0,0,2,25,2.3,35,3.2,0,0.455,0.18,3,0.182,"MEMPHIS",6,"The American",64.7,1,15,0,1,1,17,17,1,1,0,0,0,1,0,0,0,0,0,0,1.13,19,1,0,"100%","0.00%","0.00%",158.3,0,0.067,0,"100%","The American","G5",31,46.91,"C"
"ANTONIO MARTIN","MIDDLE TN",8,"HB",2026,"C-USA",64.9,12,24,104,4.3,1,6,0,0,1,39,1.6,65,2.7,0,0.25,0.04,1,0,"MIDDLE TN",8,"C-USA",62.8,2,12,0,1,1,9,9,0,0,0,0,0,1,0,0,14,14,2,0,0.75,-5,0,0,"100%","0.00%","0.00%",104.2,0,0.083,0,"100%","C-USA","G5",41,46.49,"C"
"RAMONE GREEN JR.","MO STATE",22,"HB",2026,"C-USA",68.9,7,15,76,5.1,0,5,0,0,3,24,1.6,52,3.5,0,0.333,0.2,1,0.2,"MO STATE",22,"C-USA",66.8,4,17,0,4,2,28,14,0,1,0,0,0,2,0,0,18,9,7,0,1.65,6,1,0,"100%","0.00%","0.00%",72.9,0,0.235,0,"50.00%","C-USA","G5",36,46.06,"C"
"JAHIEM WHITE","N TEXAS",1,"HB",2026,"The American",64.3,7,18,55,3.1,1,2,0,0,1,16,0.9,39,2.2,0,0.111,0.06,1,0.056,"N TEXAS",1,"The American",73.5,7,36,0,9,7,56,8,1,2,0,0,0,8,1,0,58,8.3,24,0,1.56,0.6,2,6,"87.50%","0.00%","11.10%",129.6,0.056,0.25,0,"77.80%","The American","G5",64,44.71,"C"
"STEVEN ROBINSON","SO MISS",14,"HB",2026,"Sun Belt",70.3,9,18,72,4,1,5,0,0,2,25,1.4,47,2.6,0,0.278,0.11,1,0.167,"SO MISS",14,"Sun Belt",61.6,1,22,0,1,1,9,9,0,0,0,0,0,1,0,0,1,1,0,0,0.41,8,0,0,"100%","0.00%","0.00%",104.2,0,0.045,0,"100%","Sun Belt","G5",49,44.52,"C"
"DAMARI ALSTON","TULSA",6,"HB",2026,"The American",91.7,8,9,68,7.6,1,3,0,0,4,18,2,50,5.6,0,0.333,0.44,2,0,"TULSA",6,"The American",55.1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.00%","0.00%","0.00%",39.6,0,0.091,0,"0.00%","The American","G5",25,44.14,"C"
"JAMES MCNEIL JR.","BUFFALO",24,"HB",2026,"MAC",63.1,6,20,80,4,1,4,0,0,5,19,0.9,61,3,0,0.2,0.25,3,0.15,"BUFFALO",24,"MAC",55.4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","MAC","G5",38,42.76,"C"
"JAYDEN CLERVEAUX","C MICHIGAN",31,"HB",2026,"MAC",78.3,9,12,81,6.8,0,3,0,0,1,46,3.8,35,2.9,0,0.25,0.08,2,0.083,"C MICHIGAN",31,"MAC",65.3,0,2,0,1,1,8,8,0,0,0,0,0,1,0,0,4,4,0,0,4,4,0,0,"100%","0.00%","0.00%",100,0,0.5,0,"100%","MAC","G5",46,42.74,"C"
"AJ NEWBERRY","OREGON ST",23,"HB",2026,"Pac-12",71.3,6,7,45,6.4,0,2,0,0,5,4,0.6,41,5.9,0,0.286,0.71,1,0,"OREGON ST",23,"Pac-12",61.1,3,20,0,3,3,50,16.7,0,1,0,0,0,3,0,0,43,14.3,7,0,2.5,2.3,1,2,"100%","0.00%","0.00%",118.8,0,0.15,0,"100%","Pac-12","G5",33,41.36,"C"
"LOLO MATAELE","W MICHIGAN",24,"HB",2026,"MAC",66.7,7,11,62,5.6,1,3,0,0,4,7,0.6,55,5,0,0.273,0.36,1,0.182,"W MICHIGAN",24,"MAC",34.1,1,14,0,1,1,-3,-3,0,0,0,1,0,1,1,1,-7,-7,-7,1,-0.21,4,0,0,"100%","0.00%","100%",79.2,0,0.071,0,"100%","MAC","G5",34,39.63,"D"
"D.J. MCKINNEY","TULSA",4,"HB",2026,"The American",80,6,7,56,8,0,3,0,0,5,20,2.9,36,5.1,0,0.429,0.71,3,0.143,"TULSA",4,"The American",57.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",15,38.92,"D"
"DOMINIC LEE-KNICELY","COAST CAR",23,"HB",2026,"Sun Belt",65,3,10,80,8,0,3,0,0,3,27,2.7,53,5.3,0,0.3,0.3,4,0.1,"COAST CAR",23,"Sun Belt",59.4,1,11,0,1,1,-2,-2,0,0,0,0,0,1,0,0,6,6,1,0,-0.18,-8,0,0,"100%","0.00%","0.00%",79.2,0,0.091,0,"100%","Sun Belt","G5",25,38.7,"D"
"VICTOR ROSA","OHIO",4,"HB",2026,"MAC",67.7,5,13,78,6,1,3,0,0,0,9,0.7,69,5.3,0,0.231,0,1,0,"OHIO",4,"MAC",74.7,1,18,0,2,2,13,6.5,0,1,0,0,0,2,0,0,14,7,7,0,0.72,-0.5,0,1,"100%","0.00%","0.00%",93.8,0,0.111,0,"100%","MAC","G5",45,37.89,"D"
"JUDAH PRICE","MARSHALL",10,"HB",2026,"Sun Belt",78.9,4,6,55,9.2,0,4,0,0,4,15,2.5,40,6.7,0,0.667,0.67,3,0,"MARSHALL",10,"Sun Belt",57,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Sun Belt","G5",12,37.48,"D"
"JO'SHON BARBIE","MARSHALL",6,"HB",2026,"Sun Belt",74.8,8,13,79,6.1,1,3,0,0,2,21,1.6,58,4.5,0,0.231,0.15,2,0,"MARSHALL",6,"Sun Belt",53.5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Sun Belt","G5",33,35.81,"D"
"DALLAN HAYDEN","MEMPHIS",7,"HB",2026,"The American",69.3,6,11,85,7.7,0,5,0,0,2,36,3.3,49,4.5,0,0.455,0.18,2,0,"MEMPHIS",7,"The American",57.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",17,35.5,"D"
"TELLY JOHNSON JR.","N ILLINOIS",45,"HB",2026,"MWC",66,6,12,69,5.8,0,4,0,0,3,23,1.9,46,3.8,0,0.333,0.25,3,0,"N ILLINOIS",45,"MWC",55.5,2,19,0,1,1,2,2,0,0,0,0,0,1,0,0,6,6,7,0,0.11,-4,0,1,"100%","0.00%","0.00%",79.2,0,0.053,0,"100%","MWC","G5",37,34.83,"D"
"RAYSHON LUKE","FRESNO ST",2,"HB",2026,"Pac-12",67.1,6,15,49,3.3,0,2,0,0,4,-4,-0.3,53,3.5,0,0.133,0.27,2,0.333,"FRESNO ST",2,"Pac-12",57.6,1,14,0,2,2,6,3,0,0,0,0,0,2,0,0,8,4,2,0,0.43,-1,0,0,"100%","0.00%","0.00%",79.2,0,0.143,0,"100%","Pac-12","G5",31,34.25,"D"
"TRAE'VON DUNBAR","S ALABAMA",21,"HB",2026,"Sun Belt",69.9,3,6,52,8.7,2,2,0,0,2,7,1.2,45,7.5,0,0.333,0.33,1,0,"S ALABAMA",21,"Sun Belt",53.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Sun Belt","G5",17,34.13,"D"
"JAQUARI LEWIS","APP STATE",5,"HB",2026,"Sun Belt",72.3,7,11,46,4.2,1,4,0,0,4,8,0.7,38,3.5,0,0.364,0.36,1,0,"APP STATE",5,"Sun Belt",54.8,1,22,0,2,1,1,1,0,0,0,0,0,1,0,0,6,6,4,0,0.05,-6.5,0,0,"100%","0.00%","0.00%",56.3,0,0.091,0,"50.00%","Sun Belt","G5",43,33.45,"D"
"WILL HENDERSON III","UTSA",1,"HB",2026,"The American",76.4,7,12,55,4.6,0,3,0,0,1,28,2.3,27,2.3,0,0.25,0.08,2,0.333,"UTSA",1,"The American",59.6,3,14,0,3,2,-4,-2,0,0,0,0,0,2,1,0,4,2,1,0,-0.29,-1.7,0,0,"100%","0.00%","33.30%",70.1,0,0.214,0,"66.70%","The American","G5",29,33.44,"D"
"ROD ROBINSON II","UAB",2,"HB",2026,"The American",62.9,3,13,52,4,0,1,0,0,4,12,0.9,40,3.1,0,0.077,0.31,1,0.154,"UAB",2,"The American",61,2,16,0,2,1,20,20,0,1,0,0,0,1,0,0,12,12,0,0,1.25,5.5,1,1,"100%","0.00%","0.00%",85.4,0,0.125,0,"50.00%","The American","G5",34,33.29,"D"
"BRYSON DONELSON","FRESNO ST",6,"HB",2026,"Pac-12",61.6,2,9,57,6.3,1,2,0,0,1,6,0.7,51,5.7,0,0.222,0.11,1,0.222,"FRESNO ST",6,"Pac-12",57.1,0,9,0,1,1,4,4,0,0,0,0,0,1,0,0,6,6,0,0,0.44,-2,0,0,"100%","0.00%","0.00%",83.3,0,0.111,0,"100%","Pac-12","G5",22,32.97,"D"
"GEORGE PETTAWAY","JAMES MAD",6,"HB",2026,"Sun Belt",56.5,9,20,85,4.3,0,4,1,1,1,45,2.3,40,2,0,0.2,0.05,2,0,"JAMES MAD",6,"Sun Belt",56,0,18,0,2,1,7,7,0,0,0,0,0,1,0,0,4,4,1,0,0.39,4,0,0,"100%","0.00%","0.00%",58.3,0,0.111,0,"50.00%","Sun Belt","G5",44,32.07,"D"
"BREEZY DUBAR","MO STATE",1,"HB",2026,"C-USA",73.7,5,9,39,4.3,1,2,0,0,3,9,1,30,3.3,0,0.222,0.33,1,0.111,"MO STATE",1,"C-USA",57,4,20,0,1,1,5,5,0,0,0,0,0,1,0,0,12,12,3,0,0.25,-7,0,0,"100%","0.00%","0.00%",87.5,0,0.05,0,"100%","C-USA","G5",29,31.67,"D"
"JO SILVER","DELAWARE",27,"HB",2026,"C-USA",65.8,5,11,28,2.5,1,2,0,0,2,6,0.6,22,2,0,0.182,0.18,0,0.273,"DELAWARE",27,"C-USA",63,3,20,0,3,3,10,3.3,0,1,0,0,0,3,2,2,3,1,4,1,0.5,2.3,0,1,"100%","0.00%","66.70%",80.6,0.05,0.15,0,"100%","C-USA","G5",35,31.46,"D"
"BRENDON HAYGOOD","N TEXAS",29,"HB",2026,"The American",72,7,11,50,4.5,1,4,0,0,2,17,1.6,33,3,0,0.364,0.18,2,0.091,"N TEXAS",29,"The American",54.6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",27,31.34,"D"
"STEVEN BLANCO","LA LAFAYET",24,"HB",2026,"Sun Belt",73.2,7,11,54,4.9,1,3,0,0,2,28,2.5,26,2.4,0,0.273,0.18,2,0.091,"LA LAFAYET",24,"Sun Belt",52.3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Sun Belt","G5",36,31.21,"D"
"JASON COLLINS JR.","USF",2,"HB",2026,"The American",67.2,3,6,37,6.2,1,3,0,0,2,8,1.3,29,4.8,0,0.5,0.33,2,0.167,"USF",2,"The American",55.6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",16,29.78,"D"
"JERRIAN PARKER JR.","SM HOUSTON",6,"HB",2026,"C-USA",75.7,5,6,52,8.7,0,2,0,0,1,28,4.7,24,4,0,0.333,0.17,2,0,"SM HOUSTON",6,"C-USA",62.6,1,10,0,4,2,5,2.5,0,0,0,0,0,2,0,0,11,5.5,2,0,0.5,-1,0,0,"100%","0.00%","0.00%",56.3,0,0.4,0,"50.00%","C-USA","G5",22,29.58,"D"
"JOHNNIE DANIELS","TULANE",6,"HB",2026,"The American",73.5,4,10,59,5.9,0,3,0,0,2,19,1.9,40,4,0,0.3,0.2,3,0.1,"TULANE",6,"The American",55.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",27,29.24,"D"
"NICK HERMAN","JAMES MAD",23,"HB",2026,"Sun Belt",60.7,4,12,60,5,0,3,0,0,0,30,2.5,30,2.5,0,0.25,0,0,0,"JAMES MAD",23,"Sun Belt",67.5,2,14,0,2,2,28,14,0,1,0,0,0,2,0,0,29,14.5,8,0,2,-0.5,1,0,"100%","0.00%","0.00%",118.8,0,0.143,0,"100%","Sun Belt","G5",29,29.17,"D"
"DURELL ROBINSON","COLO STATE",11,"HB",2026,"Pac-12",63.6,2,6,29,4.8,1,2,0,0,2,6,1,23,3.8,0,0.333,0.33,1,0,"COLO STATE",11,"Pac-12",60.1,2,22,0,3,2,17,8.5,0,0,0,0,0,2,0,0,17,8.5,7,0,0.77,4,0,2,"100%","0.00%","0.00%",81.3,0.045,0.136,0,"66.70%","Pac-12","G5",36,28.25,"D"
"DOMINIC KELLEY","NEVADA",0,"HB",2026,"MWC",69.1,6,13,43,3.3,1,2,0,0,1,9,0.7,34,2.6,0,0.154,0.08,1,0,"NEVADA",0,"MWC",58.9,0,17,0,2,2,12,6,0,0,0,0,0,2,0,0,7,3.5,3,0,0.71,2.5,0,0,"100%","0.00%","0.00%",91.7,0,0.118,0,"100%","MWC","G5",42,27.62,"D"
"CJ MILLER","TOLEDO",22,"HB",2026,"MAC",53.8,5,9,33,3.7,1,2,1,1,2,7,0.8,26,2.9,0,0.222,0.22,0,0,"TOLEDO",22,"MAC",60.9,3,31,0,4,4,15,3.8,1,1,0,0,0,4,0,0,27,6.8,6,0,0.48,-3,0,1,"100%","0.00%","0.00%",121.9,0.032,0.129,0,"100%","MAC","G5",40,27.52,"D"
"KIEFER SIBLEY","NEW MEXICO",21,"HB",2026,"MWC",71.9,6,9,43,4.8,0,1,0,0,2,14,1.6,29,3.2,0,0.111,0.22,1,0,"NEW MEXICO",21,"MWC",49.4,2,6,0,2,1,20,20,0,1,1,0,0,2,0,0,6,6,5,0,3.33,5,1,1,"50.00%","50.00%","0.00%",85.4,0,0.333,0,"50.00%","MWC","G5",20,27.47,"D"
"TRE GARRISON","OREGON ST",22,"HB",2026,"Pac-12",63.5,8,14,56,4,0,3,0,0,3,17,1.2,39,2.8,0,0.214,0.21,1,0.214,"OREGON ST",22,"Pac-12",56,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Pac-12","G5",21,26.94,"D"
"MARKELL HOLMAN","WYOMING",8,"HB",2026,"MWC",66.6,5,9,38,4.2,1,4,0,0,0,7,0.8,31,3.4,0,0.444,0,1,0.111,"WYOMING",8,"MWC",40.5,2,17,0,2,1,4,4,0,0,1,0,0,2,0,0,2,2,2,0,0.24,1.5,0,0,"50.00%","50.00%","0.00%",56.3,0,0.118,0,"50.00%","MWC","G5",31,25.88,"D"
"ASHTON GRAY","E CAROLINA",3,"HB",2026,"The American",73.4,6,10,57,5.7,0,1,0,0,1,38,3.8,19,1.9,0,0.1,0.1,1,0.3,"E CAROLINA",3,"The American",56.4,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",23,25.88,"D"
