"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Interception","Assist.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Target.per.Coverage","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Pass.Stop","Lined.up.in.Press.Coverage","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Break.Up","Run.Tackle.for.Losss.or.No.Gain","Plays.of.15..Yards.Allowed","Unblocked.Pass.Rush","Pass.Rush.Productivity","Missed.Tackles.on.Pass.Plays","Forced.Fumble","Touchdowns.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Pursuit.Pressure","Hits","Dropped.Int","Sacks","Beaten.Defender","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"RUSHAUN TONGUE","WAKE",36,68.72,"B",81,80.7,70.7,NA,4,1,1,0,1,56.3,0.04,3.5,8,1,1,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0.5,1,0,1,0,1,0,0.5,0,0,0.5,0.5,0,0
"LEWIS CARTER","UCF",31,68.5,"B",84.6,71.7,77.8,75.2,4,0,3,0,0,56.3,0.14,3,3,2,2,NA,1,0,0,0,0,0,1,NA,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0.5,2,0,0,0,1,0,0.5,0,0,1,0,0,0
"JASPER BEELER","CINCINNATI",70,68.26,"B",63.5,60.3,70.4,NA,7,3,2,0,2,64.6,0.44,15,10,10,2,NA,1,0,1,0,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0.125,0,1,0,0,3,2,2,1,2,0.5,20,1,0,0,2,0,0.5,0.25,0,5,0,0,0.2
"MALIK HARTFORD","UCLA",84,67.9,"B",71,69.5,70.1,NA,6,4,1,0,2,61.8,0.48,6.3,3,23,0,NA,1,0,2,1,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,1,1,1,0.333,23,1,1,0,1,0.021,0.333,0.333,0,7.7,0.333,0,0
"QUAN SANKS","INDIANA",16,67.41,"B",70.1,74.4,59.9,NA,3,1,1,1,1,0,0,0,6.5,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEVIN VAUGHT","MICH STATE",44,66.18,"B",73.9,66.6,85.1,60,6,1,3,0,1,39.6,0,4.5,2.5,0,0,NA,1,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0
"SEAN JOHNSON","MARYLAND",23,66.01,"B",72,72,67.5,NA,4,2,1,0,2,0,0,0,12,0,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOGAN BARTLEY","KANSAS ST",28,65.46,"B",66.8,58.4,77,NA,6,2,2,0,2,39.6,0,9,7.33,0,1,NA,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0.5,0,0,0,0.5,0,0
"KYAN MCDONALD","ARIZONA ST",25,65.24,"B",72.9,76.6,48.7,67.7,2,2,0,0,0,39.6,0,6,0,0,0,NA,0,1,2,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,1,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"BRAYLON JOHNSON","WAKE",35,65.23,"B",82,73.9,65,91.3,6,1,2,0,1,83.3,0.38,-2,0,4,2,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,1,8,0,0,0,2,0,1,0,0,4,0,0,0
"ROBERT FITZGERALD","NWESTERN",92,65.01,"B",66.3,68.8,59.3,59.5,14,0,4,0,1,39.6,0,10,5.11,0,1,NA,0,3,0,1,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0.222,4,0,0,0,1,5,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.25,0.167
"PEYTON WILLIAMS","S CAROLINA",26,64.93,"B",78.7,80.9,61.1,NA,1,0,1,0,0,39.6,0,5,0,0,1,NA,0,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"JEROME CARTER III","CLEMSON",60,64.58,"B",73.5,74.5,76,59.5,9,0,1,0,0,39.6,0,11.5,7.2,0,0,NA,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0
"KOY BEASLEY","KANSAS ST",32,64.11,"B",65.7,63.8,66.3,NA,5,2,1,0,2,0,0,0,10,0,0,NA,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.167,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0
"MALIK ESQUERRA","TEXAS TECH",44,63.83,"B",75.5,75.6,67.5,NA,6,1,2,0,1,58.3,0.23,8,4,7,1,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0.5,7,0,1,0,1,0,0.5,0,0,3.5,0.5,0,0
"MARCUS NEAL JR.","PENN STATE",31,63.38,"B",75.5,74.4,70.6,NA,6,2,1,0,0,87.5,0.24,5,4,5,1,NA,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,5,0,0,0,0,0,0,0,0,5,0,0,0
"KENTRELL WEBB","HOUSTON",71,62.69,"B",74.2,74.8,63.8,NA,7,0,1,0,0,72.9,0.27,34.5,0,14,1,NA,0,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0.5,14,1,1,0,1,0,0.5,0.5,0,7,0.5,0,0
"ERIC WINTERS","AUBURN",86,62.31,"B",73.3,65.2,90.1,57.8,8,0,3,0,0,87.5,0.14,4.4,2.17,3.5,0,NA,1,1,0,0,2,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0.111,3,2,0,0,0,3,2,1,2,0.4,7,1,0,0,2,0,0.4,0.2,0,1.4,0,0.143,0
"JOKER JOHNSON","ARKANSAS",41,62.15,"B",79.2,77.5,72.4,NA,2,1,1,0,1,39.6,0,9,11,0,0,NA,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0.5,0,0,0,0.5,0,0
"CARTER STOUTMIRE","ARKANSAS",17,61.64,"B",69.8,64,71.6,NA,3,2,1,0,2,39.6,0,8,0,0,0,NA,2,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"JJ DUNNIGAN","MIAMI FL",33,61.41,"B",65.1,64.8,63.9,57.6,4,0,4,0,0,39.6,0,11,2,0,1,NA,1,1,0,0,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0.2,3,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
"KOI PERICH","OREGON",68,61.37,"B",65.3,53.4,83.4,NA,13,3,6,0,3,113.9,0.33,9.7,3.38,6,0,NA,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,3,0,2,0.667,12,1,0,0,1,0,0.333,0.333,0,4,0,0,0
