"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Average.Depth.of.Tackle","Pursuit.Pressure","Run.Tackle.for.Losss.or.No.Gain","Pass.Rush.Productivity","Passer.Rating.Allowed","Average.Depth.of.Target.per.Coverage","Yards.per.Reception.Allowed","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Unblocked.Pass.Rush","Drops...Off.Targets.Receptions.Forced","Sacks","Missed.Tackles.on.Pass.Plays","Beaten.Defender","Plays.of.15..Yards.Allowed","Hits","Pass.Tackle.for.Loss.or.No.Gain","Lined.up.in.Press.Coverage","Batted.Passes","Pass.Break.Up","Forced.Fumble","Interceptions","Touchdowns.Allowed","Fumble.Recovery","Dropped.Int","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"TREY LATHAN","KANSAS",26,67.6,"B",76.6,67.4,69.8,71.8,5,2,3,1,0,1,1,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,2,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
"GABE POWERS","KANSAS ST",29,67.16,"B",81.9,88.3,59.3,65.3,6,3,3,1,0,-2.33,0,3,NA,83.3,-1,4,0.31,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,1,1,4,0,0,0,1,0,1,0,0,4,0,0,0,6,0,2
"JEREMIAH ALEXANDER","CLEMSON",55,66.78,"B",80.1,75.6,67.2,72.4,10,3,3,2,1,2.4,0,0,NA,56.3,-5.5,1,0.05,1,1,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0.091,2,1,0,1,1,3,2,0,1,1,0.5,1,0,0,0,2,0,1,0,0,0.5,0,0.125,0,11,0,6
"TAYE BROWN","ARIZONA",41,66.13,"B",71.2,78.8,49.8,72.9,9,3,5,1,0,0.5,0,1,NA,42.4,1,7,0.5,2,0,1,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,0.1,2,3,1,1,1,3,3,1,2,1,0.333,7,0,1,0,3,0,1,0,0,2.3,0.333,0,0.143,10,0,4
"NATHANIEL STAEHLING","MICHIGAN",50,65.96,"B",74.4,77.3,59.9,64.6,10,4,3,4,1,4.5,0,0,NA,112.5,6,11,0.65,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0.091,2,1,1,0,0,4,2,1,1,1,1,11,1,0,0,1,0,1,1,0,11,0,0.111,0,11,0,6
"TROY BOWLES","MICHIGAN",60,65.73,"B",70.1,78.4,53.8,58.5,11,2,6,2,1,2.4,0,2,NA,77.1,4,7,0.78,0,0,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0.083,4,2,3,0,0,2,5,2,1,2,0.667,14,1,0,0,3,0,1,0.333,0,4.7,0,0.125,0,12,0,8
"ZAYDEN WALKER","GEORGIA",16,65.39,"B",81.2,70.5,81.9,60.9,4,2,1,2,1,1.5,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.2,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5,0,3
"SULLIVAN SCHLIMGEN","IOWA STATE",45,64.62,"B",72.8,90.7,63.3,51.3,7,1,6,1,1,1.25,0,1,NA,116.7,7,12,0.57,0,3,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0.125,4,2,1,1,3,1,3,2,1,1,1,12,1,0,0,1,0,1,1,0,12,0,0.167,0,8,0,8
"ALEXANDER KILGORE","SMU",45,63.59,"B",80.2,82,77.6,62.3,6,2,3,2,0,2.33,2,1,NA,135.4,1,39,2.29,0,0,1,0,1,0,1,1,0,NA,0,0,0,0,1,0,0,0.143,2,1,1,2,3,2,1,1,2,1,0.5,39,1,0,0,0,0.059,0,0.5,0,19.5,0,0,0.5,7,0,2
"KEON WYLIE","VA TECH",15,62.69,"B",77.9,70.8,79.1,59.9,4,0,3,0,0,0.33,1,2,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
"VINCENT SHAVERS JR.","NEBRASKA",50,61.83,"B",76.7,73.4,80.6,66.7,6,1,3,1,0,4,0,0,NA,87.5,0,5,0.19,0,2,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,2,1,0,2,3,1,0,0,0,1,1,5,0,0,0,1,0,1,0,0,5,0,0,0,6,0,2
"DARIEN WHITAKER JR.","KANSAS ST",17,61.79,"B",91.9,65.3,93.2,64.1,2,0,2,0,0,0,1,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,0,0,1,0,0,1,0,0.333,0,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,3,0,4
"BRYAN LONGWELL","VANDERBILT",41,61.55,"B",72.7,80,52.7,65.8,5,1,3,1,0,0,0,3,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.167,3,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6,0,5
"KOBIE MCKINZIE","NWESTERN",92,60.8,"B",57.2,59.8,54.4,57.1,11,4,3,4,2,0.5,1,1,NA,94.8,12,9.7,0.55,0,1,1,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0.214,3,1,1,1,2,4,8,3,0,3,0.75,29,2,0,0,2,0,0.5,0.5,0,7.3,0,0.222,0.2,14,0,9
"JALEN SMITH","MISS STATE",39,60.6,"B",72.8,79.5,56.3,65.5,7,2,5,2,0,0,0,2,NA,118.8,4,13,0.72,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,2,2,0,0,2,2,1,1,1,1,13,1,0,0,0,0,0,1,0,13,0,0,0,7,0,4
"CYRUS POLU","UTAH",38,60.45,"B",64.8,71,52.9,63.2,4,2,1,2,0,0.5,1,1,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
"BEN ROBERTS","TEXAS TECH",47,60.39,"B",87.4,95.4,67,65.1,5,0,4,0,0,4.33,0,0,NA,79.2,-4.5,1.5,0.11,0,1,0,0,1,0,0,0,1,NA,1,0,1,0,0,0,0,0.167,2,2,1,1,1,0,1,1,1,2,1,3,0,0,0,1,0,0.5,0,0,1.5,0,0,0.333,6,0,3
"MASON MURAGIN","ILLINOIS",42,60.08,"B",71.8,74.9,58.2,63,4,2,2,2,1,4,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0.2,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,0,1
"NICK RINALDI","VANDERBILT",34,59.99,"C",84,81.1,67.8,72.9,5,0,4,0,0,3.67,0,0,NA,60.4,4.5,8,0.57,0,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,2,2,0,1,2,0,1,1,2,1,0.5,8,1,1,0,0,0,0,0.5,0,4,0.5,0,0,5,0,3
"MILES HALL","BYU",30,59.46,"C",70.4,68.9,65.6,63.3,3,3,0,2,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"MYLES GRAHAM","FLORIDA",64,59.28,"C",66.9,76.1,67,58.4,11,2,3,2,0,2.5,0,0,NA,100,2.2,8,0.98,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,0,0,1,2,3,2,1,5,1,40,2,0,1,4,0,0.8,0.4,0,8,0,0,0,11,0,10
"BRYCE DEAS","AUBURN",37,59.11,"C",81,78.9,74.6,63,6,0,4,0,0,3,0,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5
"TAVION WALLACE","KENTUCKY",32,59.11,"C",67.1,61.7,53.6,70.1,5,2,2,2,0,3,2,0,NA,47.9,2.8,4.5,0.56,0,0,1,0,0,0,0,2,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,1,2,2,0.4,9,1,1,0,1,0,0.2,0.2,0,1.8,0.2,0,0,5,0,3
"NOAH CHAMBERS","VA TECH",19,58.92,"C",90.5,90.5,70.4,60,4,0,4,0,0,1.5,0,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
"VINCENT FIRENZE","WAKE",23,58.35,"C",85.8,86.1,NA,72.3,9,1,4,0,1,4.5,0,0,NA,79.2,-1.5,0.5,0.07,1,0,0,0,0,0,0,0,1,NA,0,0,1,0,0,0,0,0.1,2,2,1,0,0,1,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0,0.2,0,10,0,7
"DK GILLEY","RUTGERS",15,58.1,"C",84.4,81.7,59,72.6,5,2,2,2,0,-1,0,1,NA,79.2,-3,2,0.67,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,1,1,2,0,0,0,1,0,1,0,0,2,0,0,0,5,0,1
"CAM WHITE","LOUISVILLE",28,57.55,"C",67.1,51.2,57,77.7,7,2,3,2,1,2,0,0,NA,39.6,24,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.125,1,2,0,1,1,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,8,0,3
"CAM BUFFINGTON","IOWA",28,57.11,"C",82.1,64.1,47.3,87.1,6,0,6,0,0,2.5,0,1,NA,79.2,-2.5,2.5,0.29,0,2,0,0,2,0,0,0,1,NA,0,0,0,0,0,0,0,0.25,2,4,2,2,2,0,2,1,4,2,1,5,0,0,0,0,0,0,0,0,2.5,0,0,0.333,8,0,5
"CARLTON SMITH","MARYLAND",25,56.84,"C",80.2,85.9,67.3,61.8,4,1,3,1,0,1,0,2,NA,79.2,-7,3,0.27,0,1,0,0,1,2,0,1,0,NA,0,0,0,0,0,0,0,0.2,3,0,2,1,2,1,1,0,1,1,1,3,0,0,0,1,0,1,0,0,3,0,0,1,5,0,3
"JUSTIN WILLIAMS","GEORGIA",18,56.63,"C",79.5,79.2,66.1,64,3,2,1,1,0,1,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"JOJO HAYDEN","PURDUE",18,56.53,"C",75.2,74.6,65.4,65,3,1,2,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"ANTHONY PALANO","BOSTON COL",59,56.3,"C",68.3,73.5,45.1,64.8,12,3,5,2,2,7.43,1,1,NA,83.3,-0.5,4,0.57,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.2,5,0,1,1,1,3,6,2,1,2,1,8,0,0,0,2,0,1,0,0,4,0,0.182,0.25,15,0,9
"TYLER MARTINEZ","COLORADO",49,56.27,"C",79.1,86.9,57.1,64.8,6,1,3,1,1,3.8,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.143,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,7,0,6
"CHRISTIAN ALLIEGRO","OHIO STATE",29,56.05,"C",69.2,84.2,58.4,58.3,2,1,1,1,0,-2,1,1,NA,39.6,31,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0
"SAMMY BROWN","CLEMSON",83,55.91,"C",68.4,81.1,52,58.7,9,2,2,2,0,6.25,0,0,NA,62.5,8,9,0.27,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,1,1,2,2,2,0,1,0.5,9,0,0,0,2,0,1,0,0,4.5,0,0,0,9,0,5
"CAEL BREZINA","PENN STATE",25,55.51,"C",74.4,67.5,66,71,3,1,1,0,0,4.5,0,0,NA,0,0,0,0,1,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,3,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"DYLAN WILLIAMS","OREGON",38,55.46,"C",73.5,71.6,68.5,65,5,0,4,0,0,1.25,0,2,NA,87.5,3,5,0.28,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,1,2,2,2,0,1,0,0,1,1,5,0,0,0,1,0,1,0,0,5,0,0,0,5,0,4
"KAMAL BONNER","MIAMI FL",18,55.08,"C",68.9,81.2,NA,52.4,5,2,2,2,0,3.5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"JEREMIAH BEASLEY","MISSOURI",19,55.05,"C",75.3,78.8,59.3,64.6,5,2,2,1,0,6,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"KALEB SPENCER","VA TECH",22,55.02,"C",72.1,68.1,72.3,60.9,3,1,2,1,1,1,1,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.25,1,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,4,0,4
"DEVEN BRYANT","USC",23,54.74,"C",71.9,74.1,59.2,63.1,4,2,2,2,0,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"ISAIAH JONES","INDIANA",62,54.48,"C",68.6,59.4,54.5,76.9,11,1,9,0,3,4.13,1,0,NA,56.3,-0.5,0,0,1,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.214,7,2,0,2,2,1,6,0,1,1,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0.273,0,14,0,6
"ROLIJAH HARDY","INDIANA",62,54.37,"C",61.3,80.1,62.9,38.6,9,3,5,3,0,3.5,0,2,NA,113.2,6.5,13.4,2.58,0,1,0,0,2,0,2,1,0,NA,0,1,0,0,0,0,0,0.182,5,0,2,0,1,3,7,6,1,5,0.833,67,4,1,0,3,0.077,0.5,0.667,0,11.2,0.167,0,1,11,0,6
"MATT KINGSBURY","MINNESOTA",32,53.89,"C",85,70.3,60,82.3,5,1,4,1,1,1.75,1,0,NA,118.8,-0.5,3,0.38,0,0,0,0,0,0,0,1,0,NA,0,2,0,0,1,0,0,0.167,4,0,0,0,1,1,5,1,4,2,1,6,1,2,0,2,0,1,0.5,0,3,1,0.167,0,6,0,3
"JORDAN HALL","MICH STATE",25,53.55,"C",72.2,75.6,NA,63.7,3,0,2,0,0,2.33,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"OWEN LONG","ARIZONA ST",28,53.09,"C",79.7,77,55.8,75,4,1,1,1,0,5.5,0,0,NA,39.6,15.5,0,0,0,1,0,0,1,1,0,0,0,NA,0,1,0,0,0,0,0,0.2,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,5,0,2
"JADEN YATES","HOUSTON",65,52.81,"C",55.2,82.9,52,44,9,4,2,4,0,1.5,0,1,NA,105.4,5,10.8,1.67,0,1,1,0,1,0,2,0,0,NA,0,0,0,0,0,0,0,0.1,2,0,1,1,1,4,5,5,0,6,0.857,65,4,0,0,3,0.051,0.429,0.571,0,9.3,0,0,0.25,10,0,5
"JAYDEN MONTGOMERY","IOWA",22,52.65,"C",76.3,64.7,57.1,77.2,3,0,3,0,0,1.5,1,1,NA,39.6,4,0,0,0,1,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.25,2,1,1,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,2
"JAMAL ANDERSON","SMU",15,52.52,"C",71.8,76.9,69.8,57.5,4,1,2,0,0,1,0,0,NA,56.3,11,1,0.14,1,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0.5,1,0,0,0,1,0,0.5,0,0,0.5,0,0,0,4,0,1
"ANTWAN PEEK JR.","CINCINNATI",70,51.82,"C",70.5,68.8,65.1,68.4,9,0,2,0,0,5,1,1,NA,85.4,5.7,10,0.48,0,1,1,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,1,1,1,2,2,0,3,2,1,2,0.667,20,1,1,0,3,0.024,1,0.333,0,6.7,0.333,0,0,9,0,5
"RAY CONEY","TEXAS A&M",21,51.46,"C",80.1,80.2,56.7,72.4,2,1,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"KYLAND REED","BAYLOR",45,51.35,"C",63.6,48,76.5,68.3,9,2,3,1,1,3.5,2,0,NA,88.5,1,5.3,1,1,0,0,1,1,1,0,0,0,NA,0,0,0,0,0,0,0,0.182,0,3,0,1,2,2,6,1,2,4,1,21,1,0,0,4,0,1,0.25,0,5.3,0,0.25,0.143,11,0,8
"ISAIAH PATTERSON","W VIRGINIA",23,50.77,"C",56.9,75.5,67.4,51.2,4,0,4,0,0,1,3,1,NA,118.8,12,27,1.69,0,1,0,1,1,0,1,2,0,NA,0,0,0,0,0,0,0,0.2,2,2,1,1,4,0,3,2,1,1,1,27,1,0,1,1,0.063,1,1,0,27,0,0,0.333,5,0,2
"BRADLEY GOMPERS","DUKE",34,50.55,"C",73.6,74.7,73.5,56.9,4,0,4,0,0,3.5,2,0,NA,116.7,4.3,18.3,4.23,0,0,1,1,0,1,1,1,0,NA,0,0,0,0,0,0,0,0,2,2,0,2,4,0,1,1,1,3,0.75,55,1,0,0,3,0.077,0.75,0.25,0,13.8,0,0,0,4,0,2
