"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Interception","Assist.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Target.per.Coverage","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Pass.Stop","Lined.up.in.Press.Coverage","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Break.Up","Run.Tackle.for.Losss.or.No.Gain","Plays.of.15..Yards.Allowed","Unblocked.Pass.Rush","Pass.Rush.Productivity","Missed.Tackles.on.Pass.Plays","Forced.Fumble","Touchdowns.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Pursuit.Pressure","Hits","Dropped.Int","Sacks","Beaten.Defender","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"JOHN SLAUGHTER","PURDUE",69,70.94,"B",74.2,67.4,76.7,60,11,2,1,0,2,0,0,0,17.22,0,0,NA,0,1,0,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0.083,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0
"SANTANA BANNER","MISSOURI",64,70.3,"B",73.6,72,79.2,NA,15,4,7,0,4,158.3,2.91,5.7,3.67,18.6,3,NA,0,0,0,0,1,1,0,NA,1,0,1,1,0,0,1,0,0,0,0,0.063,4,2,0,0,4,3,1,2,5,0.833,93,1,0,0,0,0.031,0,0.167,0,15.5,0,0,0.167
"DAVAUGHN PATTERSON","WAKE",68,69.86,"B",77.6,74.8,72.9,70.3,8,4,1,0,4,71.5,0.29,7,5,5,0,NA,0,0,0,1,0,0,1,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,1,0,1,2,0.667,10,0,1,0,2,0,0.667,0,0,3.3,0.333,0,0
"CRUCE BROOKINS","PITTSBURGH",44,69.5,"B",81.2,77.4,82,NA,10,3,3,0,2,68.8,0.5,0.5,10.25,12,1,NA,0,0,1,1,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0.091,2,1,0,0,3,1,1,2,1,0.5,12,1,1,0,1,0,0.5,0.5,0,6,0.5,0,0.2
"PEYTON BOWEN","OKLAHOMA",54,66.56,"B",76.6,77.8,62.9,69.8,4,1,2,0,1,39.6,0,-2,2,0,1,NA,1,0,0,1,0,0,1,50,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"TYREN POLLEY JR.","SMU",62,66.52,"B",66.2,69.7,61.4,56.7,8,0,3,0,0,42.4,-0.19,14.7,6.5,-5,1,NA,0,1,0,1,1,0,1,50,0,0,0,1,0,0,0,0,0,0,0,0.111,2,2,1,1,0,5,1,2,1,0.333,-5,0,2,0,0,0,0,0,0,-1.7,0.667,0.143,0
"MATTHEW JUNG","WISCONSIN",46,66.35,"B",90.5,90.5,62.2,63.7,4,1,2,1,1,52.1,0.92,14.5,8,23,1,NA,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,1,2,1,2,1,0.5,23,1,0,0,0,0.04,0,0.5,0.5,11.5,0,0.25,0
"PEYTON WILLIAMS","S CAROLINA",66,66.05,"B",72.4,74.9,63,NA,7,0,2,1,0,0,0,0,6.33,0,1,NA,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.125,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0
"MARCUS WILLIAMS","MISS STATE",53,65.74,"B",77.2,74.7,77.3,NA,5,2,3,0,1,39.6,0,14,2.5,0,1,NA,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"LYRIK RAWLS","ARIZONA ST",51,64.59,"B",74.6,80.6,71.5,NA,7,1,3,0,1,39.6,0,10,8,0,1,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"RICARDO JONES","VANDERBILT",61,63.96,"B",69.8,76,62.9,59.5,11,2,2,0,2,70.1,0.15,4.7,7.33,2.5,1,NA,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.083,1,1,0,0,2,2,1,2,2,0.667,5,1,1,0,1,0,0.333,0.333,0,1.7,0.333,0.167,0
"WESLEY FAIR","KANSAS ST",51,63.86,"B",68,68.8,66,55.2,10,2,6,0,1,91.7,0.23,3,3.67,6,2,NA,0,0,1,0,1,0,1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,2,0,0,1,1,6,0,0,0,0,0,0,0,0,6,0,0,0
"JORDAN CASTELL","KENTUCKY",83,63.02,"B",67.7,63,72.6,68,12,4,1,1,1,94.3,0.98,15.3,7,11,0,NA,1,0,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0.077,1,0,0,0,4,6,5,4,5,0.714,55,3,1,0,4,0.018,0.571,0.429,0.143,7.9,0.143,0,0.167
"KAJ SANDERS","RUTGERS",68,63,"B",69.9,70.6,65.1,NA,8,6,0,0,6,118.8,0.46,17,27,17,0,NA,0,1,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,6,3,1,1,1,1,17,1,1,0,1,0.027,1,1,0,17,1,0.125,0
"MARCUS NEAL JR.","PENN STATE",30,62.57,"B",91.6,79.6,95.3,NA,2,0,2,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,NA,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NATE RITCHIE","UTAH",40,62.2,"B",73.5,69.4,66.9,73.2,6,0,4,0,0,0,0,0,2,0,3,NA,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROBERT FITZGERALD","NWESTERN",64,61.38,"B",66.7,58.8,77.3,NA,11,7,3,0,6,91.7,0.18,6,2.75,6,0,NA,0,1,1,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,1,0,0.214,3,0,0,0,7,5,2,0,1,1,6,0,0,0,0,0,0,0,0,6,0,0.091,0.667
"VABOUE TOURE","PENN STATE",18,61.31,"B",86.8,88,65.3,NA,1,1,0,0,1,39.6,0,8.5,0,0,0,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"PRESTON ZACHMAN","INDIANA",48,61.29,"B",76.1,73.8,74.7,NA,9,4,0,0,3,83.3,0.29,-0.5,8,4,0,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,8,0,0,0,0,0,0,0,0,4,0,0,0
"DAVIEN KERR","SYRACUSE",42,58.81,"C",84.9,89.9,59.6,NA,5,0,1,1,0,34.4,1.32,9.5,6.33,14.5,0,NA,0,1,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.167,1,0,0,0,0,2,1,2,2,0.5,29,2,1,0,2,0.045,0.5,0.5,0.25,7.3,0.25,0.25,0
"JADEN MANGHAM","PURDUE",47,58.52,"C",58.5,77.8,31.3,NA,6,3,1,0,3,39.6,0,7,-3,0,0,NA,1,2,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0,0,3,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.333,0
"JELANI MCDONALD","TEXAS",41,58.03,"C",79.9,81.8,64.4,NA,4,1,3,0,1,79.2,0.13,-0.3,0,1,3,NA,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0
"KJ BOLDEN","GEORGIA",39,57.16,"C",74.7,71.6,71,66.8,5,0,4,0,0,56.3,0.21,13.5,4.33,6,1,NA,0,0,0,1,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,1,2,1,0.5,6,0,1,0,0,0,0,0,0,3,0.5,0,0
"EARL LITTLE JR.","OHIO STATE",31,56.67,"C",73.8,73,68,60,3,2,0,0,2,39.6,0,7,4,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"COREY MYRICK","CLEMSON",67,56.54,"C",65,61.1,69.5,59.7,14,5,3,0,4,110.4,0.64,1,10.29,10.5,1,NA,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.176,2,0,0,0,5,4,2,0,2,1,21,1,0,0,0,0,0,0.5,0,10.5,0,0.154,0.25
"IVAN TAYLOR","ALABAMA",18,55.96,"C",74.7,75.4,63.4,NA,2,0,0,1,0,0,0,0,10,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JORDAN ALLEN","HOUSTON",63,55.77,"C",63.5,68.2,55.2,58.8,7,2,1,0,2,39.6,0,18,16.5,0,0,NA,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
"CHRISTIAN ELLIS","VIRGINIA",24,55.68,"C",74.8,75.8,66,NA,2,2,0,0,1,39.6,0,26,0,0,0,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"BRYCE FITZGERALD","MIAMI FL",67,55.66,"C",78.9,79.2,61.2,NA,2,0,2,0,0,42.4,0,11.7,0,0,2,NA,1,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0.333,0,0,1,0,1,0,0.333,0,0,0,0.333,0,0
"COREY GORDON","KANSAS",65,55.6,"C",65.9,68.1,60.6,NA,9,3,2,0,3,118.8,0.62,7,11.5,16,1,NA,0,2,0,1,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.182,1,1,0,0,3,5,2,2,1,1,16,1,1,0,0,0.039,0,1,0,16,1,0.222,0
"DWAYNE MCDOUGLE III","NEBRASKA",39,55.15,"C",76.9,67,86.4,NA,7,1,2,0,1,39.6,0,19,7.6,0,0,NA,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DRE RILEY","MISS STATE",32,54.87,"C",72,72.5,60.6,NA,NA,0,0,1,NA,2.8,0.04,6.3,0,1,NA,NA,0,NA,NA,1,NA,0,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,NA,NA,0,0,0,NA,1,1,2,1,0.333,1,0,1,0,0,0,0,0,0.333,0.3,0.333,NA,NA
"CAM SIDNEY","CAL",42,54.37,"C",80,81.5,61.9,58.6,1,0,1,0,0,42.4,0.23,8.5,0,3.5,1,NA,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.333,7,0,2,0,2,0,0.333,0,0,1.2,0.333,0,0
"JHASE THOMAS","LSU",30,54.29,"C",80.1,81.2,64.5,NA,5,1,3,0,0,83.3,0.2,4,4,4,2,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,4,0,0,0,0,0,0,0,0,4,0,0,0
"BRENDEN JORDAN","TEXAS TECH",67,53.84,"C",76,71.4,80.7,NA,10,2,2,0,2,95.8,0.57,4,2,7,2,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,1,21,2,0,0,1,0,0.333,0.667,0,7,0,0,0
"BRODY BARNHARDT","NC STATE",24,53.58,"C",78.6,79.7,60,NA,1,0,0,1,0,12.5,0.84,17.3,0,16,0,NA,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0.333,16,1,1,0,0,0.053,0,0.333,0.333,5.3,0.333,0,0
"MICAH GIFFORD","BAYLOR",54,53.18,"C",72.2,61.7,84.1,68.3,9,3,2,0,2,109.7,1.33,14.7,2,20,0,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,2,2,1,2,0.667,40,1,1,0,0,0.033,0,0.333,0,13.3,0.333,0,0
"DARRIUS DAVIS","STANFORD",54,53.18,"C",62.3,60.9,63.8,NA,8,2,0,1,2,37.5,1.39,15.3,17.33,16,0,NA,2,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,2,4,3,2,2,0.5,32,2,0,0,1,0.043,0.25,0.5,0.25,8,0,0.167,0
"TAYLOR DAVIS","KANSAS",55,53.09,"C",58.4,61,54.9,NA,8,4,1,0,3,0,0,0,5.33,0,0,NA,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.111,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0
"ANDREW POWDRELL","W VIRGINIA",44,52.54,"C",70.2,69.9,64.5,NA,6,3,1,0,0,56.3,0.3,4.5,6,4.5,0,NA,1,0,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2,2,0.5,9,0,0,0,1,0,0.25,0,0,2.3,0,0,0
"KINGSTON LOPA","CAL",34,52.38,"C",72.1,68.1,74.7,59.2,4,0,2,1,0,68.8,0.4,3,1,10,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,1,1,10,1,1,0,1,0,1,1,1,10,1,0,0
"RONAN HANAFIN","CLEMSON",60,52.36,"C",59.3,62.2,55.9,58.4,5,3,1,0,3,91.7,1.05,13.5,0,23,1,NA,1,1,0,0,0,1,1,12.5,0,0,0,0,2,0,0,0,0,0,0,0.167,0,0,3,3,3,3,1,0,1,0.5,23,1,0,0,0,0.045,0,0.5,0,11.5,0,0.25,0
"TAE HARRIS","GA TECH",51,52.28,"C",67.6,67,66.1,NA,8,4,0,0,3,104.2,0.6,5,10.5,9,0,NA,0,2,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,4,2,0,0,1,1,9,0,0,0,0,0,0,0,0,9,0,0.222,0
"ERIC WINTERS","AUBURN",73,51.72,"C",62,64.7,64.6,NA,6,2,1,0,2,0,0,0,11.75,0,0,NA,0,2,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0.25,1,0,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
"JAY TIMMONS","OHIO STATE",28,51.66,"C",74.9,77.6,61.2,58.2,1,0,1,0,0,56.3,0.19,11.5,0,3,1,NA,1,0,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0,0,0.5,0,0,2,2,0,1,1,2,1,0.5,3,0,0,0,0,0,0,0,0,1.5,0,0,0.5
"BO ONU","BAYLOR",35,51.61,"C",79.1,71.1,42.8,94.7,5,0,4,0,0,81.7,0.95,1,0,4.5,4,NA,1,1,0,0,0,0,0,25,0,1,0,1,1,0,0,1,0,0,0,0.167,0,1,0,1,0,3,1,2,4,0.8,18,1,0,0,0,0,0,0.2,0,3.6,0,1,0
"ISAAC SMITH","MISS STATE",58,51,"C",66,64.6,66.1,60,8,3,3,0,2,77.1,0.5,7,1.67,16,0,NA,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,3,1,0,0,3,2,1,0,1,0.5,16,1,0,0,0,0.031,0,0.5,0,8,0,0.167,0
"ELIJAH DOTSON","MISSOURI",64,50.16,"C",74.3,69.8,78.3,NA,7,1,1,0,1,91.7,0.32,4,3.5,6,0,NA,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,12,0,0,0,0,0,0,0,0,6,0,0,0
"MARCUS UPTON","BOSTON COL",69,50.11,"C",66.8,67.9,60.8,NA,9,1,3,0,1,81.3,0.87,5,9,8.5,3,NA,1,1,0,0,0,1,0,NA,0,0,0,1,0,0,0,0,0,0,0,0.1,0,1,0,0,1,3,2,2,4,0.667,34,2,1,0,2,0.026,0.333,0.333,0,5.7,0.167,0.333,0
"KING MACK","NC STATE",27,49.94,"C",68.6,69.2,61.6,59.1,3,2,1,0,0,0,0,0,0,0,1,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MATT SIEG","W VIRGINIA",17,49.86,"C",74.2,74.2,63.5,NA,4,0,2,0,0,39.6,0,20,3,0,1,NA,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JUSTIN DENSON JR.","PURDUE",52,48.8,"C",68.9,76.9,53.8,60,7,0,2,0,0,85.4,0.38,4.5,8,4.5,2,NA,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.222,0,1,0,0,0,2,0,2,2,1,9,0,0,0,0,0,0,0,0,4.5,0,0.333,0
"AMARE FERRELL","INDIANA",58,48.73,"C",69.8,68,69.6,NA,3,1,1,0,1,56.3,0,3,5,0,1,NA,1,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALEB FLAGG","UCF",21,48.64,"C",79.4,77.7,67.5,NA,3,0,3,0,0,91.7,0.38,5,0,6,2,NA,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,6,0,0,0,1,0,1,0,0,6,0,0,0
"MESSIAH DELHOMME","MARYLAND",73,47.96,"C",72.2,73.4,66.6,58.6,9,2,4,0,1,132.3,0.68,-0.3,6.5,6.3,1,NA,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,3,0,0,0,2,2,1,2,4,1,25,1,0,0,0,0,0,0.25,0,6.3,0,0.167,0
"COLBY MCCALISTER","BAYLOR",61,47.77,"C",64.8,60.1,74.7,60,9,3,3,0,1,91.7,0.76,4.3,8.5,8.7,1,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,2,0,3,0.75,26,2,0,0,0,0,0,0.5,0,6.5,0,0,0
"TY HUDKINS","IOWA",27,47.59,"C",69.6,69.3,63.3,NA,1,0,0,0,0,39.6,0,24,6,0,0,NA,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0.667,0,0
"ISAIAH CROSBY","CAL",26,47.31,"C",72.2,72.1,62,NA,5,1,2,0,1,77.1,0.52,7.3,0,3.7,2,NA,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3,0.75,11,1,0,0,3,0,0.75,0.25,0,2.8,0,0,0
"ZACK HARDEN","MINNESOTA",50,47.27,"C",67,66.9,50,79.7,2,0,1,0,0,61.5,0.5,16,10,8.5,1,NA,1,0,0,1,0,1,1,16.7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3,2,3,2,0.5,17,1,1,0,1,0.029,0.25,0.25,0,4.3,0.25,0,0
"NIKAI MARTINEZ","MICH STATE",68,47.08,"C",62.8,59.6,67.8,59.2,9,3,1,0,3,84.4,0.7,8.8,8.5,6.3,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,3,5,3,1,3,0.75,19,2,1,0,0,0,0,0.5,0,4.8,0.25,0,0.2
"KENNAN PULA","BYU",37,46.68,"C",72,70.3,69.1,59.8,4,2,2,0,0,97.9,0.54,-1,0,7.5,1,NA,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,1,1,0,0,2,1,1,1,2,1,15,0,0,0,2,0,1,0,0,7.5,0,0,0.25
"KELVIN HILL","GA TECH",26,46.62,"C",72.2,72,65.9,59.5,2,0,1,0,0,56.3,0,16.5,6,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZION BRANCH","GEORGIA",22,46.31,"C",77.1,81,60.5,57.1,1,0,1,0,0,60.4,0.62,10,0,8,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,8,0,1,0,1,0,0.5,0,0,4,0.5,0,0
"TY BARTRUM","UCF",18,46.27,"C",65.9,65.9,63,59.1,3,2,1,0,1,0,0,0,2,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RANDON FONTENETTE","COLORADO",73,46.09,"C",55.3,40.8,70.6,56.1,14,3,6,0,3,106.9,1.38,3.7,3.63,9.7,0,NA,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,6,2,0,0,3,6,2,0,3,1,29,1,0,0,0,0,0,0.333,0,9.7,0,0.083,0
